Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
9.48,106.227,-1111.605,465.847,278.014,-331.296,111.211,222.802,-403.428,814.88,116.281,-197.2,1090.682,592.637,-562.595,960.443,261.568,-316.691,317.664,150.729,-921.314,399.586,144.628,-248.595,795.115,531.882,-821.9,798.982,219.149,-529.187,994.299,44.455,2.839,5.278,-3.601,2.617,-0.944,-5.739,8.749,16.624,-5.739,-8.749,-16.624,-40.419,-7.627,-10.008,-42.986,1.671,4.044,0.722,0.211,1.484,-1.971,0.111,1.325,368.363,18.257,11.039,-900.253,-94.776,-6.024
9.49,102.583,-1057.498,477.35,275.314,-311.203,107.39,224.803,-362.85,808.976,107.614,-163.158,1066.621,590.261,-507.709,949.203,259.496,-286.046,310.988,145.957,-869.788,402.894,129.885,-228.675,773.994,531.91,-763.61,781.584,218.923,-488.66,986.679,43.888,3.288,4.589,-2.473,1.888,-1.664,-5.309,8.351,15.236,-5.309,-8.351,-15.236,-40.305,-8.006,-10.287,-43.88,2.755,3.018,0.553,0.136,1.467,-1.687,-0.109,-0.536,361.309,10.506,6.244,-603.913,97.618,-31.083
9.5,98.981,-1000.353,485.8,272.872,-296.134,104.599,227.526,-322.821,803.256,97.031,-130.89,1041.851,586.984,-449.938,938.512,257.439,-258.975,304.672,141.51,-815.07,404.934,114.114,-210.86,753.418,531.694,-701.264,763.13,218.646,-448.394,978.979,43.218,3.99,3.542,-1.135,0.762,-2.605,-4.745,8.185,13.672,-4.745,-8.185,-13.672,-40.27,-8.311,-10.669,-44.366,3.95,1.55,0.366,0.045,1.406,-0.977,0.268,-8.529,349.602,0.493,1.429,70.721,342.742,-32.068
9.51,95.432,-940.596,491.141,270.723,-285.294,102.908,230.82,-283.45,797.906,84.704,-100.631,1017.238,582.739,-389.569,929.114,255.578,-235.575,299.039,137.482,-757.35,405.712,97.77,-194.989,734.183,530.913,-634.858,744.419,218.311,-408.415,971.536,42.434,4.94,2.258,0.499,-0.751,-3.637,-4.102,8.29,11.958,-4.102,-8.29,-11.958,-40.255,-8.475,-11.114,-44.196,5.11,-0.194,0.171,-0.054,1.303,0.733,0.632,-21.553,337.044,-12.018,-3.19,803.391,715.405,-11.505
9.52,91.977,-878.704,493.411,268.89,-277.89,102.195,234.422,-244.8,793.064,70.9,-72.524,993.799,577.475,-326.972,921.774,254.051,-215.913,294.286,133.877,-696.888,405.274,81.285,-180.781,717.051,529.242,-564.529,726.369,217.916,-368.73,964.666,41.522,6.088,0.897,2.522,-2.574,-4.572,-3.465,8.646,10.144,-3.465,-8.646,-10.144,-40.179,-8.441,-11.595,-43.311,6.15,-1.979,-0.022,-0.15,1.164,2.797,-0.232,-16.861,326.104,-27.069,-7.281,1457.35,778.297,69.923
9.53,88.689,-815.175,492.722,267.377,-273.155,102.207,237.987,-206.863,788.803,55.974,-46.563,972.552,571.179,-262.616,917.192,252.889,-199.966,290.471,130.708,-634.002,403.796,65.044,-167.813,702.71,526.388,-490.605,709.971,217.465,-329.327,958.638,40.451,7.338,-0.366,5.021,-4.565,-5.197,-2.936,9.167,8.282,-2.936,-9.167,-8.282,-40.005,-8.202,-12.091,-41.857,7.042,-3.594,-0.204,-0.237,0.997,5.139,0.282,-14.208,317.053,-44.315,-10.487,2224.5,349.447,42.671
9.54,85.664,-750.509,489.23,266.158,-270.375,102.659,241.16,-169.541,785.17,40.329,-22.572,954.434,563.878,-197.039,915.909,252.001,-187.607,287.564,128.03,-569.064,401.555,49.34,-155.606,691.669,522.099,-413.611,696.173,216.979,-290.171,953.634,39.161,8.549,-1.374,8.055,-6.528,-5.338,-2.606,9.719,6.428,-2.606,-9.719,-6.428,-39.723,-7.796,-12.591,-40.126,7.785,-4.896,-0.368,-0.31,0.815,7.221,-0.934,-15.395,307.826,-62.778,-12.597,2665.07,842.339,162.308
9.55,83.012,-685.167,483.111,265.182,-268.912,103.34,243.637,-132.656,782.203,24.375,-0.212,940.184,555.65,-130.845,918.238,251.213,-178.558,285.513,125.94,-502.488,398.881,34.358,-143.644,684.247,516.226,-334.256,685.785,216.491,-251.212,949.782,37.585,9.551,-2.014,11.634,-8.249,-4.912,-2.533,10.138,4.619,-2.533,-10.138,-4.619,-39.355,-7.287,-13.08,-38.448,8.374,-5.829,-0.511,-0.367,0.631,9.337,-1.435,-17.405,294.779,-80.763,-13.689,3020.47,1005.84,238.892
9.56,80.833,-619.528,474.54,264.381,-268.212,104.18,245.207,-95.973,779.957,8.481,20.955,930.254,546.618,-64.666,924.236,250.353,-172.315,284.274,124.552,-434.726,396.098,20.199,-131.402,680.517,508.74,-253.411,679.405,216.046,-212.379,947.174,35.673,10.182,-2.231,15.702,-9.53,-3.959,-2.73,10.272,2.878,-2.73,-10.272,-2.878,-38.928,-6.742,-13.545,-37.089,8.8,-6.404,-0.631,-0.408,0.459,11.35,-1.458,-18.276,273.772,-96.176,-14.077,3328.23,924.157,280.29
9.57,79.206,-553.859,463.683,263.691,-267.804,105.267,245.788,-59.247,778.5,-7.056,41.404,924.801,536.941,0.897,933.698,249.316,-168.07,283.78,123.97,-366.242,393.487,6.868,-118.48,680.371,499.725,-172.021,677.352,215.692,-173.594,945.854,33.415,10.32,-2.036,20.146,-10.239,-2.636,-3.171,10.008,1.209,-3.171,-10.008,-1.209,-38.478,-6.221,-13.962,-36.19,9.06,-6.682,-0.731,-0.435,0.308,12.389,-1.899,-19.14,241.922,-107.129,-14.182,3252.53,1061.45,328.633
