Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
4.08,221.781,-3032.095,550.489,333.124,-2071.758,103.878,241.496,-2220.643,856.438,63.497,-2031.715,1224.881,599.751,-2483.866,981.422,285.849,-2066.924,341.944,211.375,-2841.223,425.021,45.134,-2102.831,857.567,599.812,-2778.385,941.986,229.686,-2320.64,1057.9,60.585,3.994,-2.165,-0.679,-1.283,-11.625,1.744,9.007,9.28,1.744,-9.007,-9.28,-47.818,-0.583,-0.397,-46.019,-8.285,0.461,0.754,-0.12,2.711,-2.016,-0.143,1.607,478.646,-1.249,-16.035,-1048.06,3.743,-11.953
4.09,218.709,-2961.368,577.608,330.999,-2057.58,99.087,240.84,-2175.264,854.347,58.689,-1990.343,1193.647,597.291,-2420.353,957.767,283.778,-2041.288,334.558,209.224,-2779.775,437.184,20.289,-2089.173,836.828,599.995,-2710.7,904.671,229.097,-2276.0,1053.03,59.04,4.399,-3.003,1.323,-1.443,-12.361,2.633,8.624,8.875,2.633,-8.624,-8.875,-47.04,-0.2,-0.82,-46.635,-7.439,-0.587,0.535,-0.104,2.505,-1.829,-0.167,1.411,530.603,35.187,-21.818,-864.001,11.143,-10.706
4.1,214.637,-2885.818,600.362,329.259,-2047.808,95.803,240.869,-2130.182,852.04,50.558,-1951.228,1159.778,594.927,-2352.757,934.024,281.996,-2018.269,328.258,206.629,-2713.158,446.907,-7.207,-2078.054,817.672,601.494,-2638.143,865.743,228.538,-2231.34,1047.43,57.39,4.903,-4.01,3.524,-1.889,-13.042,3.751,8.431,8.431,3.751,-8.431,-8.431,-45.938,0.086,-1.265,-47.014,-6.643,-1.861,0.334,-0.092,2.214,-1.645,-0.189,1.184,584.439,70.186,-25.759,-666.458,16.025,-7.195
4.11,209.561,-2806.524,618.334,327.815,-2041.227,93.932,241.736,-2085.685,849.545,39.038,-1914.982,1124.83,592.424,-2280.952,911.433,280.514,-1997.758,323.077,203.747,-2641.664,454.225,-36.69,-2069.118,801.282,603.936,-2560.31,826.405,227.99,-2186.68,1041.33,55.662,5.518,-5.08,6.036,-2.626,-13.613,4.997,8.486,7.905,4.997,-8.486,-7.905,-44.601,0.301,-1.715,-47.039,-5.971,-3.224,0.167,-0.08,1.856,-1.465,-0.206,0.952,640.597,98.481,-26.909,-471.26,18.183,-2.793
4.12,203.544,-2724.664,631.29,326.589,-2036.881,93.229,243.459,-2042.083,846.83,24.416,-1881.801,1090.466,589.486,-2205.038,891.369,279.232,-1979.951,318.953,200.736,-2565.623,459.31,-67.395,-2061.811,788.708,606.858,-2476.854,788.075,227.419,-2142.05,1035.02,53.899,6.25,-6.133,9.001,-3.635,-13.979,6.241,8.811,7.272,6.241,-8.811,-7.272,-43.16,0.491,-2.161,-46.694,-5.453,-4.491,0.038,-0.072,1.456,-1.291,-0.219,0.736,695.529,115.235,-24.538,-295.668,17.99,1.399
4.13,196.735,-2641.424,639.166,325.514,-2034.07,93.355,245.909,-1999.615,843.841,7.201,-1851.667,1058.389,585.775,-2125.317,875.255,277.994,-1965.165,315.78,197.728,-2485.412,462.515,-98.399,-2055.456,780.766,609.733,-2387.566,752.292,226.786,-2097.51,1028.78,52.135,7.069,-7.14,12.553,-4.856,-14.034,7.342,9.367,6.529,7.342,-9.367,-6.529,-41.762,0.692,-2.571,-46.078,-5.087,-5.493,-0.057,-0.071,1.043,-1.129,-0.224,0.558,743.1,116.964,-18.582,-152.837,17.771,4.543
4.14,189.365,-2557.905,642.04,324.539,-2032.301,93.951,248.825,-1958.363,840.552,-11.904,-1824.19,1030.084,580.952,-2042.281,864.444,276.629,-1953.607,313.447,194.816,-2401.47,464.356,-128.716,-2049.169,777.948,611.96,-2292.478,720.659,226.058,-2053.08,1022.95,50.376,7.918,-8.081,16.788,-6.19,-13.664,8.17,10.067,5.698,8.17,-10.067,-5.698,-40.553,0.912,-2.896,-45.347,-4.867,-6.117,-0.129,-0.082,0.647,-0.989,-0.222,0.431,774.595,101.972,-9.743,-50.44,18.465,6.269
4.15,181.727,-2475.02,640.087,323.635,-2031.233,94.719,251.875,-1918.204,837.02,-32.099,-1798.808,1006.834,574.714,-1956.665,860.138,274.961,-1945.266,311.828,192.049,-2314.393,465.48,-157.432,-2042.049,780.334,612.886,-2191.853,694.722,225.227,-2008.77,1017.83,48.604,8.708,-8.95,21.746,-7.497,-12.807,8.643,10.774,4.821,8.643,-10.774,-4.821,-39.654,1.117,-3.065,-44.658,-4.79,-6.311,-0.192,-0.11,0.295,-0.879,-0.21,0.366,780.316,71.92,0.487,11.983,20.749,6.578
4.16,174.138,-2393.408,633.543,322.8,-2030.618,95.467,254.749,-1878.821,833.417,-52.53,-1774.876,989.597,566.83,-1869.405,863.258,272.93,-1939.817,310.777,189.48,-2224.905,466.646,-183.791,-2033.298,787.637,611.851,-2086.371,675.908,224.313,-1964.55,1013.72,46.762,9.344,-9.72,27.372,-8.625,-11.49,8.742,11.331,3.939,8.742,-11.331,-3.939,-39.162,1.239,-3.028,-44.113,-4.864,-6.102,-0.259,-0.155,0.01,-0.806,-0.187,0.37,753.238,31.576,10.124,41.033,24.88,5.702
4.17,166.893,-2313.37,622.669,322.055,-2030.263,96.131,257.202,-1839.712,830.019,-72.369,-1751.657,978.933,557.163,-1781.642,874.4,270.561,-1936.57,310.122,187.156,-2134.0,468.542,-207.224,-2022.324,799.271,608.277,-1977.035,665.387,223.359,-1920.35,1010.85,44.763,9.73,-10.357,33.538,-9.437,-9.848,8.505,11.576,3.086,8.505,-11.576,-3.086,-39.088,1.203,-2.743,-43.78,-5.099,-5.555,-0.331,-0.209,-0.191,-0.772,-0.154,0.442,690.734,-12.546,17.322,43.408,30.375,4.007
