Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
3.71,184.185,-2487.448,103.191,330.354,-3416.077,563.254,246.146,-2646.227,772.331,-96.612,-2966.319,950.503,457.413,-2328.928,765.009,314.969,-3243.081,425.954,188.782,-2508.679,335.443,79.433,-3219.163,930.699,607.667,-2604.803,626.412,239.811,-2713.24,973.149,-0.726,-1.59,-7.258,64.525,0.945,-5.536,12.272,-10.274,-14.656,12.272,10.274,14.656,-37.18,-7.964,6.724,-50.485,-1.308,3.205,-0.066,0.175,0.811,-0.742,0.002,3.258,-298.415,-16.732,-0.383,-156.981,-25.398,8.967
3.72,187.208,-2471.141,96.857,327.3,-3338.165,583.014,240.317,-2601.013,770.806,-104.197,-2895.692,931.299,467.486,-2311.813,739.544,310.785,-3174.001,435.143,188.637,-2478.708,329.177,68.666,-3148.931,887.127,625.0,-2600.533,635.608,240.03,-2667.35,968.554,1.558,-2.591,-9.989,62.604,2.53,-6.451,12.687,-10.904,-13.419,12.687,10.904,13.419,-37.5,-6.799,5.438,-49.754,-0.401,2.604,-0.231,0.188,0.821,-1.036,0.038,3.382,-303.451,-2.443,-2.361,-57.188,-2.588,3.438
3.73,189.771,-2457.13,92.028,324.599,-3254.297,600.298,233.694,-2554.864,769.075,-113.268,-2818.305,913.023,478.824,-2295.988,717.186,307.05,-3099.213,441.9,188.053,-2449.501,323.46,54.052,-3070.692,842.309,641.759,-2593.764,648.706,240.201,-2619.42,963.815,4.294,-3.892,-12.736,60.884,4.163,-7.19,12.973,-11.679,-11.908,12.973,11.679,11.908,-37.602,-5.384,3.799,-48.441,0.604,2.047,-0.429,0.196,0.802,-1.262,0.063,3.166,-288.377,9.814,-3.489,50.916,28.279,-3.373
3.74,191.87,-2445.755,88.9,322.574,-3166.635,614.092,226.532,-2509.073,767.287,-123.334,-2735.501,897.257,491.164,-2281.699,699.333,303.834,-3020.09,446.242,187.3,-2422.295,318.413,35.885,-2985.2,798.423,657.563,-2584.537,665.128,240.292,-2570.59,959.241,7.547,-5.479,-15.204,59.369,5.798,-7.745,13.074,-12.536,-10.151,13.074,12.536,10.151,-37.408,-3.853,1.925,-46.74,1.622,1.463,-0.639,0.2,0.75,-1.351,0.061,2.686,-260.25,18.77,-3.497,171.752,63.448,-8.837
3.75,193.606,-2436.972,87.368,321.497,-3077.099,623.802,219.199,-2464.394,765.574,-133.746,-2648.464,885.456,504.091,-2268.757,686.741,301.12,-2937.53,448.521,186.748,-2398.126,314.078,14.863,-2893.054,757.632,672.247,-2573.094,684.248,240.283,-2521.63,955.123,11.39,-7.303,-17.099,57.992,7.375,-8.134,12.931,-13.394,-8.198,12.931,13.394,8.198,-36.904,-2.334,0.0,-44.891,2.579,0.79,-0.838,0.2,0.673,-1.281,0.029,2.038,-227.431,25.273,-2.582,303.027,96.237,-10.656
3.76,195.121,-2430.492,87.118,321.545,-2987.302,629.224,212.136,-2421.074,764.043,-143.706,-2558.319,878.923,517.154,-2256.594,679.707,298.851,-2852.07,449.363,186.745,-2377.664,310.482,-8.021,-2794.828,721.973,685.688,-2559.79,705.486,240.172,-2472.98,951.733,15.89,-9.288,-18.213,56.641,8.815,-8.363,12.509,-14.156,-6.119,12.509,14.156,6.119,-36.17,-0.927,-1.781,-43.156,3.447,-0.04,-1.003,0.195,0.585,-1.083,-0.02,1.315,-195.989,30.773,-1.194,435.676,120.242,-7.902
3.77,196.536,-2425.898,87.756,322.771,-2898.53,630.455,205.814,-2378.904,762.774,-152.405,-2466.154,878.645,529.969,-2244.638,678.025,296.992,-2764.141,449.474,187.572,-2361.146,307.667,-31.547,-2691.198,693.229,697.594,-2545.151,728.343,239.972,-2424.8,949.272,21.075,-11.31,-18.422,55.191,10.01,-8.447,11.794,-14.734,-4.002,11.794,14.734,4.002,-35.304,0.286,-3.268,-41.726,4.217,-0.992,-1.123,0.184,0.511,-0.818,-0.065,0.596,-169.546,35.475,0.243,554.167,130.614,-1.496
3.78,197.915,-2422.75,88.918,325.111,-2811.72,627.789,200.64,-2337.356,761.83,-159.107,-2373.091,885.239,542.29,-2232.251,681.332,295.508,-2674.181,449.689,189.354,-2348.363,305.648,-54.398,-2583.065,672.803,707.583,-2529.759,752.455,239.697,-2377.07,947.905,26.92,-13.202,-17.72,53.525,10.848,-8.382,10.82,-15.045,-1.928,10.82,15.045,1.928,-34.424,1.231,-4.382,-40.748,4.884,-1.99,-1.195,0.166,0.475,-0.556,-0.086,-0.061,-148.546,38.54,1.443,639.687,124.54,6.645
3.79,199.262,-2420.628,90.347,328.398,-2727.446,621.605,196.926,-2295.748,761.277,-163.186,-2280.288,898.965,554.085,-2218.96,689.168,294.328,-2582.733,450.926,192.08,-2338.73,304.378,-75.309,-2471.551,661.61,715.2,-2514.195,777.588,239.364,-2329.68,947.735,33.331,-14.769,-16.217,51.562,11.225,-8.173,9.643,-15.028,0.031,9.643,15.028,-0.031,-33.608,1.857,-5.104,-40.298,5.427,-2.9,-1.221,0.139,0.496,-0.36,-0.075,-0.614,-131.468,37.709,2.417,676.545,102.613,14.134
3.8,200.547,-2419.156,91.93,332.402,-2645.903,612.294,194.863,-2253.405,761.203,-164.211,-2188.924,919.679,565.516,-2204.456,701.081,293.352,-2490.597,454.059,195.614,-2331.402,303.748,-93.098,-2358.027,660.042,720.055,-2498.832,803.607,238.987,-2282.54,948.841,40.135,-15.822,-14.117,49.233,11.064,-7.842,8.354,-14.639,1.807,8.354,14.639,-1.807,-32.935,2.118,-5.475,-40.383,5.828,-3.597,-1.213,0.104,0.588,-0.267,-0.037,-1.027,-118.944,32.199,3.239,654.862,68.128,18.987
