Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
9.05,10.105,-1698.515,152.313,220.716,-2491.902,679.967,97.296,-1716.05,940.715,-226.918,-1867.253,1178.939,354.958,-1603.813,1203.321,199.463,-2368.766,493.18,40.174,-1667.017,384.683,-180.549,-2154.746,969.038,454.286,-1746.325,917.378,120.294,-1855.35,1130.74,-9.692,-6.061,-1.984,38.495,11.755,2.053,7.174,-18.536,-9.863,7.174,18.536,9.863,-48.672,-10.288,5.511,-48.99,5.304,6.425,-0.804,-0.141,0.697,0.025,-0.491,3.01,-615.647,-78.873,-8.029,183.189,30.798,2.835
9.06,13.225,-1676.598,147.024,219.694,-2419.704,696.26,91.957,-1671.064,936.485,-225.223,-1803.315,1161.914,364.445,-1572.88,1181.157,201.556,-2310.189,499.955,42.633,-1639.393,377.472,-178.677,-2081.06,938.433,469.326,-1733.24,908.216,120.641,-1808.89,1122.64,-8.241,-7.231,-3.269,37.157,13.262,0.765,8.217,-19.771,-8.252,8.217,19.771,8.252,-49.328,-9.469,4.887,-48.432,5.453,6.605,-1.034,-0.093,0.71,-0.159,-0.513,2.973,-642.181,-44.504,-2.756,250.676,39.812,-3.607
9.07,16.459,-1659.609,142.886,218.795,-2344.125,708.639,86.3,-1626.571,931.763,-222.587,-1736.375,1146.125,375.288,-1543.974,1159.419,203.206,-2246.832,504.592,45.695,-1615.738,370.79,-175.885,-2001.955,907.37,484.246,-1722.468,900.892,121.035,-1761.92,1114.04,-6.443,-8.632,-4.444,36.03,14.797,-0.458,9.097,-20.997,-6.507,9.097,20.997,6.507,-49.859,-8.474,3.944,-47.709,5.646,6.733,-1.246,-0.015,0.704,-0.313,-0.491,2.695,-617.843,0.662,1.877,308.771,47.212,-9.797
9.08,19.668,-1647.327,140.143,218.134,-2266.48,716.719,80.648,-1583.087,926.653,-218.92,-1667.271,1132.705,387.231,-1517.455,1139.108,204.165,-2179.007,506.828,49.033,-1596.084,365.186,-171.915,-1917.88,877.39,498.494,-1713.981,896.236,121.443,-1714.99,1105.36,-4.225,-10.204,-5.394,35.098,16.238,-1.505,9.737,-22.122,-4.658,9.737,22.122,4.658,-50.069,-7.421,2.779,-46.924,5.836,6.789,-1.415,0.08,0.681,-0.401,-0.428,2.231,-544.75,45.835,4.772,368.615,52.562,-14.483
9.09,22.641,-1639.054,138.785,217.823,-2187.917,720.45,75.326,-1540.763,921.327,-214.227,-1596.692,1122.642,399.917,-1493.318,1121.21,204.375,-2107.074,506.553,52.268,-1579.927,360.945,-166.581,-1829.385,850.146,511.532,-1707.356,895.02,121.833,-1668.43,1097.08,-1.517,-11.87,-6.028,34.278,17.46,-2.291,10.092,-23.056,-2.737,10.092,23.056,2.737,-49.843,-6.453,1.552,-46.159,5.998,6.772,-1.523,0.177,0.65,-0.417,-0.33,1.65,-437.482,80.753,5.863,432.957,53.762,-17.01
9.1,25.164,-1633.878,138.612,217.953,-2109.421,720.024,70.672,-1499.427,916.038,-208.558,-1525.266,1116.747,413.004,-1471.374,1106.599,203.854,-2031.338,503.948,55.154,-1566.641,358.031,-159.808,-1737.136,827.283,522.858,-1701.881,897.802,122.181,-1622.34,1089.64,1.742,-13.536,-6.293,33.441,18.341,-2.76,10.131,-23.725,-0.789,10.131,23.725,0.789,-49.242,-5.671,0.457,-45.486,6.134,6.675,-1.561,0.263,0.631,-0.377,-0.207,1.021,-318.257,100.917,5.662,496.346,48.651,-17.107
9.11,27.092,-1630.862,139.368,218.567,-2031.807,715.78,67.02,-1458.723,911.065,-202.047,-1453.589,1115.531,426.038,-1451.207,1096.083,202.693,-1952.198,499.427,57.609,-1555.587,356.208,-151.633,-1642.165,810.246,532.037,-1696.616,904.808,122.473,-1576.71,1083.45,5.586,-15.097,-6.175,32.434,18.781,-2.881,9.856,-24.076,1.137,9.856,24.076,-1.137,-48.422,-5.153,-0.373,-44.946,6.252,6.519,-1.528,0.328,0.644,-0.313,-0.074,0.405,-208.287,108.944,4.916,548.168,35.884,-14.513
9.12,28.369,-1629.146,140.855,219.653,-1955.708,708.111,64.666,-1418.167,906.674,-194.846,-1382.23,1119.243,438.573,-1432.285,1090.233,200.951,-1870.063,493.675,59.664,-1546.152,355.208,-142.189,-1545.805,800.052,538.796,-1690.641,915.923,122.72,-1531.45,1078.82,10.003,-16.422,-5.698,31.132,18.713,-2.666,9.286,-24.081,2.98,9.286,24.081,-2.98,-47.579,-4.932,-0.862,-44.575,6.347,6.339,-1.433,0.365,0.706,-0.257,0.052,-0.15,-118.946,109.294,4.277,576.385,16.671,-9.104
9.13,28.999,-1627.968,142.998,221.138,-1881.548,697.406,63.809,-1377.332,903.078,-187.169,-1311.799,1127.757,450.142,-1413.914,1089.328,198.664,-1785.367,487.591,61.354,-1537.53,354.789,-131.679,-1449.551,797.146,542.995,-1683.118,930.653,122.938,-1486.44,1075.92,14.932,-17.359,-4.931,29.456,18.12,-2.168,8.462,-23.725,4.69,8.462,23.725,-4.69,-46.878,-5.01,-0.99,-44.411,6.39,6.182,-1.291,0.373,0.823,-0.234,0.158,-0.606,-51.94,104.422,4.114,571.944,-5.266,-1.598
9.14,29.016,-1626.667,145.841,222.9,-1809.517,684.003,64.515,-1335.852,900.416,-179.188,-1242.847,1140.743,460.324,-1395.328,1093.298,195.927,-1698.81,482.139,62.644,-1528.728,354.743,-120.463,-1354.942,801.335,544.716,-1673.474,948.382,123.137,-1441.52,1074.85,20.255,-17.761,-3.968,27.396,17.031,-1.491,7.43,-22.999,6.232,7.43,22.999,-6.232,-46.388,-5.356,-0.78,-44.462,6.346,6.142,-1.117,0.355,0.99,-0.254,0.238,-0.938,-4.87,95.124,4.411,532.092,-26.378,6.507
