Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
66.95,319.033,1556.976,655.741,159.18,741.397,130.275,239.248,863.869,824.356,415.72,717.606,910.067,-175.974,1153.715,894.938,163.626,663.722,330.262,303.571,1460.821,468.046,489.389,908.08,681.746,-91.032,1404.445,885.253,238.657,978.34,992.41,49.072,2.709,4.187,-9.186,-1.325,-9.024,12.089,5.424,14.804,12.089,-5.424,-14.804,-24.527,-4.406,-16.135,118.845,0.786,-195.682,0.673,0.053,2.022,-2.337,0.191,1.032,565.002,-3.787,-17.575,-869.054,-143.22,-9.082
66.96,320.266,1475.693,666.641,163.297,727.317,119.276,239.035,816.863,820.905,430.769,685.216,902.54,-171.083,1084.79,878.446,168.578,647.556,317.336,304.856,1385.255,475.417,503.606,885.09,680.151,-85.306,1335.395,853.109,240.673,931.073,985.435,46.584,3.381,3.863,-6.802,-2.584,-8.946,13.18,6.179,13.6,13.18,-6.179,-13.6,-25.611,-4.351,-15.887,119.104,0.494,-197.305,0.62,0.057,1.639,-2.274,0.111,0.996,629.878,6.858,-15.238,-779.801,-103.252,-9.752
66.97,321.983,1393.055,671.986,167.949,718.111,109.219,238.063,770.842,816.273,447.234,653.816,897.079,-165.866,1012.658,862.048,175.086,637.31,305.616,306.119,1304.608,479.142,517.014,862.259,680.104,-80.175,1262.035,819.933,242.684,884.035,977.837,44.249,4.195,3.488,-3.871,-3.996,-8.546,13.932,7.068,12.114,13.932,-7.068,-12.114,-27.324,-4.369,-15.974,119.552,0.034,-199.422,0.533,0.044,1.244,-2.144,0.017,0.955,685.455,14.666,-11.943,-674.597,-53.563,-6.882
66.98,324.223,1310.029,672.165,172.84,712.588,100.761,236.343,725.982,810.586,464.751,623.42,893.531,-160.17,937.163,846.53,182.768,631.808,295.934,307.772,1219.871,479.511,529.825,839.591,681.597,-75.513,1183.974,786.5,244.679,837.188,969.984,42.189,5.103,2.981,-0.301,-5.499,-7.861,14.281,8.031,10.328,14.281,-8.031,-10.328,-29.27,-4.367,-16.337,120.192,-0.561,-201.777,0.404,0.012,0.845,-1.965,-0.084,0.927,725.466,16.464,-7.855,-555.358,-2.262,-2.55
66.99,326.993,1227.501,667.664,177.544,709.577,94.353,233.912,682.385,804.134,482.969,594.074,891.743,-153.831,858.315,832.819,190.718,629.278,288.692,310.072,1132.095,477.139,542.234,817.136,684.671,-71.124,1100.907,753.754,246.655,790.493,962.296,40.47,6.051,2.32,3.973,-7.051,-6.944,14.212,8.985,8.242,14.212,-8.985,-8.242,-31.062,-4.289,-16.91,120.974,-1.22,-204.007,0.232,-0.038,0.46,-1.759,-0.18,0.927,742.362,10.857,-3.363,-426.206,39.25,0.645
67.0,330.265,1146.215,659.001,181.598,708.081,90.119,230.872,639.973,797.375,501.546,565.838,891.582,-146.707,776.353,821.908,197.909,627.848,283.837,313.031,1042.163,472.981,554.394,795.03,689.469,-66.741,1012.754,722.824,248.612,743.892,955.217,39.05,6.977,1.592,8.968,-8.62,-5.87,13.762,9.84,5.883,13.762,-9.84,-5.883,-32.469,-4.143,-17.588,121.803,-1.814,-205.828,0.018,-0.096,0.11,-1.545,-0.258,0.963,727.573,-0.679,0.986,-295.676,63.087,1.92
67.01,333.984,1066.697,646.668,184.652,707.382,87.843,227.434,598.436,790.887,520.148,538.771,892.943,-138.697,691.76,814.754,203.649,626.161,280.968,316.456,950.71,468.261,566.344,773.412,696.161,-62.038,919.691,694.964,250.547,697.312,949.148,37.768,7.808,0.982,14.635,-10.182,-4.725,13.018,10.513,3.318,13.018,-10.513,-3.318,-33.517,-3.976,-18.284,122.603,-2.208,-207.109,-0.231,-0.153,-0.178,-1.34,-0.304,1.037,674.564,-15.472,4.52,-175.007,70.046,2.234
67.02,338.072,989.165,631.092,186.561,707.03,87.112,223.929,557.231,785.281,538.434,512.893,895.73,-129.754,605.232,812.221,207.752,623.623,279.513,320.026,858.312,464.299,577.995,752.365,704.924,-56.656,822.25,671.514,252.457,650.683,944.428,36.358,8.447,0.688,20.853,-11.69,-3.612,12.095,10.939,0.652,12.095,-10.939,-0.652,-34.41,-3.868,-18.861,123.315,-2.311,-207.841,-0.503,-0.196,-0.379,-1.156,-0.315,1.145,581.285,-30.909,6.03,-74.414,67.862,2.596
67.03,342.428,913.479,612.616,187.374,706.739,87.512,220.799,515.685,781.082,556.063,488.156,899.838,-119.886,517.645,815.0,210.404,620.187,278.94,323.383,765.793,462.226,589.129,731.866,715.876,-50.229,721.365,653.776,254.331,603.951,941.287,34.516,8.779,0.816,27.439,-13.05,-2.627,11.108,11.082,-1.985,11.108,-11.082,1.985,-35.365,-3.881,-19.193,123.868,-2.104,-208.072,-0.772,-0.221,-0.474,-0.997,-0.291,1.282,453.022,-45.031,4.416,-0.106,64.292,3.356
67.04,346.933,839.143,591.526,187.244,706.289,88.776,218.51,473.135,778.615,572.714,464.425,905.131,-109.14,429.995,823.559,211.901,615.853,278.875,326.207,674.275,462.578,599.438,711.768,729.073,-42.483,618.369,642.852,256.153,557.073,939.858,32.0,8.686,1.342,34.169,-14.114,-1.857,10.139,10.921,-4.454,10.139,-10.921,4.454,-36.441,-4.041,-19.213,124.187,-1.618,-207.87,-1.007,-0.228,-0.458,-0.862,-0.239,1.439,302.576,-57.023,-0.248,46.977,61.333,4.638
