Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
19.63,297.348,2821.303,526.52,193.821,2036.604,73.778,225.464,2097.21,780.32,384.179,1881.45,1007.263,-172.003,2300.833,850.706,212.643,2020.278,294.805,300.1,2666.996,372.242,443.061,2011.667,742.17,-138.043,2607.007,859.583,237.385,2189.9,974.53,56.184,9.294,1.015,1.466,-6.659,-3.67,1.567,13.821,6.897,1.567,-13.821,-6.897,-38.417,-2.676,-20.455,-35.925,1.519,3.509,-0.444,0.333,3.44,-0.006,0.004,0.605,66.878,-67.433,2.526,-199.093,-69.918,-2.381
19.64,300.011,2749.356,537.666,195.182,2024.293,68.971,224.122,2054.574,779.101,399.936,1858.578,972.217,-168.181,2224.679,837.778,213.499,1999.429,288.245,303.456,2595.48,381.283,477.944,2019.959,727.994,-140.071,2530.946,825.587,238.261,2147.3,969.852,54.139,9.681,0.707,3.974,-7.903,-4.057,1.882,14.055,5.534,1.882,-14.055,-5.534,-38.546,-2.382,-19.905,-36.329,2.246,2.701,-0.592,0.316,3.651,-0.144,-0.001,0.644,175.529,-75.674,-5.545,-200.068,-62.898,-3.218
19.65,303.345,2671.466,546.151,196.604,2013.004,64.746,222.563,2009.252,777.749,418.093,1836.428,936.736,-163.444,2141.037,826.861,214.546,1979.034,281.997,307.084,2516.481,388.737,513.065,2028.948,720.322,-141.691,2445.525,790.688,239.292,2101.56,965.075,51.96,10.048,0.515,7.021,-9.261,-4.323,2.128,14.295,4.028,2.128,-14.295,-4.028,-38.276,-2.069,-19.246,-36.596,2.944,1.752,-0.701,0.25,3.54,-0.321,-0.013,0.694,274.59,-85.456,-12.898,-193.259,-51.254,-3.291
19.66,307.272,2589.762,550.965,198.007,2003.285,61.36,220.844,1962.441,776.363,438.468,1816.228,902.698,-157.705,2052.03,819.365,215.708,1959.872,276.423,310.704,2431.646,394.561,546.471,2037.51,719.879,-142.52,2352.249,756.823,240.426,2053.87,960.516,49.673,10.353,0.446,10.613,-10.648,-4.407,2.275,14.482,2.424,2.275,-14.482,-2.424,-37.921,-1.807,-18.591,-36.655,3.563,0.739,-0.733,0.144,3.166,-0.52,-0.033,0.748,362.972,-97.845,-17.959,-180.217,-35.333,-2.699
19.67,311.654,2506.075,551.414,199.306,1995.413,58.965,219.071,1915.028,775.071,460.758,1798.842,871.996,-150.899,1959.711,816.55,216.913,1942.385,271.751,314.01,2342.452,399.115,576.876,2044.596,726.486,-142.16,2252.607,725.849,241.596,2005.18,956.491,47.26,10.545,0.494,14.729,-11.962,-4.265,2.305,14.546,0.766,2.305,-14.546,-0.766,-37.774,-1.658,-18.04,-36.456,4.07,-0.245,-0.688,0.012,2.608,-0.72,-0.058,0.808,436.417,-113.962,-19.603,-163.698,-16.382,-1.699
19.68,316.302,2421.794,547.14,200.408,1989.397,57.616,217.375,1867.56,774.018,484.466,1784.591,846.395,-143.005,1865.957,819.412,218.06,1926.708,268.064,316.706,2250.26,403.021,603.712,2049.536,739.518,-140.281,2148.086,699.505,242.727,1956.19,953.288,44.682,10.57,0.64,19.312,-13.093,-3.886,2.209,14.411,-0.895,2.209,-14.411,0.895,-38.044,-1.659,-17.654,-36.0,4.436,-1.095,-0.598,-0.129,1.95,-0.901,-0.087,0.876,486.289,-133.036,-17.614,-145.338,3.568,-0.442
19.69,321.003,2337.817,538.091,201.216,1985.023,57.319,215.902,1820.203,773.364,508.94,1773.204,827.268,-134.053,1772.42,828.6,219.061,1912.656,265.311,318.566,2156.445,407.005,626.866,2051.882,758.208,-136.619,2040.048,679.22,243.744,1907.33,951.136,41.886,10.367,0.865,24.259,-13.932,-3.31,2.003,14.007,-2.519,2.003,-14.007,2.519,-38.817,-1.826,-17.435,-35.351,4.619,-1.719,-0.509,-0.263,1.271,-1.043,-0.116,0.961,501.754,-152.776,-12.68,-128.865,22.009,0.95
19.7,325.539,2254.556,524.465,201.63,1981.905,58.075,214.805,1772.927,773.269,533.444,1763.942,815.434,-124.14,1680.516,844.371,219.781,1899.77,263.349,319.511,2062.512,411.53,646.418,2051.371,781.742,-131.031,1929.801,666.093,244.582,1858.79,950.209,38.811,9.878,1.147,29.43,-14.396,-2.624,1.702,13.282,-4.068,1.702,-13.282,4.068,-39.989,-2.122,-17.32,-34.569,4.599,-2.053,-0.467,-0.378,0.639,-1.136,-0.139,1.07,474.62,-170.433,-6.426,-117.083,37.08,2.293
19.71,329.716,2172.003,506.65,201.548,1979.549,59.924,214.232,1725.499,773.869,557.273,1755.763,811.135,-113.419,1591.403,866.589,220.06,1887.35,261.973,319.587,1969.882,416.657,662.459,2047.867,809.294,-123.525,1818.619,660.871,245.196,1810.61,950.602,35.419,9.056,1.461,34.657,-14.431,-1.943,1.332,12.211,-5.508,1.332,-12.211,5.508,-41.338,-2.492,-17.224,-33.721,4.354,-2.061,-0.496,-0.463,0.111,-1.172,-0.151,1.21,402.969,-183.02,-0.976,-110.729,46.671,3.475
19.72,333.376,2089.821,485.165,200.88,1977.41,62.97,214.295,1677.624,775.277,579.836,1747.559,814.037,-102.09,1506.006,894.737,219.69,1874.528,260.939,318.939,1879.716,421.913,674.984,2041.286,839.965,-114.221,1707.759,663.884,245.551,1762.73,952.36,31.699,7.872,1.775,39.757,-14.023,-1.385,0.921,10.789,-6.82,0.921,-10.789,6.82,-42.554,-2.838,-17.08,-32.88,3.886,-1.718,-0.596,-0.514,-0.272,-1.15,-0.148,1.379,294.476,-188.6,1.934,-110.515,49.537,4.38
