Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
2.59,282.335,-2790.313,445.908,432.21,-2073.454,152.635,342.459,-2087.848,907.039,138.266,-1959.356,1171.83,722.176,-2263.127,1107.313,412.102,-1978.876,363.462,272.058,-2576.612,397.961,85.417,-2159.614,887.8,655.742,-2575.369,996.657,334.51,-2179.02,1092.72,54.94,5.338,7.551,9.065,-4.372,-3.197,-4.871,11.225,11.172,-4.871,-11.225,-11.172,-52.55,-0.39,-3.968,-39.011,-6.659,4.287,1.062,0.186,1.346,-1.944,0.218,0.522,472.504,25.106,-22.35,-873.832,-85.657,-21.78
2.6,278.837,-2741.459,457.055,427.172,-2054.07,147.635,343.571,-2049.851,903.994,132.358,-1933.769,1155.956,721.42,-2213.56,1097.686,407.473,-1959.042,357.333,269.955,-2529.169,401.994,71.989,-2149.251,884.656,656.966,-2522.796,976.71,333.581,-2142.51,1088.13,53.489,5.814,6.659,10.659,-4.581,-2.962,-4.611,10.902,10.166,-4.611,-10.902,-10.166,-52.146,-0.363,-4.653,-39.151,-5.926,3.315,0.943,0.21,1.373,-1.912,0.16,0.533,485.18,35.332,-25.445,-811.083,-49.203,-17.764
2.61,274.581,-2689.389,465.058,422.62,-2039.647,143.221,345.196,-2011.966,900.106,125.406,-1909.494,1140.308,720.145,-2162.081,1087.584,401.527,-1944.444,351.52,267.809,-2478.37,404.24,59.202,-2139.036,882.226,658.143,-2467.678,955.367,332.659,-2105.99,1082.53,51.893,6.411,5.583,12.429,-4.987,-2.74,-4.336,10.696,8.977,-4.336,-10.696,-8.977,-51.788,-0.4,-5.18,-39.24,-5.066,2.158,0.787,0.221,1.375,-1.853,0.093,0.534,486.654,41.964,-26.58,-729.186,-11.603,-11.075
2.62,269.599,-2634.388,469.82,418.535,-2029.548,139.416,347.374,-1974.26,895.467,117.617,-1886.281,1125.48,718.247,-2108.841,1077.427,394.614,-1934.648,346.302,265.592,-2424.308,404.924,47.323,-2128.563,880.618,658.998,-2410.013,933.172,331.749,-2069.45,1076.13,50.137,7.141,4.455,14.414,-5.601,-2.535,-4.102,10.596,7.581,-4.102,-10.596,-7.581,-51.509,-0.482,-5.552,-39.199,-4.143,0.906,0.602,0.218,1.345,-1.764,0.02,0.539,478.874,43.769,-25.717,-630.81,22.074,-3.306
2.63,263.961,-2576.775,471.361,414.915,-2023.028,136.254,350.085,-1936.777,890.232,109.281,-1863.778,1112.105,715.609,-2054.022,1067.629,387.309,-1928.853,341.878,263.239,-2367.174,404.32,36.568,-2117.399,879.938,659.294,-2349.928,910.786,330.85,-2032.87,1069.19,48.211,7.991,3.43,16.65,-6.405,-2.32,-3.963,10.558,5.969,-3.963,-10.558,-5.969,-51.288,-0.576,-5.763,-38.981,-3.245,-0.338,0.399,0.201,1.281,-1.648,-0.05,0.559,464.176,40.266,-22.92,-520.405,47.879,3.683
2.64,257.766,-2516.883,469.791,411.782,-2019.273,133.768,353.226,-1899.551,884.62,100.683,-1841.634,1100.653,712.134,-1997.859,1058.613,380.25,-1925.922,338.337,260.682,-2307.17,402.792,27.075,-2105.115,880.242,658.856,-2287.573,888.877,329.965,-1996.23,1062.08,46.12,8.908,2.648,19.175,-7.358,-2.024,-3.951,10.515,4.146,-3.951,-10.515,-4.146,-51.122,-0.657,-5.829,-38.545,-2.423,-1.483,0.189,0.172,1.185,-1.51,-0.114,0.604,443.915,31.348,-18.381,-405.729,64.086,8.396
2.65,251.136,-2455.045,465.29,409.18,-2017.474,131.973,356.552,-1862.505,878.903,92.092,-1819.458,1091.544,707.723,-1940.619,1050.757,373.955,-1924.698,335.672,257.849,-2244.599,400.698,18.984,-2091.343,881.543,657.566,-2223.235,868.126,329.089,-1959.51,1055.17,43.872,9.794,2.251,21.999,-8.376,-1.575,-4.094,10.371,2.149,-4.094,-10.371,-2.149,-50.976,-0.707,-5.744,-37.921,-1.747,-2.455,-0.016,0.137,1.066,-1.359,-0.165,0.68,418.176,17.339,-12.551,-295.683,71.274,10.325
2.66,244.205,-2391.578,458.078,407.163,-2016.891,130.875,359.724,-1825.542,873.404,83.74,-1796.92,1085.087,702.301,-1882.54,1044.436,368.728,-1924.049,333.796,254.686,-2179.838,398.382,12.302,-2075.759,883.879,655.371,-2157.263,849.222,328.22,-1922.65,1048.9,41.478,10.517,2.319,25.111,-9.358,-0.902,-4.378,10.032,0.046,-4.378,-10.032,-0.046,-50.825,-0.711,-5.51,-37.133,-1.262,-3.217,-0.207,0.096,0.933,-1.202,-0.203,0.79,385.799,-0.648,-6.092,-198.801,72.443,9.966
2.67,237.119,-2326.767,448.397,405.774,-2016.895,130.49,362.314,-1788.486,868.448,75.797,-1773.781,1081.434,695.805,-1823.929,1039.974,364.663,-1923.157,332.593,251.176,-2113.309,396.139,7.029,-2058.16,887.199,652.254,-2090.078,832.715,327.354,-1885.65,1043.6,38.942,10.924,2.874,28.466,-10.176,0.005,-4.771,9.405,-2.065,-4.771,-9.405,2.065,-50.653,-0.672,-5.126,-36.306,-1.019,-3.733,-0.375,0.055,0.797,-1.046,-0.227,0.929,345.508,-20.409,0.11,-122.191,70.835,8.359
2.68,230.029,-2260.848,436.497,405.037,-2016.975,130.861,363.921,-1751.177,864.313,68.443,-1749.772,1080.621,688.202,-1765.079,1037.648,361.735,-1921.317,331.937,247.334,-2045.49,394.153,3.119,-2038.36,891.456,648.229,-2022.21,819.065,326.495,-1848.48,1039.55,36.269,10.881,3.882,31.98,-10.707,1.075,-5.232,8.428,-4.084,-5.232,-8.428,4.084,-50.433,-0.601,-4.602,-35.541,-1.032,-3.985,-0.515,0.013,0.666,-0.895,-0.238,1.089,296.965,-39.369,5.246,-67.122,68.777,6.446
