Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
3.06,16.587,-3033.609,379.49,237.009,-2377.416,122.71,182.219,-2383.461,854.396,69.892,-2253.728,1246.534,486.388,-2410.026,1112.678,218.747,-2336.392,336.702,41.923,-2833.414,326.674,120.732,-2143.972,942.348,479.579,-2551.662,798.755,166.826,-2520.6,1006.32,43.024,3.01,-2.132,1.375,-2.808,2.893,-5.496,10.051,12.01,-5.496,-10.051,-12.01,-49.513,-13.439,-7.428,-33.829,-10.975,0.213,0.745,0.408,2.098,-0.903,0.104,0.793,294.732,45.147,-6.411,-498.087,-24.323,-11.095
3.07,20.279,-2988.39,391.435,234.785,-2362.497,119.015,185.915,-2346.727,849.816,62.338,-2221.406,1231.265,488.101,-2364.662,1105.611,217.322,-2314.191,330.543,38.873,-2789.32,330.516,103.35,-2121.369,922.981,484.046,-2499.036,788.334,168.205,-2485.71,999.956,41.804,3.215,-3.764,2.098,-3.245,2.119,-5.336,9.621,10.701,-5.336,-9.621,-10.701,-48.927,-12.809,-8.379,-34.346,-9.11,-1.434,0.644,0.348,1.935,-1.123,0.009,0.782,327.898,46.225,-12.015,-481.824,14.6,-6.534
3.08,23.881,-2940.211,401.219,232.585,-2351.378,116.337,190.509,-2310.71,844.979,53.03,-2190.4,1215.839,488.976,-2318.254,1098.778,215.63,-2295.053,325.031,36.892,-2742.14,333.806,84.237,-2100.358,904.17,487.556,-2444.104,777.848,169.469,-2451.35,993.231,40.315,3.798,-5.568,2.959,-4.047,1.109,-4.97,9.493,9.183,-4.97,-9.493,-9.183,-48.166,-12.248,-9.254,-34.656,-7.27,-3.177,0.533,0.263,1.727,-1.301,-0.098,0.731,355.068,46.827,-16.598,-439.764,51.038,-1.645
3.09,27.235,-2889.322,408.484,230.568,-2343.361,114.752,195.961,-2275.638,840.016,42.184,-2161.081,1200.789,488.778,-2270.978,1092.776,213.931,-2278.71,320.442,36.248,-2691.828,336.563,63.771,-2081.181,886.364,489.697,-2386.928,767.897,170.638,-2417.5,986.441,38.646,4.787,-7.311,4.073,-5.239,-0.089,-4.45,9.732,7.459,-4.45,-9.732,-7.459,-47.279,-11.775,-9.981,-34.626,-5.64,-4.866,0.415,0.161,1.499,-1.419,-0.203,0.645,375.433,45.999,-20.036,-377.786,76.874,2.624
3.1,30.206,-2836.006,412.974,228.882,-2337.726,114.162,202.07,-2241.667,835.031,30.096,-2133.693,1186.6,487.298,-2223.012,1088.171,212.423,-2264.858,316.857,37.056,-2638.424,338.84,42.321,-2063.901,870.031,490.052,-2327.594,759.084,171.722,-2384.09,979.855,36.907,6.145,-8.802,5.58,-6.8,-1.38,-3.864,10.356,5.547,-3.864,-10.356,-5.547,-46.311,-11.401,-10.529,-34.24,-4.35,-6.352,0.286,0.054,1.268,-1.469,-0.289,0.544,388.571,42.708,-22.291,-306.037,88.032,5.839
3.11,32.689,-2780.575,414.523,227.626,-2333.826,114.362,208.471,-2208.818,830.115,17.116,-2108.316,1173.732,484.356,-2174.578,1085.476,211.175,-2253.262,314.211,39.277,-2582.092,340.711,20.233,-2048.57,855.521,488.241,-2266.29,752.054,172.721,-2350.97,973.713,35.188,7.761,-9.906,7.611,-8.659,-2.635,-3.327,11.325,3.472,-3.327,-11.325,-3.472,-45.302,-11.103,-10.909,-33.575,-3.453,-7.515,0.147,-0.05,1.049,-1.455,-0.345,0.45,393.237,35.956,-23.348,-236.092,86.255,7.909
3.12,34.62,-2723.35,413.054,226.836,-2331.135,115.113,214.684,-2176.997,825.378,3.62,-2084.876,1162.547,479.866,-2125.989,1085.098,210.158,-2243.719,312.368,42.806,-2523.155,342.389,-2.124,-2035.097,843.213,483.957,-2203.335,747.369,173.632,-2318.02,968.201,33.529,9.447,-10.553,10.263,-10.682,-3.691,-2.935,12.534,1.275,-2.935,-12.534,-1.275,-44.307,-10.859,-11.159,-32.759,-2.96,-8.301,-0.003,-0.141,0.852,-1.388,-0.363,0.384,387.805,25.139,-23.177,-175.927,77.363,8.847
3.13,35.983,-2664.634,408.564,226.492,-2329.248,116.224,220.143,-2145.932,820.997,-10.033,-2063.237,1153.346,473.827,-2077.501,1087.231,209.277,-2235.992,311.18,47.419,-2462.085,344.048,-24.406,-2023.319,833.386,476.96,-2139.179,745.465,174.456,-2285.11,963.465,31.906,10.961,-10.733,13.572,-12.675,-4.38,-2.747,13.836,-0.972,-2.747,-13.836,0.972,-43.34,-10.642,-11.321,-31.939,-2.837,-8.696,-0.16,-0.215,0.684,-1.283,-0.345,0.364,371.319,10.22,-21.753,-128.653,66.721,8.834
3.14,36.81,-2604.683,401.124,226.532,-2327.859,117.586,224.312,-2115.259,817.189,-23.513,-2043.152,1146.284,466.334,-2029.44,1091.899,208.405,-2229.752,310.513,52.878,-2399.463,345.913,-46.242,-2013.049,826.182,467.141,-2074.399,746.628,175.218,-2252.14,959.632,30.244,12.05,-10.498,17.485,-14.396,-4.585,-2.77,15.052,-3.174,-2.77,-15.052,3.174,-42.444,-10.44,-11.436,-31.253,-3.061,-8.728,-0.319,-0.27,0.549,-1.156,-0.295,0.398,343.332,-8.295,-19.051,-93.898,57.562,8.211
3.15,37.188,-2543.672,390.869,226.881,-2326.735,119.185,226.776,-2084.546,814.201,-36.5,-2024.337,1141.483,457.559,-1982.016,1098.917,207.472,-2224.54,310.243,58.91,-2335.954,348.12,-67.244,-2003.998,821.716,454.526,-2009.638,750.978,175.965,-2219.08,956.818,28.461,12.506,-9.962,21.861,-15.588,-4.276,-2.947,16.01,-5.209,-2.947,-16.01,5.209,-41.652,-10.262,-11.524,-30.746,-3.573,-8.459,-0.471,-0.306,0.45,-1.021,-0.222,0.485,304.035,-29.514,-14.988,-70.38,50.827,7.326
3.16,37.256,-2481.682,377.995,227.471,-2325.681,121.097,227.306,-2053.384,812.226,-48.749,-2006.479,1138.938,447.717,-1935.408,1107.974,206.493,-2219.751,310.247,65.262,-2272.197,350.727,-87.049,-1995.907,819.921,439.283,-1945.628,758.403,176.766,-2185.89,955.132,26.492,12.218,-9.283,26.487,-16.029,-3.537,-3.189,16.565,-6.963,-3.189,-16.565,6.963,-41.016,-10.132,-11.575,-30.456,-4.316,-7.941,-0.611,-0.325,0.384,-0.89,-0.137,0.621,255.121,-51.925,-9.713,-56.0,45.415,6.462
3.17,37.2,-2418.695,362.759,228.256,-2324.506,123.466,225.918,-2021.488,811.388,-60.041,-1989.268,1138.576,437.031,-1889.749,1118.686,205.588,-2214.679,310.404,71.68,-2208.755,353.595,-105.315,-1988.423,820.661,421.753,-1883.147,768.619,177.703,-2152.56,954.642,24.303,11.193,-8.631,31.107,-15.579,-2.536,-3.428,16.619,-8.361,-3.428,-16.619,8.361,-40.557,-10.08,-11.541,-30.362,-5.214,-7.222,-0.73,-0.328,0.347,-0.769,-0.051,0.792,199.34,-73.33,-3.817,-48.161,40.076,5.71
3.18,37.241,-2354.613,345.472,229.223,-2323.003,126.481,222.831,-1988.69,811.697,-70.206,-1972.347,1140.266,425.734,-1845.12,1130.636,205.014,-2208.523,310.557,78.001,-2146.078,356.54,-121.781,-1981.233,823.724,402.426,-1822.877,781.18,178.844,-2119.07,955.372,21.899,9.556,-8.156,35.487,-14.222,-1.484,-3.618,16.126,-9.381,-3.618,-16.126,9.381,-40.337,-10.148,-11.36,-30.41,-6.186,-6.343,-0.826,-0.316,0.333,-0.66,0.027,0.983,139.563,-91.414,1.709,-44.712,33.843,4.902
3.19,37.62,-2289.283,326.507,230.392,-2320.932,130.35,218.434,-1954.98,813.104,-79.148,-1955.464,1143.826,414.035,-1801.553,1143.415,205.077,-2200.47,310.512,84.111,-2084.404,359.276,-136.234,-1973.964,828.823,381.882,-1765.469,795.52,180.236,-2085.41,957.262,19.281,7.508,-7.945,39.43,-12.059,-0.578,-3.749,15.083,-10.064,-3.749,-15.083,10.064,-40.367,-10.352,-10.968,-30.534,-7.163,-5.33,-0.897,-0.29,0.332,-0.56,0.09,1.179,78.97,-104.314,5.786,-43.128,25.834,3.788
3.2,38.574,-2222.537,306.294,231.806,-2318.014,135.272,213.201,-1920.41,815.517,-86.796,-1938.315,1149.013,402.142,-1759.142,1156.615,206.107,-2189.763,309.997,89.974,-2023.832,361.549,-148.584,-1966.236,835.674,360.795,-1711.379,810.965,181.896,-2051.54,960.203,16.473,5.282,-8.024,42.806,-9.281,0.083,-3.832,13.539,-10.492,-3.832,-13.539,10.492,-40.642,-10.698,-10.341,-30.692,-8.077,-4.193,-0.949,-0.252,0.333,-0.464,0.136,1.361,20.539,-111.188,7.783,-40.987,15.836,2.092
3.21,40.319,-2154.228,285.32,233.524,-2313.937,141.4,207.619,-1885.072,818.825,-93.168,-1920.678,1155.604,390.269,-1717.881,1169.875,208.417,-2175.841,308.623,95.6,-1964.333,363.163,-158.846,-1957.678,843.958,339.785,-1660.824,826.881,183.804,-2017.46,964.04,13.495,3.101,-8.355,45.545,-6.133,0.464,-3.883,11.584,-10.767,-3.883,-11.584,10.767,-41.113,-11.166,-9.506,-30.85,-8.886,-2.957,-0.987,-0.203,0.328,-0.365,0.164,1.517,-34.735,-112.185,7.812,-35.838,4.121,-0.315
3.22,43.024,-2084.271,264.119,235.606,-2308.379,148.82,202.122,-1849.028,822.903,-98.298,-1902.403,1163.322,378.596,-1677.745,1182.809,212.256,-2158.494,305.946,101.031,-1905.814,364.035,-167.148,-1947.915,853.375,319.48,-1613.896,842.578,185.922,-1983.13,968.593,10.387,1.145,-8.86,47.614,-2.86,0.637,-3.894,9.349,-10.985,-3.894,-9.349,10.985,-41.705,-11.7,-8.531,-31.084,-9.571,-1.644,-1.022,-0.144,0.313,-0.258,0.178,1.633,-87.796,-108.526,6.653,-26.591,-8.118,-3.403
3.23,46.803,-2012.69,243.26,238.102,-2301.038,157.534,197.062,-1812.337,827.613,-102.253,-1883.316,1171.923,367.269,-1638.639,1195.13,217.779,-2137.954,301.511,106.297,-1848.161,364.169,-173.733,-1936.628,863.621,300.407,-1570.423,857.529,188.189,-1948.56,973.672,7.206,-0.475,-9.442,48.994,0.316,0.705,-3.853,6.979,-11.233,-3.853,-6.979,11.233,-42.314,-12.262,-7.502,-31.437,-10.099,-0.325,-1.062,-0.081,0.285,-0.138,0.18,1.702,-140.997,-101.509,5.451,-13.095,-19.431,-6.978
3.24,51.704,-1939.662,223.326,241.051,-2291.661,167.459,192.673,-1775.045,832.773,-105.137,-1863.329,1181.129,356.414,-1600.482,1206.587,224.987,-2114.937,295.08,111.419,-1791.271,363.666,-178.884,-1923.579,874.401,283.01,-1530.096,871.254,190.538,-1913.77,979.085,4.027,-1.714,-10.004,49.689,3.219,0.786,-3.749,4.623,-11.574,-3.749,-4.623,11.574,-42.831,-12.801,-6.486,-32.057,-10.452,0.912,-1.117,-0.019,0.25,-0.008,0.173,1.722,-198.721,-91.546,5.152,3.84,-28.901,-10.427
3.25,57.702,-1865.557,204.874,244.466,-2280.079,178.441,189.056,-1737.203,838.181,-107.047,-1842.391,1190.695,346.149,-1563.128,1216.966,233.677,-2090.509,286.799,116.392,-1735.089,362.668,-182.925,-1908.578,885.432,267.656,-1492.516,883.383,192.887,-1878.76,984.642,0.933,-2.59,-10.484,49.726,5.723,0.981,-3.58,2.411,-12.048,-3.58,-2.411,12.048,-43.162,-13.316,-5.529,-33.021,-10.572,1.933,-1.19,0.036,0.215,0.129,0.16,1.694,-266.627,-79.238,6.22,21.434,-35.819,-12.942
3.26,64.696,-1790.976,188.4,248.329,-2266.225,190.287,186.204,-1698.9,843.607,-108.127,-1820.4,1200.345,336.599,-1526.466,1226.116,243.404,-2065.753,277.281,121.201,-1679.622,361.375,-186.136,-1891.511,896.423,254.625,-1457.18,893.651,195.151,-1843.56,990.151,-1.995,-3.162,-10.86,49.175,7.748,1.364,-3.363,0.446,-12.666,-3.363,-0.446,12.666,-43.27,-13.815,-4.638,-34.343,-10.423,2.603,-1.281,0.077,0.189,0.267,0.144,1.628,-348.491,-65.239,8.665,36.423,-40.184,-13.631
3.27,72.513,-1716.746,174.274,252.582,-2250.136,202.799,184.018,-1660.256,848.811,-108.487,-1797.317,1209.814,327.935,-1490.427,1233.851,253.458,-2041.512,267.555,125.809,-1624.883,359.974,-188.792,-1872.298,907.091,244.132,-1423.606,901.853,197.243,-1808.21,995.42,-4.67,-3.51,-11.156,48.159,9.259,1.944,-3.134,-1.214,-13.415,-3.134,1.214,13.415,-43.119,-14.367,-3.818,-35.884,-10.002,2.828,-1.384,0.099,0.181,0.4,0.129,1.533,-444.256,-50.274,12.017,46.147,-42.814,-11.924
3.28,80.913,-1643.9,162.694,257.12,-2231.929,215.806,182.372,-1621.432,853.555,-108.306,-1773.099,1218.826,320.359,-1454.903,1240.023,262.983,-2018.094,258.791,130.182,-1571.027,358.663,-191.078,-1850.876,917.149,236.321,-1391.329,907.808,199.09,-1772.73,1000.25,-7.008,-3.709,-11.421,46.837,10.266,2.716,-2.946,-2.545,-14.266,-2.946,2.545,14.266,-42.702,-15.027,-3.079,-37.438,-9.379,2.628,-1.493,0.097,0.198,0.522,0.115,1.425,-549.48,-36.932,15.442,50.176,-44.878,-7.859
3.29,89.609,-1573.602,153.64,261.8,-2211.765,229.183,181.127,-1582.625,857.643,-107.721,-1747.654,1227.111,314.086,-1419.775,1244.42,271.115,-1995.339,252.09,134.29,-1518.352,357.6,-193.128,-1827.172,926.352,231.325,-1359.938,911.429,200.641,-1737.16,1004.47,-8.93,-3.831,-11.717,45.39,10.818,3.63,-2.845,-3.556,-15.168,-2.845,3.556,15.168,-42.068,-15.818,-2.433,-38.848,-8.685,2.132,-1.594,0.07,0.241,0.628,0.105,1.317,-654.548,-28.764,18.002,50.227,-46.914,-1.78
