Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
4.16,75.248,-1151.287,435.256,216.856,-509.438,116.661,177.816,-482.573,915.23,5.48,-368.162,1337.607,570.735,-544.538,1201.702,197.95,-482.141,341.352,64.598,-944.107,368.614,65.671,-341.74,1051.47,537.811,-731.073,925.636,172.745,-642.0,1080.38,33.031,4.127,-9.737,-1.92,-4.97,-17.55,-4.046,10.737,7.174,-4.046,-10.737,-7.174,-37.192,-0.661,-12.401,-36.814,-4.94,2.272,0.333,-0.107,1.309,-0.983,-0.115,0.612,174.385,23.217,-4.436,-450.387,36.023,-1.09
4.17,69.68,-1105.154,439.967,215.578,-496.76,111.884,180.583,-451.36,907.372,-3.994,-340.642,1314.515,573.725,-496.682,1193.43,196.122,-461.273,334.407,63.215,-899.65,368.046,48.085,-325.852,1026.868,548.059,-674.73,911.475,172.784,-609.5,1070.92,32.906,4.994,-8.924,-0.187,-5.988,-17.459,-3.485,11.424,6.196,-3.485,-11.424,-6.196,-36.845,-0.48,-12.628,-37.212,-3.678,1.431,0.159,-0.153,1.297,-1.004,-0.13,0.635,169.637,15.607,-8.467,-407.465,30.814,2.215
4.18,63.632,-1056.423,443.186,214.213,-486.278,108.098,183.515,-420.807,898.82,-14.9,-314.695,1290.159,575.958,-447.849,1184.892,194.575,-441.47,327.93,61.872,-852.647,366.46,29.202,-312.558,1001.458,557.157,-616.389,897.164,172.8,-577.05,1060.93,32.895,5.981,-8.091,1.862,-7.091,-17.058,-2.937,12.18,5.097,-2.937,-12.18,-5.097,-36.434,-0.284,-12.944,-37.436,-2.231,0.287,-0.022,-0.198,1.239,-0.558,-0.855,-1.652,170.085,5.338,-12.686,-57.471,414.426,3.368
4.19,57.278,-1005.283,444.804,212.799,-477.769,105.42,186.642,-390.917,889.803,-26.981,-290.378,1265.141,577.234,-398.098,1176.481,193.184,-423.144,322.124,60.766,-803.17,364.029,9.552,-301.873,976.009,564.823,-556.158,883.161,172.824,-544.67,1050.67,32.943,7.071,-7.37,4.229,-8.239,-16.342,-2.415,12.981,3.861,-2.415,-12.981,-3.861,-35.953,-0.056,-13.325,-37.402,-0.76,-1.069,-0.199,-0.243,1.138,0.379,-0.768,-6.824,176.728,-8.888,-16.689,526.045,446.813,8.62
4.2,50.819,-952.005,444.726,211.414,-471.016,103.81,189.983,-361.634,880.621,-39.91,-267.684,1240.221,577.339,-347.539,1168.654,191.875,-406.739,317.141,60.101,-751.317,361.065,-10.273,-293.654,951.39,570.808,-494.26,869.964,172.894,-512.371,1040.47,32.969,8.223,-6.872,6.912,-9.383,-15.341,-1.935,13.79,2.479,-1.935,-13.79,-2.479,-35.45,0.191,-13.755,-37.062,0.601,-2.512,-0.36,-0.288,0.999,2.351,-0.601,-13.252,188.804,-28.662,-19.829,1362.04,413.105,10.528
4.21,44.478,-896.934,442.875,210.145,-465.807,103.091,193.514,-332.865,871.598,-53.305,-246.531,1216.257,576.086,-296.352,1161.923,190.64,-392.612,313.066,60.017,-697.269,357.843,-29.579,-287.551,928.543,574.878,-430.985,858.149,173.048,-480.158,1030.68,32.884,9.372,-6.66,9.906,-10.469,-14.116,-1.52,14.557,0.958,-1.52,-14.557,-0.958,-34.931,0.453,-14.207,-36.426,1.771,-3.904,-0.499,-0.334,0.833,3.544,-0.652,-13.709,204.048,-55.192,-21.442,1828.07,348.08,1.166
4.22,38.487,-840.465,439.202,209.064,-461.924,103.006,197.17,-304.448,863.076,-66.743,-226.761,1194.167,573.309,-244.802,1156.779,189.517,-380.945,309.901,60.625,-641.266,354.685,-47.671,-282.985,908.357,576.817,-366.731,848.293,173.32,-448.023,1021.67,32.587,10.434,-6.744,13.199,-11.44,-12.757,-1.199,15.227,-0.684,-1.199,-15.227,0.684,-34.418,0.729,-14.655,-35.559,2.724,-5.143,-0.61,-0.38,0.654,5.709,-1.251,-15.317,218.72,-88.581,-21.014,2565.61,490.984,-5.652
4.23,33.076,-783.012,433.685,208.223,-459.147,103.292,200.817,-276.171,855.372,-79.797,-208.173,1174.867,568.897,-193.2,1153.673,188.55,-371.723,307.577,61.968,-583.617,351.887,-63.912,-279.198,891.59,576.406,-301.951,840.903,173.737,-415.946,1013.77,31.983,11.311,-7.073,16.762,-12.236,-11.372,-0.995,15.731,-2.409,-0.995,-15.731,2.409,-33.936,1.006,-15.063,-34.565,3.462,-6.156,-0.693,-0.426,0.475,8.382,-1.953,-17.503,227.98,-127.233,-18.355,3308.45,667.722,76.827
4.24,28.473,-724.974,426.34,207.652,-457.255,103.747,204.274,-247.754,848.796,-92.055,-190.482,1159.124,562.796,-141.895,1152.949,187.767,-364.735,305.979,64.034,-524.694,349.699,-77.83,-275.275,878.774,573.477,-237.191,836.433,174.322,-383.888,1007.28,30.984,11.9,-7.57,20.532,-12.796,-10.08,-0.912,16.001,-4.162,-0.912,-16.001,4.162,-33.502,1.263,-15.39,-33.563,3.991,-6.918,-0.749,-0.469,0.311,10.198,-2.061,-20.031,227.488,-167.665,-13.733,3579.83,566.658,65.455
4.25,24.885,-666.693,417.218,207.367,-456.027,104.277,207.344,-218.89,843.615,-103.166,-173.38,1147.48,555.03,-91.261,1154.821,187.175,-359.581,304.975,66.758,-464.91,348.309,-89.178,-270.316,870.186,567.883,-173.035,835.109,175.087,-351.796,1002.42,29.536,12.123,-8.136,24.413,-13.071,-8.991,-0.94,15.986,-5.88,-0.94,-15.986,5.88,-33.137,1.468,-15.591,-32.664,4.305,-7.423,-0.784,-0.504,0.171,10.713,-2.467,-19.871,214.278,-205.11,-7.81,3782.95,668.516,125.663
