Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
32.28,58.838,-422.827,580.053,242.406,261.933,102.07,166.149,209.428,786.426,13.015,343.036,1226.899,505.437,128.271,1176.624,216.997,281.052,299.524,86.063,-305.251,416.271,138.71,402.933,945.562,506.702,69.295,908.508,160.192,94.835,965.005,49.866,2.697,13.074,0.732,-1.735,-4.955,-4.956,9.069,16.143,-4.956,-9.069,-16.143,-48.381,-1.267,-0.896,-41.204,4.229,8.54,0.152,0.069,1.469,-1.189,0.21,1.222,201.552,-7.867,-11.557,-453.8,-175.18,-2.241
32.29,58.673,-359.078,594.415,240.838,272.733,96.145,168.661,247.912,779.181,8.449,373.931,1212.153,509.919,177.077,1164.903,215.904,303.203,291.025,83.451,-252.881,422.188,125.311,427.151,924.74,515.988,122.618,894.568,160.796,132.399,955.357,48.559,3.22,12.118,1.462,-2.933,-6.012,-3.904,8.958,14.872,-3.904,-8.958,-14.872,-47.802,-0.619,-2.234,-41.532,5.54,6.781,0.067,0.002,1.294,-3.065,0.067,-2.463,241.522,-7.915,-12.24,-1070.09,184.28,12.197
32.3,58.468,-293.358,605.108,239.008,281.034,92.047,171.927,285.407,771.961,2.716,404.066,1197.129,513.476,228.13,1153.135,214.994,323.908,284.004,81.49,-198.035,425.784,109.957,449.833,903.865,524.352,178.896,880.273,161.289,169.837,945.757,47.467,3.959,10.84,2.596,-4.397,-7.161,-2.864,9.052,13.263,-2.864,-9.052,-13.263,-46.794,0.001,-3.688,-41.29,6.847,4.804,-0.003,-0.059,1.069,1.593,1.706,-18.208,292.04,-8.519,-10.924,825.947,778.767,104.9
32.31,58.218,-226.507,611.996,237.069,287.203,89.67,175.884,321.804,764.956,-3.984,433.567,1182.405,515.743,281.16,1142.011,214.284,342.63,278.426,80.18,-140.975,426.983,92.927,470.827,883.654,531.375,238.213,866.33,161.703,207.142,936.537,46.546,4.866,9.257,4.261,-6.047,-8.257,-1.93,9.334,11.318,-1.93,-9.334,-11.318,-45.411,0.598,-5.2,-40.454,8.066,2.822,-0.052,-0.107,0.809,3.729,0.673,-19.878,350.083,-10.48,-7.456,1229.02,1241.83,233.034
32.32,57.916,-159.386,615.08,235.183,291.577,88.702,180.361,357.113,758.363,-11.442,462.511,1168.546,516.38,335.75,1132.26,213.741,358.752,274.151,79.489,-81.837,425.867,74.647,490.032,864.893,536.57,300.586,853.59,162.079,244.303,928.007,45.681,5.857,7.442,6.563,-7.777,-9.126,-1.202,9.74,9.076,-1.202,-9.74,-9.076,-43.772,1.182,-6.695,-39.171,9.141,1.046,-0.083,-0.139,0.531,5.192,1.526,-13.766,409.406,-14.07,-2.323,1733.05,345.903,104.724
32.33,57.55,-92.824,614.489,233.484,294.497,88.738,185.076,391.485,752.382,-19.467,490.922,1156.091,515.164,391.364,1124.565,213.3,371.761,271.035,79.372,-20.627,422.651,55.638,507.444,848.334,539.411,365.886,842.942,162.456,281.307,920.451,44.704,6.819,5.523,9.564,-9.473,-9.598,-0.753,10.168,6.615,-0.753,-10.168,-6.615,-42.046,1.752,-8.073,-37.716,10.039,-0.388,-0.103,-0.157,0.254,7.883,-0.5,-14.23,461.527,-19.259,3.44,2251.68,1030.49,332.375
32.34,57.114,-27.555,610.442,232.053,296.313,89.393,189.677,425.216,747.216,-27.91,518.704,1145.545,512.042,447.45,1119.428,212.907,381.438,268.966,79.758,42.693,417.64,36.553,523.2,834.705,539.324,433.809,835.277,162.867,318.153,914.103,43.44,7.62,3.659,13.267,-11.018,-9.547,-0.607,10.503,4.036,-0.607,-10.503,-4.036,-40.411,2.291,-9.231,-36.382,10.742,-1.427,-0.122,-0.166,-0.004,10.134,-0.584,-16.95,497.506,-25.806,8.643,2576.59,1096.08,385.971
32.35,56.604,35.843,603.199,230.923,297.374,90.399,193.781,458.715,743.056,-36.62,545.694,1137.29,507.1,503.485,1117.158,212.551,388.03,267.834,80.569,108.123,411.243,18.155,537.607,824.585,535.753,503.783,831.265,163.338,354.861,909.156,41.754,8.134,2.017,17.607,-12.301,-8.918,-0.736,10.633,1.463,-0.736,-10.633,-1.463,-39.025,2.77,-10.086,-35.381,11.25,-2.094,-0.152,-0.172,-0.225,11.331,-0.397,-18.21,509.748,-33.206,12.431,2577.07,922.556,384.193
32.36,56.028,97.014,593.012,230.095,298.025,91.641,197.045,492.445,740.05,-45.451,571.645,1131.629,500.556,559.013,1117.863,212.291,392.294,267.464,81.738,175.558,403.981,1.118,551.058,818.239,528.283,574.924,831.362,163.89,391.483,905.755,39.588,8.259,0.729,22.459,-13.22,-7.747,-1.073,10.477,-0.989,-1.073,-10.477,0.989,-37.995,3.151,-10.6,-34.797,11.587,-2.445,-0.202,-0.177,-0.393,12.938,-0.844,-18.437,493.831,-40.721,14.532,2786.53,966.452,454.248
32.37,55.407,155.867,580.094,229.563,298.602,93.155,199.211,526.841,738.294,-54.159,596.385,1128.765,492.666,613.795,1121.398,212.235,395.431,267.607,83.229,244.764,396.488,-13.92,564.079,815.734,516.709,646.177,835.69,164.544,428.099,903.987,36.962,7.935,-0.124,27.657,-13.694,-6.158,-1.538,9.99,-3.226,-1.538,-9.99,3.226,-37.365,3.389,-10.784,-34.59,11.78,-2.54,-0.272,-0.182,-0.499,14.228,-1.377,-19.346,449.453,-47.551,15.181,2867.36,1127.36,506.741
32.38,54.783,212.593,564.604,229.341,299.449,95.094,200.141,562.234,737.817,-62.494,619.861,1128.698,483.639,667.684,1127.506,212.453,398.867,267.972,85.038,315.375,389.463,-26.537,577.137,816.814,501.121,716.33,844.029,165.322,464.81,903.867,33.944,7.155,-0.524,33.012,-13.671,-4.337,-2.067,9.159,-5.182,-2.067,-9.159,5.182,-37.129,3.45,-10.685,-34.652,11.843,-2.419,-0.354,-0.186,-0.538,14.584,-1.341,-19.772,380.679,-53.175,14.832,2667.77,1084.47,525.959
32.39,54.223,267.65,546.659,229.465,300.924,97.68,199.825,598.818,738.596,-70.163,642.227,1131.318,473.591,720.661,1135.799,212.907,404.01,268.275,87.173,386.863,383.548,-36.454,590.731,821.032,481.924,784.244,855.864,166.245,501.714,905.331,30.617,5.961,-0.517,38.329,-13.139,-2.489,-2.619,7.992,-6.828,-2.619,-7.992,6.828,-37.223,3.321,-10.367,-34.879,11.752,-2.076,-0.436,-0.19,-0.511,14.776,-1.021,-19.831,295.525,-57.726,13.875,2481.44,999.979,541.212
32.4,53.812,321.706,526.364,229.99,303.415,101.164,198.363,636.65,740.571,-76.913,663.783,1136.283,462.548,772.695,1145.916,213.447,412.053,268.222,89.627,458.582,379.198,-43.621,605.239,827.817,459.789,848.971,870.446,167.331,538.892,908.274,27.044,4.437,-0.195,43.429,-12.131,-0.793,-3.174,6.518,-8.16,-3.174,-6.518,8.16,-37.555,3.006,-9.897,-35.21,11.456,-1.468,-0.502,-0.193,-0.43,14.469,-0.79,-19.338,204.414,-62.035,12.462,2234.66,993.988,549.743
32.41,53.649,375.563,503.845,230.969,307.326,105.782,195.94,675.674,743.651,-82.523,684.992,1143.194,450.521,823.698,1157.484,213.912,423.856,267.468,92.358,529.836,376.528,-48.108,621.031,836.558,435.534,909.867,886.903,168.588,576.409,912.529,23.267,2.694,0.313,48.156,-10.714,0.63,-3.728,4.778,-9.196,-3.728,-4.778,9.196,-38.018,2.54,-9.328,-35.629,10.914,-0.546,-0.54,-0.194,-0.314,13.496,-0.234,-19.161,117.953,-67.09,10.495,1826.53,888.606,534.034
