Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
24.32,109.78,-743.946,555.12,285.236,126.218,110.759,199.768,45.7,902.037,-48.102,351.648,1134.578,609.215,-163.278,1001.594,273.841,157.967,340.533,145.301,-553.349,437.714,-213.49,130.678,850.52,491.335,-476.677,872.635,191.029,-75.425,1088.47,50.275,4.94,-5.513,0.821,-2.705,-3.568,2.836,16.513,7.698,2.836,-16.513,-7.698,-39.472,-8.282,-2.746,-30.628,-10.563,4.497,0.666,0.215,1.577,-1.86,-0.031,0.456,569.278,118.886,-3.134,-963.621,54.16,-11.164
24.33,108.263,-672.4,562.396,281.334,144.396,107.34,201.542,93.392,896.945,-57.513,387.125,1101.038,616.211,-98.226,996.27,269.466,185.081,332.902,145.116,-485.299,439.245,-232.068,143.698,840.169,504.791,-409.647,854.818,190.714,-27.215,1080.46,48.994,5.695,-7.156,2.65,-3.139,-4.587,4.224,17.052,7.168,4.224,-17.052,-7.168,-38.926,-8.087,-2.935,-31.981,-8.415,3.409,0.49,0.197,1.375,-1.278,-0.479,-1.144,571.522,119.228,-2.99,-514.494,337.251,-49.796
24.34,106.231,-598.65,565.509,277.581,157.587,105.466,203.928,140.551,891.569,-68.908,419.019,1068.103,622.943,-31.59,991.598,264.519,208.811,326.336,144.794,-413.855,438.926,-250.085,153.934,832.38,519.31,-340.404,836.968,190.417,20.854,1072.33,47.854,6.596,-8.834,4.814,-3.688,-5.326,5.444,17.609,6.544,5.444,-17.609,-6.544,-38.344,-7.908,-3.212,-33.033,-6.278,2.042,0.313,0.177,1.146,-0.649,-1.462,-8.551,568.365,114.889,-1.326,46.238,1052.62,-30.382
24.35,103.756,-523.314,564.635,274.098,166.927,105.002,206.801,187.181,886.091,-82.065,447.34,1036.795,629.124,36.503,987.906,259.38,229.687,320.976,144.261,-339.373,437.06,-266.931,161.847,827.659,534.472,-268.974,819.7,190.213,68.773,1064.42,46.814,7.58,-10.357,7.352,-4.321,-5.711,6.42,18.098,5.837,6.42,-18.098,-5.837,-37.759,-7.74,-3.575,-33.517,-4.453,0.556,0.143,0.155,0.905,1.136,-1.293,-17.027,559.391,105.48,1.982,874.874,999.467,125.779
24.36,100.936,-446.953,560.032,270.991,173.432,105.708,209.939,233.364,880.71,-96.599,472.278,1008.102,634.462,105.912,985.575,254.321,248.063,316.775,143.454,-262.266,434.013,-282.011,168.036,826.303,549.823,-195.452,803.663,190.14,116.544,1057.1,45.792,8.56,-11.562,10.282,-4.987,-5.698,7.089,18.441,5.053,7.089,-18.441,-5.053,-37.205,-7.574,-3.994,-33.345,-3.122,-0.85,-0.016,0.128,0.668,2.569,-0.55,-14.623,542.781,91.332,6.443,1405.15,267.911,14.922
24.37,97.882,-370.045,552.005,268.327,177.95,107.302,213.059,279.29,875.657,-111.981,494.214,982.944,638.683,176.447,985.019,249.483,264.129,313.568,142.337,-183.014,430.185,-294.829,173.186,828.461,564.842,-120.002,789.481,190.191,164.191,1050.64,44.658,9.434,-12.34,13.581,-5.626,-5.296,7.42,18.588,4.196,7.42,-18.588,-4.196,-36.713,-7.416,-4.415,-32.616,-2.331,-2.015,-0.163,0.095,0.453,5.69,-1.329,-14.661,516.318,73.521,11.135,2419.34,365.853,30.019
24.38,94.709,-292.958,540.877,266.137,181.171,109.542,215.847,325.193,871.154,-127.582,513.705,962.097,641.559,247.835,986.635,244.932,278.069,311.165,140.915,-102.141,425.973,-305.012,178.044,834.048,579.06,-42.886,777.725,190.317,211.754,1045.3,43.284,10.093,-12.644,17.202,-6.164,-4.566,7.403,18.51,3.27,7.403,-18.51,-3.27,-36.304,-7.288,-4.778,-31.539,-2.044,-2.847,-0.296,0.056,0.274,9.847,-2.934,-16.156,478.554,53.638,15.063,3841.94,889.131,156.457
24.39,91.531,-215.939,526.967,264.434,183.649,112.286,218.017,371.319,867.405,-142.751,531.456,946.07,642.916,319.713,990.745,240.755,290.211,309.408,139.242,-20.209,421.736,-312.351,183.323,842.845,592.011,35.542,768.818,190.447,259.283,1041.28,41.57,10.441,-12.496,21.07,-6.541,-3.623,7.058,18.202,2.279,7.058,-18.202,-2.279,-35.989,-7.221,-5.039,-30.339,-2.185,-3.322,-0.413,0.015,0.142,11.6,-2.821,-17.712,429.534,33.682,17.425,3993.04,625.287,134.73
24.4,88.455,-139.099,510.567,263.236,185.85,115.517,219.338,417.912,864.574,-156.912,548.236,935.078,642.667,391.653,997.508,237.127,301.138,308.167,137.41,62.225,417.749,-316.776,189.648,854.492,603.32,114.835,763.045,190.507,306.84,1038.69,39.463,10.403,-11.97,25.09,-6.703,-2.615,6.43,17.663,1.23,6.43,-17.663,-1.23,-35.764,-7.245,-5.176,-29.201,-2.672,-3.45,-0.51,-0.026,0.063,13.648,-2.66,-19.075,370.89,15.723,17.65,4325.06,401.83,102.069
24.41,85.572,-62.41,491.937,262.59,188.181,119.322,219.681,465.188,862.819,-169.643,564.791,929.033,640.82,463.192,1006.889,234.322,311.676,307.292,135.536,144.642,414.155,-318.401,197.558,868.593,612.705,194.499,760.493,190.447,354.485,1037.65,36.957,9.946,-11.182,29.148,-6.628,-1.698,5.586,16.902,0.123,5.586,-16.902,-0.123,-35.612,-7.37,-5.19,-28.238,-3.413,-3.267,-0.584,-0.062,0.037,14.641,-2.842,-19.624,305.597,1.387,15.439,4234.3,448.839,111.286
