Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
14.71,39.107,-2001.947,123.0,214.453,-2663.364,631.152,131.539,-2019.714,798.482,-244.827,-2166.502,1064.727,211.003,-1801.633,1138.857,222.139,-2510.211,474.676,78.602,-1973.596,336.796,-146.292,-2398.609,835.385,231.925,-1834.413,824.913,138.272,-2128.84,1005.47,11.413,-2.146,-7.953,57.416,2.086,9.404,-22.114,-16.029,-17.168,-22.114,16.029,17.168,-41.231,-15.097,-8.516,-44.351,-0.202,7.582,-1.663,-0.038,0.941,0.389,-0.094,1.722,-675.968,-83.742,3.089,348.014,-14.273,-4.876
14.72,40.939,-1987.502,119.278,214.11,-2597.311,643.273,127.896,-1982.222,791.837,-248.33,-2107.914,1050.49,228.512,-1766.694,1110.386,224.931,-2454.242,476.837,79.997,-1949.369,330.068,-158.01,-2338.337,816.674,263.191,-1816.397,800.201,137.782,-2089.73,997.388,13.394,-3.57,-8.39,56.842,3.168,6.525,-21.885,-15.403,-15.745,-21.885,15.403,15.745,-41.451,-13.886,-9.986,-42.83,0.485,6.877,-1.826,0.073,0.851,0.378,-0.086,1.402,-631.625,-32.811,7.132,418.165,3.505,-12.314
14.73,42.565,-1977.083,116.765,214.13,-2529.693,651.137,123.726,-1945.72,784.687,-250.214,-2046.102,1037.652,248.794,-1734.208,1082.55,227.755,-2395.552,476.763,81.308,-1928.503,324.077,-169.263,-2273.556,797.862,295.361,-1801.641,777.201,137.253,-2050.83,988.867,15.859,-5.323,-8.829,56.123,4.373,3.555,-21.704,-14.886,-14.114,-21.704,14.886,14.114,-41.401,-12.745,-11.308,-41.214,1.252,6.257,-1.903,0.187,0.727,0.357,-0.068,1.071,-553.184,11.869,9.472,492.182,19.03,-19.051
14.74,43.898,-1969.84,115.388,214.624,-2461.388,654.768,119.31,-1910.139,777.224,-249.892,-1981.136,1027.344,271.269,-1704.41,1056.306,230.346,-2334.021,474.743,82.387,-1910.915,319.087,-179.286,-2203.65,779.768,327.562,-1790.082,756.766,136.707,-2012.08,980.227,18.857,-7.331,-9.202,55.266,5.579,0.821,-21.611,-14.458,-12.286,-21.611,14.458,12.286,-40.978,-11.795,-12.318,-39.777,2.028,5.63,-1.894,0.284,0.595,0.32,-0.048,0.742,-450.109,42.074,9.987,559.997,31.235,-21.612
14.75,44.878,-1964.981,114.919,215.674,-2393.291,654.287,115.014,-1875.447,769.628,-246.847,-1913.4,1020.701,295.247,-1677.367,1032.511,232.554,-2269.641,471.102,83.156,-1896.427,315.206,-187.217,-2128.234,763.442,359.014,-1781.463,739.698,136.206,-1973.44,971.807,22.451,-9.472,-9.416,54.306,6.65,-1.413,-21.669,-14.065,-10.28,-21.669,14.065,10.28,-40.226,-11.102,-12.922,-38.692,2.757,4.944,-1.809,0.348,0.486,0.263,-0.031,0.425,-339.787,57.189,9.249,611.638,40.531,-18.34
14.76,45.48,-1961.839,115.065,217.331,-2326.236,649.871,111.22,-1841.473,762.107,-240.717,-1843.594,1018.74,320.05,-1652.963,1011.854,234.402,-2202.627,466.229,83.659,-1884.81,312.381,-192.175,-2047.195,749.996,388.913,-1775.239,726.65,135.837,-1934.87,963.938,26.673,-11.586,-9.388,53.243,7.453,-2.964,-21.949,-13.622,-8.128,-21.949,13.622,8.128,-39.296,-10.699,-13.098,-37.998,3.417,4.283,-1.67,0.372,0.428,0.18,-0.019,0.135,-238.288,62.687,7.753,639.1,48.597,-11.201
14.77,45.715,-1959.879,115.581,219.63,-2260.911,641.725,108.289,-1807.976,754.911,-231.398,-1772.737,1022.176,345.064,-1631.041,994.872,235.952,-2133.315,460.644,84.033,-1875.754,310.475,-193.3,-1960.882,740.618,416.556,-1770.765,718.031,135.685,-1896.33,956.933,31.506,-13.492,-9.067,52.054,7.867,-3.756,-22.503,-13.042,-5.894,-22.503,13.042,5.894,-38.391,-10.578,-12.872,-37.68,3.99,3.81,-1.502,0.356,0.435,0.071,-0.011,-0.112,-155.94,65.166,5.53,636.841,56.868,-3.704
14.78,45.625,-1958.674,116.336,222.6,-2197.776,630.047,106.494,-1774.568,748.373,-219.056,-1701.992,1031.32,369.751,-1611.431,981.958,237.202,-2062.233,454.952,84.448,-1868.748,309.313,-189.868,-1870.066,736.397,441.401,-1767.301,713.941,135.807,-1857.83,951.089,36.842,-15.002,-8.477,50.657,7.797,-3.832,-23.309,-12.234,-3.669,-23.309,12.234,3.669,-37.661,-10.732,-12.327,-37.727,4.434,3.636,-1.327,0.31,0.512,-0.064,-0.005,-0.302,-95.46,68.928,2.649,601.137,64.61,2.215
14.79,45.255,-1957.867,117.326,226.261,-2136.988,615.013,105.971,-1740.701,742.866,-204.087,-1632.504,1046.01,393.631,-1593.906,973.324,238.029,-1990.039,449.808,84.99,-1863.142,308.708,-181.369,-1776.07,738.257,463.095,-1764.179,714.207,136.202,-1819.33,946.659,42.488,-15.959,-7.74,48.965,7.194,-3.357,-24.278,-11.127,-1.551,-24.278,11.127,1.551,-37.177,-11.142,-11.592,-38.11,4.672,3.774,-1.163,0.246,0.654,-0.217,0.004,-0.421,-54.749,74.384,-0.261,532.188,69.414,6.506
14.8,44.63,-1957.145,118.66,230.606,-2078.361,596.775,106.709,-1705.839,738.747,-187.002,-1565.232,1065.701,416.247,-1578.176,968.949,238.324,-1917.609,445.684,85.631,-1858.065,308.468,-167.641,-1680.633,746.784,481.512,-1760.846,718.467,136.814,-1780.76,943.828,48.183,-16.256,-7.053,46.89,6.075,-2.579,-25.271,-9.69,0.363,-25.271,9.69,-0.363,-36.922,-11.79,-10.797,-38.708,4.629,4.162,-1.021,0.178,0.846,-0.374,0.021,-0.463,-31.743,78.479,-2.429,435.667,68.811,9.791
