Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
10.11,84.846,-1423.479,636.216,204.324,-609.937,129.663,125.335,-743.196,792.583,50.674,-538.595,1099.908,483.711,-820.127,934.368,183.318,-609.947,329.76,109.971,-1361.073,450.133,-45.781,-601.641,810.197,466.758,-1106.969,855.529,158.852,-834.3,980.126,54.756,-6.061,-11.192,-2.645,0.232,-0.097,3.883,9.889,15.622,3.883,-9.889,-15.622,-44.11,0.204,-20.016,-39.269,-6.622,-7.439,0.376,0.038,2.33,-1.878,-0.087,1.889,285.693,-10.158,2.704,-841.765,-25.405,-12.699
10.12,82.352,-1343.554,657.423,202.448,-593.331,117.925,127.087,-695.042,788.127,41.603,-505.315,1063.011,474.647,-748.786,922.399,181.431,-583.477,316.33,107.322,-1299.74,465.771,-65.219,-602.204,785.566,457.047,-1029.426,822.841,158.104,-787.887,973.021,52.321,-5.188,-13.558,-0.8,-0.476,-0.521,3.998,9.685,14.161,3.998,-9.685,-14.161,-43.615,0.811,-19.661,-39.452,-5.379,-8.21,0.279,0.032,1.998,-1.757,-0.086,1.789,348.834,9.784,0.559,-727.701,-16.734,-9.251
10.13,79.416,-1260.545,673.929,200.327,-580.802,108.599,129.984,-647.558,783.089,31.181,-474.683,1025.463,465.268,-674.5,912.17,179.603,-558.396,304.633,104.606,-1233.307,478.611,-84.909,-604.996,764.92,447.603,-946.265,790.447,157.232,-741.459,965.438,50.269,-4.002,-15.091,1.465,-1.561,-1.188,4.068,9.723,12.37,4.068,-9.723,-12.37,-42.814,1.423,-19.432,-39.213,-3.792,-9.354,0.235,-0.003,1.607,-1.652,-0.079,1.646,440.498,30.479,-2.386,-606.795,-12.781,-5.064
10.14,75.995,-1175.717,685.59,198.032,-571.235,102.039,134.022,-600.874,777.892,19.792,-446.657,988.112,455.428,-597.581,904.88,177.899,-534.572,294.914,102.085,-1162.366,487.992,-103.914,-608.959,749.006,438.145,-857.366,759.86,156.276,-695.077,957.727,48.561,-2.531,-15.705,4.172,-2.983,-1.943,4.166,9.995,10.274,4.166,-9.995,-10.274,-41.705,1.962,-19.43,-38.393,-2.051,-10.835,0.249,-0.058,1.186,-1.558,-0.073,1.478,556.146,46.546,-4.132,-478.254,-9.251,-1.672
10.15,72.086,-1090.44,692.392,195.721,-563.897,98.199,139.048,-555.06,772.947,7.81,-421.167,951.776,444.954,-518.499,901.794,176.285,-512.526,287.198,99.946,-1087.496,493.466,-121.485,-612.871,738.288,428.36,-762.854,732.79,155.284,-648.819,950.252,47.093,-0.81,-15.477,7.362,-4.668,-2.562,4.357,10.468,7.943,4.357,-10.468,-7.943,-40.395,2.402,-19.684,-36.971,-0.386,-12.518,0.311,-0.127,0.767,-1.464,-0.074,1.304,682.94,50.352,-3.665,-345.521,-4.168,0.538
10.16,67.768,-1006.124,694.436,193.563,-558.332,96.623,144.709,-510.086,768.557,-4.389,-398.21,917.244,433.714,-437.962,904.118,174.644,-493.151,281.312,98.231,-1009.145,494.816,-137.223,-615.436,732.922,417.946,-663.208,711.036,154.288,-602.752,943.343,45.678,1.099,-14.596,11.095,-6.494,-2.79,4.653,11.078,5.501,4.653,-11.078,-5.501,-39.098,2.747,-20.164,-35.098,1.02,-14.185,0.395,-0.207,0.377,-1.364,-0.085,1.144,801.93,34.917,-1.093,-222.122,3.103,2.179
10.17,63.217,-924.091,691.898,191.663,-554.217,96.644,150.462,-465.799,764.87,-16.419,-377.899,885.36,421.692,-356.974,912.808,172.86,-477.253,277.029,96.862,-927.625,492.07,-151.085,-615.473,732.791,406.654,-559.347,696.324,153.317,-556.925,937.264,44.059,3.089,-13.318,15.439,-8.288,-2.424,5.01,11.722,3.11,5.01,-11.722,-3.11,-38.047,3.04,-20.798,-33.054,2.09,-15.633,0.468,-0.296,0.04,-1.254,-0.106,1.019,893.534,-1.702,2.887,-123.212,14.287,3.626
10.18,58.683,-845.42,684.969,190.061,-551.265,97.638,155.655,-421.931,761.875,-27.854,-360.405,857.192,409.012,-276.774,928.361,170.944,-465.125,274.13,95.678,-843.108,485.582,-163.307,-612.059,737.536,394.338,-452.701,690.101,152.397,-511.334,932.231,42.0,4.981,-11.93,20.435,-9.83,-1.396,5.335,12.273,0.931,5.335,-12.273,-0.931,-37.443,3.321,-21.476,-31.102,2.847,-16.722,0.496,-0.389,-0.23,-1.136,-0.135,0.949,941.53,-54.3,7.188,-53.21,29.642,4.415
10.19,54.443,-770.772,673.789,188.786,-549.187,99.19,159.661,-378.138,759.462,-38.204,-345.631,834.149,395.925,-198.698,950.686,169.069,-456.346,272.39,94.489,-755.722,476.126,-174.212,-604.66,746.611,380.973,-345.135,693.284,151.565,-465.909,928.425,39.374,6.535,-10.723,26.061,-10.871,0.179,5.509,12.585,-0.913,5.509,-12.585,0.913,-37.389,3.615,-22.064,-29.413,3.346,-17.391,0.459,-0.475,-0.42,-1.015,-0.167,0.943,934.076,-111.315,10.542,-6.277,44.701,4.037
10.2,50.728,-700.251,658.396,187.906,-547.651,101.131,162.022,-334.066,757.502,-47.034,-332.743,817.768,382.764,-123.968,979.076,167.488,-449.828,271.517,93.171,-665.645,464.952,-184.073,-593.153,759.34,366.66,-238.743,706.068,150.878,-420.535,925.98,36.186,7.524,-9.919,32.196,-11.178,2.007,5.42,12.515,-2.373,5.42,-12.515,2.373,-37.853,3.938,-22.414,-28.056,3.609,-17.65,0.357,-0.541,-0.521,-0.897,-0.195,1.007,865.085,-158.369,11.867,24.646,53.342,2.621
