Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
8.57,246.212,-2894.086,514.01,300.183,-2068.53,160.169,302.65,-2148.974,890.268,193.558,-1938.191,1258.856,669.414,-2373.927,1097.37,298.575,-2063.795,384.588,248.608,-2699.892,415.102,105.176,-2049.554,891.36,640.242,-2645.592,958.422,281.447,-2265.43,1079.58,55.829,11.209,-7.279,2.889,-5.806,-1.197,-2.62,13.566,19.257,-2.62,-13.566,-19.257,-42.388,-2.638,0.289,-38.284,-0.222,9.589,0.222,0.354,2.93,-0.917,-0.232,0.778,298.054,-21.141,-14.366,-471.151,-21.345,-10.861
8.58,240.121,-2823.344,524.879,296.377,-2046.094,152.175,303.267,-2102.484,886.276,189.456,-1900.928,1224.339,664.219,-2313.259,1065.391,298.16,-2029.599,374.464,240.733,-2632.625,418.993,68.273,-2038.062,869.829,630.693,-2579.308,916.797,279.201,-2219.22,1071.43,53.522,12.161,-7.283,5.143,-7.051,-2.658,-1.773,14.311,18.059,-1.773,-14.311,-18.059,-41.786,-2.324,0.817,-38.673,2.408,7.197,-0.015,0.226,2.542,-1.143,-0.26,0.894,303.869,-11.192,-27.129,-518.521,-21.754,-7.025
8.59,233.595,-2750.01,532.649,292.963,-2027.919,145.927,304.547,-2057.652,881.591,183.972,-1866.112,1189.367,658.319,-2249.506,1034.067,298.066,-1998.534,365.096,233.262,-2561.921,421.602,30.612,-2028.035,852.762,621.383,-2508.996,875.004,276.954,-2173.44,1062.99,51.571,12.998,-7.429,7.922,-8.552,-3.979,-1.213,15.323,16.593,-1.213,-15.323,-16.593,-41.117,-2.005,1.259,-38.911,4.979,4.498,-0.24,0.089,2.072,-1.338,-0.28,0.968,308.478,4.448,-37.903,-537.945,-13.4,-2.027
8.6,226.539,-2674.575,537.279,289.999,-2013.913,141.682,306.663,-2014.659,876.428,176.599,-1833.458,1154.433,651.317,-2182.152,1004.863,298.207,-1971.242,356.936,226.364,-2487.932,423.178,-6.642,-2019.089,840.581,612.023,-2433.736,834.021,274.792,-2128.13,1054.61,50.03,13.75,-7.825,11.299,-10.245,-4.932,-0.998,16.532,14.842,-0.998,-16.532,-14.842,-40.445,-1.685,1.487,-38.883,7.245,1.755,-0.446,-0.043,1.565,-1.487,-0.291,0.989,312.906,21.002,-44.918,-522.549,3.275,2.76
8.61,218.897,-2597.479,538.885,287.577,-2003.745,139.384,309.754,-1973.525,871.097,166.632,-1802.544,1120.391,642.814,-2110.795,979.321,298.53,-1948.148,350.3,220.112,-2410.917,424.082,-42.442,-2010.657,833.47,602.205,-2352.629,795.069,272.797,-2083.25,1046.7,48.87,14.468,-8.5,15.321,-12.061,-5.34,-1.143,17.827,12.803,-1.143,-17.827,-12.803,-39.802,-1.364,1.371,-38.493,9.058,-0.716,-0.635,-0.162,1.065,-1.575,-0.293,0.959,314.171,32.659,-46.241,-473.175,23.362,6.33
8.62,210.69,-2519.131,537.706,285.763,-1996.884,138.72,313.832,-1934.092,865.911,153.369,-1772.936,1088.687,632.455,-2035.233,958.995,298.979,-1929.352,345.298,214.58,-2331.132,424.889,-75.923,-2002.093,831.383,591.43,-2265.07,759.667,271.033,-2038.75,1039.62,47.953,15.192,-9.362,20.001,-13.913,-5.122,-1.631,19.049,10.487,-1.631,-19.049,-10.487,-39.265,-1.029,0.831,-37.748,10.369,-2.655,-0.809,-0.271,0.604,-1.594,-0.281,0.894,307.034,33.755,-40.784,-398.702,39.491,8.443
8.63,202.036,-2439.909,534.069,284.537,-1992.677,139.239,318.734,-1896.033,861.174,136.637,-1744.126,1061.061,619.978,-1955.682,945.344,299.402,-1914.635,341.836,209.84,-2249.013,426.241,-106.541,-1992.573,834.088,579.111,-2170.912,729.491,269.535,-1994.54,1033.66,47.077,15.921,-10.246,25.299,-15.695,-4.298,-2.414,20.027,7.947,-2.414,-20.027,-7.947,-38.873,-0.697,-0.077,-36.768,11.211,-3.917,-0.971,-0.371,0.208,-1.546,-0.25,0.818,286.012,20.213,-28.985,-313.758,46.796,9.154
8.64,193.157,-2360.162,528.357,283.791,-1990.421,140.496,324.103,-1858.927,857.117,116.879,-1715.719,1039.307,605.235,-1872.792,939.575,299.565,-1903.558,339.691,206.005,-2165.087,428.879,-134.062,-1981.326,841.252,564.714,-2070.625,706.291,268.308,-1950.57,1029.09,46.036,16.594,-10.958,31.128,-17.293,-3.005,-3.412,20.601,5.26,-3.412,-20.601,-5.26,-38.707,-0.39,-1.22,-35.726,11.64,-4.495,-1.118,-0.461,-0.106,-1.439,-0.199,0.758,246.8,-8.656,-12.993,-231.557,45.73,8.62
8.65,184.362,-2280.185,520.968,283.359,-1989.448,142.167,329.404,-1822.223,853.87,95.156,-1687.279,1024.668,588.234,-1787.663,942.51,299.178,-1895.471,338.611,203.177,-2080.108,433.396,-158.444,-1967.597,852.446,547.806,-1965.341,691.631,267.33,-1906.75,1026.07,44.651,17.08,-11.328,37.331,-18.565,-1.459,-4.527,20.645,2.549,-4.527,-20.645,-2.549,-38.773,-0.169,-2.388,-34.787,11.688,-4.485,-1.241,-0.536,-0.33,-1.29,-0.128,0.734,189.111,-49.783,3.861,-159.554,38.324,7.282
8.66,176.016,-2200.209,512.29,283.071,-1989.162,144.105,334.048,-1785.315,851.512,72.901,-1658.488,1017.731,569.145,-1701.751,954.437,298.003,-1889.57,338.355,201.425,-1995.001,440.128,-179.758,-1950.852,867.114,528.211,-1856.834,686.676,266.563,-1863.01,1024.71,42.818,17.224,-11.261,43.708,-19.386,0.106,-5.649,20.098,-0.047,-5.649,-20.098,0.047,-39.043,-0.064,-3.418,-34.108,11.386,-4.019,-1.331,-0.59,-0.468,-1.118,-0.04,0.764,117.75,-96.693,17.931,-101.958,26.264,5.774
