Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
19.35,375.737,1952.784,435.478,207.758,1209.329,78.966,215.066,1253.565,801.514,332.643,1037.107,1163.353,-93.89,1337.187,1094.772,231.039,1177.767,300.266,325.315,1764.599,335.752,265.61,1130.413,864.426,-104.942,1421.723,803.459,256.663,1389.17,979.753,48.936,15.903,-17.91,2.376,-11.728,-15.989,-9.469,19.258,13.105,-9.469,-19.258,-13.105,-44.898,-9.111,-3.992,-36.533,-0.943,6.216,0.414,-0.083,2.462,-0.674,-0.101,0.722,254.547,-43.839,21.472,-428.611,66.548,-6.081
19.36,381.481,1898.147,453.456,211.149,1192.356,74.663,216.225,1213.226,796.974,343.198,1000.987,1144.754,-93.418,1279.291,1089.261,233.584,1151.309,293.278,334.438,1714.105,343.5,279.613,1103.543,846.227,-107.213,1354.005,794.867,257.346,1349.6,973.612,47.897,15.685,-17.763,3.062,-12.678,-16.195,-9.038,18.198,12.16,-9.038,-18.198,-12.16,-44.55,-8.687,-4.729,-37.368,0.223,5.137,0.328,-0.159,2.498,-0.871,-0.149,0.732,317.19,-66.822,15.958,-442.437,76.693,-5.765
19.37,386.883,1840.212,468.546,214.437,1178.721,71.528,217.073,1172.621,791.758,355.61,965.536,1125.625,-91.926,1219.376,1085.859,236.111,1127.075,286.747,343.329,1659.75,349.984,295.394,1077.779,828.146,-108.629,1281.875,788.245,258.101,1309.63,966.814,46.536,15.58,-17.55,3.947,-13.825,-16.62,-8.559,17.207,10.997,-8.559,-17.207,-10.997,-44.135,-8.147,-5.332,-37.943,1.628,3.595,0.22,-0.254,2.364,-1.06,-0.194,0.724,357.622,-85.862,8.008,-423.702,86.962,-5.355
19.38,391.877,1779.817,480.159,217.551,1168.356,69.802,217.397,1132.384,786.034,369.755,931.361,1106.774,-89.144,1158.388,1085.277,238.634,1105.574,281.152,351.481,1601.914,355.319,312.665,1053.503,811.05,-108.661,1206.071,784.559,258.92,1269.72,959.706,44.912,15.636,-17.377,5.163,-15.173,-17.218,-8.053,16.34,9.6,-8.053,-16.34,-9.6,-43.702,-7.536,-5.828,-38.029,3.114,1.727,0.116,-0.355,2.093,-1.223,-0.233,0.697,384.071,-99.702,-0.908,-372.559,96.929,-4.986
19.39,396.436,1717.683,487.957,220.405,1160.886,69.39,217.039,1092.996,779.996,385.429,898.864,1089.103,-84.854,1097.077,1088.023,241.187,1087.065,276.697,358.544,1540.96,359.523,330.987,1030.806,795.8,-106.775,1127.403,784.702,259.765,1230.11,952.711,43.137,15.875,-17.34,6.868,-16.696,-17.867,-7.572,15.628,7.966,-7.572,-15.628,-7.966,-43.212,-6.871,-6.296,-37.547,4.495,-0.243,0.025,-0.445,1.728,-1.346,-0.263,0.66,403.54,-109.376,-9.232,-300.617,103.075,-4.532
19.4,400.546,1654.437,491.794,222.907,1155.785,69.948,215.941,1054.719,773.862,402.431,868.311,1073.413,-78.919,1036.146,1094.305,243.874,1071.787,273.35,364.323,1477.277,362.681,349.944,1009.542,783.109,-102.469,1046.771,789.374,260.588,1190.9,946.268,41.33,16.293,-17.479,9.211,-18.335,-18.405,-7.188,15.075,6.123,-7.188,-15.075,-6.123,-42.648,-6.182,-6.835,-36.633,5.627,-2.047,-0.052,-0.512,1.315,-1.415,-0.282,0.627,419.655,-116.927,-15.66,-225.7,101.13,-3.798
19.41,404.185,1590.619,491.666,224.986,1152.506,71.078,214.175,1017.702,767.867,420.461,839.751,1060.515,-71.301,976.131,1104.061,246.798,1059.96,270.992,368.824,1411.361,364.819,369.125,989.34,773.534,-95.34,965.308,798.944,261.341,1152.1,940.794,39.578,16.856,-17.748,12.315,-19.989,-18.66,-7.019,14.644,4.103,-7.019,-14.644,-4.103,-41.956,-5.467,-7.506,-35.601,6.378,-3.475,-0.125,-0.549,0.899,-1.427,-0.286,0.614,432.282,-124.419,-19.404,-163.873,90.125,-2.326
19.42,407.329,1526.671,487.661,226.603,1150.542,72.479,212.007,981.901,762.314,439.179,813.118,1050.975,-62.052,917.465,1116.922,249.98,1051.57,269.521,372.113,1343.757,366.071,388.104,969.758,767.382,-85.11,884.204,813.395,261.996,1113.7,936.626,37.888,17.484,-18.031,16.214,-21.528,-18.489,-7.168,14.254,1.958,-7.168,-14.254,-1.958,-41.137,-4.745,-8.296,-34.709,6.722,-4.436,-0.205,-0.559,0.515,-1.383,-0.27,0.637,436.539,-133.108,-20.253,-119.32,73.742,0.191
19.43,409.947,1462.906,479.941,227.759,1149.447,74.011,209.896,947.017,757.586,458.192,788.194,1045.071,-51.305,860.414,1132.321,253.239,1046.186,268.835,374.261,1274.996,366.682,406.539,950.319,764.732,-71.728,804.761,832.246,262.555,1075.64,933.998,36.166,18.036,-18.19,20.825,-22.786,-17.789,-7.664,13.785,-0.23,-7.664,-13.785,0.23,-40.245,-4.028,-9.111,-34.155,6.693,-4.905,-0.301,-0.549,0.193,-1.291,-0.231,0.703,425.057,-142.7,-18.66,-86.654,56.672,3.32
19.44,412.008,1399.473,468.726,228.493,1148.822,75.701,208.426,912.475,754.159,477.12,764.688,1042.879,-39.244,805.134,1149.625,256.291,1042.848,268.777,375.314,1205.581,366.987,424.15,930.615,765.447,-55.392,728.146,854.662,263.036,1037.84,933.037,34.222,18.334,-18.12,25.914,-23.584,-16.539,-8.423,13.108,-2.353,-8.423,-13.108,2.353,-39.37,-3.344,-9.804,-33.98,6.392,-4.916,-0.417,-0.528,-0.047,-1.16,-0.171,0.815,392.34,-151.971,-15.646,-60.409,42.271,6.219
