Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
12.31,174.702,-1308.508,253.307,352.433,-542.859,163.98,236.494,-617.375,889.534,86.589,-368.073,1302.021,629.147,-964.082,1062.993,320.141,-522.168,377.251,171.476,-1093.25,279.385,76.502,-321.655,985.539,566.146,-1295.212,1082.962,240.849,-728.781,1083.89,53.436,0.655,-11.724,-4.494,-2.293,-4.076,4.906,9.24,16.534,4.906,-9.24,-16.534,-46.968,6.365,-11.192,-40.998,10.31,4.769,0.864,-0.1,1.696,-2.07,-0.354,0.49,-9.351,-48.026,1.307,-955.064,98.839,12.569
12.32,170.823,-1283.242,271.014,348.607,-466.727,158.371,238.041,-573.167,890.273,93.758,-329.21,1309.285,625.476,-929.184,1068.395,319.865,-458.412,374.779,164.461,-1067.769,276.427,85.206,-279.475,992.311,553.448,-1256.675,1083.987,241.25,-685.74,1086.6,53.168,1.164,-11.301,-5.707,-2.136,-4.88,4.404,9.48,16.77,4.404,-9.48,-16.77,-47.614,7.05,-12.827,-39.952,8.979,6.122,0.969,-0.119,1.629,-2.197,-0.385,0.584,-13.862,-60.301,5.306,-1070.1,130.798,12.134
12.33,167.097,-1256.199,289.781,344.523,-397.461,154.256,239.336,-529.329,890.095,100.085,-290.582,1312.998,621.913,-891.235,1071.363,319.498,-398.698,372.979,160.015,-1042.076,278.37,92.026,-240.343,995.05,541.879,-1215.426,1081.068,241.739,-642.703,1088.27,53.033,1.501,-10.931,-6.305,-1.923,-5.666,3.848,9.536,16.842,3.848,-9.536,-16.842,-48.204,7.163,-13.977,-38.915,7.656,7.338,1.045,-0.135,1.584,-2.284,-0.401,0.675,-0.603,-63.912,8.004,-1148.99,152.965,9.07
12.34,163.584,-1227.15,309.545,340.307,-335.89,150.881,240.262,-485.725,889.085,105.409,-251.983,1312.925,618.678,-850.108,1071.698,318.819,-343.921,371.194,157.877,-1015.082,284.76,96.742,-204.151,993.586,531.951,-1171.436,1074.243,242.279,-599.715,1088.76,52.993,1.641,-10.758,-6.373,-1.694,-6.266,3.323,9.416,16.789,3.323,-9.416,-16.789,-48.88,6.752,-14.56,-38.072,6.499,8.339,1.094,-0.143,1.566,-2.326,-0.409,0.753,34.416,-60.692,9.308,-1185.69,165.759,3.67
12.35,160.275,-1195.601,330.12,336.114,-282.381,147.484,240.764,-442.177,887.374,109.577,-213.299,1308.961,615.96,-805.799,1069.286,317.619,-294.555,368.722,157.159,-985.894,294.3,99.084,-170.729,987.99,524.103,-1124.704,1063.607,242.831,-556.811,1088.03,52.972,1.58,-10.896,-6.04,-1.475,-6.563,2.921,9.13,16.653,2.921,-9.13,-16.653,-49.603,6.03,-14.686,-37.551,5.621,9.105,1.116,-0.143,1.576,-2.324,-0.414,0.81,89.142,-55.794,9.619,-1179.57,172.913,-3.326
12.36,157.126,-1160.918,351.177,332.116,-236.833,143.438,240.853,-398.498,885.122,112.469,-174.523,1301.122,613.911,-758.345,1064.135,315.774,-250.594,365.009,156.883,-953.818,305.402,98.759,-139.888,978.501,518.672,-1075.252,1049.395,243.346,-514.029,1086.06,52.858,1.341,-11.394,-5.443,-1.28,-6.506,2.728,8.699,16.465,2.728,-8.699,-16.465,-50.28,5.267,-14.553,-37.408,5.068,9.65,1.112,-0.132,1.607,-2.278,-0.422,0.845,156.952,-53.485,9.184,-1135.14,177.738,-10.568
12.37,154.084,-1122.497,372.258,328.472,-198.737,138.367,240.62,-354.579,882.403,113.992,-135.73,1289.498,612.625,-707.841,1056.343,313.354,-211.586,359.785,156.339,-918.346,316.624,95.575,-111.438,965.523,515.847,-1023.105,1031.833,243.779,-471.412,1082.85,52.53,0.98,-12.227,-4.686,-1.122,-6.111,2.803,8.173,16.231,2.803,-8.173,-16.231,-50.806,4.663,-14.342,-37.625,4.841,9.988,1.082,-0.113,1.652,-2.195,-0.432,0.861,229.173,-54.663,8.133,-1061.16,180.23,-16.215
12.38,151.114,-1079.9,392.822,325.289,-167.307,132.215,240.205,-310.395,879.286,114.059,-97.069,1274.356,612.149,-654.348,1046.11,310.597,-176.79,353.085,155.253,-879.124,327.043,89.413,-85.238,949.595,515.687,-968.262,1011.2,244.083,-428.99,1078.44,51.884,0.574,-13.285,-3.835,-1.015,-5.446,3.164,7.625,15.932,3.164,-7.625,-15.932,-51.137,4.292,-14.172,-38.136,4.93,10.098,1.026,-0.088,1.697,-2.084,-0.44,0.865,298.475,-57.529,6.707,-969.053,177.663,-18.562
12.39,148.205,-1032.93,412.282,322.59,-141.622,125.257,239.772,-266.038,875.781,112.598,-58.743,1255.997,612.473,-597.955,1033.777,307.813,-145.392,345.221,153.68,-835.909,336.231,80.29,-61.217,931.284,518.082,-910.688,987.791,244.219,-386.777,1072.93,50.88,0.217,-14.404,-2.903,-0.979,-4.623,3.784,7.147,15.529,3.784,-7.147,-15.529,-51.262,4.157,-14.088,-38.869,5.334,9.908,0.947,-0.062,1.732,-1.956,-0.441,0.86,360.792,-60.259,5.049,-870.631,167.838,-16.747
12.4,145.363,-981.626,430.055,320.305,-120.772,118.047,239.505,-221.686,871.883,109.538,-20.988,1234.833,613.548,-538.736,1019.789,305.249,-116.681,336.707,151.826,-788.57,344.051,68.333,-39.405,911.246,522.811,-850.304,961.934,244.163,-344.755,1066.42,49.556,0.004,-15.414,-1.865,-1.057,-3.788,4.603,6.831,14.983,4.603,-6.831,-14.983,-51.159,4.196,-14.07,-39.745,6.055,9.313,0.848,-0.042,1.744,-1.823,-0.432,0.85,414.989,-60.68,2.945,-773.954,152.257,-11.432
