Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
6.145,84.70750000000001,-2452.4795000000004,122.07300000000001,245.762,-1838.9434999999999,98.851,132.9235,-1932.144,887.351,-225.964,-1869.7855,981.9095,438.9955,-2383.784,889.766,210.1565,-1822.1170000000002,313.8805,123.359,-2321.6375,296.999,-91.1695,-2050.3625,723.7175,92.60300000000001,-2351.0829999999996,831.0305000000001,130.503,-2100.295,1000.21,25.866,1.818,1.8515,-14.1815,0.7815,8.943,8.417,0.7165,6.4795,8.417,-0.7165,-6.4795,-49.075500000000005,-26.639000000000003,-15.8345,-48.172,-11.471499999999999,-8.8045,0.0645,0.0495,0.8365,-0.1965,-0.074,0.768,-37.9075,6.812,-1.5845,-92.3255,19.6645,-3.7560000000000002
6.165,81.1925,-2443.7375,131.62349999999998,245.2295,-1831.166,96.12700000000001,134.64350000000002,-1902.9785,886.0630000000001,-224.61950000000002,-1847.5835000000002,980.664,438.424,-2360.4955,890.312,208.75549999999998,-1800.6685,308.9475,120.0925,-2298.4905,295.363,-89.108,-2028.725,723.2685,93.9065,-2314.9785,827.4155000000001,131.654,-2073.71,1000.012,25.875999999999998,2.645,1.662,-13.9665,-0.1365,8.5425,7.744,1.491,6.558999999999999,7.744,-1.491,-6.558999999999999,-50.388000000000005,-27.1265,-13.8765,-48.797,-11.3225,-9.638,0.123,0.053,0.9065000000000001,-0.146,-0.0735,0.7845,-25.792,-3.6045,-1.104,-39.897999999999996,11.692499999999999,0.536
6.1850000000000005,76.9805,-2430.808,143.1775,246.1955,-1824.8735,94.8115,136.592,-1873.967,886.1075,-222.9255,-1827.402,977.511,438.847,-2332.7529999999997,890.069,208.075,-1782.088,305.02099999999996,114.7445,-2268.3535,290.823,-85.0205,-2011.5435,723.242,95.16499999999999,-2281.3385,826.0129999999999,132.905,-2046.9250000000002,1000.97,25.9555,3.5460000000000003,2.0215,-13.0875,-1.3355,8.1145,7.12,2.324,6.609500000000001,7.12,-2.324,-6.609500000000001,-51.6665,-26.866,-12.008500000000002,-49.211,-11.609,-9.769,0.1535,0.046,0.975,-0.1585,-0.0545,0.7645,-11.315,-14.1045,-0.9229999999999999,-10.334,4.923500000000001,3.1125
6.205,72.352,-2412.4660000000003,156.748,247.63400000000001,-1819.8725,94.5115,138.66649999999998,-1845.3919999999998,887.7545,-220.86,-1809.305,972.5350000000001,440.42100000000005,-2300.6040000000003,888.99,207.2885,-1767.643,302.067,107.0115,-2231.6295,282.493,-78.85849999999999,-1998.607,723.7785,95.959,-2251.031,826.969,134.11,-2020.145,1002.855,25.934,4.553,3.2039999999999997,-11.547999999999998,-2.7535,7.6075,6.7595,3.16,6.593,6.7595,-3.16,-6.593,-52.814499999999995,-25.9005,-10.8975,-49.2255,-11.8835,-9.566500000000001,0.14300000000000002,0.0305,1.018,-0.20800000000000002,-0.025,0.708,8.568999999999999,-20.0075,0.6679999999999999,8.93,7.102,2.6045
6.225,67.6695,-2388.102,172.149,248.589,-1815.859,94.6105,140.638,-1817.4595,890.7405,-218.39800000000002,-1793.3319999999999,965.8199999999999,443.278,-2264.1105,887.153,205.9305,-1757.1915,299.8575,97.47200000000001,-2190.5015000000003,270.67949999999996,-70.728,-1989.4180000000001,724.913,96.417,-2225.7585,830.2785,135.24599999999998,-1993.62,1005.21,25.427500000000002,5.5794999999999995,4.871499999999999,-9.437999999999999,-4.241,7.0115,6.7315000000000005,3.9065000000000003,6.4384999999999994,6.7315000000000005,-3.9065000000000003,-6.4384999999999994,-53.589,-24.83,-11.064499999999999,-48.902,-11.895,-9.449,0.095,0.011,1.0154999999999998,-0.2565,0.005,0.637,41.47,-23.173000000000002,4.382,15.439,9.1615,2.0715
6.245,63.432,-2357.746,188.692,248.673,-1812.8285,94.7175,142.137,-1790.4285,894.238,-215.5695,-1779.357,957.4594999999999,447.465,-2223.4475,884.649,203.965,-1750.313,298.23699999999997,87.5865,-2147.759,257.663,-60.579,-1983.1765,726.648,97.9255,-2205.6549999999997,835.0735,136.3875,-1967.56,1007.5999999999999,24.2375,6.49,6.281000000000001,-6.846,-5.616,6.404,6.9185,4.4495000000000005,6.115,6.9185,-4.4495000000000005,-6.115,-53.801,-24.2725,-12.192,-48.447,-11.6645,-9.5815,0.0315,-0.0085,0.9575,-0.2795,0.028,0.581,91.513,-27.3465,7.175,14.062000000000001,9.233,1.572
6.265,60.1605,-2321.7259999999997,204.98649999999998,248.1055,-1810.9545,94.79650000000001,142.937,-1764.517,897.4955,-212.42000000000002,-1767.297,947.6605,452.861,-2178.7645,881.6165,201.59699999999998,-1746.326,297.15049999999997,79.0,-2104.7394999999997,247.35750000000002,-48.1205,-1978.972,729.1075000000001,102.453,-2188.4215000000004,839.8195000000001,137.5515,-1942.01,1009.8699999999999,22.485999999999997,7.2115,6.926,-3.8485000000000005,-6.7195,5.8795,7.123,4.718,5.616,7.123,-4.718,-5.616,-53.604,-24.284,-13.4275,-48.0355,-11.413499999999999,-9.8745,-0.023,-0.023,0.852,-0.27,0.0395,0.5575000000000001,147.404,-30.4165,4.6855,8.8405,4.056,0.7955
6.285,58.1325,-2280.3419999999996,219.269,247.334,-1810.126,94.90899999999999,143.1735,-1739.715,900.3969999999999,-208.97,-1757.2745,936.883,459.111,-2130.08,878.4935,199.1205,-1744.184,296.4765,72.952,-2060.502,243.44400000000002,-33.035,-1976.056,732.645,111.1255,-2171.8725,843.5295,138.673,-1916.885,1012.165,20.450499999999998,7.7405,6.968,-0.5315,-7.43,5.379,7.237,4.728,4.945,7.237,-4.728,-4.945,-53.253,-24.503,-14.3515,-47.7815,-11.397,-10.15,-0.053500000000000006,-0.032,0.7185,-0.237,0.0405,0.5635,189.43099999999998,-27.414,-0.529,-1.433,-8.0455,0.7885
6.305,57.2205,-2233.8630000000003,229.905,246.65800000000002,-1809.9435,95.064,143.1255,-1715.9385,903.3040000000001,-205.20749999999998,-1749.6005,925.7655,465.7255,-2077.5,875.8575,197.023,-1743.0014999999999,296.098,69.644,-2013.2820000000002,246.8755,-15.122,-1973.7635,737.7605000000001,124.268,-2154.0665,845.639,139.71249999999998,-1892.1100000000001,1014.745,18.369500000000002,8.040000000000001,6.9559999999999995,3.0175,-7.6785,4.8260000000000005,7.2524999999999995,4.5155,4.179,7.2524999999999995,-4.5155,-4.179,-52.8465,-24.552,-15.105,-47.632000000000005,-11.568999999999999,-10.3275,-0.063,-0.034,0.5835,-0.192,0.036000000000000004,0.5845,201.87650000000002,-17.381999999999998,-2.578,-8.7015,-20.0645,2.3834999999999997
6.325,56.9725,-2182.8,235.6855,246.104,-1809.924,95.1945,143.0085,-1692.989,906.5615,-201.074,-1744.4035,914.9545,472.264,-2021.576,874.3795,195.96949999999998,-1742.2205,295.959,68.14,-1962.3615,255.2615,5.545,-1971.3025,744.822,141.76299999999998,-2133.6035,845.8205,140.681,-1867.6399999999999,1017.75,16.3385,8.049,7.226,6.6845,-7.5085,4.2225,7.1775,4.0925,3.42,7.1775,-4.0925,-3.42,-52.424,-24.3735,-15.704999999999998,-47.4235,-11.628499999999999,-10.42,-0.0645,-0.0325,0.46499999999999997,-0.14700000000000002,0.027999999999999997,0.6025,186.70999999999998,-6.016500000000001,-2.5195,-9.094999999999999,-22.25,3.4160000000000004
