Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
5.615,109.7315,-1709.88,126.2235,341.077,-1036.7939999999999,108.47149999999999,177.05849999999998,-1142.8395,900.858,-148.917,-1058.5439999999999,994.511,543.5165,-1293.58,872.6904999999999,290.017,-993.8019999999999,332.3775,157.493,-1563.9009999999998,307.67150000000004,-127.9375,-1325.9415,758.2345,501.8415,-1638.846,809.697,197.7025,-1316.635,1045.21,33.2415,-0.9125000000000001,-1.373,-7.3845,1.117,-7.2595,-6.15,4.0285,8.754999999999999,-6.15,-4.0285,-8.754999999999999,-38.748,-8.716000000000001,-8.440999999999999,-40.456500000000005,0.4165,-2.83,0.1825,-0.0175,0.986,-0.2365,0.0315,0.857,-31.4575,-2.414,-2.8754999999999997,-150.24599999999998,-12.7385,-1.5325000000000002
5.635,108.23599999999999,-1698.891,137.4905,340.97950000000003,-1026.3670000000002,105.199,179.66,-1111.8135,900.698,-148.97,-1041.7535,984.4425,545.5795,-1264.9775,869.239,290.5185,-968.0625,324.725,155.101,-1533.8245000000002,302.28999999999996,-120.854,-1316.489,757.0415,501.9875,-1610.599,808.158,199.755,-1288.495,1044.505,32.1795,-0.10850000000000001,-0.6639999999999999,-6.822,-0.0635,-7.9265,-6.0115,5.167999999999999,8.468,-6.0115,-5.167999999999999,-8.468,-39.236000000000004,-9.189,-6.9295,-41.447500000000005,0.4555,-3.4615,0.2155,-0.0335,1.0995,-0.15050000000000002,-0.007500000000000001,0.8745,-16.509999999999998,-13.7815,-2.5060000000000002,-68.694,0.6659999999999999,0.08049999999999999
5.655,106.469,-1682.1174999999998,151.909,341.2105,-1018.873,103.4815,183.096,-1080.5990000000002,902.8135,-148.76049999999998,-1027.229,973.7955,547.4725,-1235.2044999999998,867.9275,290.262,-948.006,318.4575,150.262,-1494.859,292.052,-111.852,-1311.1035,757.936,502.298,-1580.984,808.022,201.7555,-1259.885,1045.545,31.236,0.9375,-0.089,-5.5735,-1.5474999999999999,-8.483,-5.864,6.393000000000001,7.9735,-5.864,-6.393000000000001,-7.9735,-40.054,-9.022,-5.686,-41.919,0.25,-3.8575,0.188,-0.051500000000000004,1.1840000000000002,-0.128,-0.038,0.847,1.8145000000000002,-21.174,-0.813,-21.2565,12.756,1.4555
5.675,104.6125,-1658.1979999999999,169.404,341.7315,-1014.0264999999999,103.13,187.21800000000002,-1049.719,906.941,-148.137,-1014.6945000000001,963.1585,549.006,-1204.004,868.639,289.5505,-935.2684999999999,314.6115,142.44650000000001,-1449.5149999999999,276.6105,-100.9175,-1309.1195,761.4825000000001,502.956,-1549.9099999999999,809.2284999999999,203.49599999999998,-1231.0,1048.125,30.5465,2.206,0.47850000000000004,-3.614,-3.3095,-8.891,-5.6530000000000005,7.683,7.2935,-5.6530000000000005,-7.683,-7.2935,-41.323499999999996,-7.949,-5.523,-41.762,-0.048,-4.0375,0.1015,-0.0675,1.2045,-0.151,-0.0485,0.765,25.935000000000002,-23.6525,1.6989999999999998,7.2375,20.031,1.682
5.695,102.745,-1626.6185,189.3795,342.435,-1011.437,103.53,191.678,-1019.568,912.374,-146.9105,-1003.4655,952.921,550.0785000000001,-1171.1965,870.9515,289.27,-928.503,313.0085,132.35649999999998,-1401.9405,258.392,-88.34649999999999,-1309.209,767.777,504.674,-1517.226,811.3585,204.982,-1202.13,1051.6599999999999,29.854,3.548,1.0030000000000001,-1.0655,-5.2044999999999995,-9.151499999999999,-5.3445,8.885,6.504,-5.3445,-8.885,-6.504,-42.7375,-6.3,-6.9905,-41.137,-0.25,-4.167999999999999,-0.0155,-0.08349999999999999,1.138,-0.187,-0.036500000000000005,0.6515,59.3335,-25.1975,3.7275,25.329,16.7795,2.2205000000000004
5.715,100.9165,-1588.0005,210.663,343.0815,-1010.3679999999999,104.049,195.7835,-990.4345000000001,918.187,-144.8655,-992.5464999999999,943.177,550.7845,-1136.8405,874.514,289.7365,-925.0799999999999,312.6515,122.40100000000001,-1355.1945,242.6245,-74.918,-1309.596,776.223,508.337,-1482.8085,813.7705,206.3945,-1173.67,1055.54,28.7675,4.643000000000001,1.1375000000000002,1.852,-6.9544999999999995,-9.279,-4.943,9.744,5.747,-4.943,-9.744,-5.747,-43.712,-4.931,-9.530000000000001,-40.3585,-0.244,-4.269500000000001,-0.11850000000000001,-0.10350000000000001,0.9864999999999999,-0.208,-0.009000000000000001,0.548,103.64599999999999,-32.652,3.8244999999999996,30.729,6.7905,2.787
5.735,99.291,-1543.779,231.5695,343.3985,-1010.0735,104.343,198.7695,-962.4925000000001,923.5174999999999,-141.79399999999998,-980.8845,933.7635,551.3015,-1101.1515,879.139,290.519,-922.9765,312.6245,115.0025,-1309.06,234.8735,-61.8485,-1308.594,785.752,514.505,-1446.615,815.8675000000001,207.8305,-1145.9,1059.3200000000002,27.147,5.1915,0.495,4.977,-8.263,-9.3015,-4.531499999999999,10.0825,5.140000000000001,-4.531499999999999,-10.0825,-5.140000000000001,-44.041,-4.381,-11.839500000000001,-39.6855,-0.046,-4.2455,-0.1725,-0.1255,0.7829999999999999,-0.2065,0.023,0.49,152.9525,-45.836,1.6544999999999999,22.537,-0.6065,2.0300000000000002
5.755,98.09649999999999,-1495.442,250.127,343.31449999999995,-1010.0274999999999,104.416,200.22050000000002,-935.7864999999999,927.903,-137.57999999999998,-967.876,924.4205,551.6914999999999,-1064.403,884.677,291.0485,-921.264,312.52200000000005,110.76650000000001,-1261.098,237.5675,-50.2195,-1305.179,795.3135,522.9984999999999,-1408.705,817.3344999999999,209.19,-1118.845,1062.905,25.201999999999998,5.151,-0.952,8.271,-8.961500000000001,-9.238,-4.2125,9.9145,4.731999999999999,-4.2125,-9.9145,-4.731999999999999,-43.900999999999996,-4.493,-13.091999999999999,-39.208,0.22799999999999998,-4.098,-0.17099999999999999,-0.14350000000000002,0.5715,-0.191,0.051500000000000004,0.488,192.4435,-57.2605,-1.0025,7.792,-2.035,0.2555
5.775,97.428,-1443.9395,264.418,342.98,-1009.9300000000001,104.4485,200.3225,-910.172,931.4159999999999,-132.348,-953.7395,915.1410000000001,551.8435,-1026.7604999999999,890.9385,291.0575,-919.7745,312.325,108.99600000000001,-1209.5215,249.06,-40.266,-1299.0725,804.2515000000001,532.858,-1369.279,818.1825,210.3365,-1092.345,1066.3899999999999,23.2635,4.7405,-2.819,11.734,-9.043,-9.1055,-4.0595,9.3585,4.4945,-4.0595,-9.3585,-4.4945,-43.546,-4.9125,-13.2895,-38.9135,0.444,-3.9255,-0.135,-0.148,0.39049999999999996,-0.173,0.07,0.5265,206.005,-62.027,-1.794,-4.8,-2.357,-0.85
5.795,97.22399999999999,-1389.682,272.966,342.552,-1009.6610000000001,104.588,199.74900000000002,-885.2909999999999,934.5805,-126.68,-939.4024999999999,906.4739999999999,551.5975000000001,-988.4235,897.789,290.62850000000003,-918.518,312.134,109.004,-1154.434,265.2355,-31.261000000000003,-1290.51,812.309,542.7819999999999,-1328.6855,818.6425,211.286,-1066.1750000000002,1069.9099999999999,21.4715,4.242,-4.545,15.262,-8.620000000000001,-8.9125,-4.066000000000001,8.528500000000001,4.3435,-4.066000000000001,-8.528500000000001,-4.3435,-43.162000000000006,-5.484500000000001,-12.754,-38.744,0.5525,-3.793,-0.0955,-0.134,0.259,-0.158,0.0755,0.577,191.7265,-60.53,-1.051,-10.117,-5.1715,-0.9744999999999999
