Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
7.895,144.589,-1598.696,136.099,366.03049999999996,-967.5830000000001,105.72,220.12099999999998,-1061.9904999999999,883.9069999999999,-86.637,-850.0165,1060.4245,629.6735,-1366.12,881.9795,332.322,-953.828,329.769,173.793,-1471.7155,312.3405,-149.1105,-1032.8600000000001,791.2515,425.602,-1621.165,844.6285,217.107,-1220.19,1026.3400000000001,31.982,0.079,-7.847,-5.7989999999999995,-1.5635,-8.190000000000001,-1.0675,4.051,8.838000000000001,-1.0675,-4.051,-8.838000000000001,-35.17,-6.8865,-6.541499999999999,-43.112,-10.9315,-9.798,0.132,-0.044,1.06,-0.32299999999999995,-0.194,0.7264999999999999,-41.939,-25.688000000000002,2.746,-125.7115,57.518,7.791499999999999
7.915,142.96300000000002,-1585.212,148.549,364.8275,-956.317,102.339,222.32100000000003,-1030.8125,883.3924999999999,-83.99600000000001,-826.8025,1055.0194999999999,631.394,-1336.2359999999999,878.973,331.006,-928.3785,323.652,170.9885,-1438.8490000000002,310.0105,-144.9715,-1013.3645,787.8789999999999,425.604,-1589.1675,841.2365,219.7185,-1191.135,1025.15,31.384999999999998,0.6635,-8.533,-5.303,-2.95,-8.6975,-0.8505,4.8325,9.0625,-0.8505,-4.8325,-9.0625,-36.366,-7.791499999999999,-5.236000000000001,-43.839,-10.589500000000001,-10.6265,0.126,-0.066,1.1585,-0.255,-0.1815,0.7905,-34.716,-34.6035,4.1085,-82.7695,39.951,13.0435
7.9350000000000005,141.4265,-1565.5990000000002,164.47899999999998,364.7375,-948.075,100.41499999999999,224.4955,-1000.059,883.7425000000001,-81.14750000000001,-805.2875,1048.0175,633.061,-1302.8135000000002,876.417,330.6755,-906.6775,318.45349999999996,166.3715,-1397.988,304.6515,-140.89100000000002,-998.5435,784.4739999999999,427.3795,-1554.7220000000002,838.0405000000001,222.3,-1161.865,1025.0300000000002,30.948500000000003,1.1585,-8.54,-3.9330000000000003,-4.471,-9.245000000000001,-0.7130000000000001,5.522,9.0605,-0.7130000000000001,-5.522,-9.0605,-37.8255,-8.374500000000001,-4.0925,-43.8735,-10.048,-11.3055,0.078,-0.086,1.1949999999999998,-0.2295,-0.1395,0.823,-9.908,-37.035,3.6715,-51.0535,17.9405,11.785499999999999
7.955,139.915,-1538.8485,183.52100000000002,364.972,-942.822,99.836,227.005,-970.1030000000001,885.287,-78.16,-785.4375,1039.5405,634.779,-1265.4254999999998,874.3015,330.641,-890.7674999999999,314.823,160.361,-1352.183,297.681,-136.7025,-988.1320000000001,781.1614999999999,431.52549999999997,-1517.9115000000002,835.033,224.724,-1132.6550000000002,1026.015,30.5585,1.6715,-7.755,-1.7530000000000001,-6.1085,-9.8145,-0.5045,6.1754999999999995,8.768,-0.5045,-6.1754999999999995,-8.768,-39.567,-8.6465,-3.343,-43.033,-9.225999999999999,-11.751000000000001,0.01,-0.10450000000000001,1.142,-0.2375,-0.0835,0.802,41.54,-36.744,0.03149999999999997,-18.7285,4.8315,7.2395
7.975,138.3795,-1504.7440000000001,204.2475,364.99850000000004,-940.047,100.156,229.786,-941.081,888.155,-75.3055,-767.4565,1029.721,636.5985000000001,-1223.6570000000002,872.7645,330.557,-880.5715,312.87850000000003,154.73250000000002,-1304.5565,292.5985,-132.2015,-981.783,778.102,438.545,-1478.71,832.0,226.9345,-1103.775,1027.975,29.860999999999997,2.2030000000000003,-6.661,1.054,-7.7255,-10.271,-0.136,6.806,8.2335,-0.136,-6.806,-8.2335,-41.1855,-8.777000000000001,-3.134,-41.5595,-8.220500000000001,-11.932,-0.0445,-0.122,0.9995,-0.256,-0.032,0.7344999999999999,115.3125,-41.1545,-5.0335,10.4255,-0.911,3.2175000000000002
7.995,136.927,-1463.817,224.21949999999998,364.6535,-938.8330000000001,100.78,232.305,-912.9335,892.1425,-72.977,-751.6965,1018.7845,638.4485,-1177.2705,872.178,330.348,-874.623,312.13199999999995,151.1945,-1256.135,292.69100000000003,-127.217,-979.1279999999999,775.515,448.4865,-1437.011,828.7715000000001,228.901,-1075.44,1030.705,28.572000000000003,2.645,-5.971,4.2635000000000005,-9.063500000000001,-10.4695,0.336,7.309,7.592,0.336,-7.309,-7.592,-42.2535,-8.9085,-3.3715,-39.9725,-7.2615,-11.859,-0.059,-0.1355,0.8,-0.2635,0.0015,0.65,191.3075,-51.674,-8.353,26.4235,-4.221,0.749
8.015,135.726,-1416.969,240.5925,363.973,-938.3435,101.3065,233.98250000000002,-885.5895,896.8489999999999,-71.525,-738.4475,1007.0415,640.097,-1126.406,873.117,329.9985,-871.288,311.959,149.8145,-1206.225,298.34900000000005,-121.64,-979.876,773.7645,460.927,-1392.683,825.4159999999999,230.583,-1047.715,1034.0700000000002,26.7075,2.885,-6.09,7.6675,-9.857,-10.3925,0.752,7.4990000000000006,6.976000000000001,0.752,-7.4990000000000006,-6.976000000000001,-42.634,-8.969000000000001,-3.8625,-38.7335,-6.5405,-11.6095,-0.0365,-0.141,0.591,-0.255,0.012,0.584,244.0035,-61.2145,-8.553,26.026,-3.8905000000000003,-1.2535
8.035,134.8305,-1365.1385,251.01049999999998,363.2015,-938.0805,101.7285,234.7315,-858.9455,901.9565,-71.189,-727.85,994.838,641.1985,-1071.641,876.1285,329.525,-869.2650000000001,312.0015,149.5895,-1154.1644999999999,307.3405,-115.309,-983.7625,773.2995000000001,475.039,-1345.6444999999999,822.211,231.976,-1020.5550000000001,1037.995,24.5045,2.9065000000000003,-6.852,11.086500000000001,-10.000499999999999,-10.143,0.9635,7.2485,6.425000000000001,0.9635,-7.2485,-6.425000000000001,-42.522999999999996,-8.8695,-4.4435,-38.0125,-6.147,-11.3155,-0.003,-0.135,0.4145,-0.23249999999999998,0.005,0.5555000000000001,256.861,-62.6795,-6.623,15.858,-0.3385,-2.3795
8.055,134.18650000000002,-1309.1775,254.25099999999998,362.6175,-937.8430000000001,102.23,235.0335,-832.9075,907.289,-72.137,-719.938,982.5264999999999,641.402,-1013.9169999999999,881.5395,328.995,-867.656,312.1615,149.821,-1100.2005,317.04200000000003,-108.11349999999999,-990.358,774.5655,489.88300000000004,-1295.8925,819.4590000000001,233.173,-993.8615,1042.425,22.194499999999998,2.738,-7.707,14.3605,-9.5945,-9.8195,0.917,6.58,5.877000000000001,0.917,-6.58,-5.877000000000001,-42.2585,-8.686499999999999,-4.980499999999999,-37.713,-6.0585,-11.0825,0.0095,-0.1205,0.2955,-0.2015,-0.01,0.56,232.07299999999998,-55.2475,-4.273,5.233499999999999,1.774,-1.8455
8.075,133.6915,-1249.724,250.33999999999997,362.25800000000004,-937.605,102.888,235.537,-807.2905000000001,912.7705000000001,-74.45249999999999,-714.6189999999999,970.3885,640.534,-954.4335,889.3815,328.481,-865.9784999999999,312.424,150.4305,-1045.1325,325.779,-100.0155,-998.8345,777.7135000000001,504.7045,-1243.4724999999999,817.2365,234.30349999999999,-967.5554999999999,1047.115,19.8495,2.396,-8.1745,17.3455,-8.879999999999999,-9.4845,0.6805,5.6475,5.2255,0.6805,-5.6475,-5.2255,-42.0595,-8.536999999999999,-5.3655,-37.659,-6.1545000000000005,-10.924,-0.013,-0.101,0.2415,-0.16649999999999998,-0.023,0.578,184.244,-42.7455,-2.2405,-2.788,-0.4455,-0.612
