Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
8.585,119.2855,-1609.5295,173.728,300.905,-1013.35,127.7435,203.1355,-1098.5445,804.0785000000001,-90.187,-1028.3494999999998,916.828,559.4490000000001,-1448.8895,814.211,276.65,-1030.1979999999999,318.284,137.373,-1467.6595,314.2745,-83.618,-1221.777,684.545,330.64549999999997,-1611.0810000000001,774.3425,200.351,-1247.405,937.447,31.3275,-1.502,4.4544999999999995,-8.797,-0.9135,-0.5955,-4.2524999999999995,3.415,5.0245,-4.2524999999999995,-3.415,-5.0245,-38.639,-4.465999999999999,-1.5715,-38.403999999999996,-0.1295,-3.982,0.0735,0.076,0.896,-0.039,-0.0905,0.7735000000000001,-22.046,-1.509,2.0005,-47.1435,-0.467,-1.3475
8.605,117.328,-1596.2224999999999,184.01850000000002,299.908,-1004.2635,123.2065,206.5315,-1069.163,802.7204999999999,-88.383,-1008.7194999999999,905.0185,562.53,-1415.4265,809.7280000000001,275.775,-1006.7964999999999,313.4665,135.07600000000002,-1439.105,307.576,-76.7995,-1209.7265,679.3235,335.718,-1580.3805,769.6289999999999,202.552,-1220.9099999999999,935.3185000000001,30.781,-0.512,4.1445,-8.414,-1.9745,-0.9455,-4.321,3.9695,5.027,-4.321,-3.9695,-5.027,-39.248,-5.709,0.12599999999999997,-39.0095,0.272,-4.574999999999999,0.07250000000000001,0.08449999999999999,0.9784999999999999,-0.026500000000000003,-0.106,0.837,-11.5545,-3.2365,3.513,-6.617999999999999,-0.04849999999999999,1.114
8.625,114.95400000000001,-1577.8854999999999,196.4745,299.52549999999997,-996.587,120.00999999999999,211.225,-1039.7125,802.447,-86.6225,-992.2655,892.3125,565.5475,-1379.652,805.6990000000001,275.517,-984.977,309.32349999999997,130.379,-1404.797,297.041,-68.9525,-1202.365,675.3675000000001,341.50149999999996,-1547.914,765.0615,204.8365,-1194.0549999999998,934.29,30.271,0.7424999999999999,4.659,-7.429,-3.3285,-1.464,-4.4955,4.656499999999999,4.737500000000001,-4.4955,-4.656499999999999,-4.737500000000001,-40.1375,-6.8415,1.832,-39.535,0.5015000000000001,-5.0125,0.0455,0.066,1.033,-0.071,-0.0975,0.8545,2.8455000000000004,-9.093,5.627,9.536999999999999,-2.6135,2.6864999999999997
8.645,112.49199999999999,-1553.5995,210.8855,299.6035,-990.325,118.02600000000001,217.1005,-1010.654,803.2339999999999,-84.75049999999999,-978.9045000000001,879.385,568.539,-1341.458,802.277,275.872,-966.4905,305.9585,123.0825,-1366.6515,283.42650000000003,-60.376000000000005,-1199.2935,673.3344999999999,348.3865,-1513.8400000000001,760.612,207.11599999999999,-1167.13,934.3325,29.6415,2.2455,5.927,-5.7965,-4.9415,-2.098,-4.7405,5.4405,4.1495,-4.7405,-5.4405,-4.1495,-41.396,-7.48,3.085,-39.864999999999995,0.72,-5.2645,-0.009000000000000001,0.0235,1.036,-0.1385,-0.0645,0.8180000000000001,24.046,-18.2675,7.563000000000001,11.8945,-6.6715,2.5575
8.665,110.51650000000001,-1522.9470000000001,226.5985,299.876,-985.604,116.94800000000001,223.578,-982.3615,804.9449999999999,-82.66900000000001,-968.3389999999999,866.852,571.518,-1300.7685000000001,799.642,276.707,-952.142,303.443,114.1465,-1326.9189999999999,269.7365,-51.536500000000004,-1199.9515000000001,673.8605,356.5795,-1478.15,756.0955,209.305,-1140.4099999999999,935.2860000000001,28.68,3.8375,7.454000000000001,-3.558,-6.6785,-2.716,-5.0125,6.237,3.3405,-5.0125,-6.237,-3.3405,-42.92,-7.411,3.3895,-39.8845,1.0779999999999998,-5.4335,-0.0765,-0.0305,0.976,-0.1925,-0.018,0.744,51.564,-27.9125,8.164000000000001,9.4215,-10.5705,1.3225
8.684999999999999,109.6325,-1486.1675,242.4925,300.098,-982.3565000000001,116.475,229.7335,-955.0485000000001,807.3765000000001,-80.3875,-960.0985000000001,855.2025000000001,574.434,-1257.5845,797.999,277.73800000000006,-941.7874999999999,301.71400000000006,105.735,-1286.3285,260.178,-42.994,-1203.531,677.384,366.057,-1440.7575000000002,751.2684999999999,211.3465,-1114.125,936.9585,27.2625,5.241,8.561,-0.821,-8.298,-3.159,-5.2605,6.906,2.4610000000000003,-5.2605,-6.906,-2.4610000000000003,-44.3125,-6.947,2.6390000000000002,-39.5665,1.5955,-5.638,-0.1385,-0.0775,0.857,-0.2125,0.027,0.6635,82.09049999999999,-34.065,6.4670000000000005,6.7755,-13.8935,0.025999999999999995
8.705,110.184,-1444.075,257.10200000000003,300.1445,-980.2815,116.3755,234.62599999999998,-928.7505,810.3489999999999,-78.02699999999999,-953.6655000000001,844.7895,577.1555,-1212.0985,797.5664999999999,278.65700000000004,-934.6969999999999,300.6085,100.12049999999999,-1243.79,257.7065,-35.2795,-1209.0475000000001,684.0525,376.66949999999997,-1401.5520000000001,746.011,213.21749999999997,-1088.3899999999999,939.1949999999999,25.433500000000002,6.189,8.7865,2.2735,-9.5075,-3.3,-5.4385,7.2785,1.681,-5.4385,-7.2785,-1.681,-45.2355,-6.6045,1.2195,-38.9955,2.1855,-5.9395,-0.179,-0.10200000000000001,0.7005,-0.2,0.056999999999999995,0.604,108.7185,-33.4785,2.359,5.0225,-16.398,-0.6035
8.725000000000001,112.0385,-1397.763,268.8675,300.0055,-978.958,116.4985,237.7135,-903.4079999999999,813.783,-75.797,-948.6185,835.845,579.5084999999999,-1164.6115,798.5525,279.28,-929.9010000000001,299.9375,98.327,-1197.9740000000002,262.38149999999996,-28.8545,-1215.4925,693.704,388.312,-1360.5625,740.444,214.9305,-1063.225,941.9055000000001,23.341,6.555,8.1985,5.5865,-10.063,-3.1205,-5.525,7.2135,1.1155,-5.525,-7.2135,-1.1155,-45.5215,-6.513999999999999,-0.33699999999999997,-38.321,2.749,-6.3294999999999995,-0.1905,-0.0935,0.5385,-0.16749999999999998,0.0665,0.576,124.6115,-26.316499999999998,-3.6055,3.5380000000000003,-17.918,-0.5635
8.745000000000001,114.6265,-1348.258,276.446,299.7135,-977.994,116.755,239.0575,-878.9275,817.6469999999999,-73.967,-944.6825,828.5325,581.3035,-1115.4859999999999,801.155,279.567,-926.4535,299.541,99.995,-1148.7375,272.082,-23.97,-1221.939,705.8779999999999,400.99300000000005,-1317.9175,734.9069999999999,216.5245,-1038.63,945.0160000000001,21.141,6.385,7.3135,8.998000000000001,-9.8685,-2.717,-5.5235,6.6605,0.7725,-5.5235,-6.6605,-0.7725,-45.2385,-6.38,-1.6995,-37.677,3.2375,-6.768,-0.181,-0.0555,0.40149999999999997,-0.127,0.06,0.575,126.4355,-15.560500000000001,-9.8775,1.835,-17.923000000000002,-0.3395
8.765,117.2005,-1296.3065,278.9665,299.29650000000004,-977.1244999999999,117.1055,239.257,-855.261,821.817,-72.834,-941.713,822.953,582.3565000000001,-1065.057,805.528,279.5615,-923.5605,299.296,104.0715,-1096.9969999999998,283.988,-20.426,-1227.6625,719.855,414.731,-1273.7655,729.7985,218.04399999999998,-1014.54,948.392,18.95,5.8275,6.727,12.418,-9.023499999999999,-2.2645,-5.4765,5.672499999999999,0.5505,-5.4765,-5.672499999999999,-0.5505,-44.659499999999994,-5.9495000000000005,-2.729,-37.107,3.6470000000000002,-7.2195,-0.1635,-0.002,0.307,-0.088,0.0445,0.5865,114.896,-5.6185,-13.98,0.08149999999999999,-16.511499999999998,-0.2835
