Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
4.635,80.0175,-1695.0104999999999,164.156,279.08050000000003,-1038.9885,104.1115,175.8345,-1148.5720000000001,800.3835,-136.04500000000002,-1076.1280000000002,855.9365,521.0535,-1414.0275000000001,802.892,255.9735,-1031.8615,292.581,107.0675,-1527.3515,271.358,-151.0725,-1306.888,704.1705,415.71950000000004,-1651.4545,819.307,176.8975,-1290.625,914.6825,28.0375,-0.9604999999999999,-13.733,-20.012999999999998,1.8094999999999999,-3.5155,9.0555,-1.1755,5.803000000000001,9.0555,1.1755,-5.803000000000001,-34.9995,-14.595500000000001,-17.1065,-39.2975,-11.8015,-11.1845,0.197,-0.042,0.9485,-0.2915,-0.16149999999999998,0.8674999999999999,-3.2595,-7.218500000000001,1.396,-84.00200000000001,51.946,1.0635
4.655,78.1335,-1674.8885,177.2715,275.4905,-1027.5349999999999,99.8475,180.975,-1112.8094999999998,798.549,-133.305,-1050.812,852.8265,525.3065,-1387.395,800.883,253.5915,-1004.6289999999999,285.476,100.3535,-1493.726,259.9045,-142.92399999999998,-1282.3564999999999,702.131,419.706,-1623.404,821.481,180.173,-1257.565,913.3815,28.022,0.15899999999999997,-13.5575,-19.17,0.758,-4.7075,8.411,-0.1915,5.256,8.411,0.1915,-5.256,-36.8535,-14.354,-16.237000000000002,-39.6455,-10.381499999999999,-12.403500000000001,0.183,-0.07450000000000001,1.0335,-0.278,-0.1875,0.928,6.9495000000000005,-17.711,1.751,-37.923,52.5795,4.577
4.675,76.5465,-1648.0445,192.5435,273.8195,-1018.638,97.539,186.4855,-1077.5385,797.9375,-130.19549999999998,-1027.7315,849.6875,529.9159999999999,-1358.2804999999998,799.6185,252.52100000000002,-980.6324999999999,279.5045,92.014,-1456.8184999999999,246.3075,-134.1245,-1260.9295,701.4255,425.23,-1593.3225000000002,824.0125,183.428,-1224.54,913.137,27.662,1.527,-13.1285,-17.494999999999997,-0.786,-6.0115,7.867,1.1215,4.6419999999999995,7.867,-1.1215,-4.6419999999999995,-38.7055,-13.442,-16.444499999999998,-39.6085,-9.254,-13.346,0.13,-0.11099999999999999,1.0910000000000002,-0.301,-0.1725,0.933,26.683999999999997,-27.604,2.2525,-16.249499999999998,42.0505,6.3735
4.695,75.633,-1613.978,209.34199999999998,273.69,-1012.0525,96.83099999999999,191.954,-1043.352,799.0215000000001,-126.74199999999999,-1006.8154999999999,846.6424999999999,534.9105,-1326.146,799.182,252.29649999999998,-961.5264999999999,275.0475,84.68549999999999,-1417.9105,234.059,-124.7675,-1242.547,702.273,432.58500000000004,-1561.0590000000002,826.6745000000001,186.47699999999998,-1191.9650000000001,913.999,26.866,3.122,-12.415,-15.111,-2.7685,-7.27,7.66,2.7155,4.04,7.66,-2.7155,-4.04,-40.138,-12.5125,-17.5915,-39.065,-8.4415,-13.793,0.0475,-0.14200000000000002,1.093,-0.3375,-0.122,0.876,59.069500000000005,-35.641999999999996,2.043,-4.994,25.941,6.059
4.715,75.7245,-1572.9085,226.4365,274.3695,-1007.6445,97.053,196.878,-1010.5595000000001,802.042,-122.991,-987.8795,843.819,540.2525,-1290.716,799.819,252.547,-947.885,272.18899999999996,81.1165,-1376.4054999999998,227.1415,-115.11850000000001,-1226.968,704.8695,441.602,-1526.554,829.1435,189.19650000000001,-1160.19,915.933,25.447499999999998,4.807,-11.498,-12.1955,-4.938,-8.368,7.9025,4.3975,3.5039999999999996,7.9025,-4.3975,-3.5039999999999996,-41.0095,-12.205,-18.9645,-38.105000000000004,-7.807,-13.8325,-0.04,-0.1575,1.025,-0.3585,-0.051500000000000004,0.778,99.604,-40.528,0.356,3.952,10.4695,4.3755
4.735,76.98949999999999,-1525.6025,242.15699999999998,275.17449999999997,-1005.048,97.5985,200.7905,-979.2215,806.777,-119.0155,-970.5935,841.3019999999999,545.8045,-1252.12,801.847,252.94650000000001,-939.1225,270.6595,82.047,-1330.464,227.209,-105.6305,-1213.71,709.2925,451.608,-1489.867,830.9945,191.5845,-1129.33,918.8205,23.3025,6.293,-10.637,-8.863,-6.907,-9.306999999999999,8.4865,5.8495,3.0495,8.4865,-5.8495,-3.0495,-41.375,-12.4905,-20.002499999999998,-37.024,-7.2745,-13.678,-0.106,-0.1535,0.8915,-0.34550000000000003,0.0175,0.6759999999999999,138.02,-41.684,-2.3225,11.1275,-0.9134999999999999,2.361
4.755,79.33500000000001,-1473.0695,254.73350000000002,275.6995,-1003.6790000000001,98.122,203.4385,-949.2605,812.614,-114.93299999999999,-954.4795,839.1659999999999,551.3505,-1210.9265,805.4894999999999,253.233,-933.9169999999999,270.00300000000004,86.191,-1278.96,233.152,-96.799,-1202.149,715.4645,461.653,-1451.1925,831.893,193.7355,-1099.345,922.5129999999999,20.5415,7.266,-10.107,-5.15,-8.297,-10.214,9.154499999999999,6.7455,2.659,9.154499999999999,-6.7455,-2.659,-41.3215,-12.856,-20.631,-36.123000000000005,-6.869,-13.4835,-0.139,-0.13,0.7210000000000001,-0.3005,0.0645,0.604,162.5235,-39.355000000000004,-4.6535,14.5605,-7.5325,0.681
4.775,82.44200000000001,-1416.348,262.672,275.8505,-1002.9295,98.5335,204.905,-920.4965,818.8040000000001,-110.9435,-939.1125,837.4285,556.6590000000001,-1167.884,810.713,253.33350000000002,-930.6925,269.788,91.756,-1222.176,242.6345,-89.0195,-1191.6190000000001,723.117,471.057,-1410.7915,831.7205,195.779,-1070.06,926.837,17.4555,7.571,-9.979,-1.0765,-8.8845,-11.2515,9.629,6.9025,2.299,9.629,-6.9025,-2.299,-40.902,-12.904499999999999,-20.9815,-35.540000000000006,-6.628,-13.307500000000001,-0.1475,-0.094,0.5455,-0.237,0.0825,0.5754999999999999,165.47199999999998,-33.9615,-5.672499999999999,12.5565,-10.039000000000001,-0.381
4.795,85.9285,-1356.3455,265.0265,275.7595,-1002.3485000000001,98.9085,205.55849999999998,-892.7529999999999,824.665,-107.315,-924.2760000000001,836.068,561.5445,-1123.702,817.136,253.38549999999998,-928.131,269.744,97.568,-1161.3495,253.44549999999998,-82.38900000000001,-1181.5695,731.7895,479.5825,-1368.8935,830.524,197.809,-1041.275,931.5699999999999,14.363,7.285500000000001,-10.0685,3.301,-8.672,-12.4785,9.732,6.353,1.9385000000000001,9.732,-6.353,-1.9385000000000001,-40.192499999999995,-12.6545,-21.151,-35.2465,-6.5455000000000005,-13.147,-0.15,-0.0565,0.395,-0.16799999999999998,0.075,0.5845,147.97250000000003,-26.767000000000003,-4.786,6.862,-9.154499999999999,-0.8799999999999999
4.8149999999999995,89.5095,-1293.6885,261.509,275.662,-1001.7225,99.3845,205.893,-865.829,829.6865,-104.3495,-910.0145,835.045,565.9085,-1078.9125,824.0965,253.6135,-925.4445000000001,269.779,103.26,-1098.058,264.1115,-76.606,-1171.616,740.844,487.4045,-1325.6655,828.405,199.8625,-1012.8399999999999,936.4035,11.461,6.6495,-10.104,7.8715,-7.856,-13.776,9.433,5.3075,1.5525,9.433,-5.3075,-1.5525,-39.3465,-12.366,-21.191499999999998,-35.1365,-6.5825,-13.0025,-0.1615,-0.029,0.28700000000000003,-0.103,0.0545,0.611,117.934,-20.889499999999998,-1.9145,1.4284999999999999,-6.3545,-0.933
4.835,93.04650000000001,-1228.6284999999998,252.449,275.757,-1001.008,100.08099999999999,206.3595,-839.527,833.5585,-102.324,-896.5615,834.3145,569.7175,-1033.723,830.894,254.162,-922.3215,269.9055,108.93700000000001,-1033.817,273.95050000000003,-71.199,-1161.5905,749.6725,494.7795,-1281.2440000000001,825.4375,201.92,-984.6535,940.967,8.788499999999999,5.915,-9.9485,12.488,-6.724500000000001,-14.8955,8.821,4.0375000000000005,1.1145,8.821,-4.0375000000000005,-1.1145,-38.620000000000005,-12.276499999999999,-21.1295,-35.125,-6.707,-12.872499999999999,-0.185,-0.0185,0.22999999999999998,-0.0475,0.034,0.633,83.9255,-18.572000000000003,1.9515,-1.612,-4.031000000000001,-0.657
4.855,96.51750000000001,-1161.0639999999999,238.642,276.1005,-1000.2049999999999,101.04849999999999,207.23899999999998,-813.5899999999999,836.183,-101.416,-884.1355,833.7885,572.962,-988.1055,836.989,255.01850000000002,-918.7004999999999,270.148,114.608,-969.8305,282.59749999999997,-65.6745,-1151.429,757.746,501.9235,-1235.779,821.626,203.9375,-956.6215,944.8875,6.2829999999999995,5.2495,-9.661,16.96,-5.53,-15.553,8.0645,2.768,0.602,8.0645,-2.768,-0.602,-38.1785,-12.439499999999999,-20.968,-35.187,-6.9030000000000005,-12.7455,-0.2165,-0.023,0.2215,-0.005,0.0235,0.638,53.7515,-18.394,4.907500000000001,-3.0835,-4.0465,-0.252
