Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
2.9850000000000003,142.4835,-2699.3885,198.76999999999998,289.291,-1986.9085,125.58850000000001,186.053,-2097.5045,919.346,-181.857,-1943.2745,1051.8165,609.325,-2423.1805,874.9815,283.91999999999996,-1954.7175,358.0235,144.4535,-2507.3805,320.82899999999995,-147.7045,-2135.415,769.683,408.2105,-2720.2465,903.991,203.834,-2258.39,1057.62,30.4705,1.15,0.33299999999999996,-10.747499999999999,-2.5045,-9.438500000000001,-2.4930000000000003,2.3200000000000003,5.7575,-2.4930000000000003,-2.3200000000000003,-5.7575,-36.201499999999996,-8.442499999999999,-8.674,-39.8445,1.4335,-3.8289999999999997,0.3105,0.0325,1.0325,-0.281,-0.125,0.821,23.612499999999997,6.0135000000000005,-1.7664999999999997,-156.3135,28.768,5.984
3.005,135.508,-2676.566,212.30700000000002,288.3905,-1976.3960000000002,123.705,189.97750000000002,-2062.027,920.8430000000001,-181.9295,-1921.0035,1047.2759999999998,609.5585,-2383.8975,871.7915,279.8385,-1928.051,352.273,131.83100000000002,-2469.536,305.78499999999997,-140.1705,-2113.1989999999996,766.8045,408.656,-2682.1319999999996,899.2085,203.89,-2225.3450000000003,1057.6799999999998,30.378500000000003,2.3129999999999997,-0.005499999999999998,-9.551,-4.269,-10.5,-2.23,3.321,5.201,-2.23,-3.321,-5.201,-37.89,-7.984999999999999,-7.5954999999999995,-40.614999999999995,1.752,-4.478,0.2185,-0.0145,1.115,-0.2545,-0.123,0.8,29.713,-10.1155,1.7229999999999999,-70.747,27.244500000000002,9.548
3.025,127.53399999999999,-2646.549,227.683,288.9565,-1968.8705,122.9235,194.324,-2027.112,923.398,-181.616,-1901.374,1040.169,609.8295,-2340.8555,868.9545,276.153,-1907.3315,347.796,117.34100000000001,-2428.4455,287.1265,-131.579,-2096.797,763.8155,411.1635,-2641.3705,893.385,203.763,-2192.2299999999996,1058.62,30.237000000000002,3.6045,-0.217,-7.6005,-6.385,-11.788,-1.8599999999999999,4.47,4.541,-1.8599999999999999,-4.47,-4.541,-39.985,-7.2805,-7.487,-40.926500000000004,1.549,-4.393,0.07150000000000001,-0.076,1.138,-0.271,-0.078,0.754,36.7335,-32.787,8.0825,-12.577000000000002,17.871499999999997,7.951499999999999
3.045,119.4005,-2609.5315,244.82299999999998,289.658,-1963.8695,122.8865,198.58100000000002,-1993.365,926.4255,-180.8695,-1884.064,1030.62,610.159,-2294.178,866.355,272.8055,-1892.951,344.76800000000003,103.6175,-2386.3725,270.1825,-121.9185,-2085.6504999999997,760.817,416.0855,-2598.1385,886.227,203.57,-2159.405,1060.085,29.861,4.8365,-0.286,-4.9585,-8.5335,-12.867,-1.418,5.5175,3.886,-1.418,-5.5175,-3.886,-41.9265,-6.9145,-8.2265,-40.661,1.3820000000000001,-4.1555,-0.08449999999999999,-0.1355,1.0805,-0.302,-0.015,0.6885,55.4855,-59.737,15.287,18.2545,8.785499999999999,4.5600000000000005
3.065,112.16300000000001,-2566.428,263.20799999999997,289.627,-1960.7959999999998,123.24000000000001,202.235,-1961.1365,929.3720000000001,-179.69799999999998,-1868.7865000000002,1018.79,610.528,-2244.156,864.0355,269.76599999999996,-1883.7075,342.895,92.97999999999999,-2343.0029999999997,261.716,-111.15299999999999,-2078.9705000000004,757.9315,423.782,-2552.5545,877.4480000000001,203.4965,-2127.1549999999997,1061.78,29.0835,5.797,-0.231,-1.7120000000000002,-10.322,-13.172,-0.977,6.218500000000001,3.3015,-0.977,-6.218500000000001,-3.3015,-43.356,-7.4125,-9.0735,-39.933,1.5345,-4.1845,-0.1975,-0.1775,0.9475,-0.3185,0.04,0.6234999999999999,90.9995,-81.357,17.7265,27.331000000000003,1.46,1.6960000000000002
3.085,106.626,-2518.2365,281.61749999999995,288.7615,-1958.984,123.7255,204.9645,-1930.4630000000002,932.0474999999999,-178.1465,-1855.386,1005.0355,610.829,-2191.192,862.31,267.0325,-1877.7955,341.7305,85.923,-2295.936,265.203,-99.3315,-2076.1345,755.5070000000001,434.7655,-2504.7110000000002,867.07,203.625,-2095.605,1063.63,27.903,6.401,-0.052,2.0265,-11.5025,-12.3575,-0.5965,6.461,2.7880000000000003,-0.5965,-6.461,-2.7880000000000003,-44.195499999999996,-8.712499999999999,-9.508,-39.039,1.9249999999999998,-4.4875,-0.2345,-0.192,0.7689999999999999,-0.3065,0.07200000000000001,0.5814999999999999,138.9795,-87.5875,11.434000000000001,20.121000000000002,-5.795,-0.241
3.105,102.8845,-2465.5035,298.10249999999996,287.45050000000003,-1957.8455,124.209,206.7655,-1901.0839999999998,934.6310000000001,-176.262,-1843.9015,990.0319999999999,610.845,-2135.7430000000004,861.7080000000001,264.577,-1873.6555,340.914,81.4425,-2243.5015000000003,278.759,-86.626,-2076.7695000000003,754.2275,449.0195,-2454.447,855.4300000000001,203.90050000000002,-2064.69,1065.75,26.425,6.68,0.1325,6.092499999999999,-12.065000000000001,-10.577,-0.3065,6.2755,2.3055000000000003,-0.3065,-6.2755,-2.3055000000000003,-44.343999999999994,-10.0515,-9.808,-38.205,2.3259999999999996,-4.869999999999999,-0.2015,-0.179,0.585,-0.27,0.0795,0.571,183.067,-76.75200000000001,-0.5739999999999998,5.632999999999999,-11.699,-0.9824999999999999
3.125,100.273,-2408.4305,310.384,286.1615,-1956.999,124.67699999999999,207.855,-1872.559,937.46,-174.084,-1834.3665,974.6685,610.3175,-2078.4135,862.907,262.334,-1870.379,340.2765,78.463,-2185.862,297.1895,-73.253,-2080.6525,755.076,465.49350000000004,-2401.46,843.108,204.20749999999998,-2034.28,1068.23,24.721,6.7170000000000005,0.125,10.274000000000001,-12.1415,-8.3935,-0.08900000000000001,5.769500000000001,1.8125,-0.08900000000000001,-5.769500000000001,-1.8125,-43.716499999999996,-10.619,-10.4775,-37.5175,2.5955,-5.156000000000001,-0.136,-0.14850000000000002,0.4255,-0.22449999999999998,0.07100000000000001,0.584,205.949,-57.5625,-12.036999999999999,-7.596500000000001,-13.874500000000001,-0.6639999999999999
3.145,97.80449999999999,-2347.3955,316.629,285.19899999999996,-1956.3025,125.168,208.473,-1844.429,940.7835,-171.652,-1826.7055,959.7705,609.0875,-2019.9935,866.5039999999999,260.274,-1867.6219999999998,339.81050000000005,76.449,-2124.2574999999997,315.421,-59.427499999999995,-2087.2915000000003,758.981,482.302,-2345.5975,830.7615000000001,204.4735,-2004.255,1071.0749999999998,22.795499999999997,6.592499999999999,-0.14250000000000002,14.3605,-11.8525,-6.3985,0.08449999999999999,5.0685,1.299,0.08449999999999999,-5.0685,-1.299,-42.591499999999996,-10.242,-11.565,-36.974,2.707,-5.273,-0.0785,-0.11699999999999999,0.3045,-0.1815,0.057999999999999996,0.604,201.755,-41.4795,-18.808,-13.299499999999998,-12.0195,-0.366
3.165,94.745,-2283.0834999999997,316.023,284.63,-1955.72,125.701,208.7465,-1816.3405,944.5844999999999,-169.0435,-1820.627,945.855,607.1505,-1961.379,872.694,258.455,-1865.1970000000001,339.53549999999996,75.1375,-2060.1125,330.4225,-45.315,-2095.7110000000002,766.4704999999999,497.541,-2287.0829999999996,818.9594999999999,204.671,-1974.495,1074.13,20.637,6.3805,-0.47550000000000003,18.195,-11.2455,-4.930999999999999,0.23450000000000001,4.271,0.7755000000000001,0.23450000000000001,-4.271,-0.7755000000000001,-41.385000000000005,-9.41,-12.725,-36.531000000000006,2.695,-5.257,-0.0545,-0.094,0.22799999999999998,-0.148,0.0485,0.6165,178.64749999999998,-34.8335,-19.8905,-12.253499999999999,-9.373999999999999,-0.817
