Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
4.195,105.3085,-1681.1295,169.506,326.277,-1022.5745,109.74600000000001,191.0315,-1121.8739999999998,857.575,-107.039,-925.15,970.8145,691.0365,-1275.3025,819.8995,292.17650000000003,-1022.5139999999999,325.259,136.103,-1516.565,303.62149999999997,-160.2145,-1155.5525,712.934,500.41499999999996,-1568.7495,716.02,207.3195,-1279.7399999999998,962.0840000000001,26.95,-1.9815,-5.5969999999999995,-12.5515,-2.8994999999999997,3.9935,5.718,6.354,7.3629999999999995,5.718,-6.354,-7.3629999999999995,-40.17,-11.361,-5.148,-36.406,-13.219000000000001,2.7535,0.2105,0.009000000000000001,0.9015,-0.16349999999999998,0.012,0.827,-8.808,-6.4345,0.8455,-118.659,-9.6235,-3.479
4.215,103.00899999999999,-1664.768,180.118,323.951,-1011.914,103.9565,193.6915,-1089.7505,855.8969999999999,-101.138,-900.558,964.5565,693.9024999999999,-1251.6785,814.5255,291.6055,-996.6155,318.611,131.6885,-1485.4305,293.80150000000003,-151.957,-1133.1315,708.017,498.00149999999996,-1543.0955,713.985,209.62849999999997,-1250.0900000000001,959.4169999999999,26.2725,-1.1105,-6.698,-12.049,-3.9875,2.9844999999999997,5.701499999999999,7.47,7.2585,5.701499999999999,-7.47,-7.2585,-42.3195,-11.8385,-3.217,-37.5655,-11.858,1.7435,0.1905,0.016,0.9934999999999999,-0.108,-0.014,0.887,0.396,-15.4475,0.23600000000000002,-50.782,-1.4224999999999999,-2.805
4.235,100.89150000000001,-1642.627,192.67849999999999,322.249,-1003.5385,100.262,197.2735,-1057.7089999999998,856.0709999999999,-96.2585,-878.3025,957.1759999999999,695.466,-1223.7995,809.4515,291.135,-972.565,313.0215,125.0075,-1449.4885,280.6205,-144.98399999999998,-1115.1799999999998,704.178,496.74800000000005,-1514.4285,711.912,211.82049999999998,-1220.25,957.9265,25.441000000000003,0.14500000000000002,-7.82,-10.918500000000002,-5.511,1.4105,5.939,8.844999999999999,6.9675,5.939,-8.844999999999999,-6.9675,-44.8715,-11.837,-2.1630000000000003,-38.229,-10.343,0.3215,0.1195,0.0085,1.0615,-0.1185,-0.036000000000000004,0.9005000000000001,10.191,-23.549,0.031,-13.9435,4.4955,-0.47
4.255,99.1985,-1614.0695,206.9405,321.1195,-997.0805,98.696,201.845,-1026.37,857.827,-92.3745,-858.22,948.9475,695.712,-1191.4705,804.779,290.262,-952.7085,308.877,116.701,-1410.6019999999999,265.95799999999997,-139.60649999999998,-1101.3555000000001,701.7345,497.0405,-1482.796,709.6825,213.718,-1190.525,957.639,24.5915,1.876,-8.5825,-9.124,-7.5169999999999995,-0.611,6.4185,10.475,6.4595,6.4185,-10.475,-6.4595,-47.325,-11.338000000000001,-2.515,-38.2675,-8.86,-1.1895,0.008,-0.013000000000000001,1.0750000000000002,-0.1735,-0.051000000000000004,0.8494999999999999,25.421999999999997,-28.7255,0.22599999999999998,0.8635,10.6395,1.8399999999999999
4.275,98.104,-1579.1425,222.274,320.3795,-992.481,98.654,207.18200000000002,-996.3035,860.5989999999999,-89.4935,-840.0930000000001,940.231,694.5885000000001,-1154.6680000000001,800.688,288.9995,-938.2235000000001,306.3035,108.633,-1370.1570000000002,253.2945,-136.10399999999998,-1090.98,700.8895,499.076,-1448.2115,707.0865,215.239,-1161.26,958.4079999999999,23.734499999999997,3.9835000000000003,-8.646999999999998,-6.6739999999999995,-9.893,-2.7235,7.0329999999999995,12.283999999999999,5.761,7.0329999999999995,-12.283999999999999,-5.761,-49.0355,-10.7365,-4.099,-37.775000000000006,-7.4875,-2.534,-0.11449999999999999,-0.0435,1.016,-0.2355,-0.058,0.7464999999999999,48.7585,-31.6525,0.491,5.6434999999999995,15.248999999999999,3.1715
4.295,97.687,-1538.5175,237.63400000000001,319.836,-989.5409999999999,99.34700000000001,212.6735,-967.8820000000001,863.7395,-87.7065,-823.7145,931.47,691.995,-1113.577,797.444,287.6195,-928.8154999999999,305.03,102.777,-1327.9195,246.1055,-134.56,-1083.185,701.673,502.8635,-1410.7435,703.9694999999999,216.4425,-1132.72,959.9795,22.771500000000003,6.121,-7.9375,-3.6105,-12.3275,-4.42,7.627,14.0705,4.9735,7.627,-14.0705,-4.9735,-49.659,-10.513,-6.1129999999999995,-37.01,-6.2955000000000005,-3.5810000000000004,-0.21300000000000002,-0.07550000000000001,0.888,-0.271,-0.052500000000000005,0.6305000000000001,77.7655,-34.962,0.738,6.9515,15.43,3.3369999999999997
4.3149999999999995,97.946,-1493.188,251.6395,319.36400000000003,-987.8345,100.1635,217.40800000000002,-941.1424999999999,866.7974999999999,-87.193,-808.9495,923.1575,687.8,-1068.6315,795.3745,286.30100000000004,-923.2855,304.5675,99.93700000000001,-1282.6525000000001,246.067,-134.62,-1077.147,703.9159999999999,507.9015,-1370.42,700.26,217.485,-1105.0149999999999,962.096,21.5905,7.811,-6.7435,-0.015500000000000014,-14.3605,-5.24,8.0765,15.5215,4.2595,8.0765,-15.5215,-4.2595,-49.3505,-10.8285,-7.769,-36.259,-5.3895,-4.292999999999999,-0.264,-0.1,0.716,-0.2655,-0.032,0.543,106.083,-39.1345,0.9975,6.8145,10.087,2.7359999999999998
4.335,98.798,-1444.129,262.7825,318.918,-986.8555,100.8145,220.4925,-915.825,869.663,-88.166,-795.7339999999999,915.7655,681.9065,-1020.5465,794.8065,285.106,-920.1955,304.4785,99.6575,-1233.4885,252.4995,-135.5725,-1072.2849999999999,707.3085,513.356,-1327.308,696.0305000000001,218.515,-1078.075,964.5885000000001,20.1705,8.6765,-5.63,3.971,-15.5465,-4.991,8.334,16.326999999999998,3.7904999999999998,8.334,-16.326999999999998,-3.7904999999999998,-48.414500000000004,-11.471,-8.706,-35.696,-4.834,-4.698,-0.266,-0.107,0.5345,-0.22649999999999998,-0.0015,0.508,126.3325,-40.8715,1.0350000000000001,5.8315,1.8505,1.7215
4.355,100.0665,-1392.0845,269.7235,318.49649999999997,-986.1800000000001,101.289,221.53949999999998,-891.504,872.4784999999999,-90.79750000000001,-784.0184999999999,909.6234999999999,674.2915,-970.2415000000001,796.0225,284.082,-918.2574999999999,304.508,101.1605,-1180.6950000000002,263.51300000000003,-136.7175,-1068.2785,711.546,518.2685,-1281.58,691.4905,219.60649999999998,-1051.7150000000001,967.383,18.570999999999998,8.655999999999999,-5.128500000000001,8.135,-15.6325,-3.8339999999999996,8.4245,16.329,3.6455,8.4245,-16.329,-3.6455,-47.2125,-12.17,-8.940999999999999,-35.3185,-4.585,-4.888,-0.2385,-0.094,0.376,-0.175,0.0305,0.522,133.3095,-36.5035,0.509,4.101,-5.875500000000001,0.6935
4.375,101.512,-1337.524,271.5485,318.0905,-985.5485,101.71600000000001,220.91250000000002,-867.7795000000001,875.413,-95.1645,-773.6959999999999,904.8520000000001,665.063,-918.6904999999999,799.125,283.26,-916.563,304.554,103.88300000000001,-1125.4005,276.92049999999995,-137.45350000000002,-1064.9560000000001,716.345,521.862,-1233.5945000000002,686.9565,220.7575,-1025.75,970.4225,16.864,8.0315,-5.447,12.231,-14.663,-2.1515,8.378,15.5945,3.7515,8.378,-15.5945,-3.7515,-46.049,-12.764,-8.646,-35.0155,-4.519,-4.9885,-0.20850000000000002,-0.061,0.26,-0.1285,0.055,0.5605,126.405,-26.644,-0.33,1.4789999999999999,-11.152,-0.066
