Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
5.995,89.92699999999999,-2197.494,165.0605,217.4245,-1615.162,137.074,123.90549999999999,-1707.0729999999999,846.961,-18.496000000000002,-1647.658,845.838,518.912,-1941.508,845.354,206.7985,-1600.2775000000001,324.53700000000003,117.3905,-2069.8125,323.054,-150.951,-1748.9415,739.8264999999999,506.3225,-2197.5860000000002,905.348,148.7945,-1844.92,972.9455,30.9315,-2.9535,-9.9785,-8.1055,0.313,6.426,-3.2635,0.9099999999999999,8.001,-3.2635,-0.9099999999999999,-8.001,-34.946,-5.1095,-8.129,-39.79900000000001,9.3435,7.7835,0.127,-0.013000000000000001,0.825,-0.20500000000000002,-0.091,0.8035000000000001,-19.740499999999997,-13.9235,-1.2665,-121.5745,10.366,-1.3345
6.015,87.9295,-2187.835,173.81799999999998,215.10250000000002,-1606.0715,134.6095,125.3695,-1678.687,845.2045,-17.1995,-1619.789,849.037,514.588,-1908.6455,838.7955,204.97,-1579.155,319.747,115.311,-2046.458,319.8355,-148.2015,-1722.5104999999999,740.3040000000001,505.91200000000003,-2166.091,900.1424999999999,148.43099999999998,-1818.225,972.4745,30.924500000000002,-1.957,-9.5135,-7.689,-0.418,5.199,-4.0874999999999995,1.9015,7.4879999999999995,-4.0874999999999995,-1.9015,-7.4879999999999995,-35.254999999999995,-5.5045,-7.0175,-40.7575,10.433,6.491,0.1835,0.0055,0.904,-0.1015,-0.1065,0.815,-11.16,-11.907,-2.5305,-47.015,4.5805,-0.9055
6.035,85.32,-2173.46,184.715,214.3115,-1599.4445,133.238,127.914,-1650.002,845.133,-16.237499999999997,-1594.6185,852.078,510.408,-1872.4725,833.729,203.849,-1560.9845,315.62,112.2065,-2016.586,313.411,-145.8265,-1700.4005,741.5409999999999,503.47299999999996,-2131.809,892.7365,148.088,-1791.29,973.3199999999999,30.777,-0.7505000000000001,-8.174999999999999,-6.621,-1.399,3.8555,-4.824,3.1965000000000003,6.9275,-4.824,-3.1965000000000003,-6.9275,-35.822500000000005,-5.428,-5.944,-41.278999999999996,10.879999999999999,5.3635,0.203,0.0275,0.98,-0.075,-0.10400000000000001,0.8095,0.0020000000000000018,-7.407500000000001,-3.831,-3.6545000000000005,0.10099999999999998,-0.6885
6.055,81.8905,-2153.1620000000003,197.6905,214.538,-1594.5214999999998,132.8625,131.10399999999998,-1621.4250000000002,846.7235000000001,-15.612,-1572.2579999999998,854.5925,507.01149999999996,-1833.5265,830.9055000000001,202.897,-1546.9745,312.6415,108.2345,-1980.9299999999998,303.1885,-144.21949999999998,-1682.4685,743.5174999999999,498.4085,-2094.967,883.2574999999999,147.708,-1764.355,975.2355,30.326999999999998,0.6225,-6.3995,-4.843999999999999,-2.6425,2.5665,-5.289,4.6815,6.4205000000000005,-5.289,-4.6815,-6.4205000000000005,-36.931,-4.8149999999999995,-5.289,-41.2875,10.833,4.6165,0.174,0.048,1.029,-0.096,-0.08549999999999999,0.7685,16.4195,-1.874,-4.422499999999999,16.3405,-1.6955,-0.618
6.075,77.5265,-2126.3345,212.3625,215.0845,-1590.9470000000001,133.1245,134.3795,-1593.392,849.4845,-15.3645,-1552.7645,856.2149999999999,504.776,-1792.426,830.6645,201.91899999999998,-1537.196,310.8725,103.8545,-1941.4095,289.8845,-143.552,-1668.0715,746.1195,490.9135,-2055.3630000000003,871.826,147.2775,-1737.6399999999999,977.7860000000001,29.467,2.0345,-4.7645,-2.346,-4.0555,1.5554999999999999,-5.460000000000001,6.1475,6.0504999999999995,-5.460000000000001,-6.1475,-6.0504999999999995,-38.4845,-3.778,-5.508,-40.835499999999996,10.677,4.17,0.10250000000000001,0.059,1.029,-0.1275,-0.055,0.6985,41.454,1.035,-3.3865,22.592,-3.5085,-0.19899999999999998
6.095,72.312,-2093.191,227.9675,215.413,-1588.4775,133.6465,137.184,-1566.1950000000002,852.712,-15.587,-1536.099,856.6315,503.58299999999997,-1749.761,832.8575,201.01999999999998,-1530.6955,309.979,99.547,-1900.232,276.0865,-143.784,-1656.161,749.127,482.195,-2012.3980000000001,858.6569999999999,146.84050000000002,-1711.26,980.5350000000001,28.1695,3.2664999999999997,-3.7794999999999996,0.7975,-5.4384999999999994,0.9995,-5.4355,7.346500000000001,5.843999999999999,-5.4355,-7.346500000000001,-5.843999999999999,-39.949,-2.6045,-6.754,-40.051,10.719,3.8495,0.014499999999999999,0.054,0.9635,-0.144,-0.025,0.624,74.9505,-1.9095,-0.26599999999999996,21.5315,-7.72,0.46099999999999997
6.115,66.5685,-2054.636,243.3605,215.341,-1586.8735,134.1735,139.15449999999998,-1539.9575,855.864,-16.4715,-1522.0495,855.677,502.772,-1705.7420000000002,837.0185,200.376,-1526.2135,309.525,95.418,-1858.3980000000001,265.4465,-144.7015,-1645.5439999999999,752.24,473.921,-1965.4989999999998,844.314,146.447,-1685.29,983.1825,26.488500000000002,4.115,-3.624,4.4145,-6.561,0.8995,-5.3575,8.091000000000001,5.7455,-5.3575,-8.091000000000001,-5.7455,-40.7345,-1.6135000000000002,-8.6135,-39.0585,11.0505,3.5715000000000003,-0.06,0.034,0.839,-0.139,-0.0015,0.569,112.7155,-10.9925,4.162,16.3595,-13.727,0.7865
6.135,60.7285,-2011.8404999999998,257.1085,214.9895,-1585.8715,134.59199999999998,140.27249999999998,-1514.6605,858.7175,-18.265,-1510.1625,853.4335000000001,501.454,-1660.1395,842.7055,200.1035,-1522.7225,309.207,91.2065,-1815.208,260.855,-146.053,-1635.342,755.169,467.1935,-1914.6615000000002,829.7685,146.111,-1659.73,985.6334999999999,24.5545,4.513,-4.0515,8.283,-7.255,1.028,-5.3475,8.3015,5.6225000000000005,-5.3475,-8.3015,-5.6225000000000005,-40.772000000000006,-1.012,-10.3645,-37.9695,11.577,3.356,-0.1015,0.0024999999999999996,0.681,-0.119,0.013000000000000001,0.546,144.4785,-23.2575,8.2735,9.6905,-18.083,0.5545
6.155,55.161,-1965.7755,267.69,214.5805,-1585.192,134.89249999999998,140.863,-1490.187,861.2874999999999,-21.173499999999997,-1499.855,850.25,498.928,-1612.502,849.874,200.2135,-1519.6825,308.906,86.7375,-1769.346,263.12850000000003,-147.608,-1625.2894999999999,757.7645,462.245,-1860.4655,816.2205,145.81349999999998,-1634.56,987.9255,22.5455,4.538,-4.615500000000001,12.2075,-7.489,1.0345,-5.4845,8.0125,5.327999999999999,-5.4845,-8.0125,-5.327999999999999,-40.397999999999996,-0.8694999999999999,-11.467500000000001,-36.902,12.1295,3.265,-0.109,-0.031,0.521,-0.0955,0.0215,0.55,161.89499999999998,-34.347,10.435,4.93,-18.521,0.07200000000000001
6.175,50.055,-1916.9634999999998,273.7975,214.2395,-1584.5965,135.127,141.4205,-1466.3955,863.6245,-25.198999999999998,-1490.5675,846.6034999999999,494.911,-1562.6895,858.902,200.5685,-1516.855,308.6075,82.1955,-1720.249,271.209,-149.171,-1615.7795,760.0205000000001,458.6465,-1803.837,804.738,145.54250000000002,-1609.7350000000001,990.1020000000001,20.608,4.343500000000001,-4.96,16.049,-7.354,0.656,-5.786,7.3294999999999995,4.7665,-5.786,-7.3294999999999995,-4.7665,-40.03,-1.1604999999999999,-11.785499999999999,-35.921,12.583,3.3335,-0.097,-0.059,0.386,-0.0795,0.027,0.5674999999999999,161.5055,-40.165499999999994,9.5795,3.3225,-15.185,-0.4105
