Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
7.455,148.962,-2771.2425000000003,207.514,285.9755,-2096.322,148.3375,174.44349999999997,-2225.8605,821.2145,-61.359,-2026.4634999999998,967.271,600.8435,-2532.0585,762.4035,249.427,-2106.8689999999997,338.8925,172.564,-2621.987,324.2405,-69.944,-2164.667,677.8295,496.9385,-2773.6205,845.7550000000001,197.51799999999997,-2358.87,950.3530000000001,37.548500000000004,-2.803,-3.6055,-6.7844999999999995,2.7365000000000004,-1.3155000000000001,-6.151999999999999,0.6925,7.063,-6.151999999999999,-0.6925,-7.063,-38.4125,-1.788,2.391,-44.048500000000004,3.8819999999999997,-4.452,0.106,0.0015,1.057,-0.487,-0.20700000000000002,1.047,0.389,5.7885,-0.997,-195.3195,34.679,1.2775
7.475,145.564,-2750.9475,220.5005,285.0105,-2082.017,143.696,177.75900000000001,-2188.572,819.027,-60.2215,-1996.78,969.4749999999999,600.2475,-2502.29,758.6005,247.55599999999998,-2072.8729999999996,333.246,165.3295,-2585.6715,313.808,-67.69800000000001,-2131.5275,677.508,496.4845,-2741.633,844.706,198.03,-2324.585,948.2384999999999,37.297,-1.54,-4.8605,-6.406499999999999,1.3599999999999999,-2.2584999999999997,-6.42,2.0065,6.1005,-6.42,-2.0065,-6.1005,-40.045,-1.629,3.2394999999999996,-45.230000000000004,3.6345,-4.9485,0.1125,-0.0295,1.138,-0.4415,-0.20550000000000002,1.0474999999999999,21.47,-0.8660000000000001,0.11200000000000002,-124.25650000000002,20.4725,5.5794999999999995
7.495,141.105,-2722.9145,235.476,285.88149999999996,-2071.6775,141.4425,183.0185,-2151.4584999999997,819.521,-60.7255,-1969.9540000000002,967.6475,599.408,-2466.8405000000002,754.1255,247.833,-2044.221,328.8515,155.197,-2544.2659999999996,299.3945,-65.3065,-2106.1270000000004,676.138,500.89599999999996,-2704.5765,842.34,198.53300000000002,-2290.2799999999997,948.2570000000001,37.093999999999994,-0.013500000000000012,-5.7725,-5.3085,-0.41300000000000003,-3.394,-6.602,3.4530000000000003,4.739000000000001,-6.602,-3.4530000000000003,-4.739000000000001,-41.709500000000006,-0.8055,3.0755,-45.725,3.0540000000000003,-5.0705,0.11,-0.07050000000000001,1.1745,-0.429,-0.154,0.9715,55.739999999999995,-14.081499999999998,3.8445,-50.6995,11.5475,5.145
7.515,136.2345,-2686.7415,251.8875,287.53,-2064.6575000000003,140.6235,189.473,-2115.2325,822.447,-62.4495,-1945.7845,961.9549999999999,598.354,-2424.6535,749.141,249.2875,-2023.228,325.602,143.9385,-2500.4785,285.24800000000005,-62.875,-2088.2425000000003,673.8925,508.6685,-2662.4210000000003,838.1395,198.829,-2256.1,950.1255,37.116,1.9005,-5.8565000000000005,-3.457,-2.4255,-4.4155,-6.6899999999999995,4.8585,3.157,-6.6899999999999995,-4.8585,-3.157,-42.986999999999995,0.279,1.7094999999999998,-45.593,2.4425,-4.849500000000001,0.101,-0.10850000000000001,1.1444999999999999,-0.446,-0.07200000000000001,0.8325,106.886,-34.0435,10.060500000000001,3.3065,2.955,2.812
7.535,131.8885,-2643.0825000000004,268.53999999999996,289.094,-2060.0924999999997,140.32299999999998,195.8755,-2080.4359999999997,826.89,-64.851,-1923.783,952.762,596.921,-2375.0895,744.2805000000001,251.0725,-2009.549,323.312,134.18400000000003,-2454.652,277.9045,-60.661500000000004,-2076.9759999999997,671.126,517.912,-2615.3940000000002,831.4865,198.92450000000002,-2222.5,953.166,36.670500000000004,3.9755,-4.9559999999999995,-0.864,-4.274,-4.9615,-6.7775,5.868,1.589,-6.7775,-5.868,-1.589,-43.5375,0.853,-0.08549999999999999,-45.173,1.962,-4.4275,0.0965,-0.1335,1.0455,-0.4515,0.0115,0.6775,172.7995,-50.063,13.4575,27.6265,-4.857,0.286
7.555,128.725,-2592.9139999999998,283.33050000000003,290.126,-2057.422,140.174,200.9315,-2047.3145,831.8925,-67.5425,-1903.341,940.4369999999999,594.8555,-2318.58,740.4555,252.6975,-2001.6275,321.8355,127.68299999999999,-2404.5035,281.03150000000005,-58.951499999999996,-2071.142,668.291,526.7535,-2564.133,822.2139999999999,198.999,-2189.875,956.787,35.0405,5.5375,-3.6355000000000004,2.4175,-5.6085,-5.000500000000001,-6.974500000000001,6.1865000000000006,0.275,-6.974500000000001,-6.1865000000000006,-0.275,-43.419,0.604,-1.3775,-44.696,1.669,-4.061,0.10350000000000001,-0.139,0.8965,-0.4145,0.07200000000000001,0.5615,233.84050000000002,-50.78,8.587,32.375,-12.4845,-1.0979999999999999
7.575,126.6295,-2536.7645,293.52599999999995,290.5,-2056.2035,140.1455,203.76850000000002,-2015.6825,837.1105,-70.3925,-1884.1995000000002,925.361,592.024,-2256.593,738.7265,253.89,-1997.2694999999999,321.00800000000004,124.142,-2348.3445,292.14,-58.0655,-2069.832,666.0545,533.914,-2509.4075000000003,810.7785,199.167,-2158.13,960.8235,32.367,5.978,-2.7720000000000002,6.2285,-6.2735,-4.7965,-7.282,5.7655,-0.594,-7.282,-5.7655,0.594,-42.846000000000004,0.0815,-2.0425,-44.24,1.5859999999999999,-3.896,0.1135,-0.127,0.7250000000000001,-0.3355,0.099,0.5205,261.887,-37.934,-1.476,25.9525,-17.801499999999997,-1.5085
7.595,124.872,-2475.166,296.956,290.33950000000004,-2055.8419999999996,140.24450000000002,204.3005,-1985.1225,842.64,-73.41999999999999,-1866.728,908.052,588.613,-2191.238,740.0995,254.5025,-1994.4625,320.54449999999997,122.4905,-2286.9235,306.1995,-58.314499999999995,-2072.683,665.376,538.6859999999999,-2451.8925,797.96,199.33499999999998,-2126.87,965.3019999999999,29.3685,5.3,-2.613,10.3505,-6.2625,-4.672000000000001,-7.6495,4.776999999999999,-1.0365,-7.6495,-4.776999999999999,1.0365,-42.1255,-0.11349999999999999,-2.3529999999999998,-43.9005,1.6465,-3.891,0.10600000000000001,-0.10200000000000001,0.5635,-0.236,0.0985,0.5465,249.0745,-18.269,-10.7335,9.818,-18.4715,-1.6484999999999999
7.615,122.64349999999999,-2408.88,292.90250000000003,289.9125,-2055.719,140.46249999999998,203.3535,-1955.2939999999999,848.4069999999999,-76.714,-1851.772,889.217,585.144,-2124.819,745.1569999999999,254.61950000000002,-1991.9755,320.23699999999997,122.0365,-2222.2785000000003,319.4435,-59.783,-2079.315,667.24,541.103,-2391.938,784.539,199.337,-2095.83,970.1015,26.560000000000002,4.1005,-2.683,14.6125,-5.6955,-4.8629999999999995,-8.0565,3.4815,-1.2535,-8.0565,-3.4815,1.2535,-41.504000000000005,0.085,-2.4844999999999997,-43.6765,1.726,-3.9365,0.0635,-0.07200000000000001,0.439,-0.14400000000000002,0.08299999999999999,0.602,207.8775,-0.8515000000000001,-14.361,-10.259,-15.163499999999999,-1.0995
7.635,119.457,-2338.5204999999996,281.9435,289.48749999999995,-2055.458,140.8225,202.36849999999998,-1926.116,853.849,-80.4395,-1840.1685,869.636,582.2025000000001,-2059.3395,753.5785000000001,254.4035,-1989.3985,320.036,122.48,-2156.2425,329.99350000000004,-62.054,-2088.877,672.155,541.3050000000001,-2329.7200000000003,771.0095,199.142,-2065.0,974.8465,24.0135,3.0795,-2.4805,18.906,-4.8545,-5.4485,-8.544,2.161,-1.4765000000000001,-8.544,-2.161,1.4765000000000001,-41.186,0.33399999999999996,-2.4555,-43.446,1.773,-3.9074999999999998,-0.015,-0.047,0.3705,-0.0805,0.062,0.6475,151.6735,4.189,-11.5735,-21.488,-9.6615,-0.45
7.655,115.28800000000001,-2264.3075,265.4595,289.1725,-2054.9790000000003,141.37,202.426,-1897.485,858.3515,-84.756,-1832.3955,850.03,580.031,-1995.915,764.2075,253.83499999999998,-1986.9015,319.9615,123.50999999999999,-2089.98,337.201,-64.2775,-2100.1925,679.9765,539.115,-2265.4584999999997,757.5955,198.82999999999998,-2034.475,979.07,21.54,2.5725,-1.879,23.066000000000003,-4.0425,-6.2955000000000005,-9.0945,1.018,-1.844,-9.0945,-1.018,1.844,-41.234,0.3205,-2.1740000000000004,-43.158,1.794,-3.7744999999999997,-0.1125,-0.0325,0.365,-0.054,0.0455,0.6585000000000001,94.77099999999999,-4.2524999999999995,-6.2105,-17.311500000000002,-5.367,-0.6305000000000001
