Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
4.875,143.8725,-1726.915,148.8915,302.836,-985.8265,104.2495,185.441,-1133.405,793.3655,-56.1325,-942.697,1085.959,556.6305,-1564.4435,832.2945,278.613,-993.8835,303.906,175.31650000000002,-1552.0815,270.089,-22.214,-997.845,796.0889999999999,381.8855,-1794.3585,895.8395,211.0845,-1292.9,935.0955,35.595,-3.8665000000000003,-2.3705,-12.0725,-5.112500000000001,8.126,-6.406499999999999,4.5755,17.185000000000002,-6.406499999999999,-4.5755,-17.185000000000002,-43.7595,-4.2330000000000005,2.1365,-47.616,-0.48650000000000004,7.0955,0.22999999999999998,0.133,0.9235,-0.2835,-0.0645,0.9275,22.194000000000003,36.278000000000006,-6.0685,-134.5775,-8.453,-8.8285
4.895,136.716,-1703.909,160.261,299.64549999999997,-972.6775,99.732,188.04500000000002,-1093.0680000000002,792.438,-55.458,-911.7764999999999,1081.8225,552.904,-1534.645,831.9549999999999,274.53099999999995,-960.482,297.2285,167.49200000000002,-1510.644,249.7035,-19.756,-970.151,791.627,376.187,-1760.987,901.6205,211.078,-1255.755,934.614,34.838,-1.9695,-2.0575,-11.513,-6.3065,7.6015,-6.8035,5.8835,16.897,-6.8035,-5.8835,-16.897,-45.8425,-4.689,2.9875,-48.549,0.5329999999999999,5.271,0.2345,0.069,1.0105,-0.242,-0.11249999999999999,0.986,32.947,19.2185,-1.6365,-73.8685,4.391,-1.8225
4.915,128.047,-1673.79,172.4615,298.3175,-961.6605,97.8665,191.998,-1053.2469999999998,793.6669999999999,-57.138999999999996,-882.0350000000001,1072.209,550.3795,-1500.005,830.876,270.331,-930.854,291.7595,156.6485,-1467.1999999999998,223.231,-18.249,-949.238,783.7015,369.651,-1722.5715,902.7525,210.8915,-1218.945,935.2539999999999,33.8645,0.37549999999999994,-0.7415,-10.4215,-7.8865,6.505,-6.6325,7.515000000000001,16.3335,-6.6325,-7.515000000000001,-16.3335,-47.515,-4.205,3.0025000000000004,-48.9425,0.9775,3.891,0.1925,-0.019499999999999997,1.0979999999999999,-0.275,-0.11699999999999999,0.981,52.191,-11.245000000000001,8.521,-33.7725,14.3385,4.1615
4.9350000000000005,119.064,-1636.406,185.784,297.9275,-953.6065000000001,97.8065,196.921,-1014.8185,796.99,-61.0685,-854.326,1057.3395,549.4175,-1459.761,829.0395000000001,266.4675,-909.521,288.09450000000004,144.82299999999998,-1424.5034999999998,197.788,-17.582,-935.202,772.992,364.77250000000004,-1679.8670000000002,899.2819999999999,210.55700000000002,-1182.835,936.9580000000001,32.906,3.0445,1.426,-8.646,-9.816500000000001,5.1425,-5.834,9.341999999999999,15.5545,-5.834,-9.341999999999999,-15.5545,-48.519999999999996,-3.1405000000000003,2.4655,-48.656499999999994,1.072,3.129,0.10850000000000001,-0.1065,1.1495,-0.34099999999999997,-0.0885,0.8915,85.10849999999999,-45.3745,20.872,1.5345000000000004,26.201,6.002
4.955,111.4375,-1592.172,200.202,297.591,-948.921,98.553,202.0435,-978.2950000000001,802.145,-66.6765,-829.5609999999999,1037.976,550.1475,-1412.7825,826.505,263.9325,-896.7345,286.402,135.063,-1380.9315000000001,183.2985,-17.804000000000002,-928.1435,760.6645,364.2885,-1633.821,891.8435,210.127,-1147.6999999999998,939.587,31.706,5.795,3.9945,-6.1075,-11.851500000000001,4.087,-4.5955,11.1065,14.6115,-4.5955,-11.1065,-14.6115,-48.849000000000004,-2.4865,2.2845000000000004,-47.8745,1.232,2.7395,0.009000000000000001,-0.16549999999999998,1.1320000000000001,-0.3825,-0.047,0.748,127.64,-70.14,27.356,25.472499999999997,29.383499999999998,4.7010000000000005
4.975,106.5255,-1541.5990000000002,214.74,296.98,-946.9515,99.4045,206.257,-943.807,808.6005,-73.137,-808.2755,1015.3205,552.365,-1358.3539999999998,823.543,262.697,-890.1635000000001,285.954,128.656,-1331.661,184.80200000000002,-19.125500000000002,-928.1315,748.344,369.9665,-1585.0439999999999,881.2815,209.66750000000002,-1113.6999999999998,942.9465,29.744500000000002,8.181,6.3125,-2.8049999999999997,-13.551,3.7765,-3.2925,12.466,13.587,-3.2925,-12.466,-13.587,-48.685,-2.8745,2.924,-47.0295,1.5255,2.5625,-0.0695,-0.1805,1.0310000000000001,-0.3665,-0.015,0.611,166.2475,-77.53399999999999,23.289,28.9805,15.6325,1.694
4.995,104.661,-1485.0375,227.42000000000002,296.2795,-946.5609999999999,100.012,208.55,-911.225,815.6215,-79.7685,-790.5015,990.7570000000001,555.4794999999999,-1296.6975,820.674,262.3175,-887.29,285.8905,125.11099999999999,-1274.201,199.948,-21.8375,-934.8679999999999,738.0350000000001,381.8625,-1533.2975000000001,868.2165,209.2115,-1080.725,946.8675000000001,26.853,9.703,7.719,1.19,-14.4405,4.1815,-2.3115,13.138,12.5945,-2.3115,-13.138,-12.5945,-48.132000000000005,-3.9655,3.912,-46.459500000000006,1.7810000000000001,2.488,-0.10350000000000001,-0.156,0.8645,-0.30000000000000004,-0.0035,0.5295000000000001,187.0615,-68.0735,10.0445,18.7275,-8.025,-0.368
5.015,105.083,-1422.85,235.925,295.8555,-946.8035,100.2815,208.621,-880.219,822.4805,-86.3315,-776.0915,965.4955,558.6905,-1228.885,818.4875,262.79949999999997,-886.1845000000001,285.836,123.9505,-1210.067,222.7385,-26.046999999999997,-947.2950000000001,731.6985,398.8055,-1477.734,853.0645,208.7535,-1048.495,951.241,23.441499999999998,10.113,7.7675,5.716,-14.2515,4.836,-1.8765,13.0495,11.7105,-1.8765,-13.0495,-11.7105,-47.284,-4.975,4.518,-46.183,1.9465,2.3914999999999997,-0.0955,-0.1085,0.6685,-0.21000000000000002,-0.003,0.5135000000000001,187.877,-48.388,-6.7075,6.489,-23.1685,-0.3005
5.035,106.514,-1355.5675,238.469,295.95,-947.158,100.2695,207.222,-850.3545,828.6635,-93.02799999999999,-765.2085,940.3979999999999,561.3140000000001,-1156.438,817.4145,264.276,-885.636,285.8145,124.8575,-1142.3355000000001,246.938,-31.276,-963.527,730.508,419.10699999999997,-1417.4195,836.2470000000001,208.309,-1016.665,955.913,20.131,9.59,6.558,10.5425,-13.0785,5.179,-2.0305,12.3695,10.879999999999999,-2.0305,-12.3695,-10.879999999999999,-46.36750000000001,-5.324999999999999,4.3755,-46.039500000000004,2.128,2.2439999999999998,-0.0695,-0.05450000000000001,0.486,-0.127,0.003,0.5385,176.9115,-26.6495,-18.485500000000002,-1.1455000000000002,-21.659,0.39649999999999996
5.055,107.848,-1283.777,234.3,296.50350000000003,-947.424,100.134,205.872,-821.121,833.918,-100.2655,-758.5065,916.1904999999999,562.9805,-1080.7984999999999,817.7595,266.4575,-885.1095,285.9185,127.16900000000001,-1073.2984999999999,268.1185,-36.322,-981.455,734.463,441.01149999999996,-1351.7804999999998,818.3820000000001,207.9355,-985.065,960.5844999999999,17.248,8.5965,4.8125,15.424,-11.35,4.8774999999999995,-2.6375,11.370000000000001,9.909500000000001,-2.6375,-11.370000000000001,-9.909500000000001,-45.6285,-4.9285,3.6425,-45.914,2.383,2.1185,-0.0545,-0.0115,0.35,-0.0695,0.026000000000000002,0.5680000000000001,159.076,-9.8925,-20.4165,-1.8355,-13.288,0.3345
5.075,108.5275,-1207.9115,223.678,297.16150000000005,-947.5405000000001,100.0665,206.012,-792.0039999999999,838.0989999999999,-108.4365,-756.6804999999999,893.803,563.6105,-1003.2505,819.918,268.676,-884.4205,286.1385,130.1085,-1003.986,284.185,-39.629,-999.247,742.5350000000001,462.7545,-1280.757,800.2275,207.701,-953.6424999999999,964.8064999999999,14.67,7.5865,3.4779999999999998,20.154,-9.6035,3.9715,-3.4915000000000003,10.244499999999999,8.597000000000001,-3.4915000000000003,-10.244499999999999,-8.597000000000001,-45.164500000000004,-4.1525,2.8105,-45.7775,2.6625,2.0675,-0.069,0.01,0.2825,-0.039,0.06,0.579,132.147,-3.2545,-14.608,1.1375,-10.3585,-0.1825
5.095,108.5735,-1128.122,207.586,297.4655,-947.485,100.20949999999999,208.2135,-762.6949999999999,841.001,-117.765,-759.767,874.415,563.2715000000001,-924.928,824.428,270.254,-883.362,286.3625,133.05849999999998,-934.5485,294.755,-40.061,-1015.445,753.196,482.773,-1204.8075,782.582,207.63600000000002,-922.4055,968.088,12.097999999999999,6.787,3.261,24.555500000000002,-8.213000000000001,2.77,-4.3555,9.0205,6.902,-4.3555,-9.0205,-6.902,-44.879,-3.543,2.3200000000000003,-45.588,2.9145,2.0525,-0.1175,0.0075,0.2885,-0.022,0.0905,0.5685,95.9925,-7.555499999999999,-6.164999999999999,0.4685,-15.507,-0.484
5.115,108.35050000000001,-1044.297,187.4875,297.11,-947.2125,100.5855,212.0235,-733.1465000000001,842.3824999999999,-128.1955,-766.7405,859.0735,562.0715,-846.9815,831.6925,270.7815,-881.8185,286.4405,135.4485,-864.8009999999999,300.418,-37.6405,-1028.8564999999999,764.854,499.81899999999996,-1124.8175,766.1555000000001,207.6995,-891.3050000000001,970.015,9.3845,6.146,4.395,28.4325,-7.2875,1.6429999999999998,-5.0355,7.645999999999999,4.9765,-5.0355,-7.645999999999999,-4.9765,-44.6355,-3.3695000000000004,2.215,-45.288,3.1390000000000002,1.9985,-0.187,-0.0095,0.36050000000000004,-0.005,0.103,0.5495000000000001,56.6435,-17.2265,0.6035,-7.4655000000000005,-23.2755,-0.593
5.135,108.20400000000001,-956.233,165.25400000000002,296.0895,-946.6514999999999,101.12950000000001,216.413,-703.402,842.1324999999999,-139.3165,-775.6949999999999,848.25,560.0889999999999,-770.402,841.71,270.194,-879.9975,286.2965,136.7825,-794.5364999999999,302.32349999999997,-33.711,-1038.711,776.206,512.957,-1041.8715,751.418,207.7895,-860.256,970.3315,6.609500000000001,5.478999999999999,6.624499999999999,31.5745,-6.7345,0.889,-5.3675,6.1265,3.0564999999999998,-5.3675,-6.1265,-3.0564999999999998,-44.417,-3.4855,2.2075,-44.8795,3.3605,1.8655,-0.264,-0.022,0.47950000000000004,0.017,0.0895,0.537,20.7915,-23.4565,2.8470000000000004,-16.756,-26.897,-0.6725
5.155,108.213,-863.9000000000001,143.1255,294.649,-945.747,101.7475,220.39,-673.4215,840.37,-150.47500000000002,-784.478,841.6735,557.3340000000001,-695.8935,854.1015,268.729,-878.165,285.975,136.87349999999998,-723.6285,301.828,-30.225,-1044.938,786.568,521.6275,-957.1659999999999,738.681,207.77749999999997,-829.168,968.9755,3.918,4.682,9.3915,33.82,-6.3725000000000005,0.7015,-5.265499999999999,4.5875,1.3565,-5.265499999999999,-4.5875,-1.3565,-44.384,-3.5410000000000004,1.9605000000000001,-44.41,3.599,1.669,-0.33599999999999997,-0.0155,0.6165,0.039,0.056,0.5415000000000001,-10.511000000000001,-21.509999999999998,-0.20699999999999996,-19.9955,-23.9525,-0.9575
5.175,108.1785,-767.7505,123.5685,293.096,-944.528,102.3555,223.38600000000002,-643.0885000000001,837.3489999999999,-161.04899999999998,-791.3924999999999,838.579,553.7745,-623.9055000000001,868.341,266.8745,-876.2455,285.5915,135.928,-651.873,300.29949999999997,-28.497999999999998,-1047.982,795.9135,525.664,-871.9385,728.184,207.5655,-798.0065,966.0765,1.351,3.8049999999999997,12.08,35.141,-6.0275,1.1435,-4.742,3.2035,0.003500000000000003,-4.742,-3.2035,-0.003500000000000003,-44.563500000000005,-3.284,1.2839999999999998,-43.888999999999996,3.8555,1.4144999999999999,-0.402,0.009500000000000001,0.742,0.051000000000000004,0.0145,0.5635,-41.441,-14.5335,-5.9830000000000005,-15.887,-17.8595,-1.1655
5.195,107.8295,-669.0925,108.92699999999999,291.6275,-943.1065,102.9325,225.3195,-612.2964999999999,833.307,-170.6575,-795.52,838.1685,549.3845,-554.741,883.932,265.15999999999997,-873.8075,285.26250000000005,134.5575,-579.3395,299.3795,-28.4585,-1048.2514999999999,804.624,525.636,-787.3325,720.2284999999999,207.0895,-766.7355,961.905,-1.147,2.9445,14.1585,35.68,-5.6240000000000006,2.116,-3.9385000000000003,2.105,-1.0230000000000001,-3.9385000000000003,-2.105,1.0230000000000001,-44.753,-2.697,0.28200000000000003,-43.307500000000005,4.115,1.116,-0.4685,0.037000000000000005,0.831,0.047,-0.0175,0.5974999999999999,-81.533,-10.8145,-10.303999999999998,-9.974499999999999,-13.4015,-0.7995
5.215,107.099,-570.387,100.815,290.29499999999996,-941.5955,103.6035,226.4565,-580.9915,828.3820000000001,-179.1585,-796.557,839.8435,544.1765,-488.647,900.4259999999999,263.805,-870.3595,285.0635,133.6855,-507.3615,300.8725,-28.9535,-1045.7649999999999,813.098,522.6804999999999,-704.307,715.0725,206.288,-735.259,956.7935,-3.6094999999999997,2.1385,15.2335,35.709500000000006,-5.2315000000000005,3.407,-3.0715,1.3505,-1.8944999999999999,-3.0715,-1.3505,1.8944999999999999,-44.689,-1.9965000000000002,-0.6505,-42.7025,4.342499999999999,0.8540000000000001,-0.5455,0.0435,0.875,0.0285,-0.03,0.6385000000000001,-143.5165,-18.259,-10.4305,-11.284500000000001,-10.7295,-0.329
5.235,106.23150000000001,-475.19,99.4135,289.1225,-939.9995,104.69149999999999,227.261,-549.1385,822.65,-186.5195,-794.4775,843.0655,538.2025,-425.81,917.3425,262.6415,-865.5619999999999,285.061,134.09550000000002,-438.8245,305.6915,-28.566499999999998,-1040.194,821.4935,518.0325,-623.733,712.8005,205.1215,-703.4295,951.079,-5.965999999999999,1.3725,15.146,35.555,-5.021,4.800000000000001,-2.3405,0.938,-2.7995,-2.3405,-0.938,2.7995,-44.1935,-1.521,-1.137,-42.167,4.4655000000000005,0.744,-0.6355,0.013000000000000001,0.881,0.0,-0.026000000000000002,0.6805,-233.624,-39.585499999999996,-6.0329999999999995,-23.317500000000003,-7.7195,-0.268
5.255,105.57,-387.637,103.0535,288.204,-938.1424999999999,106.65549999999999,228.2475,-516.714,816.1904999999999,-192.732,-789.2525,847.182,531.585,-366.4465,934.175,261.4055,-859.1375,285.3465,135.8485,-376.838,312.7145,-26.1715,-1031.019,829.6510000000001,512.448,-546.52,713.1859999999999,203.639,-671.1034999999999,945.087,-8.065000000000001,0.635,14.0735,35.5205,-5.156000000000001,6.1265,-1.881,0.7945,-3.8015,-1.881,-0.7945,3.8015,-43.3005,-1.534,-1.1775,-41.805,4.38,0.8500000000000001,-0.7215,-0.049,0.8674999999999999,-0.033,-0.019,0.7204999999999999,-338.84799999999996,-69.75200000000001,1.566,-38.894,-3.9995000000000003,-0.254
5.275,105.2365,-311.6865,108.47,287.658,-935.669,109.962,229.794,-483.7065,809.108,-197.8015,-780.6795,851.4255,524.557,-310.87199999999996,950.3955,260.052,-850.5295,285.9805,138.24349999999998,-322.9835,319.0905,-21.334,-1017.6935000000001,837.2629999999999,506.2665,-473.6165,715.768,201.975,-638.1715,939.155,-9.75,-0.0705,12.5075,35.838499999999996,-5.6805,7.215,-1.7879999999999998,0.78,-4.859,-1.7879999999999998,-0.78,4.859,-42.349999999999994,-2.0205,-1.006,-41.671,4.022,1.189,-0.77,-0.1225,0.8485,-0.057999999999999996,-0.0235,0.7565,-425.0285,-97.2,9.168,-48.1525,-0.311,0.0225
5.295,105.047,-250.35399999999998,111.86500000000001,287.563,-932.114,114.965,231.938,-450.06399999999996,801.611,-201.8135,-768.3530000000001,854.9995,517.385,-259.336,965.4135,258.8355,-838.6800000000001,286.826,140.35,-277.166,321.874,-14.567,-999.7645,844.0409999999999,499.723,-405.92650000000003,719.953,200.2585,-604.5474999999999,933.624,-10.941500000000001,-0.74,11.077,36.608000000000004,-6.461,7.8995,-2.126,0.7475,-5.906499999999999,-2.126,-0.7475,5.906499999999999,-41.825,-2.706,-0.6875,-41.7385,3.4074999999999998,1.764,-0.753,-0.178,0.8345,-0.057999999999999996,-0.046,0.7875000000000001,-454.9955,-110.761,12.863,-46.3955,4.7565,0.0445
5.3149999999999995,104.71000000000001,-204.872,110.52850000000001,288.0195,-926.9200000000001,121.81800000000001,234.237,-415.5865,794.0965,-204.976,-751.712,857.1334999999999,510.2695,-211.826,978.6755,258.155,-822.252,287.31600000000003,141.50799999999998,-238.3305,319.59799999999996,-7.4765,-977.0725,849.8115,492.996,-344.1755,725.0425,198.524,-570.171,928.8185,-11.6645,-1.4005,10.25,37.721000000000004,-7.214,8.103000000000002,-2.902,0.5935,-6.865,-2.902,-0.5935,6.865,-42.052,-3.3280000000000003,-0.123,-41.957499999999996,2.5905,2.593,-0.6599999999999999,-0.196,0.8354999999999999,-0.0215,-0.08199999999999999,0.8195,-411.448,-108.247,10.284500000000001,-34.025,12.549,-0.417
5.335,104.06200000000001,-173.892,104.28649999999999,289.20799999999997,-919.3444999999999,130.39800000000002,235.8545,-379.935,787.1675,-207.52100000000002,-730.005,857.117,503.3555,-168.1365,989.8340000000001,258.37199999999996,-800.0325,286.28700000000003,141.56650000000002,-204.1385,313.06100000000004,-2.4755000000000003,-949.9865,854.617,486.2445,-288.842,730.2725,196.736,-535.0035,924.9865,-12.0025,-2.123,10.064,38.855999999999995,-7.6345,7.8525,-4.0405,0.244,-7.601,-4.0405,-0.244,7.601,-43.066,-3.825,0.6605,-42.387,1.605,3.725,-0.5145,-0.176,0.8674999999999999,0.052,-0.118,0.8614999999999999,-309.3915,-96.929,2.3005,-15.0685,21.703,-1.1059999999999999
5.355,103.1745,-153.6575,95.565,291.3895,-908.3330000000001,140.3635,235.894,-342.866,781.5630000000001,-209.5655,-702.318,854.4169999999999,496.7715,-127.96549999999999,998.7085,259.891,-771.1685,282.01149999999996,140.817,-171.2335,304.6775,-1.9445,-919.279,858.668,479.8175,-240.0405,734.9304999999999,194.877,-499.0745,922.309,-12.029499999999999,-3.001,10.107,39.6105,-7.5385,7.17,-5.377,-0.38,-7.9355,-5.377,0.38,7.9355,-44.617000000000004,-4.2165,1.4089999999999998,-43.24,0.48250000000000004,5.201499999999999,-0.366,-0.135,0.9325,0.14200000000000002,-0.14,0.9239999999999999,-192.3255,-83.47749999999999,-6.5995,3.6965,28.8845,-1.8285
5.375,102.31700000000001,-139.853,87.6275,294.9085,-892.4845,151.4085,233.73399999999998,-304.52650000000006,778.0350000000001,-211.047,-667.7545,848.857,490.617,-90.98599999999999,1005.129,263.461,-735.4285,272.5655,139.7765,-138.01350000000002,296.541,-7.2625,-885.4694999999999,861.9649999999999,474.2735,-197.6225,738.3945,193.005,-462.5815,920.9485,-11.751,-4.1185,9.783999999999999,39.743,-6.85,6.053,-6.6530000000000005,-1.3559999999999999,-7.734,-6.6530000000000005,1.3559999999999999,7.734,-46.178,-4.3815,1.7494999999999998,-44.73350000000001,-0.639,6.899,-0.26849999999999996,-0.094,0.999,0.21700000000000003,-0.1325,1.009,-100.9385,-67.7,-10.9365,15.8185,29.2715,-1.987
5.395,101.789,-129.777,82.4815,300.0505,-870.277,163.54950000000002,229.23450000000003,-265.524,777.1885,-211.78750000000002,-625.692,840.8195000000001,484.99699999999996,-56.99550000000001,1008.7795,270.113,-693.8665000000001,256.9035,139.3795,-106.869,289.5865,-18.5055,-848.341,864.005,470.1605,-161.4665,740.1675,191.2665,-425.9175,921.062,-11.0905,-5.55,8.667,39.316,-5.468500000000001,4.6305,-7.554,-2.75,-6.995,-7.554,2.75,6.995,-47.0745,-4.1795,1.563,-46.834,-1.3915000000000002,8.370000000000001,-0.2515,-0.0635,1.0179999999999998,0.243,-0.089,1.103,-41.3695,-46.4435,-9.035499999999999,23.2455,17.998,-0.1395
