Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
3.6950000000000003,86.9565,-2729.0365,153.0285,270.8035,-1946.3670000000002,97.69800000000001,145.791,-2110.794,858.6975,-126.4105,-1864.0585,1080.8000000000002,559.6155,-2398.1625,881.8924999999999,240.4725,-1975.9115000000002,325.255,110.483,-2552.721,285.2495,-182.291,-2007.7064999999998,830.0654999999999,458.54049999999995,-2675.757,886.9680000000001,160.21300000000002,-2258.3,1010.05,37.109,0.55,-13.8525,-8.24,-3.1014999999999997,-2.6525,0.07200000000000001,5.8525,5.747,0.07200000000000001,-5.8525,-5.747,-33.7255,-2.8890000000000002,-1.8904999999999998,-41.126000000000005,-2.117,6.326499999999999,0.372,-0.08449999999999999,1.4475,-0.8280000000000001,-0.193,0.9515,30.039,-48.437,5.958,-424.369,62.667,0.07699999999999996
3.715,85.5425,-2701.085,173.24450000000002,268.804,-1927.159,92.90549999999999,147.095,-2065.6785,857.1665,-128.6105,-1827.701,1079.471,560.393,-2357.7065000000002,877.317,238.814,-1941.011,319.8355,102.114,-2505.0755,274.528,-181.4985,-1971.1165,827.9005,459.944,-2635.232,886.7725,161.11649999999997,-2214.91,1007.895,37.199,1.3815,-14.15,-7.0035,-5.1105,-3.6455,0.2605,7.2575,5.5634999999999994,0.2605,-7.2575,-5.5634999999999994,-35.936,-2.561,-0.6465,-42.5895,-1.773,6.337999999999999,0.32999999999999996,-0.15200000000000002,1.509,-0.762,-0.1895,0.938,94.22749999999999,-66.8885,3.9185000000000003,-287.3065,54.918499999999995,3.7670000000000003
3.7350000000000003,84.11099999999999,-2662.4719999999998,195.93349999999998,268.1835,-1915.5465,89.368,149.4085,-2021.1855,857.979,-132.236,-1795.237,1074.8665,560.571,-2311.059,873.1610000000001,239.041,-1910.2595000000001,315.403,92.8145,-2452.3050000000003,263.9655,-181.60700000000003,-1942.0385,824.774,462.93449999999996,-2589.3995,885.004,161.925,-2171.715,1007.81,37.0225,2.3005,-13.5445,-4.726,-7.140499999999999,-4.3525,0.394,8.705,4.952,0.394,-8.705,-4.952,-37.9025,-2.2735000000000003,-0.5495,-43.212,-1.274,6.0395,0.268,-0.20350000000000001,1.4595,-0.696,-0.14850000000000002,0.898,182.17849999999999,-78.5975,-1.2495,-150.636,38.397,5.166
3.755,82.929,-2612.656,218.5845,268.3535,-1908.9074999999998,87.555,152.26,-1977.7785,861.258,-137.067,-1766.6135,1067.2675,559.9265,-2257.7795,869.821,240.1035,-1884.8854999999999,312.0935,85.1305,-2394.9255000000003,258.0095,-182.245,-1920.5695,821.0185,467.42049999999995,-2538.1980000000003,881.7215000000001,162.627,-2129.04,1009.9100000000001,36.3635,3.2455,-12.5335,-1.5515,-8.9155,-4.4165,0.4945,9.9985,4.0595,0.4945,-9.9985,-4.0595,-38.929,-2.4015,-1.3305,-42.814499999999995,-0.6635,5.5275,0.221,-0.2265,1.304,-0.6245,-0.089,0.8285,278.5385,-80.78049999999999,-7.753500000000001,-43.3425,22.787,4.431
3.775,82.062,-2552.126,237.90249999999997,268.657,-1905.3555000000001,87.248,155.0485,-1935.5965,866.9849999999999,-142.834,-1741.717,1057.1779999999999,558.0975000000001,-2197.6639999999998,867.975,240.909,-1866.122,309.929,80.6825,-2331.42,258.951,-182.98399999999998,-1906.426,817.2370000000001,473.1625,-2481.6375,877.0440000000001,163.20850000000002,-2087.075,1014.065,34.995000000000005,4.1419999999999995,-11.641,2.262,-10.161999999999999,-3.7015000000000002,0.5725,10.9175,3.076,0.5725,-10.9175,-3.076,-38.952,-2.95,-2.2664999999999997,-41.8035,0.04050000000000001,5.02,0.20400000000000001,-0.217,1.079,-0.5405,-0.03,0.743,359.12,-74.0265,-12.8445,19.247,11.000499999999999,2.6165
3.795,81.366,-2482.133,250.721,268.7305,-1903.6125,87.9085,157.26299999999998,-1894.473,874.8679999999999,-149.281,-1720.3615,1045.2849999999999,554.697,-2131.011,868.5264999999999,240.8505,-1854.011,308.874,79.382,-2260.6535,265.999,-183.5595,-1898.8564999999999,814.2415,479.72900000000004,-2419.843,871.269,163.667,-2045.9,1019.9749999999999,32.799,4.9030000000000005,-11.119,6.398,-10.6795,-2.41,0.6255,11.282,2.168,0.6255,-11.282,-2.168,-38.4095,-3.4915,-2.8979999999999997,-40.7255,0.7515000000000001,4.6605,0.2005,-0.1835,0.8340000000000001,-0.4465,0.0135,0.663,399.6155,-60.979,-14.683,42.0135,1.125,0.9099999999999999
3.815,80.59049999999999,-2404.249,254.95600000000002,268.56100000000004,-1902.833,89.0315,158.6815,-1854.1495,884.2995,-156.2045,-1702.301,1032.2085000000002,549.489,-2058.838,872.303,239.90300000000002,-1847.161,308.7065,80.234,-2183.3720000000003,276.906,-183.876,-1896.7425,812.8505,486.621,-2353.01,864.7840000000001,164.022,-2005.44,1027.21,29.854,5.4435,-10.8485,10.573,-10.404,-1.012,0.627,11.0115,1.4155,0.627,-11.0115,-1.4155,-37.7435,-3.6755,-3.1025,-39.954,1.3035,4.4915,0.178,-0.139,0.617,-0.34850000000000003,0.036000000000000004,0.6054999999999999,386.318,-45.296,-12.8845,37.6345,-7.6465,-0.13499999999999998
3.835,79.5255,-2319.934,250.1275,268.3025,-1902.4645,90.3135,159.457,-1814.326,894.432,-163.47199999999998,-1687.241,1018.4045,542.56,-1982.7365,879.698,238.4335,-1843.4215,309.0825,82.292,-2101.7905,289.348,-184.0395,-1898.654,813.636,493.3575,-2281.3935,857.9300000000001,164.3365,-1965.505,1035.17,26.3745,5.708500000000001,-10.5105,14.578,-9.433,0.010999999999999996,0.54,10.160499999999999,0.808,0.54,-10.160499999999999,-0.808,-37.2195,-3.5275,-2.9485,-39.546,1.5845,4.453,0.11850000000000001,-0.0955,0.46199999999999997,-0.253,0.0415,0.577,321.0165,-30.5375,-8.119,21.0095,-14.192,-0.4145
3.855,78.0785,-2230.2610000000004,237.2745,268.0555,-1902.1495,91.636,160.027,-1774.775,904.2850000000001,-170.986,-1674.7804999999998,1004.0865,534.357,-1904.5345000000002,890.4715,236.9105,-1840.7745,309.69849999999997,84.94999999999999,-2018.371,301.2115,-184.20850000000002,-1903.0124999999998,816.7225,499.6075,-2205.3255,850.8765000000001,164.708,-1925.895,1043.1399999999999,22.6075,5.6845,-9.859,18.299,-7.9925,0.387,0.339,8.888000000000002,0.2615,0.339,-8.888000000000002,-0.2615,-36.8655,-3.3440000000000003,-2.579,-39.372,1.62,4.4495000000000005,0.03,-0.056,0.388,-0.16699999999999998,0.0375,0.568,224.6035,-19.7575,-2.3595,4.414,-17.7345,-0.19899999999999998
3.875,76.2495,-2135.85,218.44850000000002,267.7805,-1901.662,92.9755,160.8675,-1735.4125,912.8235,-178.61700000000002,-1664.465,989.2495,525.5475,-1825.776,903.7625,235.6485,-1837.8715,310.355,87.77199999999999,-1934.81,310.77049999999997,-184.488,-1908.2305000000001,821.712,505.10699999999997,-2125.117,843.607,165.2055,-1886.46,1050.31,18.7735,5.4205000000000005,-8.8875,21.712,-6.371499999999999,0.17250000000000001,0.020000000000000004,7.413,-0.313,0.020000000000000004,-7.413,0.313,-36.565,-3.401,-2.182,-39.2485,1.545,4.3875,-0.0595,-0.021,0.391,-0.097,0.0325,0.5654999999999999,128.367,-14.206,2.045,-6.717499999999999,-19.052500000000002,0.192
