Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
4.125,89.3665,-2690.6225,194.0655,319.539,-1891.7855,123.96700000000001,185.536,-2056.7915000000003,834.7785,-63.593,-1848.623,1041.897,574.592,-2509.358,907.9304999999999,280.42449999999997,-1931.7885,335.0825,137.066,-2499.4905,288.3985,-109.72200000000001,-1996.946,752.3679999999999,322.78049999999996,-2735.8239999999996,947.148,191.1715,-2207.93,999.2025,42.41,0.027499999999999997,-5.2315000000000005,-7.1355,-9.094000000000001,-3.4825,-7.577,11.8265,11.343499999999999,-7.577,-11.8265,-11.343499999999999,-34.5465,-9.1635,-3.1195000000000004,-35.170500000000004,-1.889,11.478,0.0945,0.004,1.081,-0.5815,-0.15100000000000002,0.8775,15.508,-19.541,4.5504999999999995,-198.3945,17.5935,5.8885000000000005
4.145,87.166,-2658.846,210.676,318.0535,-1875.1905,117.598,189.64,-2013.2775,833.223,-60.578,-1810.948,1053.3875,575.3755,-2472.954,906.211,277.47950000000003,-1895.9540000000002,330.151,131.199,-2452.4545,264.356,-104.53999999999999,-1946.2065,757.957,324.6615,-2699.1890000000003,952.5695000000001,192.8345,-2166.78,998.0255,42.064,1.5085,-5.6475,-5.575,-10.746500000000001,-4.789,-8.1385,13.145,10.745000000000001,-8.1385,-13.145,-10.745000000000001,-37.622,-9.054,-2.2255000000000003,-36.406499999999994,-2.1494999999999997,11.1075,0.0415,-0.035500000000000004,1.1195,-0.492,-0.185,0.9285000000000001,50.25,-29.337,7.1899999999999995,-135.144,13.567499999999999,7.5855
4.165,84.94200000000001,-2618.518,228.28050000000002,317.7655,-1862.022,113.929,193.8015,-1971.784,832.253,-58.6995,-1777.1335,1061.817,576.7075,-2431.415,901.9215,276.054,-1862.3384999999998,326.7525,122.6575,-2405.6545,240.6215,-99.95949999999999,-1903.2705,762.5699999999999,327.926,-2658.5344999999998,954.7255,194.276,-2126.115,998.0174999999999,42.278999999999996,2.748,-5.915,-3.0995,-12.4015,-5.968999999999999,-8.889,14.278,9.911,-8.889,-14.278,-9.911,-40.4925,-8.660499999999999,-2.7430000000000003,-36.760999999999996,-2.629,10.7915,-0.012499999999999999,-0.0805,1.1235,-0.4235,-0.16099999999999998,0.9365,96.619,-40.6475,11.6055,-69.9,10.1865,6.9615
4.1850000000000005,83.07050000000001,-2570.048,245.96,317.858,-1852.677,112.41,198.248,-1932.214,833.0464999999999,-58.037499999999994,-1746.8139999999999,1066.537,578.675,-2384.159,894.6735000000001,275.57000000000005,-1835.088,324.2265,115.0335,-2358.085,225.8175,-95.8595,-1868.6170000000002,765.508,333.4125,-2614.1724999999997,953.072,195.36599999999999,-2086.39,999.415,42.7205,4.021,-5.5895,-0.0025000000000000022,-13.872499999999999,-6.792999999999999,-9.3505,15.116,8.8595,-9.3505,-15.116,-8.8595,-42.2705,-8.9605,-3.689,-36.352000000000004,-2.747,10.6145,-0.0615,-0.11499999999999999,1.0710000000000002,-0.3985,-0.0975,0.881,144.8755,-52.019999999999996,11.597000000000001,-17.9785,5.6165,3.9225
4.205,82.15350000000001,-2514.9404999999997,262.762,317.72950000000003,-1846.7495,112.20599999999999,203.103,-1893.955,836.638,-58.6755,-1719.8775,1067.019,580.902,-2330.14,884.844,275.43899999999996,-1815.578,322.4255,110.67,-2305.4615,225.957,-92.629,-1842.7905,766.489,342.11800000000005,-2566.5074999999997,947.6115,196.1355,-2047.9099999999999,1002.245,42.4365,5.474,-4.346,3.3810000000000002,-14.985,-7.143,-9.267,15.499,7.572,-9.267,-15.499,-7.572,-42.8505,-10.0835,-3.997,-35.545,-2.216,10.483,-0.098,-0.125,0.9550000000000001,-0.3935,-0.026999999999999996,0.773,189.6655,-57.1575,4.6715,6.7325,-0.4235000000000001,0.0635
4.225,82.513,-2454.41,277.274,317.1355,-1843.3665,112.64250000000001,207.93099999999998,-1856.733,842.9745,-60.613,-1696.2179999999998,1063.0974999999999,582.625,-2268.4170000000004,873.654,275.05949999999996,-1803.312,321.307,108.6975,-2244.9665,239.715,-90.78049999999999,-1826.0315,765.7745,355.0965,-2515.8554999999997,938.8330000000001,196.749,-2010.675,1006.3499999999999,40.834,6.8165,-2.674,6.942,-15.581,-7.012499999999999,-8.809000000000001,15.2595,6.138999999999999,-8.809000000000001,-15.2595,-6.138999999999999,-42.397499999999994,-10.974499999999999,-4.0255,-34.8125,-1.157,10.120000000000001,-0.11649999999999999,-0.1085,0.79,-0.381,0.021500000000000002,0.655,215.643,-51.22,-1.9344999999999999,11.2065,-6.265,-1.616
4.245,83.845,-2389.009,287.49350000000004,316.071,-1841.5505,113.318,211.7235,-1820.7515,850.918,-63.7245,-1675.6345000000001,1055.2350000000001,583.02,-2198.8525,863.1835000000001,274.161,-1796.4495000000002,320.7425,107.50999999999999,-2177.6115,260.321,-90.5495,-1817.8665,764.0775,372.42049999999995,-2461.9455,927.3335,197.324,-1974.435,1011.48,38.2295,7.574999999999999,-1.5375,10.7875,-15.600999999999999,-6.4855,-8.378,14.399000000000001,4.832,-8.378,-14.399000000000001,-4.832,-41.354,-10.934999999999999,-4.3175,-34.4685,0.141,9.467,-0.123,-0.0775,0.6060000000000001,-0.352,0.0325,0.5735,205.03300000000002,-41.031,-5.436,7.3225,-10.1555,-1.2934999999999999
4.265,85.512,-2319.4445,291.856,314.7115,-1840.4699999999998,114.093,213.4965,-1786.2555000000002,859.0165,-67.83850000000001,-1657.821,1044.356,581.5725,-2122.3905000000004,856.041,272.952,-1792.5425,320.51099999999997,106.70949999999999,-2106.161,280.994,-91.8875,-1817.1245,762.35,393.129,-2404.1135,913.761,197.824,-1938.905,1017.3399999999999,35.386,7.5735,-1.452,15.006,-15.125,-5.7059999999999995,-8.308,13.1435,3.903,-8.308,-13.1435,-3.903,-40.2705,-10.3475,-4.6945,-34.463499999999996,1.429,8.659500000000001,-0.129,-0.046,0.4365,-0.314,0.0145,0.5505,170.86,-35.0025,-7.577,0.8555,-11.4555,-0.7505
4.285,87.08449999999999,-2246.6735,289.947,313.348,-1839.637,114.9025,213.232,-1753.0755,866.3634999999999,-72.86449999999999,-1642.423,1031.3815,578.182,-2040.94,854.3925,271.871,-1789.5839999999998,320.4375,106.2885,-2032.8305,298.265,-94.537,-1822.251,761.4265,415.982,-2341.749,898.8495,198.186,-1903.88,1023.585,32.747,7.077500000000001,-2.0555000000000003,19.492,-14.289,-4.873,-8.71,11.771999999999998,3.358,-8.71,-11.771999999999998,-3.358,-39.391,-9.733,-4.9510000000000005,-34.574,2.548,7.833,-0.14200000000000002,-0.024,0.31,-0.274,-0.012,0.576,136.2235,-31.005,-7.634499999999999,-7.0475,-10.9695,0.3185
4.305,88.4865,-2171.3675,282.1525,312.2155,-1838.923,115.66900000000001,211.928,-1720.6095,872.8365,-78.7905,-1629.1525000000001,1016.906,573.1575,-1957.0230000000001,859.1144999999999,271.279,-1786.54,320.44899999999996,106.1095,-1958.929,311.76149999999996,-98.13550000000001,-1831.7575,761.858,439.363,-2274.4445,883.167,198.413,-1869.2199999999998,1029.795,30.226,6.482,-2.5235,23.941,-13.245000000000001,-4.2215,-9.4635,10.4535,2.9255,-9.4635,-10.4535,-2.9255,-38.6405,-9.201,-5.1275,-34.6005,3.4265,7.1625,-0.1585,-0.013999999999999999,0.2415,-0.2355,-0.028499999999999998,0.618,108.697,-25.674,-5.188000000000001,-13.3275,-8.5475,0.9175
