Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
3.105,140.3965,-2088.4440000000004,210.96699999999998,285.805,-1353.6315,121.6875,198.039,-1462.673,909.684,-166.1975,-1345.9865,1009.742,596.674,-1784.825,863.866,279.921,-1317.703,354.132,135.9225,-1880.5115,298.6625,-126.72200000000001,-1565.188,753.921,468.675,-2111.1994999999997,951.9335,212.3795,-1616.53,1052.895,35.12949999999999,1.266,1.6995,-10.734,-2.254,-8.3005,-2.8564999999999996,2.802,4.835,-2.8564999999999996,-2.802,-4.835,-39.2725,-5.3375,-9.95,-38.533,0.8905,-3.2185,0.48850000000000005,-0.107,1.2454999999999998,-0.4195,-0.1275,0.853,46.0685,-28.092,5.761,-220.55349999999999,18.376,5.562
3.125,132.714,-2055.4764999999998,227.04700000000003,282.567,-1341.132,117.74799999999999,200.78300000000002,-1419.0215,908.998,-169.386,-1314.5529999999999,1009.0574999999999,596.435,-1737.788,858.485,274.3875,-1289.4785,345.55949999999996,122.5475,-1836.625,276.933,-123.55099999999999,-1529.676,753.0205000000001,475.015,-2066.4260000000004,947.5485,212.2145,-1575.43,1051.2350000000001,34.5055,2.244,1.033,-8.61,-3.817,-9.86,-2.8625,3.4779999999999998,3.9414999999999996,-2.8625,-3.4779999999999998,-3.9414999999999996,-41.4975,-4.9985,-10.0725,-39.41,1.716,-4.5649999999999995,0.32999999999999996,-0.1805,1.3455,-0.403,-0.1915,0.903,68.372,-62.434,13.7275,-127.22,33.8335,10.361999999999998
3.145,125.485,-2013.2555,245.7695,281.28200000000004,-1332.5455,116.039,204.53050000000002,-1376.8285,909.7915,-172.131,-1285.5295,1005.0889999999999,596.032,-1685.2425,852.812,270.13149999999996,-1266.6509999999998,339.178,110.3735,-1790.441,257.456,-117.9335,-1500.663,751.6775,483.93399999999997,-2017.551,940.1625,211.954,-1534.6999999999998,1050.6750000000002,33.8635,3.522,0.07300000000000001,-5.5455000000000005,-5.622999999999999,-11.0845,-2.4720000000000004,4.4805,2.6535,-2.4720000000000004,-4.4805,-2.6535,-43.3965,-5.031000000000001,-11.032,-39.775999999999996,2.216,-5.3265,0.1555,-0.24,1.339,-0.4455,-0.1885,0.897,127.5445,-96.7495,17.2245,-55.444,38.3435,9.214
3.165,119.86500000000001,-1961.7825,266.2655,281.02750000000003,-1327.3835,115.879,209.07350000000002,-1336.5305,911.9680000000001,-174.2715,-1259.191,998.4045,595.33,-1627.1135,847.417,267.22249999999997,-1250.9795,335.44399999999996,103.0615,-1740.0325,249.53,-110.011,-1477.9299999999998,750.2675,495.70450000000005,-1964.472,929.9425,211.746,-1494.6599999999999,1051.315,32.9315,5.0155,-0.9035,-1.7075,-7.4025,-11.006,-1.763,5.6535,1.153,-1.763,-5.6535,-1.153,-44.705,-5.824999999999999,-12.074000000000002,-39.5535,2.5665,-5.5305,0.035500000000000004,-0.263,1.214,-0.488,-0.13,0.8265,219.9105,-113.395,11.246500000000001,-5.4085,34.609,4.526
3.185,116.2445,-1901.5535,285.96,281.1955,-1324.9535,116.35,213.73950000000002,-1298.145,915.203,-175.57799999999997,-1235.96,989.7375,594.3475,-1563.9225000000001,843.0450000000001,265.613,-1241.8105,333.8145,101.3215,-1681.0884999999998,256.4225,-100.598,-1461.33,749.62,509.632,-1907.038,917.087,211.761,-1455.45,1053.0900000000001,31.364,6.3725000000000005,-1.7735,2.766,-8.899999999999999,-9.2305,-0.982,6.7115,-0.2985,-0.982,-6.7115,0.2985,-45.289,-7.0440000000000005,-12.74,-38.9855,2.7965,-5.41,0.0075,-0.241,1.0065,-0.4825,-0.041,0.723,318.53,-100.336,-1.255,13.808499999999999,20.6905,-0.4265
3.205,113.9915,-1833.3445000000002,301.1735,281.6155,-1324.241,116.8875,217.676,-1261.439,919.1220000000001,-175.863,-1215.9650000000001,979.9165,593.259,-1496.726,840.358,264.634,-1237.1815000000001,333.3895,102.761,-1612.135,273.97950000000003,-90.57249999999999,-1450.5320000000002,750.685,524.1255,-1845.2035,901.9784999999999,212.00400000000002,-1417.005,1055.9,29.1375,7.2335,-2.46,7.7195,-9.9485,-6.398,-0.357,7.3685,-1.4740000000000002,-0.357,-7.3685,1.4740000000000002,-45.055499999999995,-7.8225,-13.314,-38.4435,2.713,-5.1465,0.0505,-0.1945,0.772,-0.4215,0.0525,0.6295,386.102,-70.0475,-12.356000000000002,8.345,0.07450000000000001,-3.155
3.225,111.914,-1758.2205,308.6195,282.2605,-1324.2675,117.37549999999999,220.38299999999998,-1225.9215,923.53,-175.0905,-1198.8020000000001,969.6535,592.2695,-1426.77,839.953,263.65049999999997,-1234.9245,333.4665,104.68350000000001,-1535.3555000000001,295.461,-80.464,-1444.856,754.2774999999999,537.524,-1779.245,885.2675,212.3535,-1379.095,1059.6100000000001,26.514499999999998,7.494,-2.8905000000000003,12.899000000000001,-10.436499999999999,-3.6905,0.047,7.47,-2.278,0.047,-7.47,2.278,-44.105000000000004,-7.7364999999999995,-14.076,-38.101,2.252,-4.858499999999999,0.10650000000000001,-0.1515,0.56,-0.32799999999999996,0.1285,0.5725,397.94550000000004,-45.149,-17.820500000000003,-5.14,-20.706000000000003,-2.82
3.245,109.04849999999999,-1677.424,306.6585,282.98249999999996,-1324.3695,117.9295,221.937,-1190.9834999999998,928.3185000000001,-173.3655,-1183.8319999999999,959.3445,591.5005,-1355.2145,842.446,262.5285,-1233.2125,333.6625,106.06649999999999,-1454.1035000000002,315.625,-70.58449999999999,-1443.226,760.9105,548.7315000000001,-1709.6644999999999,867.7525,212.739,-1341.46,1063.925,23.738500000000002,7.3085,-2.963,18.0,-10.288,-1.9284999999999999,0.302,7.005,-2.7504999999999997,0.302,-7.005,2.7504999999999997,-42.864000000000004,-7.189500000000001,-14.849,-37.8685,1.6175,-4.612500000000001,0.119,-0.127,0.403,-0.23249999999999998,0.17049999999999998,0.553,353.981,-36.031,-17.4495,-12.312999999999999,-35.3185,-0.9425
3.2649999999999997,105.136,-1591.946,295.506,283.456,-1324.2205,118.656,222.7905,-1156.1285,933.198,-170.858,-1170.367,949.063,590.9580000000001,-1283.0835000000002,848.278,261.379,-1230.9365,333.8265,107.2915,-1371.1765,331.8645,-61.285,-1444.261,770.681,557.1995,-1637.0535,850.1085,213.19150000000002,-1303.9299999999998,1068.395,20.8875,6.928,-2.5854999999999997,22.747500000000002,-9.536999999999999,-1.232,0.47250000000000003,6.0809999999999995,-3.0025000000000004,0.47250000000000003,-6.0809999999999995,3.0025000000000004,-41.75,-6.862,-15.3125,-37.6045,1.0915,-4.429,0.066,-0.113,0.321,-0.15649999999999997,0.16999999999999998,0.557,271.81050000000005,-42.0105,-12.1035,-10.374,-40.8035,0.5605
3.285,100.5925,-1502.149,276.6545,283.334,-1323.6925,119.5675,223.3265,-1121.0315,937.6759999999999,-167.728,-1157.8325,938.7155,590.4835,-1211.136,857.4025,260.20849999999996,-1227.7565,333.928,108.9555,-1288.3425000000002,343.52549999999997,-52.908,-1446.5855,783.335,562.579,-1561.9775,832.761,213.7545,-1266.4099999999999,1072.47,17.933999999999997,6.513999999999999,-1.7399999999999998,26.951999999999998,-8.342500000000001,-1.2570000000000001,0.591,4.851,-3.1415,0.591,-4.851,3.1415,-40.964,-7.064500000000001,-15.3605,-37.3035,0.8360000000000001,-4.2945,-0.0395,-0.097,0.319,-0.10700000000000001,0.132,0.572,176.7955,-56.827,-3.3129999999999997,-6.995,-37.1795,1.0234999999999999
3.3049999999999997,96.134,-1407.852,252.27,282.507,-1322.7365,120.6575,223.66899999999998,-1085.6185,941.052,-164.053,-1145.6115,928.2,589.7935,-1139.792,869.2115,258.983,-1223.733,333.97850000000005,110.926,-1206.3935000000001,350.652,-45.813,-1448.9160000000002,798.2845,564.8015,-1484.894,815.9265,214.3995,-1228.8899999999999,1075.655,14.911,6.0855,-0.5505,30.539,-6.944000000000001,-1.5070000000000001,0.6315,3.4695,-3.2439999999999998,0.6315,-3.4695,3.2439999999999998,-40.549,-7.6274999999999995,-15.0915,-37.0325,0.85,-4.1775,-0.17049999999999998,-0.069,0.38,-0.08,0.073,0.59,91.878,-69.133,5.579,-8.93,-27.1965,0.813
3.325,92.388,-1308.7885,224.8725,281.238,-1321.3429999999998,122.0095,223.8425,-1049.875,942.741,-159.796,-1132.9975,917.412,588.6355,-1069.163,882.8185,257.8455,-1218.953,334.02750000000003,112.36500000000001,-1125.253,353.57550000000003,-40.11,-1450.176,814.7539999999999,564.303,-1406.2035,799.8645,215.02249999999998,-1191.375,1077.495,11.8855,5.584,0.7285,33.455,-5.6,-1.6324999999999998,0.5705,2.07,-3.3815,0.5705,-2.07,3.3815,-40.4515,-8.244,-14.6445,-36.8455,1.0190000000000001,-4.0315,-0.3105,-0.027,0.474,-0.0645,0.015,0.6114999999999999,26.3815,-67.69,10.562000000000001,-15.341999999999999,-15.256499999999999,0.2945
3.3449999999999998,89.6705,-1205.1085,197.22,279.995,-1319.5265,123.806,223.98250000000002,-1013.7475,942.4780000000001,-154.8415,-1119.4215,906.27,586.97,-999.428,897.486,257.14250000000004,-1213.2355,334.12199999999996,112.5855,-1044.5545,353.31899999999996,-35.399,-1449.4225000000001,831.8165,562.117,-1326.4,785.049,215.4925,-1153.8600000000001,1077.725,8.8955,4.969,1.7115,35.590999999999994,-4.52,-1.565,0.44099999999999995,0.7789999999999999,-3.6275,0.44099999999999995,-0.7789999999999999,3.6275,-40.623,-8.7545,-14.120000000000001,-36.7215,1.1905000000000001,-3.8375,-0.4575,0.02,0.5740000000000001,-0.051000000000000004,-0.0245,0.6365000000000001,-30.168,-48.302499999999995,9.891,-22.451,-5.2985,-0.09
3.365,87.9255,-1097.7875,172.22449999999998,279.118,-1317.3029999999999,126.245,224.356,-976.9825,940.4385,-149.151,-1104.6965,894.752,584.9984999999999,-931.201,912.639,257.196,-1206.208,334.2705,111.5245,-964.165,351.584,-30.871499999999997,-1445.9189999999999,848.5925,559.3045,-1246.2815,771.9670000000001,215.69299999999998,-1116.315,1076.275,5.896,4.2509999999999994,2.0345,36.7765,-3.786,-1.5354999999999999,0.3405,-0.30600000000000005,-4.0365,0.3405,0.30600000000000005,4.0365,-40.9795,-9.209,-13.550999999999998,-36.565,1.2559999999999998,-3.608,-0.6125,0.0505,0.667,-0.034,-0.0365,0.6635,-101.689,-21.744,5.188000000000001,-26.7755,0.7815000000000001,0.013999999999999999
