Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
4.655,102.15549999999999,-1357.8045,158.4135,299.03499999999997,-642.8425,98.487,183.8475,-785.2375,836.3340000000001,-109.89949999999999,-515.0360000000001,996.6379999999999,670.2255,-1119.9515,826.239,266.858,-635.607,321.946,130.5755,-1184.737,276.8055,-174.077,-726.812,736.367,402.651,-1316.194,760.3824999999999,189.07549999999998,-940.1865,953.432,34.161,0.1845,-10.6525,-12.9025,-1.401,-7.797000000000001,-4.1025,7.5535,9.6,-4.1025,-7.5535,-9.6,-37.665,-11.275,-8.589500000000001,-33.2235,-8.484,2.741,0.28300000000000003,-0.0455,0.966,-0.46399999999999997,-0.0555,0.9115,11.137,3.909,-3.504,-233.972,9.9785,-7.2355
4.675,97.8275,-1337.4185,169.6255,297.0665,-631.546,93.812,188.2605,-745.136,833.7805,-104.767,-482.126,998.9295,671.415,-1097.8195,826.665,267.2025,-602.2864999999999,313.6465,121.8715,-1146.46,258.557,-168.0805,-690.768,735.3065,396.35400000000004,-1283.919,762.25,190.7985,-903.573,951.944,34.0435,1.155,-12.324000000000002,-12.405000000000001,-2.4699999999999998,-9.030000000000001,-4.638,8.8635,8.523,-4.638,-8.8635,-8.523,-39.58,-11.9,-7.348,-33.894000000000005,-6.8355,1.471,0.2905,-0.07350000000000001,1.0630000000000002,-0.381,-0.0565,0.9544999999999999,22.61,-18.296,-2.2105,-118.375,-2.311,-6.805
4.695,93.281,-1310.152,182.75099999999998,295.312,-623.9635000000001,91.4965,193.565,-704.7405,833.8315,-101.52000000000001,-453.2655,998.2429999999999,671.935,-1068.1045,825.763,266.2685,-575.282,306.71500000000003,110.42349999999999,-1106.0005,236.203,-163.0915,-661.27,733.7860000000001,393.57399999999996,-1249.1275,764.2429999999999,192.451,-866.811,951.925,33.4135,2.3015,-13.916,-11.2935,-3.9819999999999998,-10.533999999999999,-4.85,10.3585,7.3305,-4.85,-10.3585,-7.3305,-41.367000000000004,-11.4595,-7.28,-33.900999999999996,-4.925,-0.22950000000000004,0.2375,-0.11499999999999999,1.135,-0.357,-0.0545,0.9475,42.144999999999996,-42.056,2.7485,-38.759,-2.154,-3.0845000000000002
4.715,89.2855,-1275.278,197.785,293.6625,-619.063,91.0465,199.488,-665.0135,836.9259999999999,-99.2215,-427.491,994.4259999999999,672.2205,-1030.0835000000002,823.067,263.959,-556.678,302.172,99.8655,-1065.5005,216.2455,-159.8825,-638.1144999999999,732.2965,394.492,-1211.8605,765.682,193.74599999999998,-830.329,953.3645,32.336,3.9410000000000003,-14.5975,-9.5665,-5.932,-12.2275,-4.625,11.9465,6.093999999999999,-4.625,-11.9465,-6.093999999999999,-42.698,-10.377500000000001,-8.2115,-33.294,-3.0415,-1.9220000000000002,0.136,-0.16249999999999998,1.1495,-0.368,-0.0555,0.8705,73.8505,-58.656,9.2925,10.9445,5.388,-0.07399999999999998
4.735,86.524,-1233.0205,214.0365,292.23,-616.202,91.5015,205.4355,-626.9214999999999,842.5799999999999,-96.84700000000001,-403.6055,987.517,672.4065,-983.5825,818.446,261.2675,-545.5944999999999,299.87199999999996,94.032,-1023.3565000000001,206.07850000000002,-158.8125,-620.6780000000001,731.3805,399.063,-1171.7925,765.745,194.567,-794.6,956.075,30.767000000000003,6.061,-13.802,-7.2355,-8.15,-13.711500000000001,-4.078,13.476500000000001,4.8885,-4.078,-13.476500000000001,-4.8885,-43.437,-9.734,-9.1175,-32.419,-1.444,-3.3209999999999997,0.0195,-0.203,1.0865,-0.372,-0.056,0.7455,114.31649999999999,-66.9465,11.974499999999999,32.8665,10.7405,1.4055
4.755,85.30449999999999,-1184.215,230.0015,291.157,-614.6800000000001,92.1565,210.423,-591.0925,849.476,-93.7915,-380.7255,977.693,672.1645,-928.8520000000001,812.3625,258.9305,-539.6985,298.942,92.8495,-976.0725,208.02800000000002,-159.8195,-608.0264999999999,731.5219999999999,407.008,-1128.5335,763.9549999999999,195.039,-759.976,959.73,28.607,8.1555,-11.7195,-4.281,-10.3405,-14.443999999999999,-3.49,14.7265,3.857,-3.49,-14.7265,-3.857,-43.54,-9.984,-9.286999999999999,-31.659,-0.35100000000000003,-4.2905,-0.0705,-0.2245,0.9525,-0.34099999999999997,-0.051000000000000004,0.6214999999999999,155.145,-72.451,9.736,30.9895,10.534,2.1905
4.775,85.506,-1129.647,243.642,290.459,-613.8679999999999,92.7285,213.42000000000002,-557.5405000000001,856.113,-90.1605,-358.80449999999996,965.216,670.778,-866.633,805.817,257.1245,-536.669,298.611,93.333,-921.8285,218.954,-162.464,-599.2584999999999,733.015,417.719,-1081.6595,760.2429999999999,195.406,-726.4545,964.0055,25.9845,9.512,-9.286,-0.6585,-12.163499999999999,-14.0735,-3.1559999999999997,15.469,3.1849999999999996,-3.1559999999999997,-15.469,-3.1849999999999996,-43.090999999999994,-10.712,-8.870000000000001,-31.127499999999998,0.195,-4.7995,-0.111,-0.2195,0.778,-0.27549999999999997,-0.0325,0.5445,182.836,-74.6995,5.364,19.266,5.6465,2.3735
4.795,86.6985,-1069.8515,252.97899999999998,290.057,-613.3615,93.1985,213.925,-525.7660000000001,861.558,-86.77600000000001,-338.69,950.5070000000001,667.4014999999999,-798.0995,799.9905,255.885,-534.7484999999999,298.5,93.475,-861.0505,234.3315,-165.9875,-593.7755,735.8505,430.436,-1030.817,754.8505,195.8675,-693.6945000000001,968.702,23.290999999999997,9.734,-7.6455,3.6065,-13.311499999999999,-12.693999999999999,-3.249,15.583,2.9805,-3.249,-15.583,-2.9805,-42.447,-11.4405,-8.3035,-30.7135,0.3605,-4.9315,-0.1095,-0.1905,0.6000000000000001,-0.194,0.0005000000000000004,0.5275000000000001,189.723,-67.1765,0.45949999999999996,10.34,-0.9984999999999999,1.4295
4.8149999999999995,88.34,-1005.3710000000001,256.6575,289.87149999999997,-612.9425,93.6705,212.228,-495.1225,865.788,-84.894,-321.603,934.238,661.3465,-724.6995,795.8755,255.179,-532.8605,298.499,93.3785,-795.3795,250.87900000000002,-169.59949999999998,-591.2860000000001,739.8195000000001,444.41200000000003,-975.7595,748.189,196.4905,-661.3045,973.712,20.844,9.006,-7.428,8.315,-13.5585,-10.777999999999999,-3.776,15.088000000000001,3.179,-3.776,-15.088000000000001,-3.179,-41.958,-11.992,-7.8475,-30.310499999999998,0.35150000000000003,-4.859999999999999,-0.0915,-0.14400000000000002,0.44999999999999996,-0.1245,0.040999999999999995,0.553,180.28050000000002,-49.213499999999996,-3.7615,5.9565,-8.0455,-0.2535
4.835,89.95249999999999,-936.8209999999999,254.161,289.809,-612.4825000000001,94.2815,209.208,-465.0255,869.449,-85.74600000000001,-308.4155,917.224,652.277,-647.968,794.1465000000001,254.787,-530.4485,298.576,93.9565,-726.8005,266.856,-172.80599999999998,-591.5264999999999,744.6800000000001,458.977,-916.3164999999999,740.697,197.233,-629.0605,978.9085,18.6155,7.857,-8.461500000000001,13.108,-12.8015,-8.8645,-4.601,14.056000000000001,3.545,-4.601,-14.056000000000001,-3.545,-41.7195,-12.4115,-7.577500000000001,-29.892,0.2885,-4.773999999999999,-0.079,-0.089,0.347,-0.08449999999999999,0.07750000000000001,0.5874999999999999,160.7775,-27.2845,-5.4094999999999995,1.3205,-16.5805,-1.068
