Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
6.595,133.0485,-2811.1189999999997,152.29,300.3695,-2066.4094999999998,100.7975,200.766,-2216.6369999999997,861.8255,-87.56450000000001,-2067.3360000000002,944.0935,603.033,-2460.6135,815.721,273.0775,-2068.5775,319.221,152.8625,-2640.9935,286.6465,-121.441,-2297.658,725.1425,421.975,-2748.5155,802.8025,197.688,-2379.335,988.5235,34.1065,-0.38699999999999996,4.968500000000001,-15.538499999999999,-0.2855,-9.528500000000001,3.979,3.6109999999999998,4.821,3.979,-3.6109999999999998,-4.821,-36.066,-4.137,-7.441,-38.5785,-2.919,-4.065,0.249,-0.013,1.193,-0.4415,-0.043000000000000003,0.8755,-26.9005,-25.6635,4.0575,-169.8195,-29.836,2.1865
6.615,128.35399999999998,-2789.3235,169.39049999999997,299.46950000000004,-2056.1385,97.613,203.901,-2177.9125000000004,863.3205,-89.63050000000001,-2035.463,943.925,603.3035,-2425.184,813.937,272.7425,-2038.0095000000001,314.2925,143.86950000000002,-2599.6775,275.096,-119.633,-2264.5395,726.0145,417.397,-2709.8230000000003,800.1895,197.888,-2342.475,988.952,34.0235,0.988,5.029999999999999,-14.633,-2.1865,-12.454,4.0465,4.9325,4.807,4.0465,-4.9325,-4.807,-36.849000000000004,-5.166,-5.851,-38.994,-2.089,-4.875,0.21550000000000002,-0.0755,1.2865,-0.41000000000000003,-0.08399999999999999,0.857,3.707,-29.8245,5.535,-72.3345,-15.9985,0.802
6.635,122.957,-2759.2309999999998,190.12099999999998,298.75800000000004,-2049.1025,96.1845,206.821,-2140.0495,866.3375,-92.291,-2007.1825,942.0174999999999,603.183,-2386.752,813.654,272.22900000000004,-2013.424,310.105,133.71699999999998,-2554.508,262.164,-118.337,-2237.1040000000003,727.8755,414.673,-2668.5965,798.2729999999999,197.97750000000002,-2305.7,990.914,33.792500000000004,2.4524999999999997,5.558,-12.7005,-4.2695,-14.989,4.1080000000000005,6.273,4.7255,4.1080000000000005,-6.273,-4.7255,-38.081,-5.5035,-4.7725,-38.674,-1.278,-5.7135,0.15350000000000003,-0.1525,1.3025,-0.397,-0.1,0.8089999999999999,72.75800000000001,-37.2995,6.01,-10.582,-4.0635,-1.544
6.655,117.143,-2719.7349999999997,213.111,297.92600000000004,-2044.3874999999998,96.01249999999999,209.46949999999998,-2103.3535,870.5060000000001,-95.035,-1981.9275,938.746,602.6020000000001,-2344.844,814.8205,271.27200000000005,-1995.7040000000002,306.9875,125.4365,-2506.7875000000004,253.2955,-117.12299999999999,-2214.9665,730.5205,414.336,-2625.174,796.9555,198.1495,-2269.38,994.0195,33.034,3.742,5.759,-9.7615,-6.1845,-16.265,4.186,7.456,4.487,4.186,-7.456,-4.487,-39.549,-5.5760000000000005,-4.355,-37.92400000000001,-0.41300000000000003,-6.563000000000001,0.0995,-0.22149999999999997,1.217,-0.386,-0.096,0.7415,172.4185,-56.885,4.1985,18.2795,3.058,-2.6535
6.675,111.501,-2670.7780000000002,235.5125,296.8775,-2041.461,96.42150000000001,211.916,-2067.853,875.547,-97.4185,-1959.0974999999999,934.663,601.427,-2299.051,817.5275,269.96900000000005,-1984.231,304.9785,120.97,-2455.16,253.438,-115.274,-2197.61,733.777,416.5555,-2579.8555,796.1279999999999,198.5165,-2233.76,997.976,31.4985,4.7225,5.2044999999999995,-5.98,-7.6815,-15.8985,4.2335,8.383,4.0225,4.2335,-8.383,-4.0225,-40.813,-5.8825,-4.4030000000000005,-37.123000000000005,0.491,-7.4045000000000005,0.086,-0.2575,1.0434999999999999,-0.3605,-0.08149999999999999,0.6755,273.5395,-83.2225,-0.9780000000000001,22.928,3.398,-2.355
6.695,106.69149999999999,-2613.183,253.765,295.7745,-2039.884,96.952,214.1275,-2033.412,881.3715,-99.2535,-1938.2965,930.34,599.53,-2249.295,821.9655,268.5655,-1977.533,303.9225,119.632,-2397.4565000000002,262.6095,-112.21600000000001,-2184.6014999999998,737.6745,421.1135,-2532.801,795.7570000000001,199.0145,-2198.87,1002.7049999999999,29.3065,5.426500000000001,4.2555,-1.7035,-8.682500000000001,-14.32,4.1754999999999995,9.013,3.3185000000000002,4.1754999999999995,-9.013,-3.3185000000000002,-41.4595,-6.1005,-4.9265,-36.5135,1.262,-8.0835,0.11449999999999999,-0.2515,0.8220000000000001,-0.318,-0.0635,0.6295,343.3065,-99.6215,-7.363,14.387,-0.17199999999999993,-1.4144999999999999
6.715,102.9855,-2548.2470000000003,264.813,294.887,-2039.1785,97.429,215.8825,-1999.807,888.021,-100.7195,-1919.592,926.2935,596.8525,-2195.967,828.2625,267.37149999999997,-1973.8494999999998,303.5745,119.75450000000001,-2333.4245,276.8295,-107.8655,-2175.5065,742.474,427.552,-2484.0225,795.8865000000001,199.4905,-2164.635,1008.24,26.769,5.884,3.6565000000000003,2.652,-9.209499999999998,-12.472,3.958,9.306000000000001,2.4160000000000004,3.958,-9.306000000000001,-2.4160000000000004,-41.3665,-5.567,-6.0465,-36.161,1.7435,-8.437000000000001,0.1505,-0.216,0.6020000000000001,-0.2645,-0.047,0.607,360.7725,-97.104,-12.634,3.7815,-4.220000000000001,-0.6950000000000001
6.735,100.148,-2477.427,267.0685,294.365,-2038.874,97.851,216.935,-1966.7404999999999,895.4195,-102.2895,-1903.356,922.8505,593.452,-2139.8585000000003,836.3205,266.66949999999997,-1971.6019999999999,303.661,120.4165,-2264.6765,291.721,-102.67949999999999,-2169.6885,748.4884999999999,435.3935,-2433.4055,796.4845,199.8525,-2130.92,1014.465,24.0775,6.025499999999999,3.8235,6.829000000000001,-9.3185,-11.1785,3.575,9.2235,1.401,3.575,-9.2235,-1.401,-40.8445,-4.23,-7.516,-36.0155,1.9445000000000001,-8.4635,0.154,-0.17049999999999998,0.42600000000000005,-0.20800000000000002,-0.032,0.6014999999999999,325.6275,-83.60300000000001,-15.401499999999999,-1.3605,-6.702500000000001,-0.7625
6.755,97.8125,-2401.947,260.6085,294.16200000000003,-2038.6215,98.28800000000001,217.2385,-1933.958,903.1610000000001,-104.5025,-1889.7735,919.9165,589.474,-2081.881,845.779,266.523,-1969.6115,303.93050000000005,121.43549999999999,-2193.194,304.209,-97.345,-2166.242,755.8074999999999,444.1825,-2380.818,797.344,200.099,-2097.5950000000003,1021.015,21.243000000000002,5.809,4.6075,10.778,-9.085999999999999,-10.693999999999999,3.0605,8.774000000000001,0.369,3.0605,-8.774000000000001,-0.369,-40.283,-2.7625,-8.817499999999999,-35.978,1.982,-8.318999999999999,0.1085,-0.13,0.321,-0.155,-0.02,0.6014999999999999,255.961,-73.026,-14.3985,-2.8674999999999997,-7.643000000000001,-1.175
6.775,95.8885,-2322.4415,246.702,294.14300000000003,-2038.2335,98.83,217.038,-1901.321,910.477,-107.781,-1878.6435000000001,917.0070000000001,585.079,-2022.8110000000001,856.1300000000001,266.721,-1967.2334999999998,304.19050000000004,122.7695,-2120.3535,312.8615,-92.449,-2164.0915,764.088,453.613,-2326.1495,798.1005,200.274,-2064.5,1027.35,18.27,5.340999999999999,5.592,14.538,-8.6345,-10.7335,2.4475,8.043,-0.6125,2.4475,-8.043,0.6125,-39.839,-1.8345,-9.5885,-35.8955,1.9765000000000001,-8.1365,0.025500000000000002,-0.101,0.299,-0.11299999999999999,-0.0095,0.5985,176.1465,-70.38050000000001,-9.6165,-4.53,-9.6725,-1.073
