Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
5.925,140.8,-1974.1925,184.059,288.60350000000005,-1236.91,123.773,198.47899999999998,-1391.6295,824.69,-86.1365,-1177.242,999.5775,600.3405,-1619.4255,798.6745000000001,258.322,-1243.6464999999998,324.35900000000004,175.716,-1797.446,291.95000000000005,-27.668,-1299.4705,727.1105,408.34950000000003,-1886.4524999999999,807.1904999999999,219.4405,-1537.3649999999998,938.78,29.232,-3.5934999999999997,0.787,-22.408,-4.839,3.2155,8.249,1.134,10.800999999999998,8.249,-1.134,-10.800999999999998,-38.384,-8.9005,-6.34,-46.3535,3.6239999999999997,1.1685,0.189,0.135,1.1325,-0.4935,-0.0925,1.0135,10.331999999999999,12.9735,0.8684999999999999,-178.421,-17.326999999999998,1.1235
5.945,135.779,-1950.4560000000001,198.739,287.1515,-1223.3845000000001,118.83250000000001,199.7005,-1352.845,822.391,-87.283,-1146.0165,999.9175,598.4965,-1584.9425,791.781,255.5245,-1210.4735,318.1515,167.712,-1757.1015,273.88649999999996,-29.4405,-1267.288,726.946,400.90999999999997,-1849.0925000000002,805.9275,218.6295,-1500.34,937.3575000000001,30.0275,-2.2415,2.251,-21.4135,-6.202999999999999,1.1095000000000002,7.7325,2.8265000000000002,10.225000000000001,7.7325,-2.8265000000000002,-10.225000000000001,-40.423500000000004,-9.204,-5.0365,-47.485,3.4375,0.9795,0.158,0.0865,1.1855,-0.421,-0.0935,0.9664999999999999,34.122,-0.7675000000000001,5.239000000000001,-94.7615,-18.677,0.34400000000000003
5.965,129.96550000000002,-1918.9769999999999,215.3415,286.78700000000003,-1213.892,116.0095,202.4845,-1314.3384999999998,822.513,-88.9615,-1118.183,997.2035,596.2484999999999,-1546.525,785.9635000000001,254.1615,-1181.676,312.73199999999997,156.3395,-1714.6909999999998,253.1805,-31.089,-1242.3319999999999,725.383,397.238,-1809.979,804.787,217.7715,-1463.625,937.473,30.4575,-0.564,4.4190000000000005,-19.9195,-7.577500000000001,-1.1044999999999998,7.542999999999999,4.4495000000000005,9.228000000000002,7.542999999999999,-4.4495000000000005,-9.228000000000002,-42.281,-8.311,-4.7315000000000005,-47.5295,3.5125,0.873,0.0915,0.025500000000000002,1.1709999999999998,-0.389,-0.066,0.8815,66.734,-17.0955,9.654499999999999,-31.606499999999997,-17.375,-1.1315
5.985,123.822,-1879.6375,232.82850000000002,286.863,-1207.478,115.0385,206.21699999999998,-1276.767,825.1255000000001,-91.1905,-1093.77,991.123,593.6335,-1503.8809999999999,781.941,253.5405,-1159.5149999999999,308.46400000000006,144.0985,-1671.827,236.5205,-32.1135,-1224.7055,722.5735,398.02099999999996,-1769.3575,803.4425,216.9035,-1427.655,938.9749999999999,30.2195,1.229,6.481999999999999,-17.963,-8.797,-2.8795,7.774,5.795999999999999,7.9719999999999995,7.774,-5.795999999999999,-7.9719999999999995,-43.6395,-6.9185,-5.106,-46.760999999999996,3.894,0.7315,0.0115,-0.0325,1.085,-0.382,-0.024,0.768,104.691,-30.6765,11.0685,7.850499999999999,-13.7595,-2.4939999999999998
6.005,117.792,-1833.0819999999999,249.7415,286.87149999999997,-1203.388,115.2235,210.083,-1240.542,829.9365,-93.8395,-1072.871,981.7505,590.598,-1456.9740000000002,780.5055,253.164,-1144.522,305.62649999999996,134.1805,-1626.3235,230.039,-32.120000000000005,-1214.5235,719.1285,403.639,-1727.2215,801.5944999999999,216.089,-1392.695,941.7139999999999,29.054000000000002,2.821,7.5905000000000005,-15.495,-9.7135,-3.7375,8.307500000000001,6.712999999999999,6.631,8.307500000000001,-6.712999999999999,-6.631,-44.560500000000005,-6.1995000000000005,-5.3485,-45.694,4.4985,0.40549999999999997,-0.05550000000000001,-0.07250000000000001,0.942,-0.3815,0.014499999999999999,0.653,140.0545,-38.022000000000006,8.3485,24.7825,-10.6775,-2.915
6.025,112.16,-1780.3795,264.37350000000004,286.6005,-1200.9859999999999,115.881,213.2605,-1205.821,836.3589999999999,-96.60849999999999,-1055.4185,969.6965,587.039,-1406.1235,782.3095000000001,252.79500000000002,-1135.626,304.1015,128.0045,-1575.0775,234.8945,-30.9555,-1211.6515,716.1345,413.5955,-1683.1885000000002,798.97,215.3755,-1358.8000000000002,945.6085,26.944499999999998,3.9185,7.234,-12.440999999999999,-10.2345,-3.481,8.875,7.148,5.3355,8.875,-7.148,-5.3355,-45.2175,-6.6135,-5.106,-44.744,5.204,-0.141,-0.0935,-0.0895,0.7709999999999999,-0.375,0.0345,0.5705,165.036,-39.430499999999995,3.5385,25.055999999999997,-9.929,-2.524
6.045,107.003,-1722.6370000000002,275.0625,286.089,-1199.7195000000002,116.57849999999999,215.1165,-1172.5214999999998,843.687,-99.11250000000001,-1041.124,955.962,582.851,-1352.0405,787.6765,252.3015,-1130.8870000000002,303.456,125.0615,-1517.469,248.07150000000001,-28.7185,-1215.3805,714.8855,426.4705,-1636.676,795.4375,214.76,-1325.85,950.6020000000001,24.137500000000003,4.413,5.5585,-8.781,-10.32,-2.2385,9.202,7.148,4.1545000000000005,9.202,-7.148,-4.1545000000000005,-45.6015,-7.752,-4.6434999999999995,-44.087,5.85,-0.79,-0.1045,-0.087,0.6045,-0.358,0.0325,0.5375000000000001,173.9105,-38.516,-0.8969999999999999,13.031,-11.8855,-1.8065
6.0649999999999995,102.263,-1660.7885,280.546,285.483,-1199.107,117.1565,215.35399999999998,-1140.433,851.271,-101.026,-1029.402,941.539,577.9765,-1295.6909999999998,796.441,251.656,-1128.203,303.20550000000003,124.142,-1455.123,265.3615,-25.701,-1224.392,716.4960000000001,440.405,-1587.3415,791.1295,214.197,-1293.66,956.539,20.997999999999998,4.412,3.3435,-4.6115,-9.966999999999999,-0.3625,9.1395,6.814,3.112,9.1395,-6.814,-3.112,-45.6495,-8.917,-4.3740000000000006,-43.653499999999994,6.3245000000000005,-1.363,-0.1,-0.07050000000000001,0.4675,-0.3275,0.0195,0.549,165.725,-37.9055,-4.2895,-6.0275,-14.413,-1.094
6.085,97.858,-1595.5015,280.171,284.90999999999997,-1198.766,117.6465,214.0745,-1109.269,858.6145,-102.184,-1019.668,926.9694999999999,572.454,-1238.1895,807.8644999999999,250.994,-1125.929,303.02049999999997,124.051,-1390.161,282.824,-22.3015,-1236.9265,721.512,453.87850000000003,-1535.363,786.4915,213.6485,-1262.035,963.068,17.829,4.102,1.5565,-0.14499999999999996,-9.1995,1.7615,8.7315,6.2415,2.2085,8.7315,-6.2415,-2.2085,-45.315,-9.621,-4.5095,-43.256,6.6175,-1.755,-0.094,-0.0485,0.372,-0.2815,0.009,0.5834999999999999,146.28050000000002,-36.730999999999995,-6.4695,-23.152,-16.0505,-0.476
6.105,93.735,-1527.144,273.897,284.418,-1198.453,118.17699999999999,211.7185,-1078.77,865.3534999999999,-102.6215,-1011.7570000000001,912.277,566.4590000000001,-1180.541,820.7139999999999,250.537,-1123.2150000000001,302.7745,123.94200000000001,-1323.9825,297.621,-18.877499999999998,-1251.3065000000001,729.858,466.153,-1481.384,781.992,213.10250000000002,-1230.7849999999999,969.6514999999999,14.7575,3.6105,0.8514999999999999,4.3629999999999995,-8.0805,3.8405,8.145,5.490500000000001,1.44,8.145,-5.490500000000001,-1.44,-44.69,-9.762,-4.998,-42.75,6.814,-1.9865,-0.095,-0.026500000000000003,0.3205,-0.22099999999999997,0.006500000000000001,0.615,121.99950000000001,-33.543,-7.0504999999999995,-31.3365,-16.287,-0.078
