Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
5.995,132.269,-1641.344,214.369,337.121,-878.5215000000001,121.6165,218.495,-1006.5495000000001,807.3105,-90.11250000000001,-796.948,981.2785,678.126,-1388.9720000000002,864.2255,305.75,-883.25,340.432,148.98250000000002,-1438.5515,287.74199999999996,-80.1795,-960.6565,697.987,488.5295,-1651.545,880.6469999999999,227.5685,-1150.115,969.4455,41.851,0.19949999999999998,2.2395,-9.127500000000001,-7.673500000000001,1.532,-17.369500000000002,7.7085,15.1125,-17.369500000000002,-7.7085,-15.1125,-41.698,-8.6545,-5.5905000000000005,-40.6095,1.1824999999999999,8.0565,0.4185,0.0385,1.1235,-0.525,0.10800000000000001,1.1225,48.5655,-0.395,4.3745,-250.224,-69.13900000000001,-0.3105
6.015,128.8395,-1610.4814999999999,228.8245,333.46450000000004,-863.7425000000001,114.206,223.1535,-960.7470000000001,803.3275,-87.6045,-756.3755000000001,993.072,682.958,-1350.498,859.307,302.80499999999995,-850.9185,331.127,137.5375,-1398.328,265.0725,-72.31,-902.8875,700.3735,487.91200000000003,-1610.5529999999999,877.1,228.5285,-1107.775,965.2295,41.391999999999996,2.3075,1.3415,-8.0655,-9.268,0.6214999999999999,-17.519,8.767,13.892,-17.519,-8.767,-13.892,-43.122,-8.5175,-5.0535,-41.353,2.7015000000000002,6.753,0.40149999999999997,0.022,1.256,-0.533,0.017499999999999998,1.151,94.38,-13.7105,6.8665,-168.09199999999998,-32.3575,0.949
6.035,125.44200000000001,-1570.401,244.5155,330.7255,-854.4655,109.283,230.233,-915.6455,801.7764999999999,-85.706,-721.1725,1000.1759999999999,687.0074999999999,-1302.6405,852.4705,300.9605,-822.9515,323.595,124.9335,-1355.6485,243.6775,-64.12,-856.0515,701.601,491.8885,-1564.3995,871.462,229.232,-1065.9,962.702,40.587,5.303,0.2415,-6.281000000000001,-11.6115,-0.29050000000000004,-17.2675,10.294,11.7525,-17.2675,-10.294,-11.7525,-44.431,-7.801500000000001,-5.5169999999999995,-41.1935,4.156499999999999,5.2,0.33899999999999997,0.0045,1.331,-0.5660000000000001,-0.0405,1.0875,149.8015,-28.035,8.258500000000002,-97.502,-1.2575000000000003,1.597
6.055,122.546,-1520.694,260.40549999999996,329.0685,-848.8330000000001,106.97550000000001,238.74,-872.1795,802.7270000000001,-84.3235,-690.6705,1002.0525,689.8620000000001,-1245.6950000000002,844.3855,300.3695,-800.4275,318.349,113.226,-1308.5484999999999,228.912,-56.173,-821.01,700.883,500.77750000000003,-1513.3815,863.9680000000001,229.73000000000002,-1024.76,961.9195,39.36,8.698,-0.6445000000000001,-3.7225,-14.620999999999999,-1.3275000000000001,-16.7675,12.141,9.0725,-16.7675,-12.141,-9.0725,-45.1025,-6.8875,-6.82,-40.1035,5.3705,3.7895000000000003,0.2415,-0.0205,1.319,-0.5834999999999999,-0.059,0.9415,205.84750000000003,-42.361000000000004,7.739,-40.799,20.336,1.5995
6.075,120.56899999999999,-1461.7440000000001,274.894,328.39250000000004,-845.61,106.6505,247.122,-830.929,805.8924999999999,-83.447,-664.3615,998.4765,690.9655,-1180.191,836.0385,300.894,-784.0145,315.405,104.2365,-1253.4279999999999,223.7485,-48.942499999999995,-798.096,698.0215000000001,514.2075,-1457.3795,854.6610000000001,230.06900000000002,-984.463,962.81,37.653999999999996,11.856000000000002,-0.9405,-0.28,-17.9455,-2.4735,-16.273,13.963000000000001,6.326,-16.273,-13.963000000000001,-6.326,-44.954,-6.2765,-8.382,-38.457499999999996,6.319,2.7765,0.1305,-0.061,1.212,-0.5549999999999999,-0.0435,0.762,251.0985,-56.351,5.5745000000000005,0.4315000000000002,30.777,1.278
6.095,119.7245,-1394.592,286.0475,328.418,-843.943,107.4075,253.7045,-791.942,810.692,-83.166,-641.8655,989.5335,689.7325000000001,-1107.0585,828.643,302.0845,-773.5035,314.30949999999996,98.9795,-1187.774,227.986,-42.8075,-787.0495000000001,693.5785000000001,530.827,-1395.949,843.3395,230.2855,-944.9480000000001,965.2005,35.436,14.184000000000001,-0.458,4.1530000000000005,-20.978,-3.568,-15.981000000000002,15.3045,3.9705,-15.981000000000002,-15.3045,-3.9705,-44.179,-6.1765,-9.68,-36.786,7.0120000000000005,2.2089999999999996,0.0245,-0.1135,1.0275,-0.47950000000000004,-0.0045000000000000005,0.608,275.662,-68.4375,2.5465,24.592,30.249000000000002,0.8685
6.115,119.93299999999999,-1320.6190000000001,292.00300000000004,328.802,-843.184,108.51750000000001,257.273,-754.833,816.4200000000001,-83.6705,-622.948,975.5899999999999,685.711,-1027.745,823.4114999999999,303.28700000000003,-767.8295,314.377,97.82050000000001,-1111.8185,239.8535,-37.9945,-786.9775,688.7825,548.5435,-1328.601,829.8009999999999,230.422,-906.067,968.8745,32.75,15.3305,0.6735,9.5595,-23.000500000000002,-4.388999999999999,-15.964500000000001,15.791,2.3285,-15.964500000000001,-15.791,-2.3285,-43.156,-6.4435,-10.5075,-35.528,7.433999999999999,1.9945,-0.0685,-0.158,0.8055,-0.3755,0.0435,0.5215000000000001,273.71299999999997,-74.95349999999999,-0.895,32.92,20.938000000000002,0.46950000000000003
6.135,120.85300000000001,-1241.1689999999999,291.3825,329.2315,-842.8265,109.616,257.4755,-719.1095,822.456,-85.2535,-607.7335,957.2425000000001,678.7345,-944.1205,821.281,303.922,-765.325,314.9615,100.6665,-1028.3975,257.2015,-34.478,-796.389,685.2355,564.8900000000001,-1255.196,814.1355,230.5495,-867.668,973.554,29.7205,15.298,2.0625,15.67,-23.43,-4.7940000000000005,-16.219,15.2755,1.5030000000000001,-16.219,-15.2755,-1.5030000000000001,-42.2685,-6.7684999999999995,-10.9275,-34.876000000000005,7.579000000000001,2.007,-0.14750000000000002,-0.172,0.593,-0.26849999999999996,0.08299999999999999,0.5115000000000001,243.57,-72.23849999999999,-4.1675,30.179000000000002,6.266,0.162
6.155,122.001,-1157.2269999999999,283.60249999999996,329.46849999999995,-842.506,110.6685,254.8655,-684.3845,828.3054999999999,-88.233,-596.906,935.404,668.9775,-858.182,822.688,303.7215,-764.1505,315.6405,106.805,-941.8155,277.406,-31.915499999999998,-813.365,684.5485,577.6745000000001,-1176.104,796.872,230.756,-829.6569999999999,978.876,26.500999999999998,14.3925,3.282,21.9925,-22.070999999999998,-4.8035,-16.7275,13.853,1.365,-16.7275,-13.853,-1.365,-41.754999999999995,-6.9105,-11.0955,-34.772,7.503,2.1334999999999997,-0.21650000000000003,-0.14450000000000002,0.42600000000000005,-0.1745,0.1055,0.5549999999999999,190.50650000000002,-60.4355,-6.3155,21.8095,-9.865,0.024
6.175,122.905,-1069.2775000000001,269.0025,329.3505,-842.003,111.8185,250.67149999999998,-650.365,833.55,-92.8355,-591.5730000000001,911.495,656.902,-771.6795,827.488,302.788,-762.7815,316.2495,114.8215,-856.001,297.29650000000004,-29.6185,-835.721,688.0,585.798,-1092.0659999999998,778.954,231.114,-791.9955,984.3645,23.2025,13.0565,4.1205,28.015,-19.235,-4.52,-17.471,11.777,1.6065,-17.471,-11.777,-1.6065,-41.664500000000004,-6.816000000000001,-11.1325,-35.0125,7.3245000000000005,2.278,-0.28049999999999997,-0.082,0.327,-0.0995,0.1105,0.6154999999999999,126.5645,-42.869,-6.4350000000000005,11.222999999999999,-23.798000000000002,-0.0595
