Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
7.295,122.765,-1631.2585,167.17849999999999,325.202,-1035.8629999999998,116.8735,198.5615,-1104.6705000000002,931.3135,-159.1575,-955.932,1035.2305000000001,612.527,-1386.7505,859.3175,316.9945,-990.6210000000001,348.2895,146.1155,-1474.0645,328.19050000000004,-150.193,-1182.484,769.8945,408.20050000000003,-1679.7665,852.988,211.719,-1265.5549999999998,1052.745,25.058,-0.5465,0.8505,-9.015,-1.228,-7.407500000000001,1.4184999999999999,1.9405,4.024,1.4184999999999999,-1.9405,-4.024,-34.28,-7.313000000000001,-13.5175,-39.7025,-0.2225,-1.446,0.1825,0.006,0.901,-0.0915,-0.0665,0.7415,-10.9215,-14.527999999999999,2.25,-97.477,4.0125,0.761
7.3149999999999995,121.032,-1619.2359999999999,177.9115,324.3875,-1028.322,114.74549999999999,203.6565,-1076.524,931.823,-158.268,-939.1085,1031.7185,614.191,-1356.467,856.5255,315.9445,-971.412,342.68449999999996,142.1145,-1447.5875,323.99850000000004,-143.2795,-1167.249,767.6690000000001,410.6735,-1650.3485,848.9735000000001,214.127,-1240.135,1052.345,24.570999999999998,0.213,0.1415,-8.4625,-2.184,-7.9735,1.4925000000000002,2.5854999999999997,3.64,1.4925000000000002,-2.5854999999999997,-3.64,-35.1445,-7.496,-12.1735,-40.2415,0.22699999999999998,-2.34,0.207,0.008,0.9815,-0.0915,-0.0915,0.7595000000000001,5.0845,-22.552999999999997,3.26,-39.23,8.177,3.2215
7.335,119.2285,-1601.938,190.6845,324.2375,-1022.739,113.752,209.4315,-1048.281,933.571,-157.4155,-924.9535000000001,1026.187,615.7415,-1323.6815000000001,854.117,315.0185,-955.2605,338.3215,134.9535,-1413.7825,315.5705,-134.8785,-1157.049,765.6134999999999,413.85400000000004,-1619.1390000000001,845.155,216.50799999999998,-1214.34,1052.9850000000001,24.09,1.06,-0.751,-7.3614999999999995,-3.441,-8.7505,1.6415,3.3765,3.1045,1.6415,-3.3765,-3.1045,-36.3105,-7.346,-10.814499999999999,-40.3195,0.494,-3.019,0.1735,0.002,1.0394999999999999,-0.134,-0.08049999999999999,0.751,18.735999999999997,-26.323999999999998,3.534,-5.816,5.9585,4.8065
7.355,117.235,-1578.3755,205.1715,324.35400000000004,-1018.9125,113.53999999999999,215.618,-1020.4549999999999,936.1355000000001,-156.5285,-913.575,1018.8779999999999,617.155,-1288.2585,852.0840000000001,313.8585,-943.5775,335.4945,124.2345,-1374.29,302.201,-124.958,-1151.6975,764.0435,418.484,-1586.281,841.5435,218.8185,-1188.37,1054.4450000000002,23.564,1.915,-1.67,-5.6240000000000006,-5.023,-9.896,1.8685,4.2,2.466,1.8685,-4.2,-2.466,-37.813,-6.9135,-9.895,-39.997,0.6990000000000001,-3.4475,0.078,-0.018000000000000002,1.049,-0.193,-0.0435,0.7124999999999999,26.9035,-29.722,3.3505000000000003,9.889,3.431,4.525
7.375,115.0475,-1548.455,220.9955,324.37800000000004,-1016.5925,113.6545,221.75650000000002,-993.4784999999999,938.9965,-155.536,-904.9335,1010.0435,618.4300000000001,-1250.1615,850.4780000000001,312.4815,-936.201,333.927,111.008,-1332.5725,285.7915,-113.5815,-1150.6105,763.1455000000001,425.34299999999996,-1551.8975,837.9135,221.071,-1162.51,1056.375,22.819000000000003,2.6769999999999996,-2.4734999999999996,-3.278,-6.824,-11.432500000000001,2.1500000000000004,4.9115,1.784,2.1500000000000004,-4.9115,-1.784,-39.5165,-6.3445,-9.919,-39.4725,0.917,-3.692,-0.0545,-0.051000000000000004,0.9935,-0.2385,0.001,0.658,34.3965,-39.631,3.9539999999999997,12.9155,1.046,3.051
7.395,113.0565,-1513.031,237.79250000000002,324.15999999999997,-1015.323,113.8065,227.26,-967.6215,941.7360000000001,-154.40300000000002,-898.8444999999999,999.8865000000001,619.5585,-1209.5255,849.367,310.942,-931.925,333.10400000000004,98.3345,-1291.517,271.6345,-100.82249999999999,-1152.9425,762.9390000000001,434.84000000000003,-1516.018,833.857,223.30849999999998,-1136.995,1058.455,21.737499999999997,3.274,-2.9825,-0.45600000000000007,-8.5715,-13.066500000000001,2.444,5.388999999999999,1.121,2.444,-5.388999999999999,-1.121,-41.081999999999994,-6.004,-10.871,-38.957499999999996,1.109,-3.801,-0.1795,-0.088,0.873,-0.251,0.037,0.609,50.8935,-54.965,5.5715,8.0525,-1.494,1.1935
7.415,111.972,-1473.4085,254.953,323.74,-1014.6305,113.91300000000001,231.70850000000002,-942.885,944.204,-153.0975,-895.062,988.638,620.5405000000001,-1166.638,848.7935,309.21799999999996,-929.4205,332.62199999999996,89.76400000000001,-1250.9740000000002,266.0185,-86.77950000000001,-1157.8445000000002,763.4480000000001,446.84749999999997,-1478.4865,828.9525000000001,225.5575,-1111.95,1060.525,20.368,3.7119999999999997,-3.06,2.69,-9.972,-14.251000000000001,2.71,5.6,0.5295000000000001,2.71,-5.6,-0.5295000000000001,-42.259,-6.3085,-12.057500000000001,-38.575,1.2035,-3.7904999999999998,-0.254,-0.11599999999999999,0.7095,-0.22549999999999998,0.055,0.5814999999999999,82.4665,-65.22550000000001,5.464,2.48,-3.3310000000000004,-0.433
7.4350000000000005,112.31700000000001,-1430.5900000000001,271.27599999999995,323.262,-1014.2,114.0075,234.9965,-919.1,946.453,-151.548,-893.3430000000001,976.652,621.3475000000001,-1121.834,848.7975,307.331,-927.7574999999999,332.304,86.423,-1208.682,271.637,-71.7315,-1164.7275,764.941,460.779,-1439.0684999999999,822.999,227.8005,-1087.365,1062.59,18.825,3.9985,-2.7335000000000003,6.039,-10.844999999999999,-14.4785,2.9335,5.552,0.017000000000000008,2.9335,-5.552,-0.017000000000000008,-42.8715,-7.1465,-12.852,-38.343,1.1564999999999999,-3.6849999999999996,-0.258,-0.1275,0.538,-0.173,0.0535,0.5774999999999999,123.8065,-62.372,1.1535,1.028,-3.613,-1.4769999999999999
7.455,113.93299999999999,-1384.878,284.9705,322.898,-1013.891,114.1605,237.2935,-896.0305000000001,948.6875,-149.6595,-893.3865000000001,964.406,621.9010000000001,-1075.4325,849.5415,305.4675,-926.4135,332.121,86.7625,-1163.145,285.9805,-56.024,-1173.221,767.9865,475.7405,-1397.6264999999999,816.1485,229.985,-1063.1750000000002,1064.71,17.182000000000002,4.1175,-2.192,9.4805,-11.192,-13.633500000000002,3.122,5.2684999999999995,-0.4455,3.122,-5.2684999999999995,0.4455,-42.817499999999995,-7.8870000000000005,-13.315,-38.2215,0.9570000000000001,-3.534,-0.20350000000000001,-0.122,0.38949999999999996,-0.112,0.0385,0.5885,156.39,-48.8005,-5.7035,2.1534999999999997,-3.4375,-1.689
7.475,116.047,-1336.1554999999998,294.1615,322.7735,-1013.6405,114.444,238.878,-873.4385,951.0405000000001,-147.3535,-894.7674999999999,952.4459999999999,622.1545,-1027.89,851.422,303.87,-925.088,332.082,88.89099999999999,-1114.4054999999998,303.75800000000004,-39.794,-1182.956,773.2505,490.64,-1354.164,808.778,232.062,-1039.27,1066.9099999999999,15.482500000000002,4.0344999999999995,-1.6825,12.9275,-11.097999999999999,-12.057500000000001,3.2755,4.773,-0.8955,3.2755,-4.773,0.8955,-42.210499999999996,-8.125499999999999,-13.787500000000001,-38.158500000000004,0.612,-3.367,-0.129,-0.108,0.28,-0.059500000000000004,0.0215,0.6014999999999999,165.899,-34.6425,-11.845500000000001,3.8369999999999997,-3.828,-1.163
