Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
6.305,66.68299999999999,-1659.6680000000001,152.8975,292.078,-1001.304,99.453,167.4265,-1114.0755,851.5685,-96.771,-875.6445,958.0245,636.0150000000001,-1364.4015,795.752,259.738,-984.109,322.062,100.873,-1509.158,296.4175,-188.8665,-1097.5945,721.6185,415.033,-1608.498,738.7015,171.4685,-1280.805,963.892,29.9065,-0.45599999999999996,-7.166499999999999,-13.661999999999999,-1.2645,-5.337,-2.4530000000000003,5.746499999999999,8.361,-2.4530000000000003,-5.746499999999999,-8.361,-34.715,-12.404,-7.956999999999999,-32.679500000000004,-7.694,1.4215,0.0955,-0.031,0.7955000000000001,-0.1145,0.0095,0.8105,-31.0725,6.9385,1.8145,-82.732,-23.429499999999997,-9.4665
6.325,64.0515,-1648.2765,161.6605,291.025,-993.5585,95.53,170.887,-1082.5855000000001,850.5105,-88.1465,-853.684,953.5425,637.156,-1345.454,790.6475,261.224,-958.182,314.582,97.398,-1482.2645,288.508,-176.14249999999998,-1079.2755,715.6985,409.44100000000003,-1585.4814999999999,740.2394999999999,174.53449999999998,-1253.065,962.63,29.3805,0.147,-8.793,-13.836500000000001,-1.9145,-5.8195,-2.9015,6.554,7.903499999999999,-2.9015,-6.554,-7.903499999999999,-36.213499999999996,-13.378,-5.985,-33.31,-6.311,0.28049999999999997,0.154,-0.0295,0.8534999999999999,-0.065,0.0025,0.8865000000000001,-24.839,-2.219,0.981,-19.1565,-28.213,-7.790000000000001
6.345,61.462,-1633.1374999999998,172.28300000000002,289.79600000000005,-987.1975,93.6525,175.101,-1050.434,851.862,-80.474,-834.4504999999999,947.6175000000001,637.306,-1321.183,785.6175000000001,261.546,-935.9055000000001,308.637,91.1275,-1450.476,276.0725,-163.2545,-1065.825,710.113,406.544,-1560.125,742.0145,177.499,-1224.955,962.673,28.477,0.9155,-10.585,-13.562999999999999,-2.7805,-6.939,-3.1795,7.465,7.1975,-3.1795,-7.465,-7.1975,-37.9735,-13.798,-4.439,-33.457499999999996,-4.563000000000001,-1.1065,0.1765,-0.038000000000000006,0.9219999999999999,-0.1,-0.018500000000000003,0.9125000000000001,-15.198,-15.0905,-0.0020000000000000018,10.1555,-14.494,-2.7415000000000003
6.365,59.206,-1613.0465,185.0745,288.67449999999997,-982.637,93.31,180.30200000000002,-1018.57,855.3945,-73.75550000000001,-817.701,940.2375,636.5585000000001,-1291.1255,780.7515000000001,260.4365,-920.2470000000001,304.8585,81.936,-1415.904,260.11199999999997,-151.10399999999998,-1056.9015,705.585,406.8025,-1532.446,743.7574999999999,180.12,-1196.865,963.997,27.320999999999998,2.1685,-11.9025,-12.689499999999999,-4.129,-8.732,-3.1995,8.621500000000001,6.263,-3.1995,-8.621500000000001,-6.263,-39.9225,-13.3005,-4.0755,-33.1625,-2.9130000000000003,-2.3965,0.14350000000000002,-0.0595,0.982,-0.18,-0.048,0.8634999999999999,2.9944999999999995,-27.994,0.5900000000000001,24.398,4.983499999999999,0.685
6.385,57.644999999999996,-1587.0394999999999,199.89999999999998,287.99350000000004,-980.037,93.707,186.4865,-987.9535,860.3544999999999,-67.85249999999999,-802.8785,931.3785,635.01,-1255.4465,776.2345,258.751,-911.3325,303.115,71.9375,-1380.759,244.149,-140.712,-1051.6570000000002,702.7555,410.5135,-1502.3319999999999,744.927,182.30349999999999,-1169.22,966.3225,25.901,4.045,-12.0305,-11.131499999999999,-6.1365,-10.979,-2.9850000000000003,10.118500000000001,5.197,-2.9850000000000003,-10.118500000000001,-5.197,-41.721000000000004,-12.068,-5.135,-32.676,-1.7215,-3.3955,0.0585,-0.0915,1.007,-0.25,-0.07150000000000001,0.753,29.667,-35.953,3.0745,26.393,15.551,1.293
6.405,57.0695,-1554.871,215.974,287.885,-978.934,94.22649999999999,192.9805,-959.226,865.6955,-62.644000000000005,-789.2995,921.0815,632.732,-1214.783,772.3705,257.3315,-907.316,302.6395,64.7525,-1345.2604999999999,233.004,-133.06650000000002,-1048.801,702.0065,417.595,-1469.5529999999999,744.9055000000001,184.138,-1142.405,969.229,24.097,6.24,-10.6995,-8.901,-8.703,-13.229,-2.6654999999999998,11.849,4.1705000000000005,-2.6654999999999998,-11.849,-4.1705000000000005,-43.010000000000005,-10.8905,-6.867,-32.2715,-1.1315,-4.1185,-0.056,-0.1265,0.973,-0.27,-0.07150000000000001,0.6285000000000001,59.6045,-38.87,4.6865000000000006,18.5075,14.2875,1.4335
6.425,57.574,-1517.0955,232.00650000000002,288.1775,-978.6220000000001,94.562,198.501,-932.49,870.492,-58.224000000000004,-776.4715000000001,909.5675000000001,629.7065,-1169.853,769.4459999999999,256.428,-905.9975,302.652,62.2745,-1307.5435,229.809,-128.82150000000001,-1046.938,703.359,427.661,-1433.8805,743.2774999999999,185.796,-1116.5300000000002,972.331,21.912999999999997,8.119499999999999,-8.41,-6.059,-11.398,-14.916,-2.384,13.475999999999999,3.3745,-2.384,-13.475999999999999,-3.3745,-43.701499999999996,-10.438500000000001,-8.195,-32.0505,-1.039,-4.6215,-0.16,-0.156,0.873,-0.22899999999999998,-0.045,0.5375000000000001,85.269,-42.1205,3.578,10.5425,5.588500000000001,2.362
6.445,59.0195,-1474.6444999999999,246.53,288.5645,-978.57,94.6455,201.739,-907.4105,874.2985,-55.025,-764.3389999999999,897.3534999999999,625.7715000000001,-1121.1435000000001,767.7180000000001,255.9875,-905.7105,302.72749999999996,63.174499999999995,-1265.77,234.18200000000002,-128.06099999999998,-1045.0335,706.5435,439.9615,-1395.1215,739.953,187.406,-1091.42,975.4245000000001,19.5745,9.112,-6.236,-2.667,-13.6095,-15.5665,-2.2365000000000004,14.5855,2.9675000000000002,-2.2365000000000004,-14.5855,-2.9675000000000002,-43.811,-10.6835,-8.668,-31.9315,-1.185,-4.9005,-0.2235,-0.169,0.7250000000000001,-0.14700000000000002,-0.0055,0.504,103.132,-47.7435,1.3010000000000002,9.636,-4.176,2.862
6.465,61.1275,-1428.315,258.1505,288.8445,-978.535,94.5635,202.1225,-883.638,877.223,-53.778999999999996,-753.2025,885.281,620.62,-1068.9615,767.4945,255.903,-905.4965,302.7545,65.11,-1219.429,243.416,-130.3315,-1042.7060000000001,711.174,453.80150000000003,-1353.167,735.1385,188.992,-1066.805,978.482,17.3675,9.085999999999999,-5.1715,1.19,-14.8115,-15.038,-2.2655,14.9155,2.9989999999999997,-2.2655,-14.9155,-2.9989999999999997,-43.416,-11.2395,-8.501999999999999,-31.799,-1.347,-4.949,-0.2375,-0.1595,0.5589999999999999,-0.0605,0.032,0.5215000000000001,111.34450000000001,-49.629999999999995,-0.35050000000000003,13.4885,-11.478,1.9714999999999998
6.485,63.6175,-1378.6284999999998,265.72,288.96450000000004,-978.448,94.469,200.2165,-860.9335000000001,879.716,-55.282,-743.413,874.358,613.8945,-1013.766,769.0920000000001,256.022,-904.9269999999999,302.7525,67.08099999999999,-1169.0555,254.5885,-134.815,-1040.185,716.8615,468.36749999999995,-1307.886,729.1575,190.53300000000002,-1042.475,981.548,15.43,8.382,-5.5595,5.342499999999999,-14.786999999999999,-13.5885,-2.4785,14.458,3.343,-2.4785,-14.458,-3.343,-42.730999999999995,-11.8275,-8.048,-31.603499999999997,-1.4449999999999998,-4.8345,-0.2175,-0.1275,0.40549999999999997,-0.002,0.057999999999999996,0.5609999999999999,113.283,-42.859,-1.334,15.442,-16.8185,0.45999999999999996
