Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,PELVISA-X,PELVISA-Y,PELVISA-Z,LHANDA-X,LHANDA-Y,LHANDA-Z,RHANDA-X,RHANDA-Y,RHANDA-Z,RFOOTA-X,RFOOTA-Y,RFOOTA-Z,LFOOTA-X,LFOOTA-Y,LFOOTA-Z,LFOREARMA-X,LFOREARMA-Y,LFOREARMA-Z,RFOREARMA-X,RFOREARMA-Y,RFOREARMA-Z,CentreOfMass-X,CentreOfMass-Y,CentreOfMass-Z,RHipAngles-X,RHipAngles-Y,RHipAngles-Z,LHipAngles-X,LHipAngles-Y,LHipAngles-Z,RSpineAngles-X,RSpineAngles-Y,RSpineAngles-Z,LSpineAngles-X,LSpineAngles-Y,LSpineAngles-Z,LForeFootAngles-X,LForeFootAngles-Y,LForeFootAngles-Z,RForeFootAngles-X,RForeFootAngles-Y,RForeFootAngles-Z,LKneeForce-X,LKneeForce-Y,LKneeForce-Z,RKneeForce-X,RKneeForce-Y,RKneeForce-Z,LKneeMoment-X,LKneeMoment-Y,LKneeMoment-Z,RKneeMoment-X,RKneeMoment-Y,RKneeMoment-Z
5.695,139.33350000000002,-2623.0874999999996,208.59300000000002,266.1395,-2000.1754999999998,117.91,211.33550000000002,-2039.673,914.8344999999999,-88.731,-1951.6465,940.0975000000001,590.252,-2238.4545,841.374,258.28,-1948.0115,331.1775,137.06799999999998,-2419.459,297.6155,-102.2005,-2248.5525,761.146,357.9905,-2494.2785,793.583,200.968,-2215.8900000000003,1030.1,26.1055,6.7705,-4.234,-12.197,-5.300000000000001,-16.3195,4.6805,8.3905,6.52,4.6805,-8.3905,-6.52,-34.3665,-7.9215,-1.3705,-39.791,3.2720000000000002,-6.412000000000001,-0.202,-0.026,0.768,0.0505,0.0295,0.587,-281.7445,21.1415,7.933999999999999,-122.48349999999999,-26.5715,-0.06600000000000006
5.715,135.9605,-2601.553,221.7015,265.7685,-1996.536,117.8735,212.8585,-2018.1390000000001,917.201,-89.4495,-1940.358,937.02,590.0725,-2218.7175,840.5225,257.37649999999996,-1938.7305000000001,329.41650000000004,128.6545,-2390.721,289.1705,-102.2375,-2241.1565,765.0925,355.112,-2472.4025,793.9780000000001,201.00900000000001,-2195.075,1031.4299999999998,25.5345,7.603,-4.2995,-10.643,-7.231,-17.762,4.8375,9.346499999999999,6.7059999999999995,4.8375,-9.346499999999999,-6.7059999999999995,-35.8065,-8.017,-1.0855000000000001,-39.5155,3.7945,-6.875500000000001,-0.016,-0.129,1.165,-0.0235,0.023,0.595,-54.070499999999996,-10.97,3.4685,-10.253,-16.4195,-3.068
5.735,131.413,-2570.9685,238.06900000000002,264.922,-1993.028,117.9235,214.30900000000003,-1992.266,920.164,-89.967,-1926.7735,933.1400000000001,589.887,-2192.8329999999996,840.2455,255.97500000000002,-1929.268,327.6105,119.7235,-2354.5505000000003,279.48,-103.951,-2232.358,770.56,352.868,-2444.867,794.1765,201.1515,-2169.8999999999996,1033.2350000000001,24.369,8.442,-5.026,-8.301,-9.2305,-18.656,4.9875,10.321,6.8580000000000005,4.9875,-10.321,-6.8580000000000005,-37.498000000000005,-7.9925,-1.1895,-39.135999999999996,4.547,-7.6155,-0.0165,-0.1935,1.307,-0.1065,0.0145,0.604,41.138999999999996,-26.7035,1.356,18.4875,-12.494499999999999,-2.8225
5.755,126.244,-2533.4584999999997,255.522,263.7875,-1990.524,118.0905,215.173,-1965.3405,923.5865,-89.9045,-1912.533,929.0325,589.6324999999999,-2162.8525,841.178,254.24099999999999,-1921.8809999999999,326.256,113.05250000000001,-2314.6245,272.9755,-107.59700000000001,-2223.285,777.0944999999999,352.1065,-2414.635,794.227,201.3925,-2143.485,1035.5,22.661,9.099,-6.0355,-5.3260000000000005,-10.7775,-18.432,5.1,11.051,6.9125,5.1,-11.051,-6.9125,-38.858000000000004,-8.279,-1.5315,-38.723,5.3265,-8.4145,-0.11050000000000001,-0.202,1.1785,-0.1755,0.003,0.611,95.876,-34.508,-1.2695,17.035,-11.889,-1.6840000000000002
5.775,121.065,-2491.354,272.291,262.8075,-1989.2375,118.37,215.24099999999999,-1939.1245,927.5595000000001,-89.17,-1898.6129999999998,925.333,589.169,-2130.0615,843.7205,252.5875,-1917.321,325.5655,109.833,-2272.2160000000003,273.752,-112.5,-2214.6365,784.278,353.1775,-2383.475,794.4065,201.66750000000002,-2117.58,1038.33,20.6185,9.5105,-6.532,-2.008,-11.6045,-17.113,5.157500000000001,11.4185,6.8309999999999995,5.157500000000001,-11.4185,-6.8309999999999995,-39.554500000000004,-8.8885,-1.8985,-38.301,5.9055,-9.0055,-0.198,-0.16199999999999998,0.874,-0.207,-0.006,0.6125,123.18950000000001,-34.969,-3.9545000000000003,0.3670000000000002,-12.774000000000001,-0.688
5.795,116.2065,-2446.208,286.8365,262.368,-1988.8584999999998,118.7355,214.68,-1914.046,932.1545000000001,-88.156,-1885.545,922.5605,588.347,-2095.038,847.9485,251.4615,-1914.9569999999999,325.408,109.3215,-2227.1345,282.28200000000004,-117.35300000000001,-2206.774,791.818,356.111,-2351.9585,795.0325,201.902,-2092.6450000000004,1041.755,18.4375,9.6685,-6.0485,1.3519999999999999,-11.717500000000001,-15.2235,5.134499999999999,11.440999999999999,6.5755,5.134499999999999,-11.440999999999999,-6.5755,-39.4855,-9.2295,-2.4215,-37.8375,6.202999999999999,-9.251999999999999,-0.232,-0.1035,0.536,-0.1925,-0.0055,0.607,134.37,-30.2725,-5.3855,-7.8645000000000005,-13.47,-0.1275
5.8149999999999995,111.5545,-2398.593,297.621,262.51300000000003,-1988.9195,119.1515,213.899,-1889.9765,937.187,-87.7035,-1873.6709999999998,920.921,587.113,-2058.166,853.681,251.055,-1913.6284999999998,325.48699999999997,110.2385,-2179.4265,295.55100000000004,-120.8785,-2199.8535,799.461,360.8165,-2319.968,796.183,202.055,-2068.545,1045.65,16.2025,9.57,-4.867,4.585,-11.283999999999999,-13.427,4.9879999999999995,11.1905,6.105,4.9879999999999995,-11.1905,-6.105,-38.908,-8.802499999999998,-3.2685,-37.332,6.286,-9.199,-0.2195,-0.052500000000000005,0.273,-0.14300000000000002,0.004,0.597,127.25200000000001,-24.9975,-4.739000000000001,-0.42900000000000005,-13.750499999999999,0.0775
5.835,106.8535,-2348.6725,303.4855,262.94500000000005,-1989.047,119.584,213.36950000000002,-1866.6934999999999,942.174,-88.78999999999999,-1863.17,920.2295,585.562,-2019.897,860.5509999999999,251.164,-1912.318,325.55899999999997,111.5745,-2129.6679999999997,309.4165,-122.3115,-2193.797,806.8475000000001,367.17650000000003,-2287.1594999999998,797.5985000000001,202.1375,-2044.995,1049.705,13.9585,9.238,-3.716,7.6705000000000005,-10.523499999999999,-12.127500000000001,4.686,10.76,5.388,4.686,-10.76,-5.388,-38.233999999999995,-7.755000000000001,-4.243,-36.828500000000005,6.2795000000000005,-8.988,-0.19,-0.023,0.1305,-0.08,0.0195,0.586,107.12100000000001,-24.0345,-3.787,12.818999999999999,-16.0295,-0.030500000000000003
5.855,102.0455,-2296.6475,304.04200000000003,263.2795,-1989.0210000000002,119.9975,213.512,-1844.08,946.5435,-92.0985,-1854.022,919.995,583.8340000000001,-1980.7040000000002,868.1,251.40800000000002,-1910.3615,325.49,112.7185,-2078.527,320.961,-121.70599999999999,-2188.2455,813.5995,375.187,-2253.2995,798.8505,202.18200000000002,-2021.7849999999999,1053.545,11.7645,8.748999999999999,-3.0715,10.641,-9.642,-11.3345,4.2545,10.236,4.406499999999999,4.2545,-10.236,-4.406499999999999,-37.804500000000004,-6.6315,-5.0175,-36.3425,6.2805,-8.776,-0.164,-0.017,0.095,-0.0275,0.037500000000000006,0.5774999999999999,86.945,-26.842,-4.545,17.4495,-21.615000000000002,-0.39949999999999997
5.875,97.247,-2242.6905,299.52149999999995,263.288,-1988.758,120.354,214.5525,-1822.063,949.883,-97.6905,-1846.0729999999999,919.7415,581.996,-1940.8764999999999,875.8520000000001,251.525,-1907.6444999999999,325.251,113.5115,-2026.431,329.1905,-119.652,-2182.7915000000003,819.466,384.91700000000003,-2218.3045,799.517,202.20350000000002,-1998.7849999999999,1056.81,9.697,8.21,-2.893,13.4985,-8.7935,-10.754999999999999,3.763,9.694500000000001,3.1765,3.763,-9.694500000000001,-3.1765,-37.6755,-5.798500000000001,-5.4395,-35.849999999999994,6.3585,-8.6715,-0.151,-0.030000000000000002,0.127,-0.0005,0.051500000000000004,0.573,73.7,-30.4725,-6.635,8.532499999999999,-26.9225,-0.7545
