Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
4.39,52.828,-2601.851,294.073,280.462,-1980.7,98.313,-1920.14,1209.67,81.746,-2063.12,1208.86,385.399
4.4,52.69,-2572.553,306.842,279.945,-1971.063,96.195,-1897.04,1199.38,79.952,-2035.35,1204.06,389.201
4.41,52.785,-2540.548,318.191,279.947,-1964.592,95.176,-1874.2,1187.08,77.271,-2006.91,1197.86,392.754
4.42,53.053,-2505.962,327.834,280.045,-1960.036,95.188,-1851.63,1172.92,73.631,-1977.7,1190.33,396.026
4.43,53.463,-2468.974,335.574,279.793,-1956.438,95.805,-1829.43,1157.13,68.982,-1947.55,1181.61,398.979
4.44,54.026,-2429.835,341.284,278.966,-1953.409,96.505,-1807.77,1140.09,63.414,-1916.25,1171.98,401.556
4.45,54.79,-2388.852,344.875,277.666,-1950.947,96.952,-1786.94,1122.38,57.109,-1883.53,1161.92,403.682
4.46,55.793,-2346.348,346.293,276.214,-1949.1,97.099,-1767.2,1104.81,50.27,-1849.28,1152.01,405.254
4.47,57.0,-2302.619,345.52,274.915,-1947.819,97.096,-1748.76,1088.34,43.112,-1813.58,1143.0,406.137
4.48,58.334,-2257.924,342.565,273.883,-1946.964,97.13,-1731.62,1074.03,35.897,-1776.79,1135.67,406.164
4.49,59.741,-2212.455,337.448,273.064,-1946.38,97.315,-1715.63,1062.78,28.907,-1739.46,1130.75,405.174
4.5,61.2,-2166.333,330.224,272.365,-1945.953,97.688,-1700.47,1055.19,22.377,-1702.18,1128.85,403.028
4.51,62.709,-2119.603,321.001,271.74,-1945.624,98.284,-1685.81,1051.49,16.461,-1665.5,1130.3,399.614
4.52,64.274,-2072.223,309.941,271.203,-1945.333,99.193,-1671.33,1051.44,11.214,-1629.82,1135.1,394.866
4.53,65.891,-2024.068,297.247,270.802,-1944.959,100.58,-1656.77,1054.48,6.608,-1595.34,1142.81,388.831
4.54,67.534,-1974.949,283.146,270.648,-1944.301,102.681,-1641.96,1059.94,2.549,-1562.08,1152.8,381.691
4.55,69.149,-1924.657,267.884,270.923,-1943.113,105.763,-1626.8,1067.08,-1.081,-1529.98,1164.3,373.71
4.56,70.669,-1873.005,251.736,271.813,-1941.131,110.037,-1611.23,1075.27,-4.381,-1498.87,1176.56,365.162
4.57,71.999,-1819.87,235.023,273.436,-1938.108,115.58,-1595.25,1083.98,-7.413,-1468.57,1189.02,356.289
4.58,73.048,-1765.226,218.128,275.796,-1933.838,122.311,-1578.81,1092.85,-10.213,-1438.91,1201.26,347.247
4.59,73.765,-1709.175,201.483,278.807,-1928.168,130.028,-1561.9,1101.58,-12.811,-1409.81,1213.04,338.099
4.6,74.122,-1651.973,185.525,282.358,-1920.993,138.473,-1544.45,1110.02,-15.25,-1381.27,1224.15,328.871
4.61,74.085,-1594.045,170.653,286.345,-1912.26,147.415,-1526.44,1118.02,-17.594,-1353.29,1234.55,319.641
4.62,73.611,-1536.005,157.245,290.639,-1901.984,156.695,-1507.78,1125.5,-19.911,-1325.88,1244.22,310.549
4.63,72.71,-1478.644,145.67,295.057,-1890.269,166.237,-1488.42,1132.37,-22.239,-1299.1,1253.14,301.713
4.64,71.524,-1422.889,136.222,299.405,-1877.323,176.046,-1468.28,1138.57,-24.604,-1272.95,1261.22,293.181
4.65,70.312,-1369.713,129.004,303.525,-1863.433,186.164,-1447.29,1144.03,-27.052,-1247.45,1268.32,285.004
4.66,69.343,-1320.025,123.868,307.309,-1848.91,196.626,-1425.4,1148.7,-29.614,-1222.56,1274.35,277.32
4.67,68.819,-1274.571,120.399,310.689,-1833.96,207.442,-1402.58,1152.49,-32.265,-1198.23,1279.21,270.324
4.68,68.881,-1233.859,117.959,313.634,-1818.561,218.64,-1378.86,1155.33,-34.957,-1174.37,1282.76,264.157
4.69,69.599,-1198.108,115.817,316.146,-1802.407,230.286,-1354.22,1157.12,-37.675,-1150.94,1284.88,258.846
4.7,70.961,-1167.251,113.347,318.236,-1785.008,242.413,-1328.63,1157.83,-40.461,-1127.89,1285.4,254.362
4.71,72.908,-1141.027,110.174,319.873,-1765.869,254.952,-1302.09,1157.42,-43.372,-1105.19,1284.22,250.704
4.72,75.312,-1119.101,106.276,321.008,-1744.615,267.699,-1274.63,1155.89,-46.392,-1082.74,1281.33,247.901
4.73,77.885,-1101.159,102.0,321.631,-1721.015,280.325,-1246.31,1153.16,-49.386,-1060.48,1276.75,245.987
4.74,80.15,-1086.968,97.93,321.802,-1694.96,292.434,-1217.26,1149.18,-52.176,-1038.29,1270.56,244.985
4.75,81.641,-1076.296,94.677,321.623,-1666.423,303.665,-1187.51,1143.93,-54.678,-1016.07,1262.86,244.936
4.76,82.251,-1068.687,92.658,321.194,-1635.418,313.755,-1157.07,1137.46,-56.931,-993.729,1253.75,245.891
4.77,82.358,-1063.33,91.891,320.584,-1601.964,322.507,-1125.91,1129.88,-59.004,-971.178,1243.34,247.89
4.78,82.508,-1059.282,91.994,319.835,-1566.1,329.73,-1094.03,1121.3,-60.882,-948.407,1231.66,250.946
