Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
9.69,172.614,-2818.366,363.909,365.409,-2299.47,152.631,-2155.04,1287.46,143.649,-2422.37,1052.72,548.864
9.7,171.101,-2792.163,369.758,364.041,-2289.439,150.315,-2130.36,1266.76,142.837,-2392.07,1037.9,550.357
9.71,169.602,-2763.678,374.651,362.841,-2281.687,148.905,-2106.21,1244.22,141.54,-2361.0,1022.38,551.658
9.72,168.15,-2732.988,378.465,361.757,-2275.761,148.353,-2082.79,1220.11,139.723,-2328.98,1006.71,552.623
9.73,166.778,-2700.255,381.071,360.72,-2271.268,148.451,-2060.33,1194.87,137.349,-2295.86,991.632,553.098
9.74,165.513,-2665.714,382.346,359.689,-2267.903,148.955,-2039.09,1169.13,134.391,-2261.52,977.975,552.936
9.75,164.381,-2629.634,382.181,358.682,-2265.421,149.685,-2019.31,1143.72,130.828,-2225.9,966.651,552.003
9.76,163.397,-2592.278,380.489,357.768,-2263.6,150.556,-2001.23,1119.68,126.664,-2189.06,958.536,550.191
9.77,162.577,-2553.877,377.211,357.032,-2262.22,151.574,-1984.99,1098.11,121.923,-2151.2,954.362,547.43
9.78,161.934,-2514.616,372.315,356.532,-2261.076,152.811,-1970.64,1080.08,116.658,-2112.63,954.608,543.709
9.79,161.487,-2474.622,365.81,356.291,-2259.977,154.384,-1958.04,1066.32,110.942,-2073.76,959.453,539.078
9.8,161.256,-2433.966,357.748,356.317,-2258.74,156.449,-1946.9,1057.25,104.869,-2035.01,968.782,533.655
9.81,161.259,-2392.66,348.225,356.627,-2257.174,159.178,-1936.86,1052.77,98.542,-1996.81,982.245,527.612
9.82,161.498,-2350.664,337.379,357.26,-2255.073,162.734,-1927.51,1052.48,92.072,-1959.49,999.331,521.135
9.83,161.962,-2307.903,325.385,358.272,-2252.22,167.232,-1918.46,1055.72,85.571,-1923.33,1019.42,514.401
9.84,162.63,-2264.282,312.441,359.715,-2248.401,172.704,-1909.34,1061.74,79.142,-1888.53,1041.85,507.547
9.85,163.471,-2219.711,298.772,361.618,-2243.424,179.085,-1899.81,1069.81,72.853,-1855.22,1065.9,500.679
9.86,164.446,-2174.12,284.625,363.97,-2237.135,186.227,-1889.59,1079.25,66.73,-1823.48,1090.9,493.873
9.87,165.509,-2127.484,270.276,366.723,-2229.44,193.93,-1878.48,1089.48,60.769,-1793.35,1116.26,487.194
9.88,166.607,-2079.838,256.022,369.788,-2220.34,201.991,-1866.38,1100.0,54.964,-1764.79,1141.43,480.695
9.89,167.696,-2031.297,242.18,373.039,-2209.938,210.244,-1853.2,1110.4,49.34,-1737.79,1165.95,474.425
9.9,168.734,-1982.069,229.059,376.32,-2198.458,218.595,-1838.98,1120.38,43.941,-1712.25,1189.42,468.439
9.91,169.691,-1932.46,216.948,379.462,-2186.226,227.033,-1823.73,1129.68,38.817,-1688.08,1211.5,462.803
9.92,170.541,-1882.867,206.081,382.283,-2173.621,235.6,-1807.49,1138.05,34.003,-1665.12,1231.85,457.575
9.93,171.263,-1833.763,196.61,384.616,-2160.994,244.35,-1790.31,1145.28,29.52,-1643.19,1250.14,452.807
9.94,171.844,-1785.663,188.578,386.34,-2148.58,253.321,-1772.24,1151.13,25.369,-1622.08,1266.03,448.545
9.95,172.289,-1739.077,181.905,387.42,-2136.454,262.522,-1753.29,1155.44,21.543,-1601.56,1279.13,444.836
9.96,172.626,-1694.473,176.391,387.909,-2124.522,271.931,-1733.45,1158.05,18.019,-1581.36,1289.11,441.734
9.97,172.909,-1652.239,171.741,387.922,-2112.562,281.493,-1712.73,1158.83,14.762,-1561.26,1295.69,439.31
9.98,173.195,-1612.669,167.607,387.612,-2100.276,291.132,-1691.11,1157.7,11.724,-1541.08,1298.68,437.629
9.99,173.528,-1575.968,163.645,387.151,-2087.348,300.768,-1668.6,1154.61,8.848,-1520.66,1297.96,436.734
10.0,173.929,-1542.277,159.58,386.688,-2073.483,310.326,-1645.2,1149.52,6.083,-1500.0,1293.57,436.633
10.01,174.388,-1511.713,155.254,386.321,-2058.427,319.733,-1620.91,1142.46,3.387,-1479.11,1285.61,437.304
10.02,174.87,-1484.398,150.657,386.088,-2041.969,328.917,-1595.77,1133.45,0.736,-1458.1,1274.25,438.696
10.03,175.333,-1460.476,145.931,385.97,-2023.93,337.804,-1569.78,1122.55,-1.868,-1437.14,1259.76,440.749
10.04,175.733,-1440.092,141.34,385.913,-2004.15,346.308,-1542.95,1109.86,-4.385,-1416.46,1242.4,443.4
10.05,176.036,-1423.318,137.207,385.844,-1982.473,354.317,-1515.24,1095.58,-6.738,-1396.3,1222.48,446.593
10.06,176.232,-1410.052,133.822,385.69,-1958.763,361.696,-1486.57,1080.0,-8.8,-1376.89,1200.27,450.263
10.07,176.349,-1399.93,131.346,385.39,-1932.921,368.291,-1456.79,1063.55,-10.396,-1358.49,1176.09,454.349
10.08,176.468,-1392.38,129.756,384.897,-1904.915,373.934,-1425.74,1046.82,-11.308,-1341.31,1150.27,458.795
