Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
56.79,48.923,-3702.894,481.983,249.638,-3025.578,187.697,-2863.02,1369.09,102.558,-2991.72,1241.18,349.631
56.8,47.851,-3669.558,494.46,247.572,-3010.155,182.946,-2837.22,1349.29,98.072,-2956.2,1229.76,346.841
56.81,46.911,-3633.644,505.461,245.856,-2997.61,179.214,-2811.55,1328.43,92.662,-2920.08,1217.62,343.662
56.82,46.101,-3595.407,514.56,244.478,-2987.879,176.604,-2786.24,1307.12,86.379,-2883.54,1205.19,340.072
56.83,45.399,-3555.088,521.439,243.386,-2980.651,175.043,-2761.41,1286.1,79.345,-2846.64,1193.05,336.046
56.84,44.769,-3512.927,525.877,242.508,-2975.489,174.332,-2737.06,1266.18,71.754,-2809.32,1181.88,331.571
56.85,44.176,-3469.184,527.733,241.783,-2971.934,174.224,-2713.14,1248.18,63.851,-2771.51,1172.44,326.644
56.86,43.585,-3424.128,526.935,241.175,-2969.564,174.498,-2689.55,1232.92,55.907,-2733.18,1165.46,321.277
56.87,42.975,-3378.021,523.468,240.682,-2968.023,175.017,-2666.19,1221.08,48.178,-2694.36,1161.62,315.496
56.88,42.333,-3331.095,517.368,240.326,-2967.021,175.747,-2642.94,1213.15,40.87,-2655.18,1161.39,309.34
56.89,41.663,-3283.525,508.721,240.143,-2966.315,176.751,-2619.7,1209.35,34.117,-2615.83,1165.0,302.854
56.9,40.986,-3235.407,497.657,240.171,-2965.689,178.176,-2596.38,1209.65,27.977,-2576.53,1172.38,296.089
56.91,40.331,-3186.76,484.354,240.442,-2964.931,180.22,-2572.9,1213.71,22.434,-2537.53,1183.18,289.096
56.92,39.739,-3137.517,469.03,240.98,-2963.813,183.098,-2549.21,1221.01,17.422,-2499.05,1196.87,281.924
56.93,39.245,-3087.547,451.937,241.803,-2962.088,187.009,-2525.29,1230.85,12.848,-2461.31,1212.77,274.625
56.94,38.878,-3036.669,433.359,242.928,-2959.488,192.095,-2501.13,1242.55,8.618,-2424.43,1230.18,267.247
56.95,38.654,-2984.679,413.602,244.373,-2955.754,198.418,-2476.72,1255.41,4.647,-2388.49,1248.44,259.836
56.96,38.57,-2931.375,392.988,246.168,-2950.654,205.944,-2452.05,1268.78,0.867,-2353.54,1266.95,252.44
56.97,38.611,-2876.579,371.853,248.353,-2944.022,214.555,-2427.17,1282.14,-2.778,-2319.53,1285.25,245.104
56.98,38.754,-2820.161,350.539,250.968,-2935.776,224.08,-2402.03,1295.07,-6.326,-2286.4,1302.94,237.887
56.99,38.974,-2762.057,329.397,254.044,-2925.937,234.342,-2376.63,1307.25,-9.81,-2254.07,1319.74,230.855
57.0,39.256,-2702.292,308.784,257.565,-2914.629,245.207,-2350.94,1318.44,-13.251,-2222.41,1335.45,224.085
57.01,39.597,-2640.997,289.051,261.455,-2902.065,256.612,-2324.92,1328.48,-16.663,-2191.3,1349.89,217.66
57.02,40.009,-2578.423,270.535,265.561,-2888.52,268.573,-2298.54,1337.26,-20.048,-2160.63,1362.95,211.655
57.03,40.523,-2514.956,253.538,269.666,-2874.285,281.167,-2271.77,1344.72,-23.398,-2130.3,1374.51,206.115
57.04,41.186,-2451.113,238.301,273.526,-2859.609,294.49,-2244.6,1350.79,-26.696,-2100.26,1384.45,201.061
57.05,42.052,-2387.531,224.977,276.914,-2844.65,308.622,-2217.03,1355.44,-29.918,-2070.43,1392.66,196.472
57.06,43.176,-2324.936,213.606,279.664,-2829.423,323.59,-2189.06,1358.63,-33.03,-2040.81,1399.02,192.31
57.07,44.6,-2264.105,204.101,281.692,-2813.782,339.345,-2160.72,1360.34,-35.995,-2011.38,1403.4,188.533
57.08,46.342,-2205.817,196.249,283.002,-2797.427,355.752,-2132.02,1360.54,-38.774,-1982.15,1405.73,185.112
57.09,48.389,-2150.806,189.736,283.673,-2779.94,372.595,-2102.96,1359.2,-41.322,-1953.13,1405.89,182.048
57.1,50.698,-2099.727,184.191,283.837,-2760.853,389.588,-2073.57,1356.28,-43.596,-1924.34,1403.81,179.381
57.11,53.218,-2053.132,179.246,283.652,-2739.717,406.402,-2043.84,1351.76,-45.548,-1895.78,1399.39,177.183
57.12,55.895,-2011.458,174.608,283.28,-2716.164,422.696,-2013.72,1345.61,-47.129,-1867.42,1392.59,175.53
57.13,58.685,-1975.022,170.111,282.873,-2689.943,438.145,-1983.18,1337.84,-48.288,-1839.26,1383.39,174.492
57.14,61.553,-1944.01,165.75,282.562,-2660.929,452.466,-1952.16,1328.41,-48.966,-1811.22,1371.8,174.102
57.15,64.458,-1918.451,161.661,282.441,-2629.112,465.426,-1920.57,1317.39,-49.102,-1783.26,1357.92,174.373
57.16,67.339,-1898.185,158.065,282.568,-2594.568,476.845,-1888.27,1304.86,-48.631,-1755.33,1341.92,175.308
57.17,70.105,-1882.84,155.188,282.964,-2557.44,486.593,-1855.18,1291.01,-47.484,-1727.48,1324.07,176.932
57.18,72.645,-1871.827,153.166,283.617,-2517.921,494.574,-1821.11,1276.16,-45.592,-1699.75,1304.8,179.288
