Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
21.85,407.412,919.274,310.547,224.395,378.669,108.683,255.013,1282.62,329.243,416.64,1188.11,73.779
21.86,409.143,890.887,317.441,227.155,365.638,104.513,231.536,1272.27,331.523,386.202,1179.1,72.759
21.87,410.936,860.856,323.599,229.998,355.109,101.333,208.171,1260.48,334.143,354.957,1169.39,72.006
21.88,412.788,829.138,328.896,232.76,346.886,99.318,184.959,1247.4,337.078,322.905,1159.23,71.573
21.89,414.688,795.702,333.195,235.213,340.693,98.411,161.937,1233.24,340.292,290.057,1148.9,71.52
21.9,416.612,760.556,336.351,237.165,336.192,98.366,139.146,1218.25,343.733,256.44,1138.77,71.911
21.91,418.518,723.761,338.218,238.536,333.049,98.862,116.633,1202.78,347.333,222.121,1129.21,72.808
21.92,420.352,685.447,338.673,239.36,330.958,99.613,94.46,1187.26,351.014,187.22,1120.65,74.259
21.93,422.053,645.796,337.632,239.736,329.641,100.431,72.698,1172.16,354.697,151.918,1113.52,76.289
21.94,423.559,605.019,335.053,239.79,328.852,101.232,51.417,1158.04,358.3,116.456,1108.22,78.889
21.95,424.812,563.318,330.939,239.648,328.382,102.013,30.675,1145.46,361.75,81.117,1105.03,82.018
21.96,425.76,520.86,325.318,239.409,328.062,102.84,10.498,1134.91,364.979,46.182,1104.16,85.601
21.97,426.356,477.755,318.25,239.122,327.758,103.845,-9.139,1126.78,367.935,11.905,1105.67,89.549
21.98,426.556,434.046,309.825,238.771,327.359,105.224,-28.3,1121.28,370.593,-21.521,1109.45,93.771
21.99,426.317,389.712,300.16,238.283,326.744,107.216,-47.09,1118.49,372.965,-53.981,1115.35,98.186
22.0,425.598,344.677,289.395,237.556,325.757,110.068,-65.631,1118.25,375.101,-85.429,1123.09,102.722
22.01,424.367,298.84,277.693,236.491,324.191,113.994,-84.062,1120.36,377.078,-115.877,1132.35,107.321
22.02,422.609,252.096,265.244,235.02,321.798,119.135,-102.525,1124.47,378.982,-145.383,1142.81,111.93
22.03,420.319,204.361,252.262,233.117,318.322,125.54,-121.159,1130.18,380.891,-174.037,1154.15,116.499
22.04,417.498,155.591,238.983,230.8,313.542,133.161,-140.084,1137.09,382.865,-201.947,1166.09,120.969
22.05,414.143,105.8,225.659,228.111,307.307,141.869,-159.4,1144.8,384.941,-229.218,1178.34,125.274
22.06,410.26,55.069,212.573,225.116,299.561,151.491,-179.182,1152.94,387.129,-255.948,1190.69,129.347
22.07,405.875,3.557,200.036,221.909,290.355,161.857,-199.483,1161.2,389.424,-282.205,1202.88,133.118
22.08,401.036,-48.485,188.376,218.619,279.844,172.835,-220.33,1169.33,391.809,-308.049,1214.7,136.522
22.09,395.795,-100.714,177.893,215.415,268.277,184.353,-241.737,1177.16,394.258,-333.527,1225.94,139.5
22.1,390.198,-152.696,168.824,212.478,255.948,196.382,-263.701,1184.53,396.744,-358.678,1236.44,142.001
22.11,384.272,-203.912,161.315,209.955,243.13,208.904,-286.207,1191.37,399.229,-383.534,1245.98,143.983
22.12,378.033,-253.778,155.392,207.912,230.003,221.878,-309.225,1197.59,401.675,-408.123,1254.42,145.42
22.13,371.499,-301.672,150.958,206.315,216.617,235.231,-332.716,1203.13,404.035,-432.477,1261.62,146.295
22.14,364.717,-346.974,147.789,205.041,202.872,248.869,-356.634,1207.96,406.271,-456.63,1267.48,146.601
22.15,357.762,-389.126,145.551,203.902,188.533,262.675,-380.926,1212.0,408.342,-480.621,1271.9,146.336
22.16,350.725,-427.693,143.826,202.679,173.276,276.507,-405.549,1215.19,410.225,-504.498,1274.82,145.509
22.17,343.701,-462.401,142.165,201.156,156.755,290.201,-430.466,1217.46,411.902,-528.297,1276.19,144.136
22.18,336.783,-493.151,140.152,199.155,138.668,303.575,-455.653,1218.73,413.366,-552.054,1275.97,142.246
22.19,330.07,-520.014,137.474,196.56,118.79,316.447,-481.1,1218.94,414.618,-575.788,1274.19,139.877
22.2,323.66,-543.197,133.974,193.332,96.981,328.645,-506.803,1218.03,415.661,-599.501,1270.83,137.072
22.21,317.645,-563.003,129.674,189.496,73.182,340.027,-532.774,1215.99,416.505,-623.184,1265.93,133.881
22.22,312.092,-579.778,124.783,185.123,47.394,350.483,-559.033,1212.8,417.164,-646.818,1259.56,130.353
22.23,307.041,-593.857,119.658,180.305,19.665,359.945,-585.611,1208.48,417.655,-670.383,1251.78,126.536
22.24,302.509,-605.524,114.742,175.143,-9.94,368.37,-612.536,1203.02,417.99,-693.864,1242.68,122.483
