Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
8.75,208.9,-4495.977,453.2,386.469,-3807.924,188.885,-3713.97,1272.79,194.529,-3923.36,1192.77,569.235
8.76,207.684,-4466.795,465.14,385.044,-3797.017,185.74,-3693.98,1252.84,186.724,-3888.64,1184.02,570.367
8.77,206.027,-4434.777,476.298,384.165,-3788.766,183.753,-3674.99,1232.28,177.905,-3853.09,1174.48,571.352
8.78,203.977,-4399.917,486.471,383.682,-3782.632,182.741,-3657.09,1211.55,168.152,-3816.63,1164.39,572.081
8.79,201.592,-4362.317,495.44,383.433,-3778.131,182.425,-3640.35,1191.15,157.582,-3779.19,1154.1,572.416
8.8,198.934,-4322.186,502.992,383.312,-3774.875,182.538,-3624.8,1171.63,146.361,-3740.7,1144.07,572.178
8.81,196.063,-4279.824,508.936,383.283,-3772.565,182.882,-3610.45,1153.55,134.693,-3701.09,1134.78,571.173
8.82,193.047,-4235.602,513.107,383.344,-3770.954,183.32,-3597.25,1137.44,122.831,-3660.38,1126.81,569.208
8.83,189.96,-4189.931,515.369,383.478,-3769.825,183.76,-3585.05,1123.75,111.067,-3618.63,1120.72,566.111
8.84,186.879,-4143.232,515.618,383.645,-3769.004,184.146,-3573.7,1112.81,99.69,-3576.03,1116.99,561.772
8.85,183.876,-4095.892,513.782,383.809,-3768.359,184.473,-3562.92,1104.83,88.968,-3532.83,1115.99,556.162
8.86,181.015,-4048.229,509.829,383.951,-3767.801,184.78,-3552.48,1099.85,79.114,-3489.38,1117.88,549.354
8.87,178.35,-4000.465,503.771,384.08,-3767.269,185.155,-3542.05,1097.8,70.279,-3446.08,1122.68,541.514
8.88,175.933,-3952.706,495.67,384.217,-3766.701,185.72,-3531.32,1098.47,62.548,-3403.33,1130.21,532.884
8.89,173.81,-3904.949,485.637,384.39,-3766.018,186.63,-3520.03,1101.55,55.947,-3361.53,1140.15,523.735
8.9,172.016,-3857.099,473.838,384.621,-3765.093,188.067,-3507.92,1106.7,50.462,-3320.99,1152.08,514.316
8.91,170.578,-3809.0,460.474,384.925,-3763.739,190.236,-3494.83,1113.54,46.045,-3281.91,1165.51,504.815
8.92,169.513,-3760.461,445.765,385.314,-3761.712,193.35,-3480.71,1121.7,42.616,-3244.43,1179.94,495.363
8.93,168.827,-3711.29,429.933,385.792,-3758.72,197.595,-3465.49,1130.79,40.063,-3208.54,1194.87,486.042
8.94,168.508,-3661.319,413.193,386.354,-3754.455,203.096,-3449.17,1140.5,38.255,-3174.18,1209.88,476.892
8.95,168.502,-3610.43,395.76,386.994,-3748.63,209.883,-3431.77,1150.5,37.048,-3141.25,1224.56,467.929
8.96,168.706,-3558.573,377.864,387.734,-3741.013,217.885,-3413.31,1160.56,36.308,-3109.58,1238.6,459.155
8.97,168.976,-3505.77,359.761,388.633,-3731.468,226.951,-3393.82,1170.46,35.92,-3079.02,1251.73,450.563
8.98,169.173,-3452.104,341.714,389.79,-3719.977,236.896,-3373.32,1180.03,35.8,-3049.43,1263.73,442.153
8.99,169.196,-3397.722,323.99,391.299,-3706.654,247.545,-3351.82,1189.13,35.882,-3020.69,1274.43,433.926
9.0,168.992,-3342.839,306.858,393.201,-3691.74,258.762,-3329.37,1197.64,36.123,-2992.72,1283.74,425.9
9.01,168.536,-3287.756,290.584,395.458,-3675.576,270.458,-3305.96,1205.47,36.485,-2965.41,1291.56,418.1
9.02,167.817,-3232.87,275.419,397.966,-3658.559,282.583,-3281.61,1212.53,36.928,-2938.72,1297.81,410.557
9.03,166.849,-3178.662,261.562,400.57,-3641.057,295.088,-3256.35,1218.73,37.412,-2912.61,1302.48,403.304
9.04,165.669,-3125.674,249.126,403.097,-3623.338,307.915,-3230.19,1224.0,37.884,-2887.03,1305.51,396.379
9.05,164.349,-3074.48,238.124,405.395,-3605.519,321.004,-3203.13,1228.26,38.292,-2861.94,1306.86,389.818
9.06,162.983,-3025.653,228.457,407.365,-3587.545,334.292,-3175.17,1231.45,38.579,-2837.27,1306.51,383.664
9.07,161.682,-2979.712,219.93,408.974,-3569.206,347.711,-3146.28,1233.5,38.688,-2812.96,1304.46,377.951
9.08,160.577,-2937.092,212.268,410.232,-3550.181,361.191,-3116.48,1234.37,38.573,-2788.98,1300.69,372.711
9.09,159.811,-2898.105,205.158,411.17,-3530.09,374.659,-3085.74,1234.03,38.196,-2765.28,1295.21,367.977
9.1,159.515,-2862.931,198.305,411.811,-3508.546,388.045,-3054.05,1232.47,37.532,-2741.83,1288.04,363.785
9.11,159.782,-2831.627,191.49,412.159,-3485.19,401.276,-3021.38,1229.72,36.572,-2718.59,1279.22,360.18
9.12,160.624,-2804.159,184.638,412.193,-3459.71,414.266,-2987.7,1225.78,35.331,-2695.54,1268.85,357.224
9.13,161.954,-2780.433,177.846,411.882,-3431.847,426.911,-2952.98,1220.73,33.84,-2672.66,1256.99,354.994
9.14,163.593,-2760.326,171.381,411.203,-3401.409,439.076,-2917.15,1214.64,32.161,-2649.97,1243.81,353.566
