Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
7.14,25.417,-2205.194,291.528,262.365,-1641.139,114.525,-1572.62,1143.45,68.238,-1704.19,1060.4,359.947
7.15,26.281,-2177.252,297.13,261.342,-1631.467,112.496,-1551.14,1130.18,66.174,-1672.63,1051.64,358.738
7.16,27.084,-2146.933,301.692,260.486,-1624.361,111.248,-1530.0,1115.63,63.45,-1640.32,1042.38,357.259
7.17,27.838,-2114.249,305.087,259.753,-1619.241,110.747,-1509.27,1100.11,60.047,-1607.29,1032.99,355.456
7.18,28.574,-2079.297,307.196,259.1,-1615.588,110.837,-1489.03,1084.03,55.978,-1573.61,1023.94,353.259
7.19,29.323,-2042.252,307.911,258.507,-1612.978,111.318,-1469.37,1067.9,51.296,-1539.39,1015.75,350.583
7.2,30.097,-2003.335,307.142,257.984,-1611.08,112.005,-1450.39,1052.35,46.105,-1504.76,1008.95,347.359
7.21,30.894,-1962.785,304.827,257.548,-1609.648,112.767,-1432.11,1038.06,40.555,-1469.92,1004.05,343.542
7.22,31.702,-1920.83,300.942,257.21,-1608.501,113.541,-1414.52,1025.68,34.81,-1435.08,1001.46,339.122
7.23,32.51,-1877.659,295.504,256.967,-1607.515,114.333,-1397.54,1015.76,29.022,-1400.53,1001.42,334.135
7.24,33.32,-1833.406,288.564,256.817,-1606.606,115.204,-1381.05,1008.68,23.314,-1366.47,1003.99,328.661
7.25,34.135,-1788.144,280.21,256.76,-1605.709,116.254,-1364.89,1004.61,17.778,-1333.12,1009.06,322.817
7.26,34.963,-1741.88,270.566,256.805,-1604.761,117.609,-1348.89,1003.44,12.478,-1300.66,1016.35,316.749
7.27,35.805,-1694.577,259.793,256.964,-1603.677,119.405,-1332.96,1004.95,7.443,-1269.17,1025.49,310.598
7.28,36.665,-1646.16,248.086,257.259,-1602.344,121.785,-1316.91,1008.72,2.677,-1238.7,1036.05,304.493
7.29,37.541,-1596.546,235.673,257.725,-1600.613,124.883,-1300.67,1014.31,-1.845,-1209.24,1047.58,298.538
7.3,38.429,-1545.666,222.816,258.398,-1598.312,128.818,-1284.16,1021.23,-6.158,-1180.79,1059.65,292.803
7.31,39.312,-1493.498,209.817,259.302,-1595.258,133.666,-1267.3,1029.04,-10.295,-1153.31,1071.88,287.325
7.32,40.172,-1440.097,197.009,260.427,-1591.271,139.441,-1250.06,1037.35,-14.281,-1126.74,1083.96,282.118
7.33,40.992,-1385.624,184.747,261.732,-1586.195,146.096,-1232.4,1045.85,-18.139,-1101.02,1095.61,277.18
7.34,41.769,-1330.372,173.377,263.15,-1579.912,153.529,-1214.3,1054.27,-21.89,-1076.04,1106.59,272.51
7.35,42.525,-1274.77,163.21,264.607,-1572.359,161.61,-1195.74,1062.42,-25.556,-1051.67,1116.75,268.107
7.36,43.294,-1219.382,154.5,266.027,-1563.521,170.201,-1176.67,1070.17,-29.149,-1027.81,1126.0,263.98
7.37,44.114,-1164.888,147.415,267.335,-1553.421,179.165,-1157.1,1077.39,-32.67,-1004.37,1134.22,260.128
7.38,45.007,-1112.049,142.007,268.457,-1542.099,188.378,-1136.96,1084.02,-36.097,-981.262,1141.37,256.543
7.39,45.981,-1061.646,138.185,269.324,-1529.609,197.739,-1116.24,1089.97,-39.385,-958.45,1147.4,253.224
7.4,47.037,-1014.415,135.701,269.877,-1516.004,207.17,-1094.89,1095.17,-42.47,-935.897,1152.24,250.172
7.41,48.179,-970.967,134.174,270.073,-1501.329,216.62,-1072.85,1099.51,-45.274,-913.588,1155.84,247.401
7.42,49.414,-931.738,133.14,269.892,-1485.61,226.055,-1050.09,1102.91,-47.717,-891.504,1158.15,244.929
7.43,50.752,-896.966,132.118,269.337,-1468.834,235.444,-1026.52,1105.3,-49.723,-869.637,1159.07,242.78
7.44,52.191,-866.687,130.696,268.43,-1450.931,244.732,-1002.09,1106.56,-51.237,-847.971,1158.53,240.976
7.45,53.714,-840.76,128.594,267.213,-1431.762,253.827,-976.734,1106.64,-52.218,-826.48,1156.45,239.539
7.46,55.291,-818.898,125.714,265.757,-1411.136,262.588,-950.389,1105.47,-52.644,-805.128,1152.76,238.493
7.47,56.893,-800.711,122.15,264.163,-1388.85,270.834,-923.027,1102.98,-52.512,-783.874,1147.44,237.876
7.48,58.504,-785.755,118.16,262.559,-1364.719,278.37,-894.634,1099.16,-51.83,-762.691,1140.45,237.739
7.49,60.113,-773.571,114.114,261.087,-1338.601,285.012,-865.224,1093.99,-50.62,-741.556,1131.79,238.15
7.5,61.702,-763.727,110.406,259.876,-1310.397,290.609,-834.833,1087.53,-48.91,-720.459,1121.55,239.188
7.51,63.236,-755.844,107.363,259.031,-1280.06,295.05,-803.514,1079.9,-46.73,-699.402,1109.81,240.939
7.52,64.666,-749.601,105.171,258.613,-1247.593,298.254,-771.334,1071.26,-44.095,-678.41,1096.79,243.497
7.53,65.948,-744.723,103.837,258.638,-1213.061,300.162,-738.367,1061.91,-41.004,-657.531,1082.78,246.95
