Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
4.635,80.0175,-1695.0104999999999,164.156,279.08050000000003,-1038.9885,104.1115,-1102.53,811.7945,-66.67500000000001,-1437.0549999999998,773.3005,421.9475
4.655,78.1335,-1674.8885,177.2715,275.4905,-1027.5349999999999,99.8475,-1075.88,809.1614999999999,-63.1425,-1410.145,772.1155,425.8945
4.675,76.5465,-1648.0445,192.5435,273.8195,-1018.638,97.539,-1051.7649999999999,806.693,-59.260999999999996,-1381.105,771.75,430.265
4.695,75.633,-1613.978,209.34199999999998,273.69,-1012.0525,96.83099999999999,-1030.1599999999999,804.4945,-55.073,-1349.695,772.199,435.185
4.715,75.7245,-1572.9085,226.4365,274.3695,-1007.6445,97.053,-1010.925,802.681,-50.641000000000005,-1315.73,773.4815,440.7115
4.735,76.98949999999999,-1525.6025,242.15699999999998,275.17449999999997,-1005.048,97.5985,-993.8610000000001,801.373,-46.0625,-1279.13,775.6045,446.7625
4.755,79.33500000000001,-1473.0695,254.73350000000002,275.6995,-1003.6790000000001,98.122,-978.605,800.683,-41.4845,-1240.0349999999999,778.54,453.096
4.775,82.44200000000001,-1416.348,262.672,275.8505,-1002.9295,98.5335,-964.7470000000001,800.7,-37.11,-1198.72,782.2170000000001,459.373
4.795,85.9285,-1356.3455,265.0265,275.7595,-1002.3485000000001,98.9085,-951.8495,801.424,-33.17400000000001,-1155.5349999999999,786.4970000000001,465.2355
4.8149999999999995,89.5095,-1293.6885,261.509,275.662,-1001.7225,99.3845,-939.5219999999999,802.7085,-29.911,-1110.9099999999999,791.1625,470.4145
4.835,93.04650000000001,-1228.6284999999998,252.449,275.757,-1001.008,100.08099999999999,-927.462,804.242,-27.5015,-1065.2350000000001,795.9110000000001,474.79150000000004
4.855,96.51750000000001,-1161.0639999999999,238.642,276.1005,-1000.2049999999999,101.04849999999999,-915.462,805.6045,-26.036,-1018.86,800.41,478.3895
4.875,99.944,-1090.6795,221.176,276.6055,-999.2725,102.27250000000001,-903.3985,806.3675,-25.5015,-972.0595000000001,804.357,481.30150000000003
4.895,103.32,-1017.116,201.31900000000002,277.13,-998.1355000000001,103.721,-891.1855,806.192,-25.7895,-925.06,807.5455,483.625
4.915,106.57300000000001,-940.1725,180.47500000000002,277.544,-996.7265,105.3715,-878.745,804.8855,-26.7125,-878.0665,809.874,485.42949999999996
4.9350000000000005,109.5525,-860.0005000000001,160.1715,277.75350000000003,-995.018,107.2225,-865.9735000000001,802.4085,-28.035,-831.303,811.3245,486.76
4.955,112.0745,-777.308,141.978,277.6835,-993.0245,109.27199999999999,-852.73,798.8365,-29.514499999999998,-785.0065,811.9175,487.6495
4.975,113.98599999999999,-693.5225,127.3025,277.282,-990.781,111.518,-838.8355,794.3,-30.9555,-739.4169999999999,811.6865,488.1315
4.995,115.259,-610.8475000000001,117.05250000000001,276.54449999999997,-988.3135,113.9735,-824.0775,788.943,-32.238,-694.7650000000001,810.6765,488.246
5.015,116.0825,-532.1315,111.26650000000001,275.5505,-985.601,116.721,-808.2270000000001,782.9275,-33.3215,-651.2909999999999,808.9655,488.04499999999996
5.035,116.8965,-460.502,108.916,274.4685,-982.527,119.94399999999999,-791.0495000000001,776.4575,-34.231,-609.2705000000001,806.6765,487.586
5.055,118.279,-398.781,108.137,273.53,-978.8225,123.905,-772.3119999999999,769.808,-35.0415,-569.0225,803.9635000000001,486.91150000000005
5.075,120.6855,-348.804,106.941,272.9945,-974.0219999999999,128.8635,-751.789,763.306,-35.843,-530.8735,800.97,486.0405
5.095,124.201,-310.88300000000004,104.118,273.12649999999996,-967.459,135.015,-729.259,757.2785,-36.693,-495.116,797.7915,484.9665
5.115,128.4625,-283.6935,99.74000000000001,274.1735,-958.3005,142.4885,-704.4955,751.992,-37.5895,-461.9565,794.4680000000001,483.6725
