Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
9.38,71.898,-1206.034,326.334,257.77,-551.523,104.564,-436.58,1031.1,82.022,-694.453,889.816,463.917
9.39,69.834,-1169.062,331.279,256.891,-538.167,102.288,-411.45,1012.66,75.39,-655.628,878.412,461.88
9.4,67.825,-1129.753,334.888,256.023,-527.894,100.61,-387.337,993.287,67.809,-615.248,867.079,459.13
9.41,65.895,-1088.183,337.082,255.173,-520.209,99.528,-364.336,973.493,59.383,-573.381,856.34,455.586
9.42,64.075,-1044.482,337.809,254.352,-514.624,98.981,-342.5,953.836,50.236,-530.135,846.739,451.161
9.43,62.401,-998.824,337.046,253.571,-510.683,98.865,-321.837,934.902,40.515,-485.659,838.803,445.784
9.44,60.915,-951.416,334.793,252.836,-507.978,99.069,-302.297,917.265,30.381,-440.148,833.002,439.403
9.45,59.658,-902.476,331.077,252.152,-506.158,99.495,-283.783,901.443,19.999,-393.852,829.72,431.996
9.46,58.67,-852.217,325.946,251.516,-504.931,100.084,-266.151,887.864,9.526,-347.056,829.224,423.584
9.47,57.981,-800.831,319.468,250.925,-504.052,100.832,-249.222,876.828,-0.895,-300.08,831.645,414.229
9.48,57.609,-748.471,311.732,250.371,-503.315,101.788,-232.799,868.491,-11.149,-253.26,836.975,404.038
9.49,57.559,-695.245,302.844,249.847,-502.541,103.048,-216.688,862.863,-21.154,-206.925,845.074,393.159
9.5,57.817,-641.21,292.93,249.345,-501.558,104.748,-200.702,859.82,-30.858,-161.379,855.688,381.771
9.51,58.358,-586.386,282.137,248.86,-500.199,107.037,-184.678,859.14,-40.237,-116.888,868.473,370.072
9.52,59.14,-530.758,270.635,248.388,-498.289,110.069,-168.479,860.533,-49.284,-73.662,883.031,358.265
9.53,60.112,-474.302,258.612,247.93,-495.649,113.972,-151.993,863.675,-58.002,-31.854,898.935,346.54
9.54,61.214,-416.998,246.278,247.492,-492.102,118.843,-135.131,868.244,-66.396,8.44,915.755,335.067
9.55,62.386,-358.858,233.856,247.084,-487.474,124.731,-117.813,873.937,-74.464,47.171,933.089,323.981
9.56,63.564,-299.939,221.58,246.721,-481.615,131.632,-99.969,880.482,-82.199,84.335,950.563,313.383
9.57,64.693,-240.364,209.683,246.421,-474.402,139.496,-81.527,887.644,-89.584,119.961,967.855,303.34
9.58,65.722,-180.332,198.39,246.203,-465.75,148.234,-62.413,895.216,-96.595,154.106,984.685,293.888
9.59,66.617,-120.125,187.899,246.087,-455.615,157.729,-42.543,903.014,-103.204,186.848,1000.82,285.047
9.6,67.354,-60.107,178.372,246.083,-443.995,167.854,-21.827,910.865,-109.38,218.289,1016.05,276.825
9.61,67.929,-0.722,169.917,246.197,-430.927,178.48,-0.167,918.597,-115.093,248.549,1030.23,269.222
9.62,68.353,57.522,162.576,246.423,-416.475,189.492,22.541,926.04,-120.317,277.757,1043.19,262.248
9.63,68.655,114.072,156.317,246.745,-400.72,200.784,46.4,933.012,-125.029,306.056,1054.79,255.916
9.64,68.874,168.361,151.031,247.141,-383.742,212.267,71.512,939.328,-129.215,333.592,1064.91,250.25
9.65,69.06,219.836,146.542,247.584,-365.603,223.854,97.97,944.804,-132.869,360.514,1073.41,245.282
9.66,69.27,267.999,142.623,248.047,-346.331,235.46,125.85,949.262,-135.988,386.962,1080.13,241.061
9.67,69.558,312.436,139.016,248.506,-325.911,246.988,155.215,952.544,-138.579,413.072,1084.97,237.638
9.68,69.975,352.849,135.469,248.943,-304.284,258.327,186.103,954.525,-140.646,438.958,1087.77,235.076
9.69,70.559,389.071,131.767,249.351,-281.353,269.352,218.532,955.119,-142.192,464.72,1088.45,233.44
9.7,71.331,421.07,127.764,249.732,-256.993,279.921,252.505,954.304,-143.218,490.426,1086.92,232.796
9.71,72.292,448.938,123.401,250.097,-231.071,289.884,288.005,952.119,-143.71,516.116,1083.12,233.206
9.72,73.422,472.88,118.722,250.47,-203.46,299.088,325.004,948.682,-143.648,541.8,1077.08,234.723
9.73,74.684,493.177,113.859,250.879,-174.048,307.38,363.463,944.192,-142.999,567.445,1068.83,237.393
9.74,76.024,510.162,109.01,251.355,-142.749,314.617,403.331,938.927,-141.716,592.993,1058.52,241.242
9.75,77.384,524.195,104.403,251.928,-109.507,320.667,444.542,933.241,-139.741,618.345,1046.31,246.278
9.76,78.706,535.636,100.252,252.617,-74.293,325.417,487.008,927.546,-137.013,643.391,1032.46,252.475
9.77,79.94,544.834,96.72,253.434,-37.109,328.775,530.613,922.297,-133.47,667.992,1017.31,259.777
