Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
5.405,172.7415,-1850.9625,393.5715,342.009,-1046.6335,97.3575,-996.9749999999999,1277.935,146.60000000000002,-1174.93,1093.46,487.608
5.425,170.302,-1774.22,417.1625,339.88300000000004,-1031.592,93.8745,-943.2155,1235.975,138.66199999999998,-1102.19,1067.06,488.58500000000004
5.445,167.026,-1687.098,434.737,338.182,-1023.4100000000001,92.0575,-894.0405000000001,1192.15,127.679,-1026.13,1043.92,488.33399999999995
5.465,163.2615,-1592.173,445.22,336.865,-1019.312,91.7535,-850.2885,1151.0749999999998,114.1555,-947.0844999999999,1028.6750000000002,485.921
5.485,159.52,-1492.437,447.951,335.887,-1017.573,92.35499999999999,-811.944,1117.455,99.082,-866.056,1025.1950000000002,480.6495
5.505,156.385,-1390.542,442.64549999999997,335.2355,-1017.1610000000001,93.27199999999999,-778.01,1094.94,83.74549999999999,-784.7080000000001,1035.535,472.326
5.525,154.3965,-1288.179,429.3225,334.95000000000005,-1017.3185000000001,94.3585,-746.684,1085.3049999999998,69.41650000000001,-705.0085,1059.4,461.358
5.545,153.925,-1185.7485,408.2785,335.14549999999997,-1017.207,96.08500000000001,-715.7985,1088.1799999999998,57.049,-628.7284999999999,1094.275,448.6395
5.5649999999999995,155.0695,-1082.372,380.14700000000005,336.007,-1015.7090000000001,99.4225,-683.3565000000001,1101.27,47.104,-556.989,1136.23,435.2665
5.585,157.6005,-976.266,346.053,337.72749999999996,-1011.445,105.54599999999999,-647.9335,1121.22,39.572,-490.06399999999996,1180.87,422.244
5.605,160.9975,-865.376,307.783,340.385,-1003.0625,115.4945,-608.85,1144.455,34.132999999999996,-427.4545,1224.22,410.2795
5.625,164.58350000000002,-748.2090000000001,267.85400000000004,343.81899999999996,-989.6915,129.9195,-566.0699999999999,1167.885,30.3505,-368.164,1263.1950000000002,399.74649999999997
5.645,167.72449999999998,-624.672,229.328,347.599,-971.3235,148.99099999999999,-519.943,1189.2350000000001,27.8125,-311.03499999999997,1295.76,390.765
5.665,170.037,-496.7125,195.2845,351.145,-948.8095000000001,172.45850000000002,-470.90250000000003,1207.05,26.192,-255.03249999999997,1320.755,383.341
5.6850000000000005,171.51350000000002,-368.45,168.03449999999998,353.937,-923.3565,199.791,-419.279,1220.45,25.2335,-199.38850000000002,1337.65,377.48400000000004
5.705,172.5045,-245.60399999999998,148.393,355.719,-895.733,230.2955,-365.2095,1228.94,24.7285,-143.63400000000001,1346.2350000000001,373.274
5.725,173.539,-134.2745,135.40949999999998,356.554,-865.6099999999999,263.1625,-308.6945,1232.125,24.483,-87.565,1346.44,370.87800000000004
5.745,175.0765,-39.4475,126.82849999999999,356.7395,-831.4245000000001,297.4295,-249.67649999999998,1229.5700000000002,24.3215,-31.208,1338.2649999999999,370.553
5.765,177.302,36.174,120.1195,356.644,-790.83,331.9325,-188.101,1220.8249999999998,24.1145,25.1725,1321.81,372.636
5.785,180.08300000000003,92.574,113.563,356.5955,-741.4805,365.2895,-123.872,1205.5500000000002,23.8365,81.05000000000001,1297.455,377.5105
5.805,183.0925,131.9665,106.785,356.88149999999996,-681.7595,395.966,-56.763999999999996,1183.955,23.6265,135.6385,1266.045,385.51250000000005
5.825,185.997,157.8075,100.505,357.80899999999997,-611.203,422.3915,13.639000000000001,1157.275,23.823,187.9845,1229.26,396.7685
5.845,188.5895,173.75900000000001,95.74549999999999,359.71349999999995,-530.569,443.116,87.8475,1128.24,24.943,237.1845,1189.73,410.994
5.865,190.8075,182.97899999999998,93.068,362.868,-441.6275,456.9365,166.1295,1100.99,27.5865,282.6865,1151.08,427.3595
5.885,192.663,187.849,92.287,367.322,-346.75649999999996,462.98249999999996,248.1035,1080.5300000000002,32.286500000000004,324.553,1117.415,444.5315
5.905,194.14749999999998,190.041,92.743,372.773,-248.422,460.74850000000004,332.43600000000004,1071.5349999999999,39.326,363.552,1092.555,460.928
5.925,195.17849999999999,190.75650000000002,93.8545,378.576,-148.607,450.08500000000004,416.93399999999997,1076.99,48.611000000000004,401.001,1079.1,475.117
5.945,195.5995,191.0335,95.572,383.8895,-48.349,431.188,499.04949999999997,1097.3,59.661500000000004,438.41650000000004,1077.725,486.20349999999996
