Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
13.91,382.884,2655.36,562.046,199.575,1919.03,97.744,1796.07,1131.76,350.022,2162.78,992.237,-20.009
13.92,382.541,2596.159,576.908,202.536,1903.082,93.801,1764.21,1110.02,356.788,2109.82,974.389,-21.283
13.93,382.255,2533.725,588.657,205.4,1890.888,90.937,1732.9,1087.76,364.522,2054.18,956.493,-22.287
13.94,382.124,2469.033,596.824,207.974,1882.193,89.216,1702.57,1065.8,373.135,1996.27,939.466,-22.819
13.95,382.238,2402.957,601.204,210.095,1876.412,88.485,1673.41,1044.96,382.485,1936.3,924.285,-22.667
13.96,382.662,2336.274,601.799,211.672,1872.836,88.507,1645.48,1026.12,392.363,1874.51,911.937,-21.63
13.97,383.415,2269.666,598.771,212.691,1870.768,89.078,1618.68,1010.16,402.498,1811.12,903.329,-19.542
13.98,384.462,2203.693,592.386,213.184,1869.585,90.099,1592.84,997.797,412.588,1746.51,899.175,-16.297
13.99,385.714,2138.755,582.958,213.191,1868.759,91.577,1567.7,989.524,422.32,1681.2,899.905,-11.872
14.0,387.034,2075.06,570.811,212.741,1867.85,93.618,1542.97,985.559,431.423,1615.81,905.617,-6.335
14.01,388.266,2012.607,556.245,211.843,1866.482,96.388,1518.33,985.806,439.704,1551.06,916.068,0.156
14.02,389.255,1951.195,539.524,210.492,1864.304,100.094,1493.46,989.888,447.054,1487.61,930.736,7.381
14.03,389.881,1890.464,520.873,208.695,1860.978,104.945,1468.09,997.207,453.457,1426.02,948.892,15.088
14.04,390.084,1829.948,500.491,206.473,1856.172,111.132,1441.98,1007.08,458.955,1366.71,969.696,23.02
14.05,389.87,1769.129,478.556,203.867,1849.586,118.796,1414.93,1018.76,463.641,1309.93,992.262,30.942
14.06,389.319,1707.493,455.243,200.929,1840.997,128.02,1386.8,1031.55,467.623,1255.71,1015.74,38.661
14.07,388.565,1644.566,430.73,197.727,1830.313,138.839,1357.51,1044.84,471.024,1203.99,1039.34,46.022
14.08,387.767,1579.95,405.214,194.357,1817.607,151.277,1327.01,1058.1,473.961,1154.56,1062.37,52.916
14.09,387.074,1513.349,378.916,190.941,1803.124,165.386,1295.32,1070.9,476.545,1107.16,1084.28,59.27
14.1,386.573,1444.599,352.1,187.628,1787.248,181.261,1262.48,1082.9,478.874,1061.51,1104.61,65.037
14.11,386.269,1373.692,325.092,184.569,1770.431,199.02,1228.57,1093.84,481.025,1017.33,1123.06,70.193
14.12,386.101,1300.811,298.315,181.888,1753.093,218.748,1193.7,1103.5,483.061,974.377,1139.38,74.722
14.13,385.984,1226.34,272.299,179.662,1735.493,240.441,1157.96,1111.75,485.017,932.453,1153.42,78.622
14.14,385.826,1150.869,247.633,177.91,1717.62,263.978,1121.46,1118.48,486.902,891.422,1165.06,81.89
14.15,385.536,1075.165,224.876,176.59,1699.168,289.117,1084.24,1123.63,488.69,851.186,1174.24,84.531
14.16,385.033,1000.14,204.49,175.613,1679.602,315.529,1046.35,1127.12,490.339,811.682,1180.89,86.557
14.17,384.268,926.806,186.789,174.874,1658.287,342.849,1007.76,1128.92,491.8,772.875,1184.97,87.988
14.18,383.22,856.234,171.89,174.277,1634.586,370.713,968.434,1129.03,493.041,734.747,1186.45,88.851
14.19,381.877,789.489,159.682,173.758,1607.925,398.764,928.308,1127.42,494.042,697.307,1185.35,89.181
14.2,380.204,727.538,149.82,173.294,1577.819,426.636,887.31,1124.07,494.783,660.58,1181.69,89.015
14.21,378.151,671.17,141.77,172.897,1543.907,453.932,845.361,1119.05,495.25,624.616,1175.56,88.39
14.22,375.69,620.933,134.914,172.607,1505.971,480.22,802.411,1112.39,495.421,589.474,1167.04,87.336
14.23,372.857,577.115,128.686,172.477,1463.948,505.032,758.415,1104.18,495.276,555.23,1156.3,85.869
14.24,369.75,539.749,122.683,172.557,1417.925,527.885,713.354,1094.58,494.784,521.959,1143.53,83.994
14.25,366.489,508.664,116.743,172.88,1368.12,548.308,667.225,1083.79,493.906,489.747,1128.96,81.697
14.26,363.178,483.538,110.952,173.447,1314.859,565.879,620.023,1072.1,492.589,458.665,1112.88,78.952
14.27,359.891,463.939,105.591,174.221,1258.552,580.251,571.747,1059.88,490.771,428.781,1095.63,75.732
14.28,356.707,449.327,101.05,175.13,1199.672,591.181,522.385,1047.63,488.377,400.146,1077.61,72.019
14.29,353.746,439.013,97.691,176.074,1138.729,598.535,471.924,1035.92,485.328,372.789,1059.31,67.826
14.3,351.175,432.165,95.668,176.945,1076.255,602.288,420.36,1025.44,481.545,346.707,1041.31,63.208
