Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
27.58,133.897,-2192.388,335.489,324.671,-1483.962,121.559,-1405.71,1255.34,165.651,-1585.22,1030.58,526.005
27.59,132.809,-2163.618,340.708,323.757,-1469.798,118.076,-1377.75,1231.75,159.537,-1545.29,1022.72,526.688
27.6,131.752,-2132.667,344.962,323.057,-1459.041,115.4,-1350.43,1205.84,151.792,-1504.73,1014.37,527.105
27.61,130.74,-2099.477,348.198,322.491,-1451.145,113.669,-1324.2,1178.11,142.391,-1463.57,1005.83,527.135
27.62,129.787,-2064.044,350.362,321.957,-1445.495,112.821,-1299.52,1149.14,131.388,-1421.81,997.532,526.626
27.63,128.911,-2026.422,351.394,321.375,-1441.525,112.653,-1276.83,1119.76,118.945,-1379.5,989.983,525.409
27.64,128.136,-1986.735,351.222,320.717,-1438.771,112.912,-1256.49,1091.0,105.361,-1336.7,983.786,523.319
27.65,127.498,-1945.16,349.767,320.005,-1436.873,113.376,-1238.71,1064.06,91.073,-1293.53,979.553,520.206
27.66,127.038,-1901.905,346.945,319.295,-1435.548,113.907,-1223.5,1040.14,76.608,-1250.18,977.84,515.974
27.67,126.802,-1857.177,342.68,318.663,-1434.581,114.475,-1210.54,1020.29,62.505,-1206.9,979.051,510.593
27.68,126.831,-1811.159,336.912,318.185,-1433.803,115.136,-1199.28,1005.22,49.207,-1163.98,983.378,504.117
27.69,127.15,-1763.995,329.621,317.916,-1433.07,115.993,-1189.05,995.155,36.959,-1121.72,990.774,496.675
27.7,127.775,-1715.775,320.829,317.895,-1432.246,117.179,-1179.2,989.895,25.802,-1080.38,1000.99,488.454
27.71,128.712,-1666.531,310.603,318.172,-1431.189,118.852,-1169.19,988.936,15.627,-1040.17,1013.61,479.66
27.72,129.967,-1616.236,299.056,318.816,-1429.747,121.192,-1158.67,991.605,6.263,-1001.27,1028.14,470.494
27.73,131.532,-1564.811,286.34,319.893,-1427.749,124.372,-1147.33,997.163,-2.446,-963.735,1044.03,461.134
27.74,133.375,-1512.15,272.655,321.428,-1424.999,128.517,-1135.0,1004.91,-10.62,-927.615,1060.79,451.737
27.75,135.429,-1458.141,258.251,323.391,-1421.287,133.679,-1121.58,1014.2,-18.339,-892.882,1077.9,442.432
27.76,137.595,-1402.693,243.414,325.712,-1416.421,139.839,-1107.01,1024.51,-25.652,-859.47,1094.96,433.315
27.77,139.749,-1345.765,228.462,328.303,-1410.247,146.922,-1091.23,1035.38,-32.581,-827.293,1111.6,424.464
27.78,141.746,-1287.389,213.735,331.074,-1402.671,154.823,-1074.2,1046.47,-39.143,-796.25,1127.55,415.943
27.79,143.429,-1227.695,199.588,333.937,-1393.664,163.431,-1055.85,1057.48,-45.351,-766.246,1142.56,407.805
27.8,144.658,-1166.924,186.365,336.799,-1383.263,172.638,-1036.14,1068.17,-51.235,-737.196,1156.48,400.098
27.81,145.338,-1105.447,174.383,339.558,-1371.581,182.352,-1015.03,1078.36,-56.854,-709.028,1169.14,392.855
27.82,145.446,-1043.764,163.907,342.112,-1358.804,192.5,-992.502,1087.85,-62.278,-681.689,1180.41,386.093
27.83,145.031,-982.498,155.125,344.361,-1345.18,203.015,-968.562,1096.5,-67.575,-655.132,1190.1,379.825
27.84,144.209,-922.369,148.125,346.225,-1330.971,213.829,-943.217,1104.16,-72.792,-629.295,1198.09,374.096
27.85,143.135,-864.155,142.865,347.656,-1316.394,224.871,-916.495,1110.71,-77.956,-604.093,1204.28,369.008
27.86,141.984,-808.637,139.154,348.656,-1301.547,236.056,-888.424,1116.05,-83.07,-579.422,1208.57,364.69
27.87,140.92,-756.529,136.646,349.27,-1286.361,247.285,-859.045,1120.12,-88.121,-555.175,1210.92,361.253
27.88,140.074,-708.414,134.881,349.584,-1270.601,258.433,-828.396,1122.86,-93.079,-531.251,1211.24,358.77
27.89,139.526,-664.701,133.345,349.71,-1253.932,269.364,-796.516,1124.24,-97.898,-507.58,1209.47,357.279
27.9,139.295,-625.608,131.561,349.755,-1235.995,279.937,-763.441,1124.26,-102.524,-484.128,1205.54,356.799
27.91,139.349,-591.172,129.157,349.799,-1216.469,290.008,-729.219,1122.91,-106.906,-460.902,1199.44,357.342
27.92,139.627,-561.281,125.928,349.876,-1195.098,299.431,-693.907,1120.23,-110.998,-437.953,1191.18,358.906
27.93,140.067,-535.714,121.871,349.984,-1171.7,308.057,-657.564,1116.23,-114.753,-415.364,1180.82,361.488
27.94,140.615,-514.182,117.195,350.102,-1146.161,315.749,-620.257,1110.94,-118.124,-393.25,1168.44,365.076
27.95,141.232,-496.363,112.277,350.2,-1118.427,322.387,-582.034,1104.46,-121.065,-371.742,1154.2,369.65
27.96,141.887,-481.915,107.587,350.254,-1088.477,327.873,-542.945,1096.9,-123.512,-350.982,1138.25,375.185
27.97,142.537,-470.48,103.577,350.251,-1056.313,332.129,-503.033,1088.42,-125.388,-331.116,1120.82,381.646
