Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
6.72,58.459,-2021.954,368.447,251.67,-1401.528,124.227,-1331.26,1154.66,37.395,-1506.64,1062.8,434.115
6.73,55.779,-1986.533,375.885,247.138,-1389.405,122.725,-1308.65,1139.47,35.304,-1467.4,1055.3,433.479
6.74,53.073,-1948.497,381.688,242.871,-1380.725,121.775,-1286.28,1124.15,32.943,-1427.3,1047.54,432.247
6.75,50.349,-1907.959,385.744,239.078,-1374.859,121.332,-1264.09,1109.1,30.363,-1386.37,1039.86,430.326
6.76,47.616,-1865.088,387.984,235.93,-1371.149,121.287,-1241.98,1094.72,27.623,-1344.71,1032.65,427.628
6.77,44.885,-1820.11,388.375,233.516,-1368.973,121.507,-1219.86,1081.51,24.789,-1302.4,1026.33,424.072
6.78,42.174,-1773.299,386.915,231.827,-1367.791,121.87,-1197.64,1070.0,21.937,-1259.58,1021.38,419.588
6.79,39.513,-1724.956,383.631,230.777,-1367.175,122.307,-1175.2,1060.66,19.132,-1216.41,1018.21,414.13
6.8,36.94,-1675.381,378.566,230.237,-1366.808,122.813,-1152.48,1053.89,16.435,-1173.11,1017.19,407.687
6.81,34.511,-1624.847,371.781,230.075,-1366.465,123.458,-1129.36,1049.97,13.881,-1129.89,1018.62,400.287
6.82,32.29,-1573.567,363.354,230.186,-1365.98,124.372,-1105.82,1048.98,11.48,-1087.02,1022.61,392.005
6.83,30.353,-1521.686,353.375,230.517,-1365.213,125.735,-1081.82,1050.87,9.217,-1044.72,1029.2,382.958
6.84,28.777,-1469.266,341.957,231.067,-1364.015,127.754,-1057.35,1055.44,7.054,-1003.23,1038.23,373.305
6.85,27.635,-1416.292,329.229,231.878,-1362.206,130.634,-1032.43,1062.33,4.945,-962.742,1049.47,363.226
6.86,26.986,-1362.687,315.346,233.02,-1359.565,134.553,-1007.1,1071.14,2.844,-923.385,1062.58,352.916
6.87,26.869,-1308.331,300.485,234.561,-1355.837,139.634,-981.389,1081.42,0.718,-885.258,1077.15,342.57
6.88,27.294,-1253.09,284.854,236.551,-1350.755,145.929,-955.329,1092.72,-1.453,-848.401,1092.76,332.362
6.89,28.246,-1196.849,268.698,239.004,-1344.078,153.409,-928.939,1104.67,-3.67,-812.814,1109.02,322.448
6.9,29.679,-1139.54,252.307,241.897,-1335.626,161.977,-902.225,1116.91,-5.926,-778.458,1125.49,312.952
6.91,31.527,-1081.174,236.017,245.162,-1325.318,171.485,-875.181,1129.18,-8.204,-745.26,1141.8,303.974
6.92,33.708,-1021.871,220.204,248.701,-1313.188,181.765,-847.8,1141.27,-10.488,-713.127,1157.57,295.584
6.93,36.136,-961.875,205.264,252.385,-1299.381,192.658,-820.06,1153.03,-12.759,-681.949,1172.5,287.84
6.94,38.734,-901.57,191.576,256.063,-1284.139,204.036,-791.937,1164.32,-15.0,-651.606,1186.28,280.789
6.95,41.435,-841.483,179.464,259.581,-1267.745,215.807,-763.408,1175.08,-17.19,-621.98,1198.64,274.471
6.96,44.196,-782.263,169.154,262.793,-1250.476,227.909,-734.44,1185.26,-19.309,-592.955,1209.34,268.919
6.97,46.994,-724.652,160.734,265.579,-1232.536,240.298,-705.014,1194.79,-21.339,-564.435,1218.16,264.156
6.98,49.824,-669.425,154.136,267.866,-1214.021,252.929,-675.106,1203.68,-23.26,-536.336,1224.9,260.199
6.99,52.695,-617.324,149.132,269.637,-1194.894,265.744,-644.711,1211.87,-25.053,-508.598,1229.39,257.049
7.0,55.627,-568.999,145.365,270.931,-1174.991,278.66,-613.834,1219.35,-26.697,-481.173,1231.5,254.708
7.01,58.645,-524.946,142.394,271.834,-1154.054,291.558,-582.499,1226.09,-28.167,-454.033,1231.12,253.177
7.02,61.784,-485.487,139.769,272.468,-1131.773,304.278,-550.74,1232.06,-29.438,-427.161,1228.17,252.463
7.03,65.09,-450.76,137.108,272.966,-1107.841,316.614,-518.611,1237.22,-30.48,-400.559,1222.65,252.58
7.04,68.616,-420.744,134.161,273.457,-1081.995,328.331,-486.167,1241.54,-31.266,-374.243,1214.58,253.551
7.05,72.427,-395.293,130.854,274.054,-1054.044,339.18,-453.464,1245.02,-31.773,-348.248,1204.08,255.401
7.06,76.574,-374.175,127.283,274.846,-1023.879,348.926,-420.552,1247.61,-31.988,-322.624,1191.28,258.158
7.07,81.078,-357.093,123.677,275.896,-991.46,357.37,-387.461,1249.32,-31.906,-297.438,1176.42,261.846
7.08,85.887,-343.698,120.321,277.248,-956.799,364.361,-354.204,1250.19,-31.528,-272.776,1159.81,266.471
7.09,90.856,-333.573,117.472,278.922,-919.937,369.802,-320.773,1250.26,-30.866,-248.728,1141.84,272.016
7.1,95.752,-326.243,115.295,280.927,-880.932,373.642,-287.14,1249.65,-29.926,-225.395,1123.0,278.43
7.11,100.292,-321.182,113.827,283.254,-839.864,375.86,-253.266,1248.49,-28.713,-202.864,1103.84,285.622
