Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
4.045,125.57900000000001,-2675.4764999999998,143.76749999999998,274.8085,-1977.531,102.219,-1990.18,906.211,-50.419,-2391.45,778.4805,451.172
4.0649999999999995,123.46700000000001,-2659.3595,157.7115,273.0705,-1967.3525,98.797,-1957.0900000000001,907.677,-48.788,-2360.98,777.306,449.6445
4.085,121.20599999999999,-2636.805,175.0575,272.0155,-1959.6480000000001,97.017,-1927.34,907.99,-47.463499999999996,-2327.08,777.7815,447.914
4.105,118.7025,-2606.432,195.5735,271.19899999999996,-1953.8854999999999,96.55449999999999,-1900.77,907.039,-46.4675,-2289.855,779.5340000000001,446.29
4.125,115.78999999999999,-2567.6875,217.923,270.289,-1949.8400000000001,96.7945,-1877.17,904.8355,-45.78,-2249.56,782.1510000000001,445.0575
4.145,112.4015,-2521.1335,239.7575,269.24199999999996,-1947.3315,97.21000000000001,-1856.3600000000001,901.5695000000001,-45.444,-2206.485,785.3164999999999,444.38599999999997
4.165,108.663,-2467.991,258.245,268.273,-1946.1045,97.547,-1838.325,897.6044999999999,-45.573,-2161.09,788.981,444.32550000000003
4.1850000000000005,104.773,-2409.4764999999998,270.7955,267.63800000000003,-1945.7475,97.786,-1823.1399999999999,893.38,-46.28,-2113.8100000000004,793.405,444.8275
4.205,100.88900000000001,-2346.584,275.79650000000004,267.4085,-1945.784,98.00399999999999,-1810.79,889.2674999999999,-47.6135,-2064.965,798.9855,445.7395
4.225,97.15,-2280.0795,273.002,267.423,-1945.833,98.2855,-1801.0149999999999,885.412,-49.515,-2014.76,805.9449999999999,446.83849999999995
4.245,93.7295,-2210.397,263.28700000000003,267.44899999999996,-1945.6775,98.6935,-1793.29,881.6875,-51.8445,-1963.385,814.1465000000001,447.948
4.265,90.81049999999999,-2137.6095,248.063,267.344,-1945.2365,99.2575,-1787.025,877.7815,-54.4455,-1911.045,823.1745,448.9705
4.285,88.5075,-2061.5635,228.865,267.049,-1944.525,99.9615,-1781.67,873.3365,-57.179,-1857.9,832.569,449.8315
4.305,86.8395,-1982.091,207.203,266.52,-1943.629,100.75649999999999,-1776.8200000000002,868.0785000000001,-59.947,-1804.0949999999998,842.008,450.4275
4.325,85.7655,-1899.1905,184.602,265.73400000000004,-1942.661,101.6045,-1772.145,861.874,-62.7215,-1749.805,851.342,450.62800000000004
4.345,85.2695,-1813.1265,162.68599999999998,264.681,-1941.7105000000001,102.497,-1767.395,854.7165,-65.56450000000001,-1695.385,860.5255,450.283
4.365,85.38550000000001,-1724.5610000000001,143.211,263.34749999999997,-1940.8205,103.443,-1762.325,846.687,-68.594,-1641.255,869.4984999999999,449.2645
4.385,86.13749999999999,-1634.777,127.9315,261.794,-1940.0045,104.465,-1756.7,837.937,-71.892,-1587.8600000000001,878.1255,447.5495
4.405,87.4975,-1545.8905,118.185,260.23749999999995,-1939.2335,105.651,-1750.33,828.7235000000001,-75.412,-1535.5900000000001,886.173,445.2515
4.425,89.41149999999999,-1460.8805,114.2825,259.008,-1938.373,107.22399999999999,-1742.98,819.4245000000001,-78.9515,-1484.8600000000001,893.3820000000001,442.5635
4.445,91.917,-1383.351,115.007,258.412,-1937.1480000000001,109.5475,-1734.27,810.505,-82.23750000000001,-1436.065,899.514,439.664
4.465,95.2475,-1316.9234999999999,117.693,258.60850000000005,-1935.179,113.021,-1723.645,802.448,-85.031,-1389.585,904.389,436.692
4.485,99.6445,-1264.2415,119.22200000000001,259.595,-1932.0315,117.98,-1710.435,795.6615,-87.16499999999999,-1345.73,907.894,433.74850000000004
4.505,104.952,-1225.824,117.5885,261.31,-1927.1835,124.669,-1693.9099999999999,790.3815,-88.509,-1304.73,910.0035,430.85400000000004
4.525,110.5095,-1199.4925,112.8985,263.735,-1919.9144999999999,133.305,-1673.46,786.6305,-88.9385,-1266.6399999999999,910.756,428.04150000000004
4.545,115.4195,-1181.2115,106.90950000000001,266.88,-1909.1840000000002,144.1705,-1648.77,784.2815,-88.406,-1231.42,910.2235,425.438
4.5649999999999995,118.8955,-1167.2835,101.58,270.69449999999995,-1893.607,157.6685,-1619.79,783.1569999999999,-87.0235,-1199.025,908.4755,423.15200000000004
4.585,120.613,-1156.08,97.9585,275.00250000000005,-1871.6505,174.2165,-1586.6950000000002,783.0685,-85.1175,-1169.48,905.5955,421.142
4.605,120.8465,-1147.6100000000001,96.08600000000001,279.481,-1842.0549999999998,193.8685,-1549.75,783.7815,-83.1435,-1142.8049999999998,901.7415,419.3785
4.625,120.239,-1141.973,95.4405,283.713,-1804.3145,215.8495,-1509.1799999999998,785.027,-81.4885,-1118.92,897.1745,418.006
4.645,119.4525,-1138.6895,95.4095,287.354,-1758.8595,238.374,-1465.145,786.63,-80.352,-1097.6750000000002,892.2139999999999,417.137
4.665,118.926,-1136.931,95.618,290.414,-1706.7385,258.8735,-1417.79,788.6375,-79.776,-1078.8600000000001,887.194,416.738
4.6850000000000005,118.822,-1135.873,95.971,293.36,-1649.1599999999999,274.56949999999995,-1367.31,791.3555,-79.707,-1062.31,882.4205,416.8175
4.705,119.1115,-1134.952,96.473,296.762,-1587.239,283.30150000000003,-1314.0,795.229,-80.029,-1047.87,878.1075000000001,417.4225
4.725,119.6635,-1133.9965,97.08250000000001,300.7935,-1521.8135000000002,284.1835,-1258.255,800.631,-80.571,-1035.435,874.3344999999999,418.507
4.745,120.2895,-1133.0995,97.7265,305.067,-1453.3359999999998,277.6145,-1200.5700000000002,807.674,-81.1495,-1024.775,871.0355,419.97349999999994
4.765,120.7825,-1132.3725,98.4145,308.8705,-1381.9209999999998,264.788,-1141.5,816.2004999999999,-81.62049999999999,-1015.5350000000001,868.0264999999999,421.736
4.785,121.0845,-1131.8305,99.1995,311.541,-1307.4775,247.1735,-1081.5900000000001,825.9075,-81.8895,-1007.27,865.0705,423.719
4.805,121.378,-1131.4005,100.0935,312.731,-1229.8315,226.2405,-1021.315,836.479,-81.9065,-999.497,861.9415,425.9015
4.825,121.87,-1130.966,101.116,312.41949999999997,-1148.8415,203.4125,-961.1220000000001,847.6775,-81.6235,-991.7325,858.4225,428.2855
