Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
17.29,308.149,2181.046,345.671,123.182,1521.266,77.192,1459.57,1064.99,288.309,1589.39,996.211,-57.478
17.3,312.57,2149.573,356.289,124.726,1510.016,73.189,1438.0,1048.41,291.15,1556.2,985.638,-58.514
17.31,316.651,2115.902,365.939,126.274,1501.187,70.119,1417.03,1031.24,294.725,1522.14,974.991,-59.016
17.32,320.326,2080.097,374.508,127.771,1494.377,68.081,1396.65,1013.91,298.977,1487.16,964.708,-58.887
17.33,323.557,2042.291,381.861,129.163,1489.252,66.997,1376.85,996.952,303.831,1451.24,955.281,-58.02
17.34,326.324,2002.696,387.852,130.399,1485.527,66.668,1357.57,980.991,309.187,1414.39,947.23,-56.305
17.35,328.613,1961.595,392.331,131.448,1482.941,66.838,1338.79,966.699,314.917,1376.74,941.055,-53.64
17.36,330.412,1919.321,395.156,132.292,1481.247,67.27,1320.46,954.74,320.871,1338.46,937.195,-49.94
17.37,331.706,1876.227,396.201,132.929,1480.216,67.796,1302.51,945.701,326.888,1299.79,935.964,-45.149
17.38,332.475,1832.651,395.368,133.365,1479.637,68.342,1284.82,940.021,332.812,1261.01,937.528,-39.249
17.39,332.7,1788.876,392.591,133.62,1479.322,68.927,1267.29,937.925,338.515,1222.44,941.876,-32.268
17.4,332.362,1745.108,387.846,133.72,1479.094,69.649,1249.79,939.393,343.906,1184.35,948.831,-24.282
17.41,331.444,1701.451,381.147,133.691,1478.777,70.668,1232.14,944.163,348.948,1147.04,958.08,-15.414
17.42,329.925,1657.903,372.548,133.551,1478.184,72.184,1214.23,951.794,353.645,1110.7,969.222,-5.829
17.43,327.79,1614.364,362.135,133.302,1477.105,74.412,1195.9,961.73,358.034,1075.49,981.814,4.282
17.44,325.034,1570.651,350.03,132.924,1475.311,77.557,1177.06,973.387,362.165,1041.51,995.423,14.718
17.45,321.679,1526.528,336.392,132.377,1472.561,81.781,1157.65,986.205,366.09,1008.78,1009.64,25.285
17.46,317.784,1481.736,321.418,131.604,1468.625,87.184,1137.63,999.696,369.854,977.267,1024.1,35.816
17.47,313.455,1436.021,305.346,130.542,1463.32,93.788,1117.0,1013.45,373.494,946.928,1038.54,46.176
17.48,308.837,1389.16,288.45,129.132,1456.544,101.547,1095.79,1027.13,377.038,917.686,1052.67,56.262
17.49,304.105,1340.976,271.033,127.331,1448.298,110.366,1074.02,1040.46,380.508,889.451,1066.3,65.997
17.5,299.446,1291.35,253.414,125.129,1438.703,120.136,1051.71,1053.23,383.92,862.133,1079.25,75.314
17.51,295.041,1240.23,235.92,122.564,1427.984,130.756,1028.9,1065.25,387.288,835.636,1091.39,84.156
17.52,291.052,1187.643,218.878,119.72,1416.441,142.147,1005.6,1076.37,390.626,809.863,1102.54,92.46
17.53,287.611,1133.712,202.607,116.719,1404.393,154.242,981.803,1086.48,393.948,784.72,1112.61,100.16
17.54,284.808,1078.684,187.41,113.696,1392.123,166.962,957.51,1095.48,397.272,760.107,1121.48,107.189
17.55,282.678,1022.945,173.561,110.764,1379.816,180.195,932.702,1103.28,400.615,735.92,1129.02,113.476
17.56,281.199,967.036,161.277,107.988,1367.522,193.781,907.358,1109.84,403.994,712.059,1135.15,118.957
17.57,280.285,911.646,150.691,105.37,1355.146,207.512,881.455,1115.12,407.425,688.419,1139.77,123.571
17.58,279.805,857.578,141.823,102.85,1342.468,221.158,854.974,1119.1,410.914,664.911,1142.77,127.267
17.59,279.6,805.703,134.56,100.332,1329.19,234.494,827.902,1121.77,414.464,641.459,1144.09,130.004
17.6,279.514,756.879,128.657,97.711,1314.987,247.334,800.224,1123.17,418.064,618.02,1143.64,131.74
17.61,279.417,711.873,123.768,94.902,1299.552,259.559,771.936,1123.3,421.692,594.577,1141.39,132.433
17.62,279.214,671.282,119.498,91.86,1282.622,271.122,743.029,1122.23,425.315,571.155,1137.29,132.044
17.63,278.842,635.485,115.481,88.587,1263.984,282.043,713.498,1120.04,428.885,547.817,1131.34,130.525
17.64,278.249,604.616,111.452,85.129,1243.471,292.387,683.332,1116.81,432.344,524.658,1123.57,127.832
17.65,277.387,578.585,107.305,81.567,1220.948,302.229,652.518,1112.64,435.621,501.807,1114.05,123.927
17.66,276.2,557.109,103.099,78.004,1196.306,311.631,621.037,1107.64,438.645,479.411,1102.92,118.794
17.67,274.645,539.777,99.035,74.553,1169.454,320.615,588.869,1101.97,441.34,457.632,1090.4,112.437
17.68,272.711,526.099,95.382,71.332,1140.326,329.148,555.997,1095.79,443.631,436.626,1076.75,104.905
