Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
17.59,319.138,1085.611,452.764,118.637,306.594,111.881,192.943,1205.05,311.275,464.978,1055.17,-120.415
17.6,323.179,1040.093,461.905,122.044,291.195,109.091,163.516,1183.18,320.461,420.822,1046.4,-124.687
17.61,327.257,992.339,469.1,125.409,278.986,106.945,135.408,1160.38,330.624,375.58,1037.58,-128.524
17.62,331.29,942.59,474.282,128.622,269.518,105.522,108.77,1137.23,341.645,329.253,1029.1,-131.769
17.63,335.198,891.114,477.404,131.579,262.356,104.822,83.718,1114.34,353.359,281.869,1021.44,-134.259
17.64,338.909,838.194,478.435,134.192,257.086,104.779,60.303,1092.39,365.556,233.51,1015.05,-135.833
17.65,342.364,784.114,477.362,136.408,253.324,105.284,38.509,1072.04,377.977,184.301,1010.38,-136.34
17.66,345.517,729.141,474.186,138.201,250.721,106.228,18.243,1053.92,390.338,134.425,1007.84,-135.655
17.67,348.339,673.504,468.928,139.572,248.96,107.527,-0.672,1038.59,402.341,84.116,1007.76,-133.695
17.68,350.813,617.379,461.625,140.535,247.754,109.146,-18.472,1026.45,413.704,33.647,1010.36,-130.423
17.69,352.938,560.871,452.338,141.107,246.837,111.11,-35.452,1017.8,424.186,-16.686,1015.75,-125.855
17.7,354.725,504.005,441.153,141.294,245.954,113.495,-51.938,1012.74,433.599,-66.583,1023.87,-120.061
17.71,356.194,446.728,428.185,141.093,244.854,116.42,-68.255,1011.22,441.831,-115.763,1034.57,-113.155
17.72,357.372,388.912,413.582,140.487,243.287,120.023,-84.712,1013.02,448.841,-163.993,1047.56,-105.283
17.73,358.294,330.373,397.526,139.451,241.0,124.448,-101.581,1017.8,454.661,-211.09,1062.45,-96.608
17.74,358.992,270.89,380.24,137.965,237.753,129.824,-119.086,1025.13,459.377,-256.94,1078.8,-87.298
17.75,359.498,210.23,361.981,136.021,233.326,136.256,-137.398,1034.53,463.115,-301.502,1096.17,-77.509
17.76,359.839,148.183,343.051,133.63,227.545,143.823,-156.637,1045.48,466.024,-344.795,1114.09,-67.387
17.77,360.032,84.589,323.782,130.837,220.298,152.581,-176.884,1057.48,468.259,-386.884,1132.11,-57.056
17.78,360.082,19.363,304.538,127.711,211.55,162.566,-198.183,1070.06,469.97,-427.873,1149.88,-46.625
17.79,359.984,-47.477,285.703,124.35,201.353,173.805,-220.557,1082.82,471.291,-467.883,1167.03,-36.192
17.8,359.725,-115.792,267.663,120.869,189.834,186.323,-244.018,1095.37,472.337,-507.038,1183.27,-25.845
17.81,359.285,-185.319,250.79,117.386,177.175,200.144,-268.573,1107.4,473.2,-545.448,1198.36,-15.674
17.82,358.648,-255.664,235.42,114.012,163.58,215.284,-294.238,1118.68,473.952,-583.209,1212.08,-5.765
17.83,357.801,-326.318,221.823,110.838,149.224,231.746,-321.032,1128.95,474.649,-620.39,1224.23,3.789
17.84,356.742,-396.673,210.179,107.92,134.219,249.514,-348.988,1138.08,475.333,-657.032,1234.63,12.887
17.85,355.481,-466.057,200.56,105.28,118.568,268.536,-378.144,1145.9,476.038,-693.164,1243.13,21.425
17.86,354.041,-533.765,192.909,102.905,102.156,288.726,-408.541,1152.3,476.789,-728.778,1249.59,29.295
17.87,352.453,-599.1,187.046,100.752,84.743,309.956,-440.222,1157.18,477.614,-763.856,1253.87,36.384
17.88,350.759,-661.419,182.672,98.766,65.996,332.06,-473.224,1160.5,478.541,-798.364,1255.87,42.587
17.89,349.002,-720.159,179.404,96.886,45.515,354.829,-507.567,1162.19,479.595,-832.253,1255.53,47.805
17.9,347.222,-774.868,176.81,95.064,22.887,378.021,-543.259,1162.21,480.806,-865.468,1252.79,51.951
17.91,345.453,-825.217,174.46,93.263,-2.28,401.36,-580.294,1160.57,482.2,-897.946,1247.65,54.959
17.92,343.717,-871.004,171.982,91.47,-30.315,424.543,-618.643,1157.27,483.808,-929.617,1240.17,56.782
17.93,342.019,-912.141,169.101,89.685,-61.46,447.246,-658.268,1152.32,485.645,-960.414,1230.41,57.395
17.94,340.349,-948.648,165.681,87.922,-95.852,469.13,-699.119,1145.8,487.725,-990.261,1218.5,56.795
17.95,338.688,-980.627,161.726,86.202,-133.52,489.851,-741.147,1137.79,490.046,-1019.09,1204.65,55.004
17.96,337.007,-1008.25,157.38,84.55,-174.391,509.071,-784.305,1128.43,492.585,-1046.86,1189.06,52.066
17.97,335.283,-1031.742,152.883,82.991,-218.296,526.464,-828.556,1117.88,495.298,-1073.48,1172.01,48.049
17.98,333.501,-1051.377,148.525,81.553,-264.986,541.729,-873.878,1106.39,498.109,-1098.94,1153.87,43.047
