Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
6.05,116.439,-1334.455,306.219,265.512,-776.736,110.753,-681.425,1064.94,62.845,-806.2,997.429,379.611
6.06,112.963,-1309.111,315.214,264.535,-767.481,106.923,-667.509,1047.98,56.888,-776.991,985.244,377.248
6.07,109.048,-1281.141,323.452,263.851,-760.082,104.145,-654.285,1030.2,50.262,-746.954,972.371,374.43
6.08,104.904,-1250.584,330.719,263.468,-754.155,102.463,-641.698,1011.95,43.064,-715.984,959.289,371.041
6.09,100.731,-1217.56,336.784,263.306,-749.393,101.743,-629.665,993.711,35.452,-683.981,946.622,366.94
6.1,96.712,-1182.266,341.408,263.228,-745.558,101.739,-618.055,976.032,27.638,-650.884,935.109,361.978
6.11,93.0,-1144.972,344.36,263.098,-742.478,102.178,-606.664,959.574,19.887,-616.714,925.548,356.023
6.12,89.72,-1105.987,345.436,262.828,-740.037,102.821,-595.242,945.013,12.485,-581.599,918.699,348.989
6.13,86.966,-1065.63,344.473,262.397,-738.136,103.502,-583.483,932.97,5.709,-545.786,915.19,340.858
6.14,84.804,-1024.192,341.357,261.841,-736.684,104.149,-571.073,923.919,-0.225,-509.628,915.415,331.695
6.15,83.273,-981.894,336.028,261.242,-735.577,104.797,-557.725,918.108,-5.202,-473.549,919.504,321.649
6.16,82.389,-938.874,328.487,260.7,-734.697,105.571,-543.223,915.54,-9.227,-437.994,927.313,310.94
6.17,82.147,-895.167,318.801,260.321,-733.906,106.649,-527.452,915.996,-12.411,-403.387,938.465,299.84
6.18,82.523,-850.714,307.108,260.197,-733.049,108.228,-510.401,919.102,-14.931,-370.084,952.411,288.634
6.19,83.478,-805.374,293.625,260.407,-731.95,110.494,-492.162,924.397,-16.987,-338.354,968.503,277.603
6.2,84.958,-758.95,278.644,261.013,-730.402,113.607,-472.903,931.39,-18.77,-308.35,986.051,266.99
6.21,86.893,-711.233,262.52,262.04,-728.172,117.674,-452.832,939.602,-20.429,-280.126,1004.38,256.994
6.22,89.193,-662.043,245.665,263.477,-725.006,122.742,-432.174,948.595,-22.059,-253.634,1022.9,247.767
6.23,91.746,-611.272,228.523,265.278,-720.649,128.788,-411.122,957.991,-23.702,-228.745,1041.05,239.419
6.24,94.417,-558.919,211.566,267.374,-714.862,135.714,-389.813,967.474,-25.353,-205.266,1058.41,232.027
6.25,97.054,-505.118,195.264,269.682,-707.448,143.355,-368.317,976.791,-26.977,-182.963,1074.6,225.637
6.26,99.499,-450.156,180.071,272.124,-698.275,151.511,-346.646,985.74,-28.528,-161.584,1089.32,220.267
6.27,101.617,-394.487,166.393,274.628,-687.306,159.99,-324.785,994.163,-29.95,-140.883,1102.34,215.906
6.28,103.31,-338.735,154.555,277.135,-674.617,168.657,-302.71,1001.92,-31.195,-120.631,1113.46,212.523
6.29,104.552,-283.679,144.762,279.589,-660.412,177.448,-280.376,1008.9,-32.24,-100.627,1122.54,210.067
6.3,105.396,-230.22,137.054,281.927,-645.001,186.365,-257.737,1015.0,-33.086,-80.699,1129.49,208.471
6.31,105.966,-179.309,131.28,284.078,-628.749,195.447,-234.743,1020.1,-33.749,-60.713,1134.27,207.663
6.32,106.431,-131.852,127.093,285.981,-611.98,204.752,-211.342,1024.09,-34.26,-40.579,1136.85,207.573
6.33,106.96,-88.612,123.988,287.61,-594.881,214.324,-187.471,1026.84,-34.651,-20.249,1137.22,208.132
6.34,107.678,-50.124,121.382,288.988,-577.451,224.182,-163.067,1028.25,-34.953,0.296,1135.41,209.288
6.35,108.637,-16.65,118.711,290.192,-559.507,234.296,-138.067,1028.21,-35.188,21.054,1131.43,211.009
6.36,109.819,11.83,115.528,291.342,-540.73,244.575,-112.4,1026.64,-35.37,42.002,1125.31,213.286
6.37,111.149,35.592,111.582,292.577,-520.743,254.866,-86.009,1023.5,-35.502,63.094,1117.09,216.142
6.38,112.523,55.115,106.855,294.017,-499.177,264.971,-58.847,1018.75,-35.576,84.256,1106.83,219.621
6.39,113.826,71.02,101.561,295.746,-475.727,274.668,-30.866,1012.42,-35.57,105.393,1094.6,223.785
6.4,114.958,83.98,96.092,297.795,-450.174,283.73,-2.023,1004.63,-35.454,126.393,1080.52,228.7
6.41,115.841,94.622,90.932,300.141,-422.393,291.934,27.719,995.516,-35.179,147.133,1064.74,234.424
6.42,116.437,103.426,86.533,302.71,-392.345,299.064,58.408,985.361,-34.682,167.487,1047.5,240.997
6.43,116.751,110.688,83.201,305.388,-360.067,304.915,90.088,974.528,-33.871,187.333,1029.14,248.426
6.44,116.834,116.57,81.021,308.04,-325.666,309.304,122.803,963.522,-32.631,206.563,1010.14,256.68
