Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
10.94,88.897,-2419.533,323.604,248.206,-1833.812,144.648,-1724.64,1200.81,82.342,-1861.13,1111.76,388.76
10.95,85.565,-2388.134,322.044,245.984,-1821.311,141.886,-1703.58,1182.4,79.705,-1830.64,1101.85,387.461
10.96,82.299,-2354.964,319.407,244.075,-1811.84,140.169,-1682.95,1162.69,76.425,-1799.5,1091.34,386.03
10.97,79.083,-2319.942,315.839,242.556,-1804.972,139.48,-1662.79,1142.03,72.516,-1767.69,1080.54,384.395
10.98,75.916,-2283.011,311.477,241.473,-1800.167,139.629,-1643.17,1120.91,68.014,-1735.17,1069.84,382.446
10.99,72.803,-2244.161,306.437,240.792,-1796.897,140.327,-1624.1,1099.93,62.978,-1701.92,1059.67,380.051
11.0,69.756,-2203.441,300.818,240.416,-1794.714,141.287,-1605.61,1079.87,57.491,-1667.96,1050.56,377.061
11.01,66.791,-2160.954,294.697,240.232,-1793.266,142.295,-1587.68,1061.51,51.652,-1633.33,1043.07,373.332
11.02,63.939,-2116.833,288.135,240.161,-1792.278,143.23,-1570.26,1045.6,45.555,-1598.17,1037.68,368.74
11.03,61.247,-2071.23,281.184,240.154,-1791.55,144.067,-1553.24,1032.75,39.281,-1562.64,1034.83,363.207
11.04,58.781,-2024.303,273.894,240.178,-1790.946,144.846,-1536.55,1023.36,32.89,-1526.93,1034.73,356.725
11.05,56.63,-1976.209,266.313,240.204,-1790.375,145.647,-1520.02,1017.58,26.459,-1491.28,1037.43,349.365
11.06,54.888,-1927.091,258.494,240.2,-1789.775,146.58,-1503.48,1015.31,20.082,-1455.92,1042.79,341.283
11.07,53.651,-1877.077,250.496,240.142,-1789.087,147.771,-1486.76,1016.3,13.88,-1421.04,1050.54,332.688
11.08,52.994,-1826.271,242.391,240.02,-1788.233,149.374,-1469.67,1020.13,7.975,-1386.83,1060.3,323.806
11.09,52.959,-1774.759,234.261,239.837,-1787.101,151.559,-1452.07,1026.29,2.47,-1353.43,1071.62,314.846
11.1,53.545,-1722.615,226.202,239.618,-1785.524,154.504,-1433.85,1034.29,-2.57,-1320.95,1084.05,305.981
11.11,54.708,-1669.911,218.31,239.405,-1783.289,158.367,-1414.92,1043.64,-7.123,-1289.4,1097.19,297.348
11.12,56.368,-1616.727,210.685,239.253,-1780.147,163.256,-1395.23,1053.9,-11.21,-1258.84,1110.65,289.062
11.13,58.428,-1563.154,203.421,239.219,-1775.84,169.202,-1374.78,1064.69,-14.88,-1229.21,1124.13,281.216
11.14,60.787,-1509.305,196.605,239.358,-1770.138,176.147,-1353.58,1075.66,-18.201,-1200.5,1137.37,273.895
11.15,63.362,-1455.317,190.32,239.716,-1762.866,183.957,-1331.66,1086.53,-21.244,-1172.64,1150.15,267.157
11.16,66.087,-1401.372,184.64,240.323,-1753.926,192.44,-1309.11,1097.04,-24.07,-1145.61,1162.3,261.046
11.17,68.911,-1347.701,179.63,241.193,-1743.318,201.385,-1285.96,1107.01,-26.729,-1119.32,1173.66,255.569
11.18,71.791,-1294.596,175.337,242.321,-1731.135,210.597,-1262.27,1116.27,-29.259,-1093.7,1184.07,250.728
11.19,74.694,-1242.402,171.769,243.683,-1717.557,219.92,-1238.08,1124.69,-31.687,-1068.69,1193.44,246.508
11.2,77.605,-1191.509,168.88,245.239,-1702.815,229.25,-1213.43,1132.2,-34.028,-1044.18,1201.65,242.907
11.21,80.521,-1142.334,166.565,246.942,-1687.157,238.517,-1188.33,1138.72,-36.286,-1020.09,1208.61,239.928
11.22,83.444,-1095.3,164.656,248.747,-1670.798,247.658,-1162.8,1144.21,-38.458,-996.284,1214.26,237.577
11.23,86.372,-1050.813,162.932,250.629,-1653.876,256.585,-1136.85,1148.63,-40.539,-972.691,1218.52,235.857
11.24,89.292,-1009.23,161.14,252.589,-1636.435,265.167,-1110.47,1151.98,-42.52,-949.222,1221.36,234.76
11.25,92.179,-970.84,159.021,254.653,-1618.415,273.224,-1083.66,1154.23,-44.398,-925.814,1222.7,234.274
11.26,94.99,-935.837,156.347,256.864,-1599.661,280.54,-1056.39,1155.38,-46.173,-902.416,1222.51,234.38
11.27,97.671,-904.326,152.959,259.265,-1579.964,286.888,-1028.65,1155.42,-47.849,-878.994,1220.74,235.055
11.28,100.166,-876.325,148.813,261.876,-1559.112,292.061,-1000.41,1154.33,-49.426,-855.526,1217.36,236.273
11.29,102.426,-851.782,144.004,264.688,-1536.931,295.898,-971.657,1152.12,-50.9,-831.996,1212.32,238.02
11.3,104.422,-830.596,138.769,267.66,-1513.305,298.312,-942.371,1148.79,-52.26,-808.39,1205.63,240.288
11.31,106.155,-812.625,133.466,270.739,-1488.169,299.299,-912.532,1144.33,-53.494,-784.701,1197.27,243.087
11.32,107.644,-797.687,128.51,273.87,-1461.489,298.938,-882.109,1138.78,-54.582,-760.932,1187.25,246.434
11.33,108.909,-785.549,124.292,277.02,-1433.233,297.376,-851.061,1132.22,-55.495,-737.092,1175.6,250.354
