Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
7.05,195.859,-3225.49,467.399,334.448,-2463.906,165.798,-2401.21,1014.2,152.786,-3041.2,941.419,522.867
7.06,194.922,-3168.724,481.217,332.231,-2448.025,158.87,-2374.48,977.096,141.805,-2976.2,914.413,537.077
7.07,193.078,-3108.247,492.423,330.687,-2435.714,153.423,-2351.53,941.248,128.429,-2906.83,886.264,552.578
7.08,190.264,-3044.52,500.563,329.773,-2426.275,149.633,-2332.32,908.075,113.216,-2832.78,858.082,568.843
7.09,186.472,-2978.099,505.292,329.387,-2419.158,147.36,-2316.53,878.86,96.888,-2753.85,831.136,585.241
7.1,181.777,-2909.593,506.393,329.383,-2413.897,146.226,-2303.51,854.595,80.261,-2670.05,806.815,601.042
7.11,176.352,-2839.592,503.778,329.606,-2410.116,145.804,-2292.43,835.867,64.166,-2581.65,786.553,615.433
7.12,170.444,-2768.604,497.473,329.934,-2407.521,145.767,-2282.32,822.844,49.348,-2489.19,771.719,627.559
7.13,164.336,-2696.985,487.59,330.304,-2405.848,145.945,-2272.21,815.301,36.375,-2393.64,763.49,636.572
7.14,158.308,-2624.904,474.314,330.699,-2404.818,146.325,-2261.22,812.718,25.586,-2296.24,762.715,641.704
7.15,152.615,-2552.325,457.9,331.131,-2404.118,147.033,-2248.68,814.385,17.076,-2198.51,769.81,642.361
7.16,147.484,-2479.046,438.688,331.617,-2403.395,148.318,-2234.14,819.51,10.744,-2102.09,784.702,638.192
7.17,143.115,-2404.751,417.109,332.169,-2402.238,150.52,-2217.39,827.305,6.352,-2008.61,806.823,629.152
7.18,139.689,-2329.1,393.689,332.786,-2400.181,154.038,-2198.32,837.044,3.575,-1919.55,835.164,615.508
7.19,137.363,-2251.819,369.027,333.453,-2396.728,159.276,-2176.92,848.078,2.049,-1836.15,868.362,597.806
7.2,136.262,-2172.78,343.769,334.137,-2391.397,166.585,-2153.2,859.837,1.404,-1759.31,904.803,576.809
7.21,136.449,-2092.054,318.576,334.783,-2383.787,176.211,-2127.16,871.808,1.298,-1689.52,942.718,553.424
7.22,137.911,-2009.948,294.092,335.328,-2373.608,188.263,-2098.79,883.531,1.446,-1626.89,980.276,528.642
7.23,140.543,-1927.01,270.922,335.725,-2360.71,202.728,-2068.04,894.586,1.634,-1571.14,1015.65,503.486
7.24,144.154,-1844.039,249.596,335.962,-2345.063,219.518,-2034.88,904.586,1.73,-1521.64,1047.11,478.947
7.25,148.481,-1762.082,230.543,336.064,-2326.723,238.498,-1999.22,913.191,1.678,-1477.45,1073.11,455.936
7.26,153.213,-1682.4,214.048,336.055,-2305.77,259.51,-1961.02,920.091,1.472,-1437.48,1092.39,435.248
7.27,158.019,-1606.407,200.213,335.942,-2282.216,282.374,-1920.23,925.016,1.136,-1400.67,1104.06,417.555
7.28,162.586,-1535.551,188.92,335.719,-2255.924,306.879,-1876.8,927.752,0.711,-1366.13,1107.64,403.433
7.29,166.671,-1471.155,179.816,335.397,-2226.55,332.766,-1830.67,928.161,0.235,-1333.32,1103.07,393.366
7.3,170.148,-1414.249,172.346,335.0,-2193.584,359.684,-1781.76,926.218,-0.259,-1302.04,1090.72,387.753
7.31,173.032,-1365.429,165.854,334.553,-2156.457,387.163,-1729.98,922.029,-0.756,-1272.48,1071.32,386.874
7.32,175.45,-1324.783,159.732,334.064,-2114.668,414.599,-1675.22,915.852,-1.261,-1245.08,1045.9,390.846
7.33,177.574,-1291.905,153.568,333.534,-2067.885,441.259,-1617.4,908.083,-1.789,-1220.54,1015.75,399.57
7.34,179.546,-1265.989,147.24,332.974,-2016.019,466.317,-1556.5,899.247,-2.345,-1199.57,982.359,412.692
7.35,181.439,-1245.986,140.914,332.421,-1959.253,488.916,-1492.54,889.964,-2.92,-1182.83,947.352,429.607
7.36,183.252,-1230.777,134.963,331.934,-1898.015,508.244,-1425.65,880.933,-3.474,-1170.84,912.404,449.487
7.37,184.925,-1219.342,129.821,331.593,-1832.93,523.615,-1355.99,872.896,-3.934,-1163.81,879.17,471.331
7.38,186.376,-1210.872,125.814,331.503,-1764.741,534.528,-1283.86,866.621,-4.19,-1161.68,849.203,493.997
7.39,187.521,-1204.766,123.042,331.804,-1694.255,540.705,-1209.66,862.874,-4.108,-1164.07,823.881,516.246
7.4,188.292,-1200.547,121.377,332.637,-1622.253,542.084,-1133.9,862.38,-3.534,-1170.21,804.305,536.811
7.41,188.654,-1197.794,120.568,334.076,-1549.41,538.756,-1057.23,865.774,-2.314,-1178.97,791.199,554.519
7.42,188.611,-1196.117,120.38,336.092,-1476.212,530.901,-980.459,873.536,-0.31,-1188.9,784.826,568.434
7.43,188.202,-1195.146,120.686,338.573,-1402.895,518.773,-904.494,885.916,2.587,-1198.42,784.962,577.981
7.44,187.485,-1194.517,121.5,341.372,-1329.42,502.702,-830.342,902.87,6.448,-1205.99,790.962,583.003
