Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
29.77,125.563,-1598.821,162.313,308.016,-2427.71,724.522,-1677.81,1140.48,31.991,-1460.46,1207.7,226.286
29.78,129.203,-1579.94,154.88,304.652,-2344.76,743.129,-1616.4,1127.33,39.14,-1422.26,1178.19,233.428
29.79,132.739,-1566.606,149.314,302.086,-2259.595,755.307,-1553.4,1114.73,46.361,-1385.49,1148.3,244.061
29.8,135.939,-1557.439,145.694,300.475,-2173.55,761.215,-1488.66,1103.6,53.722,-1350.26,1119.03,258.178
29.81,138.54,-1551.311,143.828,299.891,-2087.854,761.248,-1422.18,1094.95,61.3,-1316.66,1091.38,275.566
29.82,140.37,-1547.344,143.293,300.313,-2003.548,755.937,-1354.1,1089.73,69.152,-1284.79,1066.29,295.763
29.83,141.407,-1544.851,143.636,301.624,-1921.427,745.877,-1284.81,1088.79,77.295,-1254.61,1044.53,318.068
29.84,141.731,-1543.277,144.556,303.648,-1841.981,731.649,-1214.82,1092.72,85.685,-1225.99,1026.69,341.62
29.85,141.447,-1542.145,145.96,306.185,-1765.348,713.766,-1144.8,1101.76,94.222,-1198.66,1013.08,365.524
29.86,140.621,-1541.03,147.949,309.046,-1691.283,692.639,-1075.41,1115.75,102.766,-1172.27,1003.82,388.961
29.87,139.272,-1539.515,150.788,312.062,-1619.182,668.583,-1007.29,1134.19,111.159,-1146.39,998.807,411.253
29.88,137.403,-1537.168,154.858,315.082,-1548.158,641.852,-940.971,1156.3,119.254,-1120.57,997.755,431.899
29.89,135.026,-1533.537,160.591,317.995,-1477.154,612.706,-876.849,1181.11,126.933,-1094.39,1000.26,450.566
29.9,132.179,-1528.175,168.395,320.735,-1405.089,581.448,-815.178,1207.59,134.114,-1067.4,1005.85,467.067
29.91,128.934,-1520.699,178.615,323.285,-1330.983,548.454,-756.061,1234.75,140.762,-1039.23,1013.96,481.345
29.92,125.402,-1510.858,191.522,325.641,-1254.058,514.165,-699.472,1261.67,146.873,-1009.53,1024.05,493.444
29.93,121.751,-1498.587,207.348,327.804,-1173.799,479.07,-645.271,1287.57,152.478,-978.028,1035.5,503.495
29.94,118.213,-1484.008,226.317,329.761,-1089.985,443.688,-593.24,1311.79,157.622,-944.514,1047.67,511.697
29.95,115.074,-1467.354,248.657,331.481,-1002.688,408.553,-543.104,1333.77,162.356,-908.857,1059.95,518.297
29.96,112.629,-1448.847,274.566,332.914,-912.268,374.193,-494.557,1353.04,166.723,-871.003,1071.66,523.553
29.97,111.085,-1428.552,304.116,333.998,-819.361,341.132,-447.272,1369.16,170.753,-830.95,1082.25,527.719
29.98,110.5,-1406.268,337.18,334.682,-724.857,309.874,-400.911,1381.7,174.469,-788.746,1091.18,531.025
29.99,110.772,-1381.492,373.433,334.941,-629.878,280.902,-355.138,1390.24,177.889,-744.47,1098.06,533.654
30.0,111.7,-1353.471,412.393,334.801,-535.744,254.655,-309.645,1394.43,181.015,-698.217,1102.58,535.747
30.01,113.053,-1321.324,453.457,334.33,-443.938,231.487,-264.183,1393.96,183.815,-650.081,1104.59,537.403
30.02,114.615,-1284.154,495.912,333.599,-356.054,211.58,-218.597,1388.62,186.205,-600.122,1104.06,538.694
30.03,116.219,-1241.16,538.936,332.651,-273.708,194.86,-172.845,1378.33,188.024,-548.372,1101.04,539.675
30.04,117.749,-1191.729,581.591,331.472,-198.401,180.955,-127.012,1363.21,189.033,-494.821,1095.7,540.392
30.05,119.128,-1135.516,622.838,329.999,-131.347,169.234,-81.29,1343.51,188.915,-439.425,1088.28,540.887
30.06,120.302,-1072.515,661.584,328.138,-73.32,158.94,-35.955,1319.68,187.312,-382.121,1079.11,541.195
30.07,121.225,-1003.065,696.76,325.827,-24.555,149.386,8.677,1292.35,183.864,-322.836,1068.56,541.332
30.08,121.857,-927.824,727.4,323.08,15.267,140.146,52.291,1262.32,178.267,-261.504,1057.09,541.293
30.09,122.163,-847.719,752.71,319.996,46.936,131.165,94.611,1230.52,170.321,-198.065,1045.2,541.043
30.1,122.1,-763.878,772.122,316.747,71.557,122.752,135.43,1198.03,159.974,-132.48,1033.47,540.508
30.11,121.625,-677.573,785.33,313.537,90.346,115.442,174.645,1166.05,147.365,-64.743,1022.49,539.566
30.12,120.706,-590.138,792.297,310.576,104.44,109.774,212.259,1135.87,132.83,5.112,1012.94,538.044
30.13,119.333,-502.889,793.22,308.041,114.786,106.049,248.41,1108.71,116.884,76.976,1005.43,535.722
30.14,117.531,-417.032,788.47,306.052,122.148,104.184,283.356,1085.69,100.176,150.649,1000.65,532.357
30.15,115.381,-333.562,778.515,304.647,127.183,103.785,317.472,1067.66,83.41,225.805,999.175,527.714
30.16,113.029,-253.172,763.855,303.8,130.488,104.388,351.195,1055.13,67.269,301.984,1001.45,521.601
