Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
4.08,88.394,-1520.774,308.717,271.694,-722.524,103.848,-760.509,1291.78,172.211,-1075.96,1082.36,372.839
4.09,86.753,-1480.827,316.147,268.811,-710.263,98.359,-727.168,1275.54,170.186,-1030.97,1073.2,373.788
4.1,85.011,-1438.336,322.393,266.202,-700.52,93.956,-693.491,1257.64,166.734,-984.328,1063.12,375.139
4.11,83.151,-1393.354,327.401,263.884,-692.842,90.881,-659.713,1238.31,161.791,-936.131,1052.5,376.708
4.12,81.171,-1345.969,331.113,261.865,-686.869,89.15,-626.122,1217.86,155.307,-886.429,1041.82,378.276
4.13,79.084,-1296.301,333.464,260.141,-682.302,88.58,-593.051,1196.61,147.272,-835.257,1031.68,379.597
4.14,76.915,-1244.515,334.387,258.7,-678.883,88.868,-560.856,1175.0,137.735,-782.678,1022.78,380.413
4.15,74.693,-1190.814,333.827,257.525,-676.377,89.688,-529.9,1153.54,126.828,-728.807,1015.89,380.468
4.16,72.45,-1135.427,331.738,256.599,-674.57,90.759,-500.52,1132.8,114.756,-673.858,1011.77,379.516
4.17,70.212,-1078.595,328.093,255.905,-673.266,91.893,-472.999,1113.39,101.789,-618.165,1011.15,377.349
4.18,68.006,-1020.541,322.877,255.427,-672.296,93.008,-447.53,1095.89,88.234,-562.18,1014.6,373.808
4.19,65.861,-961.45,316.092,255.154,-671.511,94.113,-424.193,1080.81,74.409,-506.452,1022.47,368.81
4.2,63.815,-901.442,307.751,255.083,-670.777,95.292,-402.934,1068.54,60.62,-451.577,1034.83,362.356
4.21,61.913,-840.564,297.89,255.219,-669.966,96.676,-383.583,1059.24,47.127,-398.147,1051.45,354.533
4.22,60.207,-778.785,286.573,255.575,-668.934,98.418,-365.851,1052.92,34.148,-346.688,1071.86,345.508
4.23,58.753,-716.0,273.907,256.163,-667.506,100.675,-349.368,1049.37,21.848,-297.617,1095.36,335.5
4.24,57.607,-652.051,260.053,256.997,-665.468,103.587,-333.717,1048.25,10.347,-251.218,1121.1,324.766
4.25,56.824,-586.757,245.241,258.088,-662.564,107.27,-318.476,1049.12,-0.284,-207.633,1148.19,313.576
4.26,56.456,-519.952,229.772,259.44,-658.506,111.808,-303.247,1051.53,-10.009,-166.869,1175.75,302.188
4.27,56.55,-451.529,214.024,261.052,-653.006,117.249,-287.687,1055.06,-18.821,-128.819,1202.94,290.84
4.28,57.15,-381.494,198.438,262.914,-645.807,123.611,-271.516,1059.32,-26.742,-93.291,1229.03,279.729
4.29,58.288,-310.012,183.5,265.0,-636.723,130.883,-254.5,1064.01,-33.816,-60.024,1253.38,269.005
4.3,59.975,-237.447,169.705,267.272,-625.665,139.036,-236.452,1068.89,-40.104,-28.715,1275.44,258.767
4.31,62.194,-164.383,157.504,269.676,-612.648,148.023,-217.209,1073.73,-45.687,0.965,1294.78,249.075
4.32,64.886,-91.625,147.249,272.148,-597.776,157.79,-196.626,1078.34,-50.66,29.37,1311.02,239.957
4.33,67.953,-20.158,139.131,274.624,-581.203,168.271,-174.552,1082.56,-55.132,56.869,1323.92,231.427
4.34,71.26,48.917,133.139,277.039,-563.083,179.391,-150.85,1086.2,-59.218,83.843,1333.29,223.498
4.35,74.649,114.478,129.045,279.34,-543.523,191.068,-125.386,1089.13,-63.034,110.67,1339.09,216.195
4.36,77.959,175.492,126.422,281.481,-522.552,203.219,-98.041,1091.2,-66.691,137.719,1341.32,209.549
4.37,81.05,231.115,124.703,283.427,-500.103,215.767,-68.724,1092.27,-70.287,165.323,1340.07,203.6
4.38,83.822,280.78,123.266,285.147,-476.031,228.641,-37.376,1092.27,-73.905,193.764,1335.5,198.389
4.39,86.228,324.234,121.537,286.616,-450.132,241.771,-3.978,1091.11,-77.608,223.25,1327.73,193.958
4.4,88.269,361.537,119.094,287.811,-422.177,255.066,31.445,1088.78,-81.439,253.896,1316.96,190.351
4.41,89.986,393.015,115.747,288.717,-391.949,268.398,68.833,1085.25,-85.42,285.709,1303.36,187.625
4.42,91.438,419.184,111.57,289.33,-359.269,281.585,108.097,1080.54,-89.552,318.588,1287.09,185.853
4.43,92.689,440.652,106.876,289.656,-324.017,294.395,149.132,1074.7,-93.806,352.315,1268.37,185.145
4.44,93.799,458.044,102.13,289.717,-286.14,306.551,191.828,1067.8,-98.127,386.561,1247.47,185.641
4.45,94.818,471.938,97.828,289.55,-245.654,317.753,236.08,1060.01,-102.417,420.898,1224.71,187.509
4.46,95.793,482.847,94.369,289.211,-202.642,327.701,281.794,1051.54,-106.544,454.824,1200.54,190.91
4.47,96.761,491.226,91.966,288.766,-157.248,336.113,328.869,1042.75,-110.319,487.795,1175.47,195.971
