Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
5.79,143.164,-1335.872,692.992,332.759,-465.347,118.056,-414.476,1291.57,130.395,-785.792,1079.61,682.317
5.8,138.987,-1259.123,704.533,330.736,-450.227,111.564,-370.416,1260.04,123.535,-711.398,1061.09,685.635
5.81,134.172,-1181.194,711.228,328.67,-438.285,106.244,-328.115,1227.95,114.943,-634.38,1043.23,687.346
5.82,128.857,-1102.963,713.2,326.704,-429.05,102.434,-287.835,1196.31,104.748,-554.983,1026.94,686.989
5.83,123.214,-1025.232,710.663,324.952,-422.119,100.206,-249.762,1166.35,93.221,-473.557,1013.2,684.066
5.84,117.432,-948.673,703.891,323.487,-417.119,99.388,-213.962,1139.45,80.774,-390.603,1003.0,678.096
5.85,111.706,-873.774,693.183,322.342,-413.68,99.661,-180.34,1116.85,67.92,-306.808,997.222,668.701
5.86,106.226,-800.795,678.845,321.524,-411.414,100.694,-148.625,1099.62,55.21,-223.038,996.553,655.674
5.87,101.162,-729.739,661.167,321.036,-409.905,102.249,-118.402,1088.43,43.159,-140.285,1001.4,639.039
5.88,96.666,-660.355,640.422,320.9,-408.695,104.251,-89.162,1083.46,32.169,-59.608,1011.83,619.066
5.89,92.861,-592.168,616.862,321.17,-407.286,106.791,-60.382,1084.44,22.483,17.976,1027.51,596.246
5.9,89.853,-524.531,590.739,321.925,-405.145,110.098,-31.591,1090.66,14.17,91.606,1047.73,571.24
5.91,87.728,-456.709,562.311,323.257,-401.732,114.483,-2.416,1101.13,7.151,160.678,1071.56,544.795
5.92,86.562,-387.963,531.87,325.232,-396.544,120.297,27.389,1114.76,1.236,224.894,1097.88,517.669
5.93,86.416,-317.619,499.747,327.863,-389.181,127.889,57.948,1130.42,-3.817,284.256,1125.48,490.569
5.94,87.326,-245.126,466.326,331.086,-379.407,137.587,89.287,1147.09,-8.252,339.042,1153.26,464.091
5.95,89.298,-170.082,432.044,334.744,-367.204,149.696,121.364,1163.9,-12.278,389.709,1180.19,438.714
5.96,92.291,-92.238,397.398,338.593,-352.784,164.494,154.1,1180.15,-16.047,436.84,1205.45,414.789
5.97,96.22,-11.503,362.939,342.316,-336.531,182.221,187.417,1195.34,-19.65,481.06,1228.34,392.569
5.98,100.962,72.065,329.273,345.568,-318.901,203.059,221.256,1209.04,-23.12,523.002,1248.38,372.22
5.99,106.363,158.247,297.055,348.024,-300.274,227.086,255.598,1220.98,-26.448,563.275,1265.14,353.857
6.0,112.25,246.658,266.968,349.449,-280.829,254.252,290.472,1230.95,-29.598,602.45,1278.38,337.559
6.01,118.436,336.723,239.687,349.736,-260.464,284.353,325.961,1238.79,-32.531,641.042,1287.9,323.395
6.02,124.729,427.674,215.83,348.924,-238.802,317.043,362.192,1244.42,-35.218,679.491,1293.58,311.415
6.03,130.941,518.553,195.871,347.184,-215.251,351.857,399.328,1247.77,-37.658,718.158,1295.4,301.667
6.04,136.899,608.251,180.058,344.771,-189.108,388.244,437.559,1248.91,-39.879,757.301,1293.39,294.186
6.05,142.468,695.567,168.325,341.978,-159.665,425.597,477.081,1247.9,-41.937,797.075,1287.66,289.006
6.06,147.568,779.3,160.253,339.088,-126.297,463.27,518.09,1244.92,-43.905,837.547,1278.36,286.143
6.07,152.18,858.351,155.084,336.345,-88.524,500.596,560.773,1240.18,-45.865,878.699,1265.73,285.616
6.08,156.342,931.814,151.817,333.934,-46.04,536.899,605.283,1233.92,-47.895,920.447,1250.05,287.442
6.09,160.127,999.037,149.354,331.988,1.276,571.51,651.739,1226.36,-50.062,962.642,1231.62,291.643
6.1,163.617,1059.647,146.688,330.602,53.366,603.788,700.221,1217.71,-52.42,1005.09,1210.79,298.248
6.11,166.882,1113.525,143.066,329.849,110.008,633.144,750.774,1208.14,-55.005,1047.53,1187.94,307.283
6.12,169.965,1160.753,138.113,329.793,170.842,659.065,803.406,1197.79,-57.829,1089.69,1163.47,318.773
6.13,172.875,1201.553,131.869,330.483,235.389,681.136,858.1,1186.75,-60.868,1131.21,1137.81,332.719
6.14,175.587,1236.225,124.751,331.954,303.076,699.053,914.816,1175.16,-64.055,1171.75,1111.49,349.072
6.15,178.055,1265.11,117.429,334.212,373.252,712.634,973.492,1163.14,-67.278,1210.9,1085.03,367.724
6.16,180.224,1288.581,110.653,337.225,445.215,721.814,1034.05,1150.95,-70.363,1248.33,1059.04,388.47
6.17,182.051,1307.056,105.061,340.929,518.23,726.636,1096.36,1138.92,-73.085,1283.65,1034.15,411.007
6.18,183.526,1321.018,101.033,345.223,591.561,727.236,1160.28,1127.54,-75.166,1316.6,1011.04,434.912
