Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
3.43,102.317,-1924.905,349.431,315.442,-1169.118,101.0,-1120.67,1187.57,133.309,-1351.93,1002.89,447.584
3.44,102.675,-1866.458,354.841,312.541,-1154.151,97.34,-1084.13,1164.67,129.557,-1296.1,992.968,446.977
3.45,103.176,-1804.57,357.991,309.563,-1143.202,94.405,-1048.91,1140.03,123.564,-1238.66,983.023,445.693
3.46,103.753,-1739.501,358.709,306.683,-1135.543,92.37,-1015.29,1114.35,115.274,-1179.75,973.619,443.594
3.47,104.342,-1671.562,356.855,304.084,-1130.484,91.242,-983.518,1088.43,104.766,-1119.49,965.436,440.525
3.48,104.893,-1601.091,352.347,301.921,-1127.39,90.897,-953.721,1063.19,92.278,-1058.03,959.208,436.318
3.49,105.39,-1528.429,345.187,300.292,-1125.688,91.152,-925.915,1039.65,78.205,-995.606,955.678,430.811
3.5,105.863,-1453.893,335.475,299.22,-1124.87,91.858,-899.974,1018.76,63.079,-932.498,955.529,423.863
3.51,106.393,-1377.747,323.412,298.665,-1124.486,92.966,-875.627,1001.36,47.519,-869.09,959.296,415.377
3.52,107.097,-1300.18,309.299,298.557,-1124.128,94.563,-852.463,988.058,32.167,-805.849,967.302,405.33
3.53,108.115,-1221.308,293.521,298.817,-1123.409,96.86,-829.966,979.115,17.603,-743.284,979.599,393.79
3.54,109.581,-1141.182,276.527,299.39,-1121.945,100.162,-807.592,974.414,4.289,-681.909,995.962,380.933
3.55,111.591,-1059.824,258.8,300.24,-1119.344,104.808,-784.815,973.501,-7.473,-622.181,1015.9,367.032
3.56,114.195,-977.256,240.825,301.355,-1115.213,111.112,-761.192,975.678,-17.531,-564.46,1038.71,352.438
3.57,117.381,-893.54,223.067,302.735,-1109.184,119.309,-736.37,980.121,-25.867,-508.976,1063.57,337.55
3.58,121.087,-808.811,205.954,304.391,-1100.949,129.524,-710.085,986.003,-32.549,-455.826,1089.57,322.774
3.59,125.205,-723.307,189.867,306.333,-1090.298,141.758,-682.141,992.578,-37.7,-404.972,1115.78,308.501
3.6,129.602,-637.393,175.137,308.563,-1077.137,155.902,-652.385,999.219,-41.468,-356.275,1141.3,295.069
3.61,134.135,-551.584,162.037,311.064,-1061.481,171.755,-620.686,1005.48,-44.009,-309.518,1165.34,282.758
3.62,138.666,-466.549,150.768,313.795,-1043.424,189.046,-586.943,1011.01,-45.477,-264.436,1187.16,271.773
3.63,143.087,-383.104,141.433,316.682,-1023.088,207.46,-551.068,1015.59,-46.025,-220.74,1206.18,262.26
3.64,147.323,-302.183,134.012,319.629,-1000.57,226.654,-512.994,1019.06,-45.804,-178.128,1221.87,254.309
3.65,151.346,-224.775,128.336,322.53,-975.903,246.288,-472.682,1021.32,-44.96,-136.311,1233.88,247.97
3.66,155.162,-151.856,124.091,325.283,-949.036,266.054,-430.118,1022.3,-43.634,-95.018,1241.96,243.264
3.67,158.804,-84.303,120.843,327.809,-919.825,285.706,-385.311,1021.95,-41.95,-54.019,1245.97,240.194
3.68,162.309,-22.825,118.096,330.06,-888.048,305.065,-338.288,1020.28,-40.013,-13.147,1245.88,238.755
3.69,165.704,32.078,115.387,332.024,-853.428,324.012,-289.104,1017.33,-37.901,27.691,1241.76,238.937
3.7,169.006,80.135,112.369,333.719,-815.666,342.442,-237.824,1013.17,-35.665,68.503,1233.76,240.741
3.71,172.22,121.283,108.895,335.185,-774.481,360.217,-184.542,1007.94,-33.328,109.211,1222.12,244.164
3.72,175.348,155.64,105.037,336.474,-729.661,377.122,-129.362,1001.78,-30.888,149.664,1207.16,249.211
3.73,178.39,183.489,101.058,337.643,-681.094,392.841,-72.404,994.935,-28.316,189.654,1189.33,255.88
3.74,181.335,205.267,97.326,338.751,-628.799,406.964,-13.799,987.691,-25.558,228.934,1169.21,264.153
3.75,184.147,221.566,94.197,339.868,-572.924,419.019,46.312,980.404,-22.535,267.251,1147.49,273.976
3.76,186.769,233.123,91.911,341.072,-513.737,428.518,107.777,973.542,-19.137,304.369,1125.08,285.238
3.77,189.131,240.774,90.537,342.453,-451.607,435.013,170.431,967.663,-15.236,340.101,1102.96,297.758
3.78,191.174,245.393,89.978,344.096,-386.97,438.143,234.074,963.405,-10.69,374.345,1082.22,311.266
3.79,192.865,247.811,90.047,346.062,-320.29,437.674,298.46,961.436,-5.362,407.104,1063.91,325.417
3.8,194.197,248.768,90.552,348.365,-252.013,433.516,363.272,962.381,0.856,438.503,1048.94,339.8
3.81,195.19,248.892,91.386,350.958,-182.524,425.729,428.121,966.741,8.031,468.771,1037.99,353.99
3.82,195.867,248.713,92.572,353.73,-112.097,414.516,492.552,974.807,16.165,498.214,1031.42,367.591
