Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
8.74,96.74,-1836.694,493.965,276.166,-1135.032,106.36,-1062.63,1084.54,103.271,-1275.4,982.026,476.398
8.75,97.237,-1783.671,502.423,273.631,-1121.992,102.363,-1033.86,1067.87,99.534,-1226.44,970.988,482.944
8.76,97.75,-1728.625,508.282,271.306,-1111.725,99.606,-1005.84,1049.86,94.914,-1175.83,960.346,488.561
8.77,98.135,-1671.999,511.318,269.276,-1103.831,98.047,-978.753,1031.07,89.512,-1123.65,950.584,492.934
8.78,98.28,-1614.275,511.398,267.602,-1097.934,97.471,-952.75,1012.16,83.476,-1070.08,942.251,495.746
8.79,98.145,-1555.957,508.49,266.332,-1093.668,97.598,-927.956,993.846,76.997,-1015.41,935.911,496.696
8.8,97.768,-1497.533,502.664,265.491,-1090.673,98.176,-904.405,976.896,70.296,-960.005,932.098,495.52
8.81,97.257,-1439.417,494.063,265.076,-1088.604,99.03,-882.02,962.003,63.602,-904.332,931.235,492.036
8.82,96.754,-1381.902,482.864,265.045,-1087.146,100.079,-860.611,949.743,57.118,-848.905,933.571,486.166
8.83,96.397,-1325.105,469.258,265.339,-1086.013,101.345,-839.91,940.524,51.007,-794.25,939.141,477.952
8.84,96.293,-1268.953,453.434,265.908,-1084.937,102.936,-819.6,934.545,45.373,-740.836,947.76,467.565
8.85,96.51,-1213.181,435.577,266.736,-1083.637,105.029,-799.373,931.803,40.271,-689.046,959.056,455.29
8.86,97.089,-1157.376,415.879,267.849,-1081.803,107.843,-778.953,932.11,35.71,-639.148,972.53,441.497
8.87,98.057,-1101.024,394.549,269.301,-1079.094,111.611,-758.107,935.13,31.654,-591.299,987.628,426.593
8.88,99.434,-1043.581,371.837,271.147,-1075.152,116.542,-736.65,940.43,28.027,-545.549,1003.79,410.991
8.89,101.243,-984.536,348.05,273.422,-1069.624,122.791,-714.453,947.525,24.733,-501.854,1020.53,395.078
8.9,103.494,-923.48,323.561,276.126,-1062.214,130.444,-691.429,955.929,21.678,-460.092,1037.39,379.201
8.91,106.182,-860.153,298.808,279.235,-1052.741,139.531,-667.542,965.19,18.788,-420.084,1054.04,363.651
8.92,109.284,-794.475,274.282,282.705,-1041.191,150.048,-642.78,974.91,16.007,-381.63,1070.19,348.669
8.93,112.757,-726.556,250.51,286.453,-1027.724,161.974,-617.161,984.747,13.302,-344.529,1085.63,334.447
8.94,116.549,-656.694,228.019,290.341,-1012.654,175.288,-590.713,994.418,10.65,-308.594,1100.17,321.119
8.95,120.605,-585.366,207.31,294.177,-996.406,189.969,-563.463,1003.68,8.037,-273.67,1113.64,308.789
8.96,124.865,-513.22,188.806,297.739,-979.428,205.984,-535.435,1012.31,5.452,-239.608,1125.9,297.533
8.97,129.263,-441.054,172.82,300.82,-962.069,223.263,-506.633,1020.15,2.885,-206.276,1136.81,287.41
8.98,133.716,-369.786,159.519,303.283,-944.466,241.699,-477.051,1026.99,0.314,-173.546,1146.23,278.465
8.99,138.13,-300.419,148.906,305.122,-926.498,261.163,-446.669,1032.71,-2.296,-141.286,1154.02,270.738
9.0,142.417,-233.987,140.794,306.46,-907.835,281.517,-415.46,1037.14,-4.991,-109.365,1160.03,264.258
9.01,146.52,-171.476,134.801,307.498,-888.009,302.627,-383.383,1040.17,-7.819,-77.664,1164.15,259.048
9.02,150.442,-113.748,130.367,308.453,-866.493,324.356,-350.406,1041.68,-10.821,-46.072,1166.28,255.118
9.03,154.253,-61.459,126.82,309.503,-842.764,346.562,-316.493,1041.6,-14.029,-14.506,1166.38,252.474
9.04,158.069,-15.006,123.479,310.757,-816.334,369.076,-281.626,1039.88,-17.465,17.094,1164.41,251.112
9.05,162.0,25.499,119.786,312.25,-786.786,391.677,-245.798,1036.49,-21.14,48.751,1160.39,251.023
9.06,166.096,60.217,115.418,313.956,-753.802,414.081,-209.024,1031.45,-25.05,80.464,1154.38,252.198
9.07,170.335,89.537,110.342,315.807,-717.194,435.943,-171.326,1024.79,-29.178,112.202,1146.47,254.621
9.08,174.637,114.007,104.805,317.717,-676.913,456.866,-132.726,1016.58,-33.491,143.907,1136.79,258.276
9.09,178.886,134.263,99.24,319.585,-633.036,476.422,-93.251,1006.89,-37.94,175.505,1125.49,263.14
9.1,182.94,150.949,94.155,321.327,-585.756,494.182,-52.9,995.861,-42.46,206.908,1112.74,269.18
9.11,186.645,164.644,89.998,322.891,-535.358,509.739,-11.655,983.642,-46.957,238.02,1098.72,276.343
9.12,189.852,175.81,87.048,324.263,-482.21,522.728,30.547,970.481,-51.312,268.726,1083.65,284.565
9.13,192.456,184.8,85.357,325.465,-426.756,532.85,73.805,956.69,-55.369,298.887,1067.81,293.758
