Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
5.53,160.568,-2427.472,738.455,356.307,-1557.839,134.228,-1476.28,1120.25,142.19,-1988.14,1060.14,625.821
5.54,163.991,-2346.918,757.641,354.275,-1531.432,128.536,-1436.8,1098.24,133.76,-1921.18,1038.54,627.093
5.55,166.713,-2261.882,772.341,352.086,-1510.247,124.117,-1397.25,1076.4,123.936,-1850.21,1016.21,628.049
5.56,168.528,-2174.404,781.775,349.902,-1494.519,121.262,-1358.41,1055.68,112.976,-1776.25,994.088,628.463
5.57,169.326,-2086.253,785.675,347.911,-1483.687,119.932,-1320.65,1037.0,101.235,-1699.98,973.179,628.097
5.58,169.087,-1998.901,784.171,346.277,-1476.761,119.86,-1284.05,1021.17,89.12,-1621.89,954.451,626.695
5.59,167.877,-1913.515,777.65,345.117,-1472.635,120.75,-1248.51,1008.85,77.055,-1542.35,938.816,624.013
5.6,165.829,-1830.918,766.604,344.498,-1470.234,122.403,-1213.77,1000.47,65.435,-1461.71,927.049,619.847
5.61,163.126,-1751.552,751.513,344.439,-1468.573,124.762,-1179.48,996.264,54.59,-1380.4,919.711,614.063
5.62,159.988,-1675.437,732.767,344.925,-1466.79,127.91,-1145.31,996.128,44.733,-1298.89,917.099,606.641
5.63,156.657,-1602.165,710.643,345.922,-1464.143,132.043,-1110.93,999.734,35.959,-1217.72,919.219,597.688
5.64,153.38,-1530.957,685.328,347.383,-1460.006,137.421,-1076.07,1006.52,28.265,-1137.45,925.803,587.426
5.65,150.377,-1460.775,656.975,349.258,-1453.869,144.322,-1040.57,1015.79,21.586,-1058.57,936.361,576.153
5.66,147.826,-1390.461,625.758,351.49,-1445.358,152.997,-1004.31,1026.78,15.83,-981.526,950.236,564.188
5.67,145.833,-1318.883,591.927,354.021,-1434.276,163.668,-967.211,1038.75,10.893,-906.601,966.668,551.831
5.68,144.422,-1245.063,555.83,356.793,-1420.634,176.546,-929.253,1051.0,6.669,-833.989,984.836,539.339
5.69,143.545,-1168.262,517.921,359.736,-1404.658,191.863,-890.392,1062.97,3.073,-763.764,1003.92,526.917
5.7,143.122,-1088.009,478.736,362.744,-1386.75,209.881,-850.596,1074.22,0.031,-695.914,1023.14,514.736
5.71,143.097,-1004.114,438.869,365.683,-1367.392,230.859,-809.843,1084.38,-2.524,-630.352,1041.8,502.94
5.72,143.469,-916.665,398.964,368.425,-1347.003,254.988,-768.1,1093.23,-4.641,-566.972,1059.29,491.663
5.73,144.279,-826.045,359.715,370.89,-1325.745,282.308,-725.333,1100.59,-6.353,-505.667,1075.1,481.051
5.74,145.582,-732.938,321.863,373.067,-1303.372,312.649,-681.514,1106.31,-7.681,-446.344,1088.82,471.25
5.75,147.41,-638.309,286.177,375.0,-1279.215,345.642,-636.596,1110.26,-8.643,-388.935,1100.08,462.372
5.76,149.754,-543.378,253.404,376.745,-1252.341,380.785,-590.527,1112.32,-9.248,-333.364,1108.63,454.484
5.77,152.553,-449.59,224.196,378.332,-1221.751,417.504,-543.223,1112.38,-9.502,-279.568,1114.26,447.623
5.78,155.703,-358.56,199.01,379.735,-1186.531,455.182,-494.586,1110.34,-9.412,-227.506,1116.85,441.799
5.79,159.082,-271.982,178.004,380.873,-1145.931,493.129,-444.489,1106.17,-8.983,-177.146,1116.38,437.011
5.8,162.586,-191.474,160.96,381.626,-1099.43,530.561,-392.794,1099.9,-8.221,-128.475,1112.93,433.264
5.81,166.162,-118.403,147.302,381.87,-1046.779,566.598,-339.365,1091.68,-7.134,-81.48,1106.71,430.566
5.82,169.798,-53.747,136.228,381.501,-988.036,600.322,-284.093,1081.76,-5.72,-36.151,1097.96,428.949
5.83,173.495,1.955,126.931,380.465,-923.546,630.852,-226.901,1070.48,-3.961,7.53,1087.04,428.457
5.84,177.246,48.584,118.818,378.769,-853.9,657.417,-167.748,1058.3,-1.81,49.581,1074.33,429.142
5.85,181.034,86.364,111.642,376.495,-779.869,679.417,-106.643,1045.81,0.811,90.034,1060.31,431.044
5.86,184.832,115.798,105.504,373.789,-702.356,696.457,-43.642,1033.63,4.003,128.933,1045.42,434.169
5.87,188.579,137.639,100.708,370.851,-622.342,708.355,21.151,1022.5,7.88,166.326,1030.21,438.481
5.88,192.141,152.926,97.521,367.904,-540.828,715.137,87.582,1013.24,12.561,202.291,1015.23,443.874
5.89,195.326,162.96,95.971,365.162,-458.772,717.008,155.407,1006.68,18.142,236.927,1001.1,450.18
5.9,197.951,169.133,95.817,362.799,-377.045,714.319,224.282,1003.64,24.678,270.37,988.468,457.163
5.91,199.907,172.72,96.717,360.922,-296.397,707.513,293.754,1004.85,32.156,302.805,977.95,464.534
5.92,201.151,174.792,98.406,359.558,-217.412,697.066,363.262,1010.76,40.47,334.493,970.103,471.971
