Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
10.32,127.154,-1181.268,117.105,310.972,-1970.358,744.161,-1462.27,908.343,-91.041,-1264.68,911.747,440.61
10.33,127.388,-1167.211,111.269,309.539,-1888.862,754.963,-1400.65,886.658,-97.847,-1241.67,895.61,454.095
10.34,127.882,-1156.707,106.579,308.52,-1806.95,759.214,-1336.5,865.233,-104.117,-1219.99,881.629,467.733
10.35,128.594,-1149.095,103.075,307.892,-1725.896,757.374,-1269.62,845.112,-109.566,-1199.19,870.305,481.156
10.36,129.46,-1143.769,100.638,307.58,-1646.802,750.127,-1199.96,827.403,-113.909,-1178.72,862.009,494.001
10.37,130.383,-1140.197,99.058,307.463,-1570.534,738.224,-1127.63,813.186,-116.883,-1157.98,856.948,505.935
10.38,131.243,-1137.911,98.102,307.401,-1497.631,722.337,-1053.06,803.407,-118.263,-1136.45,855.164,516.693
10.39,131.92,-1136.502,97.569,307.244,-1428.22,702.934,-976.871,798.77,-117.888,-1113.61,856.536,526.077
10.4,132.322,-1135.614,97.338,306.838,-1361.941,680.22,-899.879,799.675,-115.662,-1089.1,860.806,533.962
10.41,132.387,-1134.937,97.402,306.035,-1297.936,654.145,-823.0,806.188,-111.575,-1062.67,867.599,540.304
10.42,132.079,-1134.181,97.889,304.689,-1234.902,624.5,-747.136,818.048,-105.686,-1034.22,876.466,545.131
10.43,131.38,-1133.056,99.068,302.654,-1171.228,591.072,-673.094,834.717,-98.115,-1003.77,886.93,548.534
10.44,130.286,-1131.251,101.338,299.792,-1105.217,553.831,-601.528,855.438,-89.031,-971.43,898.501,550.639
10.45,128.814,-1128.43,105.201,296.023,-1035.37,513.117,-532.897,879.299,-78.638,-937.34,910.718,551.596
10.46,127.018,-1124.245,111.211,291.413,-960.714,469.824,-467.447,905.307,-67.173,-901.661,923.153,551.557
10.47,124.998,-1118.379,119.906,286.275,-881.073,425.517,-405.232,932.449,-54.903,-864.56,935.427,550.665
10.48,122.912,-1110.588,131.73,281.133,-797.071,382.272,-346.151,959.754,-42.103,-826.197,947.208,549.059
10.49,120.976,-1100.74,146.99,276.476,-709.669,342.045,-290.016,986.316,-29.044,-786.74,958.211,546.866
10.5,119.43,-1088.817,165.85,272.503,-619.653,305.972,-236.586,1011.33,-15.99,-746.35,968.19,544.201
10.51,118.497,-1074.881,188.365,269.182,-527.683,274.316,-185.605,1034.03,-3.205,-705.177,976.926,541.166
10.52,118.329,-1059.011,214.52,266.484,-434.632,246.93,-136.808,1053.74,9.045,-663.36,984.209,537.857
10.53,118.968,-1041.203,244.236,264.465,-341.698,223.515,-89.918,1069.87,20.501,-621.02,989.846,534.369
10.54,120.341,-1021.249,277.344,263.246,-250.347,203.668,-44.66,1081.9,30.919,-578.256,993.653,530.805
10.55,122.273,-998.66,313.549,262.971,-162.203,186.887,-0.76,1089.44,40.081,-535.125,995.448,527.267
10.56,124.524,-972.688,352.402,263.746,-78.887,172.594,42.009,1092.24,47.799,-491.645,995.087,523.882
10.57,126.824,-942.438,393.291,265.553,-1.771,160.196,83.81,1090.2,53.918,-447.8,992.475,520.778
10.58,128.924,-907.002,435.447,268.144,68.349,149.231,124.709,1083.42,58.319,-403.534,987.539,518.077
10.59,130.625,-865.582,477.939,271.026,131.382,139.445,164.684,1072.12,60.906,-358.742,980.282,515.87
10.6,131.793,-817.599,519.688,273.675,187.531,130.638,203.634,1056.72,61.618,-313.266,970.738,514.201
10.61,132.341,-762.8,559.51,275.755,236.853,122.527,241.388,1037.69,60.409,-266.921,958.99,513.07
10.62,132.219,-701.313,596.201,277.15,279.293,114.857,277.757,1015.58,57.263,-219.493,945.165,512.426
10.63,131.392,-633.643,628.642,277.889,314.894,107.563,312.564,991.042,52.184,-170.753,929.441,512.186
10.64,129.834,-560.623,655.9,278.074,343.899,100.809,345.66,964.733,45.209,-120.451,912.062,512.224
10.65,127.525,-483.329,677.303,277.825,366.779,94.916,376.96,937.418,36.444,-68.319,893.357,512.379
10.66,124.465,-403.002,692.498,277.249,384.226,90.207,406.445,909.923,26.078,-14.066,873.762,512.462
10.67,120.684,-320.954,701.463,276.415,397.095,86.85,434.184,883.167,14.401,42.599,853.839,512.252
10.68,116.261,-238.497,704.469,275.349,406.311,84.793,460.362,858.129,1.809,101.946,834.281,511.516
10.69,111.326,-156.861,702.009,274.064,412.74,83.807,485.278,835.806,-11.212,164.173,815.894,510.009
10.7,106.056,-77.126,694.697,272.614,417.102,83.598,509.323,817.109,-24.116,229.354,799.563,507.503
10.71,100.66,-0.145,683.167,271.126,419.972,83.889,532.956,802.755,-36.353,297.385,786.186,503.803
