Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
1.44,120.88,-2756.143,590.618,249.279,-1928.48,127.982,-1842.8,1102.59,99.155,-2198.92,933.924,543.518
1.45,119.004,-2694.03,600.496,248.738,-1914.918,122.92,-1816.41,1064.2,83.711,-2133.53,920.895,546.948
1.46,116.481,-2629.369,606.591,248.132,-1904.945,119.12,-1793.96,1027.02,65.826,-2065.95,908.703,550.058
1.47,113.332,-2562.744,608.9,247.456,-1897.737,116.635,-1775.49,992.417,46.032,-1996.15,898.074,552.473
1.48,109.62,-2494.757,607.496,246.72,-1892.606,115.318,-1760.73,961.808,25.039,-1924.21,889.819,553.782
1.49,105.458,-2425.993,602.499,245.953,-1889.012,114.912,-1749.09,936.472,3.678,-1850.36,884.772,553.583
1.5,100.997,-2356.975,594.062,245.223,-1886.54,115.152,-1739.67,917.335,-17.184,-1774.97,883.715,551.526
1.51,96.414,-2288.105,582.349,244.62,-1884.845,115.837,-1731.34,904.817,-36.801,-1698.67,887.269,547.367
1.52,91.905,-2219.61,567.527,244.237,-1883.618,116.875,-1722.94,898.771,-54.664,-1622.23,895.802,541.0
1.53,87.663,-2151.512,549.769,244.151,-1882.558,118.286,-1713.49,898.595,-70.544,-1546.56,909.367,532.47
1.54,83.861,-2083.632,529.254,244.436,-1881.356,120.2,-1702.22,903.407,-84.433,-1472.55,927.68,521.956
1.55,80.639,-2015.616,506.189,245.187,-1879.682,122.838,-1688.59,912.19,-96.459,-1401.02,950.158,509.731
1.56,78.087,-1946.993,480.827,246.51,-1877.173,126.475,-1672.31,923.927,-106.815,-1332.59,975.993,496.128
1.57,76.248,-1877.232,453.49,248.501,-1873.437,131.393,-1653.24,937.654,-115.734,-1267.67,1004.25,481.501
1.58,75.132,-1805.813,424.576,251.219,-1868.077,137.851,-1631.34,952.537,-123.443,-1206.47,1033.99,466.204
1.59,74.714,-1732.294,394.566,254.669,-1860.754,146.061,-1606.66,967.878,-130.126,-1148.95,1064.25,450.561
1.6,74.955,-1656.367,364.018,258.786,-1851.246,156.192,-1579.29,983.119,-135.925,-1094.95,1094.17,434.857
1.61,75.804,-1577.9,333.551,263.423,-1839.503,168.374,-1549.36,997.822,-140.945,-1044.15,1122.95,419.33
1.62,77.218,-1496.959,303.819,268.349,-1825.662,182.713,-1516.95,1011.62,-145.271,-996.173,1149.84,404.188
1.63,79.168,-1413.831,275.484,273.268,-1810.019,199.297,-1482.18,1024.24,-149.001,-950.586,1174.24,389.625
1.64,81.624,-1329.033,249.182,277.87,-1792.951,218.165,-1445.13,1035.41,-152.244,-906.944,1195.54,375.83
1.65,84.541,-1243.323,225.492,281.885,-1774.803,239.261,-1405.88,1044.94,-155.093,-864.8,1213.25,362.987
1.66,87.844,-1157.683,204.881,285.126,-1755.732,262.399,-1364.49,1052.69,-157.631,-823.735,1226.97,351.273
1.67,91.436,-1073.276,187.646,287.514,-1735.601,287.276,-1321.02,1058.53,-159.91,-783.388,1236.41,340.847
1.68,95.207,-991.388,173.861,289.059,-1713.977,313.501,-1275.5,1062.39,-161.951,-743.491,1241.42,331.85
1.69,99.042,-913.348,163.332,289.841,-1690.258,340.632,-1227.94,1064.22,-163.747,-703.881,1241.94,324.404
1.7,102.841,-840.412,155.583,289.973,-1663.805,368.187,-1178.4,1064.03,-165.274,-664.519,1238.03,318.619
1.71,106.529,-773.643,149.892,289.578,-1634.051,395.655,-1126.9,1061.85,-166.505,-625.48,1229.91,314.595
1.72,110.061,-713.796,145.4,288.785,-1600.557,422.497,-1073.53,1057.74,-167.418,-586.924,1217.84,312.436
1.73,113.419,-661.268,141.253,287.72,-1563.037,448.162,-1018.37,1051.79,-168.008,-549.07,1202.24,312.229
1.74,116.593,-616.093,136.76,286.51,-1521.367,472.108,-961.573,1044.09,-168.27,-512.165,1183.51,314.032
1.75,119.566,-577.991,131.519,285.279,-1475.568,493.835,-903.25,1034.78,-168.213,-476.483,1162.07,317.869
1.76,122.313,-546.445,125.473,284.148,-1425.769,512.905,-843.523,1024.01,-167.826,-442.306,1138.32,323.743
1.77,124.807,-520.776,118.903,283.233,-1372.178,528.971,-782.48,1011.96,-167.079,-409.927,1112.72,331.624
1.78,127.028,-500.217,112.333,282.632,-1315.056,541.776,-720.154,998.918,-165.913,-379.655,1085.68,341.458
1.79,128.953,-483.994,106.382,282.421,-1254.706,551.161,-656.529,985.27,-164.217,-351.786,1057.71,353.127
1.8,130.548,-471.381,101.58,282.643,-1191.483,557.053,-591.541,971.572,-161.83,-326.588,1029.39,366.447
1.81,131.788,-461.737,98.216,283.307,-1125.802,559.462,-525.115,958.546,-158.527,-304.243,1001.4,381.13
1.82,132.694,-454.504,96.28,284.383,-1058.139,558.46,-457.202,947.098,-154.046,-284.802,974.578,396.779
1.83,133.333,-449.198,95.527,285.795,-989.015,554.176,-387.864,938.268,-148.113,-268.118,949.811,412.876
