Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
4.4,293.743,-3076.714,500.806,435.122,-2345.192,146.127,-2308.34,1142.81,226.887,-2548.97,1030.68,653.86
4.41,288.35,-3023.936,509.552,428.444,-2330.098,141.539,-2285.79,1123.82,217.429,-2495.9,1018.77,652.517
4.42,282.474,-2968.545,515.079,421.791,-2319.137,137.686,-2264.19,1105.28,207.212,-2441.76,1006.72,650.251
4.43,276.065,-2910.833,517.395,415.289,-2311.479,134.688,-2243.21,1087.63,196.449,-2386.51,994.995,646.906
4.44,269.12,-2851.1,516.602,409.145,-2306.333,132.558,-2222.5,1071.34,185.405,-2330.12,984.118,642.339
4.45,261.691,-2789.67,512.872,403.613,-2303.014,131.197,-2201.66,1056.91,174.363,-2272.63,974.672,636.421
4.46,253.882,-2726.87,506.422,398.93,-2300.969,130.439,-2180.27,1044.8,163.614,-2214.19,967.226,629.049
4.47,245.838,-2663.025,497.492,395.253,-2299.773,130.107,-2157.94,1035.41,153.425,-2155.01,962.316,620.157
4.48,237.734,-2598.427,486.324,392.629,-2299.1,130.08,-2134.32,1029.03,144.017,-2095.41,960.406,609.732
4.49,229.757,-2533.317,473.142,391.005,-2298.68,130.332,-2109.14,1025.8,135.549,-2035.82,961.832,597.823
4.5,222.094,-2467.854,458.152,390.269,-2298.269,130.955,-2082.17,1025.73,128.11,-1976.66,966.767,584.553
4.51,214.917,-2402.111,441.535,390.295,-2297.611,132.148,-2053.33,1028.65,121.711,-1918.41,975.209,570.116
4.52,208.372,-2336.068,423.459,390.97,-2296.417,134.19,-2022.6,1034.31,116.312,-1861.53,986.97,554.761
4.53,202.567,-2269.631,404.089,392.204,-2294.352,137.403,-1990.06,1042.33,111.82,-1806.39,1001.7,538.781
4.54,197.57,-2202.655,383.603,393.921,-2291.047,142.1,-1955.85,1052.32,108.122,-1753.33,1018.91,522.488
4.55,193.41,-2134.978,362.206,396.044,-2286.122,148.548,-1920.1,1063.86,105.098,-1702.54,1037.99,506.195
4.56,190.072,-2066.458,340.147,398.486,-2279.246,156.925,-1883.04,1076.55,102.632,-1654.12,1058.33,490.194
4.57,187.511,-1997.007,317.733,401.141,-2270.19,167.308,-1844.83,1090.04,100.625,-1608.05,1079.24,474.752
4.58,185.649,-1926.622,295.335,403.885,-2258.875,179.668,-1805.62,1103.95,98.989,-1564.25,1100.05,460.097
4.59,184.392,-1855.417,273.384,406.583,-2245.379,193.89,-1765.56,1118.01,97.655,-1522.53,1120.13,446.41
4.6,183.644,-1783.648,252.347,409.105,-2229.907,209.8,-1724.7,1131.96,96.561,-1482.68,1138.85,433.828
4.61,183.321,-1711.733,232.685,411.343,-2212.721,227.187,-1683.13,1145.56,95.655,-1444.44,1155.67,422.438
4.62,183.362,-1640.269,214.809,413.224,-2194.051,245.822,-1640.84,1158.63,94.895,-1407.56,1170.1,412.293
4.63,183.74,-1570.025,199.018,414.726,-2174.018,265.461,-1597.83,1171.0,94.244,-1371.74,1181.71,403.42
4.64,184.464,-1501.907,185.462,415.868,-2152.581,285.839,-1554.09,1182.61,93.681,-1336.75,1190.15,395.837
4.65,185.574,-1436.908,174.119,416.706,-2129.535,306.675,-1509.6,1193.35,93.189,-1302.35,1195.17,389.572
4.66,187.132,-1376.015,164.799,417.312,-2104.541,327.655,-1464.37,1203.2,92.77,-1268.35,1196.61,384.656
4.67,189.207,-1320.118,157.184,417.758,-2077.192,348.437,-1418.46,1212.15,92.437,-1234.64,1194.41,381.142
4.68,191.857,-1269.921,150.883,418.108,-2047.08,368.645,-1371.93,1220.22,92.209,-1201.17,1188.6,379.09
4.69,195.113,-1225.875,145.504,418.415,-2013.861,387.876,-1324.92,1227.45,92.112,-1167.96,1179.32,378.573
4.7,198.97,-1188.156,140.723,418.719,-1977.294,405.715,-1277.56,1233.85,92.172,-1135.11,1166.81,379.657
4.71,203.389,-1156.674,136.337,419.056,-1937.261,421.758,-1230.0,1239.46,92.41,-1102.75,1151.39,382.394
4.72,208.29,-1131.115,132.286,419.457,-1893.761,435.645,-1182.4,1244.32,92.839,-1071.11,1133.49,386.806
4.73,213.559,-1110.983,128.628,419.948,-1846.886,447.078,-1134.89,1248.48,93.466,-1040.39,1113.62,392.874
4.74,219.038,-1095.653,125.489,420.55,-1796.795,455.846,-1087.58,1252.02,94.289,-1010.76,1092.41,400.521
4.75,224.521,-1084.41,122.987,421.273,-1743.686,461.832,-1040.55,1255.03,95.303,-982.411,1070.61,409.625
4.76,229.768,-1076.503,121.176,422.118,-1687.792,465.01,-993.84,1257.68,96.512,-955.42,1048.99,419.994
4.77,234.528,-1071.193,120.018,423.069,-1629.373,465.439,-947.481,1260.12,97.928,-929.798,1028.37,431.383
4.78,238.59,-1067.806,119.402,424.096,-1568.72,463.247,-901.483,1262.55,99.585,-905.472,1009.57,443.495
4.79,241.814,-1065.773,119.186,425.148,-1506.152,458.606,-855.852,1265.18,101.53,-882.281,993.309,455.993
