Time,LANK-X,LANK-Y,LANK-Z,RANK-X,RANK-Y,RANK-Z,LHANDO-Y,LHANDO-Z,LHANDO-X,RHANDO-Y,RHANDO-Z,RHANDO-X
3.06,16.587,-3033.609,379.49,237.009,-2377.416,122.71,-2247.84,1210.95,128.749,-2409.31,1041.69,399.803
3.07,20.279,-2988.39,391.435,234.785,-2362.497,119.015,-2214.29,1194.59,120.384,-2363.98,1034.31,401.773
3.08,23.881,-2940.211,401.219,232.585,-2351.378,116.337,-2181.82,1178.08,110.177,-2317.64,1027.18,402.894
3.09,27.235,-2889.322,408.484,230.568,-2343.361,114.752,-2150.78,1161.91,98.286,-2270.39,1020.89,402.936
3.1,30.206,-2836.006,412.974,228.882,-2337.726,114.162,-2121.44,1146.52,84.946,-2222.37,1016.01,401.687
3.11,32.689,-2780.575,414.523,227.626,-2333.826,114.362,-2093.93,1132.34,70.453,-2173.74,1013.07,398.954
3.12,34.62,-2723.35,413.054,226.836,-2331.135,115.113,-2068.28,1119.72,55.151,-2124.75,1012.54,394.598
3.13,35.983,-2664.634,408.564,226.492,-2329.248,116.224,-2044.46,1108.99,39.415,-2075.66,1014.7,388.547
3.14,36.81,-2604.683,401.124,226.532,-2327.859,117.586,-2022.3,1100.37,23.627,-2026.84,1019.68,380.809
3.15,37.188,-2543.672,390.869,226.881,-2326.735,119.185,-2001.62,1093.99,8.148,-1978.63,1027.39,371.482
3.16,37.256,-2481.682,377.995,227.471,-2325.681,121.097,-1982.12,1089.92,-6.689,-1931.38,1037.57,360.746
3.17,37.2,-2418.695,362.759,228.256,-2324.506,123.466,-1963.51,1088.11,-20.61,-1885.4,1049.82,348.853
3.18,37.241,-2354.613,345.472,229.223,-2323.003,126.481,-1945.44,1088.43,-33.407,-1840.94,1063.65,336.111
3.19,37.62,-2289.283,326.507,230.392,-2320.932,130.35,-1927.6,1090.74,-44.934,-1798.15,1078.52,322.854
3.2,38.574,-2222.537,306.294,231.806,-2318.014,135.272,-1909.69,1094.77,-55.121,-1757.13,1093.88,309.421
3.21,40.319,-2154.228,285.32,233.524,-2313.937,141.4,-1891.42,1100.33,-63.947,-1717.87,1109.27,296.121
3.22,43.024,-2084.271,264.119,235.606,-2308.379,148.82,-1872.59,1107.15,-71.447,-1680.28,1124.2,283.226
3.23,46.803,-2012.69,243.26,238.102,-2301.038,157.534,-1852.99,1114.98,-77.699,-1644.23,1138.3,270.957
3.24,51.704,-1939.662,223.326,241.051,-2291.661,167.459,-1832.51,1123.54,-82.804,-1609.54,1151.25,259.499
3.25,57.702,-1865.557,204.874,244.466,-2280.079,178.441,-1811.04,1132.59,-86.897,-1575.97,1162.78,249.011
3.26,64.696,-1790.976,188.4,248.329,-2266.225,190.287,-1788.48,1141.85,-90.112,-1543.25,1172.68,239.647
3.27,72.513,-1716.746,174.274,252.582,-2250.136,202.799,-1764.8,1151.03,-92.608,-1511.13,1180.76,231.552
3.28,80.913,-1643.9,162.694,257.12,-2231.929,215.806,-1739.91,1159.89,-94.516,-1479.29,1186.89,224.866
3.29,89.609,-1573.602,153.64,261.8,-2211.765,229.183,-1713.75,1168.14,-95.973,-1447.44,1190.89,219.714
3.3,98.293,-1507.049,146.861,266.454,-2189.797,242.855,-1686.27,1175.55,-97.098,-1415.31,1192.67,216.197
3.31,106.678,-1445.347,141.896,270.911,-2166.121,256.784,-1657.39,1181.95,-97.989,-1382.65,1192.11,214.395
3.32,114.525,-1389.397,138.134,275.025,-2140.746,270.947,-1627.08,1187.15,-98.722,-1349.3,1189.12,214.36
3.33,121.674,-1339.802,134.92,278.693,-2113.58,285.311,-1595.23,1191.06,-99.337,-1315.14,1183.7,216.125
3.34,128.057,-1296.828,131.659,281.868,-2084.45,299.811,-1561.8,1193.57,-99.847,-1280.21,1175.87,219.714
3.35,133.703,-1260.407,127.935,284.556,-2053.125,314.331,-1526.73,1194.67,-100.242,-1244.58,1165.78,225.125
3.36,138.73,-1230.194,123.58,286.815,-2019.361,328.69,-1489.94,1194.36,-100.466,-1208.46,1153.63,232.344
3.37,143.33,-1205.644,118.702,288.741,-1982.939,342.646,-1451.4,1192.74,-100.451,-1172.16,1139.72,241.335
3.38,147.73,-1186.1,113.64,290.46,-1943.693,355.909,-1411.07,1189.93,-100.102,-1136.0,1124.44,252.035
3.39,152.132,-1170.855,108.867,292.124,-1901.537,368.159,-1368.95,1186.14,-99.312,-1100.36,1108.25,264.339
3.4,156.641,-1159.206,104.857,293.899,-1856.468,379.076,-1325.09,1181.63,-97.969,-1065.62,1091.63,278.1
3.41,161.223,-1150.472,101.962,295.959,-1808.575,388.356,-1279.55,1176.72,-95.966,-1032.1,1075.1,293.114
3.42,165.698,-1144.018,100.33,298.465,-1758.037,395.733,-1232.49,1171.79,-93.2,-1000.08,1059.14,309.121
3.43,169.798,-1139.274,99.904,301.549,-1705.118,400.985,-1184.09,1167.24,-89.573,-969.728,1044.23,325.806
3.44,173.26,-1135.749,100.468,305.297,-1650.149,403.94,-1134.59,1163.49,-84.997,-941.141,1030.72,342.807
3.45,175.904,-1133.048,101.746,309.734,-1593.505,404.475,-1084.29,1160.94,-79.395,-914.303,1018.97,359.743
